drift_us,survival_tau566us,logS2c_70keV_ER
3.076165413533834680e+02,5.806168130307470809e-01,4.390199172880771883e+00
3.098521303258145281e+02,5.783272901143916567e-01,4.388483251535491014e+00
3.120877192982455881e+02,5.760467953816279518e-01,4.386767330190211034e+00
3.143233082706767050e+02,5.737752932319829524e-01,4.385051408844930165e+00
3.165588972431077650e+02,5.715127482053655728e-01,4.383335487499649297e+00
3.187944862155388819e+02,5.692591249815127652e-01,4.381619566154368428e+00
3.210300751879699419e+02,5.670143883794388495e-01,4.379903644809087560e+00
3.232656641604010019e+02,5.647785033568857305e-01,4.378187723463806691e+00
3.255012531328320620e+02,5.625514350097760019e-01,4.376471802118526711e+00
3.277368421052631788e+02,5.603331485716680493e-01,4.374755880773245842e+00
3.299724310776942389e+02,5.581236094132137060e-01,4.373039959427964973e+00
3.322080200501253557e+02,5.559227830416167970e-01,4.371324038082684105e+00
3.344436090225564158e+02,5.537306351000957916e-01,4.369608116737403236e+00
3.366791979949874758e+02,5.515471313673463438e-01,4.367892195392122368e+00
3.389147869674185358e+02,5.493722377570079418e-01,4.366176274046842387e+00
3.411503759398495959e+02,5.472059203171312225e-01,4.364460352701561519e+00
3.433859649122807127e+02,5.450481452296483953e-01,4.362744431356280650e+00
3.456215538847118296e+02,5.428988788098447760e-01,4.361028510010999781e+00
3.478571428571428896e+02,5.407580875058337622e-01,4.359312588665718913e+00
3.500927318295739497e+02,5.386257378980321420e-01,4.357596667320438044e+00
3.523283208020050097e+02,5.365017966986389553e-01,4.355880745975158064e+00
3.545639097744361266e+02,5.343862307511155763e-01,4.354164824629877195e+00
3.567994987468671866e+02,5.322790070296683496e-01,4.352448903284596327e+00
3.590350877192982466e+02,5.301800926387327806e-01,4.350732981939315458e+00
3.612706766917293635e+02,5.280894548124603904e-01,4.349017060594034589e+00
3.635062656641604235e+02,5.260070609142065701e-01,4.347301139248754609e+00
3.657418546365914835e+02,5.239328784360218760e-01,4.345585217903473740e+00
3.679774436090225436e+02,5.218668749981437704e-01,4.343869296558192872e+00
3.702130325814536604e+02,5.198090183484918025e-01,4.342153375212912003e+00
3.724486215538847205e+02,5.177592763621637895e-01,4.340437453867631135e+00
3.746842105263157805e+02,5.157176170409343285e-01,4.338721532522351154e+00
3.769197994987468974e+02,5.136840085127553079e-01,4.337005611177070286e+00
3.791553884711779574e+02,5.116584190312584157e-01,4.335289689831789417e+00
3.813909774436090174e+02,5.096408169752597583e-01,4.333573768486508548e+00
3.836265664160401343e+02,5.076311708482654783e-01,4.331857847141227680e+00
3.858621553884711943e+02,5.056294492779811467e-01,4.330141925795946811e+00
3.880977443609022544e+02,5.036356210158209334e-01,4.328426004450666831e+00
3.903333333333333712e+02,5.016496549364204416e-01,4.326710083105385962e+00
3.925689223057644313e+02,4.996715200371509846e-01,4.324994161760105094e+00
3.948045112781954913e+02,4.977011854376349742e-01,4.323278240414824225e+00
3.970401002506265513e+02,4.957386203792642498e-01,4.321562319069543356e+00
3.992756892230576682e+02,4.937837942247196854e-01,4.319846397724262488e+00
4.015112781954887282e+02,4.918366764574934602e-01,4.318130476378982507e+00
4.037468671679197882e+02,4.898972366814119961e-01,4.316414555033701639e+00
4.059824561403509051e+02,4.879654446201615592e-01,4.314698633688420770e+00
4.082180451127819651e+02,4.860412701168161931e-01,4.312982712343139902e+00
4.104536340852130252e+02,4.841246831333661516e-01,4.311266790997859033e+00
4.126892230576441420e+02,4.822156537502496065e-01,4.309550869652578164e+00
4.149248120300752021e+02,4.803141521658853552e-01,4.307834948307298184e+00
