delta_keV,E_lo_keVee,E_hi_keVee,S0,Sm_fixed_phase,A1,t_peak,A2,A3,A4,A2_over_A1,frac_variance_fundamental,mod_fraction,max_over_min,zero_fraction,S0_smeared,Sm_smeared
300,19,20,4.31533e-08,1.72253e-08,1.72262e-08,151.899,8.29567e-10,4.13215e-12,2.96952e-12,0.0481573,0.997686,0.399165,2.2868,0,4.07364e-08,1.68981e-08
300,20,21,2.90446e-08,1.13876e-08,1.13882e-08,151.899,5.38156e-10,2.68336e-12,1.96509e-12,0.0472556,0.997772,0.392072,2.25104,0,3.05795e-08,1.24402e-08
300,21,22,1.72356e-08,6.68474e-09,6.6851e-09,151.899,3.12338e-10,1.5595e-12,1.15425e-12,0.0467216,0.997822,0.387845,2.23006,0,2.14517e-08,8.59367e-09
300,22,23,8.70611e-09,3.34083e-09,3.34101e-09,151.899,1.54363e-10,7.72132e-13,5.77213e-13,0.0462024,0.99787,0.383734,2.20989,0,1.40955e-08,5.57966e-09
300,23,24,3.29394e-09,1.25858e-09,1.25865e-09,151.899,5.78903e-11,2.89818e-13,2.17505e-13,0.0459941,0.997889,0.382089,2.20189,0,8.7725e-09,3.44169e-09
300,24,25,5.77881e-10,2.20802e-10,2.20814e-10,151.899,1.01561e-11,5.08449e-14,3.81585e-14,0.0459941,0.997889,0.382089,2.20189,0,5.37963e-09,2.09918e-09
300,25,26,5.91415e-11,2.27357e-11,2.27369e-11,151.899,1.05248e-12,5.26272e-15,3.92776e-15,0.0462897,0.997862,0.384429,2.21329,0,3.59127e-09,1.40202e-09
300,26,27,6.63209e-10,2.55395e-10,2.55408e-10,151.899,1.1844e-11,5.92041e-14,4.41169e-14,0.0463727,0.997854,0.385089,2.21652,0,2.98631e-09,1.17531e-09
300,27,28,2.04658e-09,7.94597e-10,7.9464e-10,151.899,3.7168e-11,1.8555e-13,1.37195e-13,0.0467734,0.997817,0.388256,2.23209,0,3.14191e-09,1.25069e-09
300,28,29,3.59297e-09,1.40963e-09,1.40971e-09,151.899,6.66626e-11,3.32371e-13,2.43243e-13,0.0472882,0.997769,0.39233,2.25233,0,3.69118e-09,1.48471e-09
300,29,30,4.97839e-09,1.97486e-09,1.97496e-09,151.899,9.44814e-11,4.70683e-13,3.40568e-13,0.0478396,0.997716,0.396686,2.27422,0,4.3509e-09,1.76693e-09
300,30,31,6.03074e-09,2.41934e-09,2.41947e-09,151.899,1.17121e-10,5.83277e-13,4.16963e-13,0.0484077,0.997662,0.401168,2.29702,0,4.92751e-09,2.02103e-09
300,31,32,6.56067e-09,2.6777e-09,2.67784e-09,151.899,1.32007e-10,6.57799e-13,4.61064e-13,0.0492961,0.997576,0.408144,2.33309,0,5.3094e-09,2.20153e-09
300,32,33,6.69558e-09,2.77918e-09,2.77933e-09,151.899,1.39465e-10,6.96113e-13,4.78116e-13,0.0501793,0.997488,0.415076,2.36964,0,5.45174e-09,2.28812e-09
300,33,34,6.37872e-09,2.70903e-09,2.70917e-09,151.899,1.39275e-10,6.97939e-13,4.65507e-13,0.0514086,0.997364,0.424698,2.42157,0,5.35839e-09,2.27928e-09
300,34,35,5.9085e-09,2.55416e-09,2.5543e-09,151.899,1.33798e-10,6.73443e-13,4.38515e-13,0.0523816,0.997264,0.432286,2.46355,0,5.06424e-09,2.18594e-09
300,35,36,5.17454e-09,2.29249e-09,2.29261e-09,151.899,1.23265e-10,6.25352e-13,3.93134e-13,0.0537664,0.997117,0.443032,2.5246,0,4.61998e-09,2.02595e-09
300,36,37,4.3626e-09,1.98387e-09,1.98397e-09,151.899,1.09679e-10,5.62285e-13,3.39812e-13,0.0552826,0.996953,0.454744,2.59336,0,4.08051e-09,1.81986e-09
300,37,38,3.55544e-09,1.66107e-09,1.66116e-09,151.899,9.45227e-11,4.90861e-13,2.84197e-13,0.0569017,0.996772,0.46719,2.66909,0,3.49704e-09,1.58777e-09
300,38,39,2.80272e-09,1.34619e-09,1.34626e-09,151.899,7.89198e-11,4.16112e-13,2.30073e-13,0.0586216,0.996575,0.480314,2.75208,0,2.9125e-09,1.34742e-09
300,39,40,2.13239e-09,1.05439e-09,1.05444e-09,151.899,6.37812e-11,3.42318e-13,1.80014e-13,0.0604879,0.996354,0.494464,2.84535,0,2.35951e-09,1.11313e-09
300,40,41,1.53315e-09,7.87008e-10,7.8705e-10,151.899,4.95885e-11,2.73003e-13,1.34205e-13,0.0630055,0.996046,0.513326,2.97623,0,1.86019e-09,8.95466e-10
300,41,42,1.07255e-09,5.69306e-10,5.69337e-10,151.899,3.72034e-11,2.09836e-13,9.69939e-14,0.0653451,0.995748,0.530798,3.10468,0,1.42711e-09,7.01372e-10
300,42,43,7.05568e-10,3.89772e-10,3.89793e-10,151.899,2.66214e-11,1.54892e-13,6.63503e-14,0.0682963,0.995357,0.552423,3.27404,0,1.06497e-09,5.34561e-10
300,43,44,4.42413e-10,2.53547e-10,2.5356e-10,151.899,1.80354e-11,1.08056e-13,4.31381e-14,0.0711288,0.994966,0.5731,3.44787,0,7.7244e-10,3.96107e-10
300,44,45,2.53852e-10,1.51784e-10,1.51792e-10,151.899,1.13254e-11,7.02954e-14,2.58175e-14,0.0746117,0.994464,0.597923,3.6734,0,5.44003e-10,2.85072e-10
300,45,46,1.29467e-10,8.08893e-11,8.08937e-11,151.899,6.34404e-12,4.08538e-14,1.37611e-14,0.0784245,0.993887,0.624789,3.94099,0,3.71627e-10,1.99114e-10
300,46,47,5.40221e-11,3.53557e-11,3.53576e-11,151.899,2.92409e-12,1.95749e-14,6.01923e-15,0.0827006,0.993207,0.654467,4.26915,0,2.46124e-10,1.35035e-10
300,47,48,1.33647e-11,9.14577e-12,9.14626e-12,151.899,7.96767e-13,5.53658e-15,1.55918e-15,0.087114,0.992468,0.684321,4.63917,0,1.58201e-10,8.92361e-11
300,48,49,5.30681e-13,3.76351e-13,3.76371e-13,151.899,3.41794e-14,2.44476e-16,6.42633e-17,0.0908131,0.99182,0.709186,4.98346,0,9.91918e-11,5.80812e-11
300,49,50,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.15018e-11,3.81505e-11
300,50,51,3.43016e-13,2.99201e-13,2.99217e-13,151.9,3.51327e-14,2.95041e-16,5.22744e-17,0.117416,0.9864,0.872266,8.53855,0,3.8819e-11,2.64104e-11
300,51,52,6.05161e-12,5.37383e-12,5.37412e-12,151.9,6.46434e-13,5.50158e-15,9.42252e-16,0.120287,0.985736,0.888,9.06814,0,2.61504e-11,2.03025e-11
300,52,53,1.35141e-11,1.27353e-11,1.2736e-11,151.9,1.66283e-12,1.47713e-14,2.2654e-15,0.130562,0.983238,0.94237,11.347,0,1.97352e-11,1.77713e-11
300,53,54,1.89563e-11,1.9242e-11,1.9243e-11,151.9,2.79331e-12,2.60886e-14,3.50698e-15,0.14516,0.979362,1.01507,16.1479,0,1.68838e-11,1.72455e-11
300,54,55,2.23778e-11,2.43295e-11,2.43308e-11,151.9,3.93458e-12,3.84682e-14,4.57944e-15,0.161711,0.974513,1.08722,24.9853,0,1.57842e-11,1.75915e-11
300,55,56,2.27715e-11,2.68378e-11,2.68393e-11,151.901,4.99349e-12,5.14248e-14,5.33351e-15,0.186052,0.966539,1.17857,55.5036,0,1.53043e-11,1.80513e-11
300,56,57,2.20076e-11,2.77236e-11,2.7725e-11,151.901,5.94019e-12,6.38067e-14,5.73537e-15,0.214254,0.956105,1.25973,190.901,0,1.48121e-11,1.81746e-11
300,57,58,1.91193e-11,2.58076e-11,2.5809e-11,151.902,6.68971e-12,5.95398e-14,8.13591e-15,0.259201,0.937039,1.34982,4118.46,0,1.4021e-11,1.77508e-11
300,58,59,1.63571e-11,2.31937e-11,2.31949e-11,151.902,7.12557e-12,6.82686e-14,1.05441e-13,0.307205,0.913729,1.41796,inf,0.0958904,1.28664e-11,1.67453e-11
300,59,60,1.24348e-11,1.85875e-11,1.85885e-11,151.902,6.93499e-12,4.33316e-13,2.79897e-13,0.373081,0.877196,1.4948,inf,0.246575,1.14106e-11,1.52403e-11
300,60,61,9.12008e-12,1.42664e-11,1.42672e-11,151.902,6.28197e-12,8.49743e-13,3.53073e-13,0.440309,0.834673,1.56429,inf,0.30137,9.77412e-12,1.33834e-11
300,61,62,6.37912e-12,1.03601e-11,1.03606e-11,151.902,5.23049e-12,1.15761e-12,2.45939e-13,0.504843,0.78858,1.62406,inf,0.383562,8.08941e-12,1.13455e-11
300,62,63,3.97678e-12,6.72217e-12,6.72253e-12,151.902,3.90479e-12,1.2833e-12,2.09124e-14,0.580851,0.727444,1.69035,inf,0.438356,6.47237e-12,9.28928e-12
300,63,64,2.33116e-12,4.06886e-12,4.06908e-12,151.902,2.6395e-12,1.14209e-12,1.87622e-13,0.648673,0.665361,1.74542,inf,0.520548,5.00858e-12,7.34824e-12
300,64,65,1.03715e-12,1.87784e-12,1.87794e-12,151.902,1.37621e-12,7.77535e-13,2.90213e-13,0.73283,0.576759,1.81059,inf,0.561644,3.74953e-12,5.61678e-12
300,65,66,3.88314e-13,7.2597e-13,7.26009e-13,151.902,5.89677e-13,4.0766e-13,2.28112e-13,0.812217,0.478284,1.86954,inf,0.657534,2.71551e-12,4.14822e-12
300,66,67,8.654e-14,1.65648e-13,1.65657e-13,151.901,1.44973e-13,1.153e-13,8.23086e-14,0.875142,0.381037,1.91412,inf,0.69863,1.90212e-12,2.9593e-12
300,67,68,3.04425e-15,5.99758e-15,5.9979e-15,151.898,5.73291e-15,5.31318e-15,4.76896e-15,0.955819,0.217952,1.97013,inf,0.767123,1.2881e-12,2.03837e-12
300,68,69,0,0,0,0,0,0,0,nan,nan,nan,inf,1,8.42813e-13,1.35487e-12
300,69,70,0,0,0,0,0,0,0,nan,nan,nan,inf,1,5.32439e-13,8.68447e-13
300,70,71,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.24501e-13,5.36411e-13
300,71,72,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.90633e-13,3.19023e-13
300,72,73,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.07853e-13,1.82544e-13
300,73,74,0,0,0,0,0,0,0,nan,nan,nan,inf,1,5.87128e-14,1.00411e-13
300,74,75,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.07275e-14,5.30552e-14
300,75,76,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.54471e-14,2.69072e-14
300,76,77,0,0,0,0,0,0,0,nan,nan,nan,inf,1,7.45329e-15,1.30884e-14
300,77,78,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.44902e-15,6.10205e-15
300,78,79,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.52961e-15,2.72489e-15
300,79,80,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.49685e-16,1.16474e-15
300,80,81,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.64112e-16,4.7628e-16
300,81,82,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.02701e-16,1.86209e-16
300,82,83,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.8178e-17,6.95689e-17
300,83,84,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.35605e-17,2.48249e-17
300,84,85,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.59985e-18,8.45693e-18
300,85,86,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.4894e-18,2.74915e-18
300,86,87,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.60135e-19,8.52438e-19
300,87,88,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.35577e-19,2.52021e-19
300,88,89,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.80844e-20,7.10168e-20
300,89,90,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.01955e-20,1.90673e-20
350,1,2,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.95582e-21,5.23997e-21
350,2,3,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.16402e-19,2.06191e-19
350,3,4,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.54445e-18,6.26886e-18
350,4,5,0,0,0,0,0,0,0,nan,nan,nan,inf,1,8.35579e-17,1.4744e-16
350,5,6,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.52778e-15,2.68727e-15
350,6,7,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.17177e-14,3.80436e-14
350,7,8,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.40753e-13,4.19578e-13
350,8,9,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.08929e-12,3.61832e-12
350,9,10,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.42606e-11,2.45095e-11
350,10,11,0,0,0,0,0,0,0,nan,nan,nan,inf,1,7.69981e-11,1.31129e-10
350,11,12,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.31166e-10,5.5784e-10
350,12,13,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.1441e-09,1.90228e-09
350,13,14,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.2066e-09,5.25013e-09
350,14,15,1.04143e-11,2.05325e-11,2.05336e-11,151.898,1.96683e-11,1.82906e-11,1.64907e-11,0.957861,0.214071,1.97156,inf,0.849315,7.37601e-09,1.18605e-08
350,15,16,2.31835e-09,4.31865e-09,4.31888e-09,151.902,3.47133e-09,2.36218e-09,1.30111e-09,0.803758,0.487562,1.86281,inf,0.643836,1.41097e-08,2.22175e-08
350,16,17,1.64786e-08,2.85753e-08,2.85768e-08,151.902,1.81768e-08,7.61524e-09,1.21671e-09,0.636067,0.676522,1.73409,inf,0.452055,2.27712e-08,3.50086e-08
350,17,18,3.52894e-08,5.73176e-08,5.73207e-08,151.902,2.90096e-08,6.56963e-09,1.2508e-09,0.506093,0.787446,1.62422,inf,0.328767,3.14707e-08,4.71084e-08
350,18,19,5.20016e-08,7.85999e-08,7.8604e-08,151.902,3.05745e-08,2.42937e-09,1.38191e-09,0.388969,0.867607,1.51149,inf,0.246575,3.77881e-08,5.4948e-08
350,19,20,5.68611e-08,8.02952e-08,8.02995e-08,151.902,2.43522e-08,2.02927e-10,3.39685e-10,0.303267,0.915746,1.41213,inf,0.0958904,3.99366e-08,5.6325e-08
350,20,21,5.26467e-08,6.89927e-08,6.89963e-08,151.901,1.63357e-08,1.75757e-10,1.07155e-11,0.236762,0.946913,1.31049,916.014,0,3.75621e-08,5.13446e-08
350,21,22,3.80749e-08,4.69149e-08,4.69173e-08,151.901,9.53199e-09,1.01034e-10,9.72064e-12,0.203166,0.960356,1.23217,117.978,0,3.17574e-08,4.20623e-08
350,22,23,2.21623e-08,2.58956e-08,2.5897e-08,151.901,4.72746e-09,4.83604e-11,5.10401e-12,0.182549,0.967747,1.16845,50.3859,0,2.44562e-08,3.13579e-08
350,23,24,9.24107e-09,1.03546e-08,1.03551e-08,151.9,1.7551e-09,1.7474e-11,1.98153e-12,0.169491,0.972072,1.1205,32.2866,0,1.76431e-08,2.18125e-08
350,24,25,1.72458e-09,1.86426e-09,1.86436e-09,151.9,2.97713e-10,2.89555e-12,3.49431e-13,0.159687,0.975132,1.08099,24.0871,0,1.27505e-08,1.50496e-08
350,25,26,6.83309e-11,7.0327e-11,7.03307e-11,151.9,1.04036e-11,9.79704e-14,1.28824e-14,0.147924,0.978585,1.02921,17.4896,0,1.04038e-08,1.16052e-08
350,26,27,2.48032e-09,2.53701e-09,2.53715e-09,151.9,3.71901e-10,3.48818e-12,4.6358e-13,0.146582,0.978964,1.02286,16.877,0,1.04821e-08,1.11552e-08
350,27,28,8.26014e-09,8.33781e-09,8.33825e-09,151.9,1.1982e-09,1.11386e-11,1.51563e-12,0.143699,0.979767,1.0094,15.6964,0,1.23597e-08,1.28765e-08
350,28,29,1.5e-08,1.51399e-08,1.51407e-08,151.9,2.17544e-09,2.0222e-11,2.75201e-12,0.143682,0.979771,1.00932,15.6899,0,1.51904e-08,1.57811e-08
350,29,30,2.13929e-08,2.1621e-08,2.16221e-08,151.9,3.11298e-09,2.89635e-11,3.93213e-12,0.143972,0.979691,1.01066,15.8006,0,1.81459e-08,1.89544e-08
350,30,31,2.55303e-08,2.62432e-08,2.62446e-08,151.9,3.87497e-09,3.64607e-11,4.80474e-12,0.147648,0.978663,1.02792,17.3629,0,2.05724e-08,2.16888e-08
350,31,32,2.80597e-08,2.92496e-08,2.92512e-08,151.9,4.41232e-09,4.19056e-11,5.38741e-12,0.150842,0.977751,1.0424,18.8668,0,2.20616e-08,2.35339e-08
350,32,33,2.82459e-08,3.0089e-08,3.00906e-08,151.9,4.69404e-09,4.52185e-11,5.59796e-12,0.155997,0.976241,1.06525,21.7105,0,2.24526e-08,2.42866e-08
350,33,34,2.63566e-08,2.89176e-08,2.89191e-08,151.9,4.73192e-09,4.64735e-11,5.46474e-12,0.163626,0.973922,1.09717,26.9824,0,2.17883e-08,2.3946e-08
350,34,35,2.37363e-08,2.67391e-08,2.67406e-08,151.901,4.57363e-09,4.56922e-11,5.13438e-12,0.171037,0.971575,1.12651,33.9347,0,2.02501e-08,2.26537e-08
350,35,36,2.03311e-08,2.36015e-08,2.36027e-08,151.901,4.25475e-09,4.33307e-11,4.62724e-12,0.180265,0.968524,1.16086,46.6752,0,1.8091e-08,2.06339e-08
350,36,37,1.64076e-08,1.97535e-08,1.97545e-08,151.901,3.8186e-09,3.98314e-11,3.99445e-12,0.193303,0.963976,1.20392,77.4509,0,1.55802e-08,1.8142e-08
350,37,38,1.24903e-08,1.56816e-08,1.56824e-08,151.901,3.31359e-09,3.55451e-11,3.31656e-12,0.211294,0.957258,1.2555,196.212,0,1.29624e-08,1.5426e-08
350,38,39,9.15811e-09,1.19576e-08,1.19582e-08,151.901,2.78616e-09,3.06907e-11,2.63675e-12,0.232991,0.948504,1.30568,1270.8,0,1.04351e-08,1.2701e-08
350,39,40,6.46201e-09,8.73786e-09,8.73833e-09,151.902,2.26483e-09,2.25121e-11,7.95923e-13,0.259184,0.937046,1.35219,343887,0,8.13761e-09,1.01339e-08
350,40,41,4.37529e-09,6.10535e-09,6.10567e-09,151.902,1.76419e-09,3.46733e-12,1.25814e-11,0.288942,0.922937,1.39541,inf,0.136986,6.15182e-09,7.83831e-09
350,41,42,2.8184e-09,4.05076e-09,4.05098e-09,151.902,1.30327e-09,2.11724e-11,2.55673e-11,0.321716,0.906133,1.43726,inf,0.191781,4.50992e-09,5.87729e-09
350,42,43,1.60209e-09,2.39112e-09,2.39125e-09,151.902,8.84661e-10,4.99004e-11,3.49474e-11,0.369958,0.879073,1.4925,inf,0.246575,3.20605e-09,4.27052e-09
350,43,44,9.05658e-10,1.3879e-09,1.38798e-09,151.902,5.66091e-10,5.41731e-11,2.91458e-11,0.407853,0.855906,1.53248,inf,0.30137,2.20905e-09,3.00487e-09
350,44,45,4.40264e-10,6.95909e-10,6.95946e-10,151.902,3.18215e-10,4.96679e-11,1.81177e-11,0.457242,0.823114,1.58066,inf,0.356164,1.47402e-09,2.04535e-09
350,45,46,1.93918e-10,3.14704e-10,3.1472e-10,151.902,1.58196e-10,3.40738e-11,8.03964e-12,0.502655,0.790371,1.62287,inf,0.410959,9.51331e-10,1.34506e-09
350,46,47,6.39889e-11,1.06951e-10,1.06956e-10,151.902,5.96952e-11,1.75651e-11,1.43218e-12,0.558126,0.746673,1.67139,inf,0.438356,5.9299e-10,8.53283e-10
350,47,48,1.2718e-11,2.17459e-11,2.1747e-11,151.902,1.3137e-11,4.7625e-12,1.92994e-13,0.604082,0.707186,1.70985,inf,0.479452,3.56375e-10,5.21288e-10
350,48,49,2.14585e-13,3.7488e-13,3.749e-13,151.901,2.43589e-13,1.05032e-13,1.60292e-14,0.649744,0.664869,1.747,inf,0.547945,2.06111e-10,3.06125e-10
350,49,50,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.14492e-10,1.72472e-10
350,50,51,4.46759e-14,8.48288e-14,8.48333e-14,151.903,7.23385e-14,5.47115e-14,3.56907e-14,0.852714,0.420545,1.89876,inf,0.712329,6.09621e-11,9.30447e-11
350,51,52,4.38941e-13,8.4057e-13,8.40615e-13,151.902,7.36374e-13,5.85713e-13,4.16496e-13,0.875995,0.38193,1.915,inf,0.712329,3.10528e-11,4.79738e-11
350,52,53,1.77807e-13,3.47142e-13,3.4716e-13,151.901,3.22775e-13,2.85227e-13,2.38637e-13,0.929757,0.280546,1.95235,inf,0.794521,1.51055e-11,2.36024e-11
350,53,54,2.03833e-15,4.04635e-15,4.04656e-15,151.908,3.95739e-15,3.81238e-15,3.61675e-15,0.977963,0.15072,1.98513,inf,0.876712,7.00795e-12,1.10681e-11
350,54,55,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.09918e-12,4.9465e-12
350,55,56,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.30765e-12,2.1099e-12
350,56,57,0,0,0,0,0,0,0,nan,nan,nan,inf,1,5.28072e-13,8.62348e-13
350,57,58,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.05425e-13,3.40272e-13
350,58,59,0,0,0,0,0,0,0,nan,nan,nan,inf,1,7.78038e-14,1.31158e-13
350,59,60,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.91104e-14,5.01325e-14
350,60,61,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.09258e-14,1.92776e-14
350,61,62,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.15526e-15,7.51355e-15
350,62,63,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.60019e-15,2.95675e-15
350,63,64,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.16696e-16,1.15878e-15
350,64,65,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.33737e-16,4.44388e-16
350,65,66,0,0,0,0,0,0,0,nan,nan,nan,inf,1,8.56577e-17,1.64114e-16
350,66,67,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.99526e-17,5.76678e-17
350,67,68,0,0,0,0,0,0,0,nan,nan,nan,inf,1,9.90369e-18,1.91266e-17
350,68,69,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.07872e-18,5.95777e-18
350,69,70,0,0,0,0,0,0,0,nan,nan,nan,inf,1,8.96731e-19,1.73769e-18
350,70,71,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.44232e-19,4.73749e-19
350,71,72,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.21293e-20,1.20612e-19
350,72,73,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.47527e-20,2.86589e-20
350,73,74,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.26877e-21,6.35384e-21
350,74,75,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.7571e-22,1.31419e-21
350,75,76,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.30307e-22,2.53572e-22
350,76,77,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.34422e-23,4.56415e-23
350,77,78,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.93417e-24,7.66366e-24
350,78,79,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.15943e-25,1.20044e-24
350,79,80,0,0,0,0,0,0,0,nan,nan,nan,inf,1,8.99645e-26,1.75423e-25
350,80,81,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.22591e-26,2.39156e-26
350,81,82,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.55851e-27,3.04187e-27
350,82,83,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.84859e-28,3.60972e-28
350,83,84,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.04577e-29,3.99658e-29
350,84,85,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.11236e-30,4.12853e-30
350,85,86,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.0351e-31,3.97927e-31
350,86,87,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.82942e-32,3.57865e-32
350,87,88,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.53447e-33,3.00297e-33
350,88,89,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.20097e-34,2.35128e-34
350,89,90,0,0,0,0,0,0,0,nan,nan,nan,inf,1,8.77074e-36,1.71786e-35
366,1,2,0,0,0,0,0,0,0,nan,nan,nan,inf,1,3.32376e-24,6.23989e-24
366,2,3,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.36747e-22,2.56681e-22
366,3,4,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.55657e-21,8.54952e-21
366,4,5,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.23022e-19,2.3068e-19
366,5,6,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.69296e-18,5.04514e-18
366,6,7,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.78359e-17,8.95155e-17
