S1c,log10S2c,blob_px,n_est
428.74944633102024,4.001853137820743,65.0,3.0
451.3060168572144,4.004399857396603,23.0,1.0
533.6212412028151,4.005554918607743,24.0,1.0
569.2898272552784,4.003783824750661,18.0,1.0
512.4760076775432,4.002627192027669,6.0,1.0
245.4852578016156,3.9792215938645015,321.0,13.0
264.5002901397134,3.9907246343550162,43.0,2.0
409.98080614203457,3.9952348002763705,23.0,1.0
364.23168115614766,3.99201338586374,17.0,1.0
375.6512201809707,3.987880124809518,49.0,2.0
445.2975047984645,3.9982898193164482,1.0,1.0
497.2580202906498,3.991319041744843,28.0,1.0
124.90205873846396,3.980678897787601,73.0,3.0
229.84867302356292,3.941204659700293,2244.0,94.0
292.888909695239,3.982421382568079,41.0,2.0
467.81234656072854,3.9848540508249455,86.0,4.0
490.0511836212412,3.9871210845850547,24.0,1.0
532.6237422206713,3.9774704303025885,66.0,3.0
280.61420345489444,3.982675277556053,26.0,1.0
446.769033909149,3.976548738601454,48.0,2.0
436.7790878347501,3.9810642534061715,21.0,1.0
370.05758157389636,3.9785547734803934,12.0,1.0
423.80038387715933,3.97790416757371,12.0,1.0
135.63659628918748,3.970723406085134,27.0,1.0
407.6314779270634,3.964809639358535,200.0,8.0
147.49741621142775,3.969663159422391,26.0,1.0
162.10990260894292,3.9673498939764062,54.0,2.0
366.9865642994242,3.974868006675856,1.0,1.0
421.49712092130517,3.969663159422391,3.0,1.0
487.2772141486153,3.9652948054775186,28.0,1.0
517.3778237117969,3.9652590579002283,26.0,1.0
185.79654510556622,3.9636992719444626,24.0,1.0
286.37236084452974,3.969663159422391,1.0,1.0
388.3301343570057,3.9661238632900346,25.0,1.0
452.2072936660269,3.969663159422391,1.0,1.0
103.09021113243759,3.9593835860967976,40.0,2.0
376.30800496782206,3.954691569381542,85.0,4.0
346.8274446181091,3.932348330902144,517.0,22.0
143.6852207293666,3.9535281329366496,20.0,1.0
164.52965875292668,3.9087440601170513,837.0,35.0
441.0890737186322,3.9517353522160117,27.0,1.0
122.34816934052802,3.9436880254876465,53.0,2.0
388.1832596177918,3.9502015566485658,23.0,1.0
130.39027511196414,3.941759394980204,36.0,2.0
248.7523992322457,3.9540486176619964,1.0,1.0
480.0109679188374,3.947542558595165,28.0,1.0
485.4675075404442,3.948007277099939,28.0,1.0
517.4664107485604,3.947542558595165,26.0,1.0
164.45297504798464,3.943847117045205,25.0,1.0
313.71418970863016,3.9249042342347695,377.0,16.0
152.81381957773513,3.939995530077641,25.0,1.0
404.78101552957605,3.9402084556471006,44.0,2.0
110.33372546591539,3.9353279573793722,31.0,1.0
383.20954685804895,3.935379056861524,23.0,1.0
365.2086069299929,3.9221689282345236,76.0,3.0
375.43186180422265,3.9384340759016014,1.0,1.0
236.53820313240365,3.874664149272193,2714.0,113.0
205.7581573896353,3.9306268050214044,1.0,1.0
280.2303262955854,3.9280243813946716,1.0,1.0
130.39027511196414,3.922385796870085,6.0,1.0
460.6525911708253,3.9163134750743755,26.0,1.0
329.75047984644914,3.920217110514474,2.0,1.0
123.94966943911282,3.908795362374926,18.0,1.0
329.36660268714013,3.908506204194178,26.0,1.0
355.10810125665444,3.8981701631861183,53.0,2.0
133.58925143953934,3.907204992380812,1.0,1.0
294.04990403071014,3.907204992380812,1.0,1.0
297.9709350150809,3.9011636518187545,28.0,1.0
120.53742802303262,3.9046025687540795,1.0,1.0
285.37428023032635,3.8966218029654334,30.0,1.0
403.45489443378113,3.894750536452878,28.0,1.0
126.67946257197697,3.896795297873882,3.0,1.0
388.48368522072934,3.893433834022686,24.0,1.0
149.6106906167385,3.8764669321858207,53.0,2.0
300.5758157389635,3.8876868151803183,6.0,1.0
313.9649857500146,3.8848872382485307,33.0,1.0
319.80682310692833,3.8718624005468003,31.0,1.0
173.8887623757008,3.826592347525064,708.0,30.0
297.7789964354264,3.8650085521473643,28.0,1.0
283.6852207293666,3.8525540962194302,26.0,1.0
221.4971209213052,3.826529859952106,26.0,1.0
