variant,n,p10,p50,p90,sd,sd_1684,halfwidth_1090,sigma_eq_1090,skew,offset,nsig,nsig_1090,P_below,P_below_gauss,mean_E,sd_E
width[11] =-0.3,9889.0,3.976119668337873,4.014939838562266,4.055557975488703,0.03097262470027392,0.030776160591027946,0.03971915357541489,0.030991848919643326,0.08761032815849429,0.04795381344432803,1.5482644402398331,1.5473040530322744,0.0559207199919102,0.060779321093740984,249.07176708685554,10.732635133076975
width[11] =+0.3,8235.0,3.7057857022182,4.00177522182215,4.179499620841169,0.19518809574151524,0.1847196073234767,0.23685695931148465,0.18481348260883632,-1.942262898595321,0.03478919670421243,0.17823421337274206,0.18823949537190904,0.42829386763812993,0.42926952074643143,254.39814042633614,30.37498412454244
width[12] =-0.3,10214.0,3.9755310403175375,4.015466046610204,4.056634730696749,0.03127600690678464,0.030764872751983807,0.04055184518960586,0.0316415770830258,0.07452120163363667,0.04848002149226582,1.5500706863493225,1.5321619831102873,0.05825337771685921,0.060562275468618885,248.88880494112868,10.370924349754143
width[12] =+0.3,6022.0,3.972737002763977,4.017034955929137,4.063138942374735,0.03513462133921059,0.035500903892390356,0.04520096980537902,0.03526917119645679,0.0347373035091538,0.05004893081119954,1.4244904001667562,1.4190560513150805,0.07605446695450016,0.07715228102513146,254.79473811372594,32.56932666409016
g1 -2%,10137.0,3.9788739523331618,4.017217082369807,4.0587991724561565,0.03109646364105121,0.03099661746407567,0.03996261006149737,0.031181811845737647,0.09382164690953379,0.050231057251868716,1.6153302134831002,1.6109088689384474,0.047647232909144716,0.05311960203280082,252.94135808277102,10.79087576188478
g1 +2%,9757.0,3.9734327591107985,4.01316070643941,4.054320115347318,0.031527461156262156,0.03136188285530417,0.040443678118259774,0.03155717705856724,0.07280524718707748,0.04617468132147229,1.4645860982149153,1.463206966699724,0.06661883775750743,0.07151693855273529,245.24191844489556,10.55562881776519
g2 -3%,9751.0,3.9627195037310483,4.001602764663463,4.043182874926455,0.03152273965289856,0.03127636806858347,0.04023168559770318,0.0313917646673714,0.11820303837155766,0.034616739545525466,1.0981513639580627,1.1027331503127031,0.12665367654599527,0.1360691998556538,249.30022205580505,10.575442054404595
g2 +3%,9881.0,3.9909138249411833,4.0293350917007125,4.071300456531586,0.03135271781726541,0.030987416264604217,0.040193315795201245,0.03136182568289735,0.11095273677087776,0.062349066582774615,1.9886335515206928,1.988056027515504,0.019127618662078738,0.023370832630038325,249.07041599251994,10.547326647418426
position residual 0%,9841.0,3.9786520339709246,4.015312346440087,4.055762048283806,0.030123937826491767,0.029633060036190928,0.03855500715644067,0.030083494972253953,0.1377950826716048,0.0483263213221492,1.6042498029474017,1.6064064819170987,0.04674321715272838,0.05432950045222249,248.99651804475124,9.787232554071064
position residual 3%,9855.0,3.975297910355632,4.015661810581592,4.058824820386648,0.03266559321980933,0.032241577148528267,0.04176345501550793,0.03258696552396062,0.0845178817048589,0.04867578546365392,1.4901240316105926,1.4937194881758313,0.06331811263318113,0.06809581323232988,249.41781465685344,11.677909618361475
position residual 6%,9848.0,3.964329120263176,4.015718217371077,4.068583670357363,0.04088796560039544,0.03993884402947723,0.05212727504709336,0.04067359164099044,0.032658467304437507,0.048732192253139406,1.191846831642514,1.1981285715625758,0.11108854589764419,0.11666065448368224,250.66582911230842,16.424255789951026
extraction eff. 0.726,9949.0,3.9746062726826525,4.015143863197796,4.05822771189279,0.03238157392897246,0.03249914885909444,0.04181071960506855,0.03262384488535311,0.08467809950242454,0.048157838079858184,1.4871988058854169,1.4761545810769612,0.06050859382852548,0.06848115568186267,249.19556767410563,10.532272940608161
extraction eff. 1.0,10080.0,3.979871066330171,4.0147385868492105,4.0535885297537835,0.028858537214677113,0.02889035376567728,0.036858731711806314,0.02875993423205861,0.19456172335067853,0.047752561731272625,1.6547117886136735,1.6603849419809518,0.0371031746031746,0.04899148731687994,249.11191243128934,10.650350250728033
S2 Fano 0,9921.0,3.977531520708599,4.014565371102922,4.056033801596126,0.030273367919374763,0.030272632349423567,0.03925114044376343,0.030626670134022652,0.1674557461496194,0.047579345984984034,1.5716568474211141,1.5535265759149226,0.046668682592480595,0.05801507749677718,249.15103325937915,10.71602457768498
quanta only (perfect detector),10084.0,3.9849771264154934,4.0134902833977035,4.049702456052149,0.025359378668481137,0.025236171505071736,0.032362664818327724,0.025251767180343103,0.31617282082741716,0.046504258279765676,1.833809056905848,1.8416239127995084,0.015470051566838556,0.03334117142557452,248.6061490769042,3.0417336307766187
"binomial floor: omega=0, Fano->0, perfect",10113.0,3.9880682033926353,4.014940349792936,4.047021617404377,0.023250535586257524,0.02234661454435427,0.029476707005871017,0.022999927439037934,0.37469524320102154,0.04795432467499827,2.0625040871463702,2.0849772157804756,0.007218431721546524,0.019579884419482597,248.59375761640456,2.375760506790436
omega = 0 (full detector),10153.0,3.9781554466999376,4.015044188692329,4.054714944984383,0.03011242156300538,0.02985957664853145,0.03827974914222265,0.029868718119711805,0.0985102618164285,0.04805816357439108,1.5959581156180724,1.6089797821847327,0.046094750320102434,0.05524907246811582,249.01893526721332,10.566304004102372
k_e = 0.5 (electron fluct. halved),9771.0,3.988154811223206,4.016336762431801,4.04555870477874,0.02265247384525896,0.02240563558348385,0.02870194677776694,0.022395401668045364,0.041394133332738454,0.0493507373138633,2.1786025513585194,2.2036102788135685,0.014635144816293112,0.014680603245708286,249.2701799791139,10.693758109258477
k_e = 0 (no electron fluct.),10173.0,3.992973899769493,4.016731192021957,4.039985771108614,0.018401690987394928,0.01831259221771009,0.023505935669560607,0.01834108588448861,-0.06988771807286256,0.049745166904018756,2.703293242892404,2.712225830973789,0.004226875061437137,0.0034328073205454153,249.00660092739335,10.762849227250712
