H,median,p16,p84,p05,p95,central,weight_central,case,s
ART,0.14744491898584808,0.040791815895235346,0.41824437360959366,0.02003638163193174,0.5985299536000613,0.23139956269604875,0.0006000000000000001,ii corpus counts + handles,0.01
NU,0.016368166876083785,0.004356794225032502,0.060821388959927204,0.002460049048129289,0.10150237659763632,0.012457009791803956,3.23e-05,ii corpus counts + handles,0.01
NR,0.946250692382417,0.8663339043878943,0.9795202760332485,0.7891477585700017,0.9886169757526012,0.965791297253883,0.019844999999999998,ii corpus counts + handles,0.105
WALL,0.00017640576517544284,5.012058229922886e-05,0.0006127130520905582,2.4336314205051875e-05,0.001280825364509262,0.00033885937754107897,6.962854569536425e-06,ii corpus counts + handles,0.105
RFR,1.3291531382138023e-07,1.992279162278474e-08,9.058637860613428e-07,6.678687417934437e-09,2.686311328202614e-06,1.1857565352406125e-06,2.4364827586206897e-08,ii corpus counts + handles,0.105
ER,0.002802165146525348,0.00016408558091104793,0.044882730515349134,6.243900368324498e-05,0.11063434056563533,0.002129946123361624,4.37659574468085e-05,ii corpus counts + handles,0.105
ACC,0.0014389829113310992,0.0002642294107171225,0.008263470527210085,0.00010195071263606215,0.020599794190910202,0.0007251343073359969,1.49e-05,ii corpus counts + handles,0.105
NEU,0.0009208047769052763,0.00016124498934650604,0.005106980876269131,8.25529628786694e-05,0.00998087750099453,0.0002416025149974423,4.964428571428572e-06,ii corpus counts + handles,0.105
ART,0.021176368578952835,0.005273414431658738,0.0799185775361761,0.002627986782714791,0.1485928323758985,0.02920003922158377,0.0006000000000000001,ii corpus counts + handles,0.105
NU,0.0025095038188490478,0.0006703651397838516,0.009319820832870257,0.000402624362316457,0.015488225721326083,0.001571935444761926,3.23e-05,ii corpus counts + handles,0.105
NR,0.9940501989562074,0.9841754002067538,0.9978560061160967,0.9731403156938919,0.9987960707360963,0.9962946399860995,0.189,ii corpus counts + handles,1.0
WALL,1.981665505798922e-05,5.6526425253830705e-06,6.917285028064598e-05,2.701383782291038e-06,0.00014280160005519617,3.670399305096222e-05,6.962854569536425e-06,ii corpus counts + handles,1.0
RFR,1.5030870744474902e-08,2.258763346588074e-09,1.0216105944295073e-07,7.531496894088348e-10,3.1376539407214344e-07,1.2843675729271632e-07,2.4364827586206897e-08,ii corpus counts + handles,1.0
ER,0.00031200741174262133,1.810614894636852e-05,0.0051049228162540605,6.995474664586005e-06,0.013686563459890534,0.00023070787734452393,4.37659574468085e-05,ii corpus counts + handles,1.0
ACC,0.00016411260016704828,2.898708760858577e-05,0.0009207506453248833,1.1337061715227347e-05,0.0023781198548201723,7.854386315234328e-05,1.49e-05,ii corpus counts + handles,1.0
NEU,0.00010374693943677013,1.8230519761839915e-05,0.0005968008912685582,9.145294964344165e-06,0.0011701244879035522,2.6169489821736167e-05,4.964428571428572e-06,ii corpus counts + handles,1.0
ART,0.0023222309743945796,0.0005753843857560854,0.009213874044422903,0.0002846969781538318,0.01838358203483697,0.0031628401269399985,0.0006000000000000001,ii corpus counts + handles,1.0
NU,0.0002901003312621415,7.628855660110621e-05,0.0010734342281030265,4.4890361814929856e-05,0.0018061703336137171,0.00017026622683360322,3.23e-05,ii corpus counts + handles,1.0
NR,0.9975039686467171,0.9932884050114218,0.9990841071550446,0.988512673585803,0.9994921939492282,0.9984527556875039,0.4536,ii corpus counts + handles,2.4
WALL,8.363445692129078e-06,2.392787910922025e-06,2.9344066249968743e-05,1.1665384739689935e-06,6.11667068913989e-05,1.5326457963855757e-05,6.962854569536425e-06,ii corpus counts + handles,2.4
RFR,6.43631385936878e-09,9.560785605460712e-10,4.282455987008045e-08,3.189374196781051e-10,1.2859585917664556e-07,5.363123731326982e-08,2.4364827586206897e-08,ii corpus counts + handles,2.4
ER,0.0001295128900861081,7.624612813296339e-06,0.002174468440013757,2.8717437585582007e-06,0.005751204056116501,9.633650974000877e-05,4.37659574468085e-05,ii corpus counts + handles,2.4
ACC,6.940076430426466e-05,1.2334261108698139e-05,0.00038741289470330814,4.7888696315075215e-06,0.0010130794175523734,3.2797500131710336e-05,1.49e-05,ii corpus counts + handles,2.4
NEU,4.4243184087884926e-05,7.706790727315665e-06,0.00025078345985198985,3.82741072200862e-06,0.0004960603935019218,1.0927573605724507e-05,4.964428571428572e-06,ii corpus counts + handles,2.4
ART,0.0009835810170110055,0.00024064891331561857,0.003941515016231496,0.00012047976661725389,0.007945201882452698,0.0013207047032903492,0.0006000000000000001,ii corpus counts + handles,2.4
NU,0.00012027953013027778,3.1922006435302564e-05,0.0004566263615458568,1.8687443766301662e-05,0.0007645495035386928,7.109793652713045e-05,3.23e-05,ii corpus counts + handles,2.4
