H,median,p16,p84,p05,p95,central,weight_central,case,s
WALL,3.495302463916449e-05,1.1396841393286323e-05,0.00010599559217164498,6.478701638182546e-06,0.0001871244536329226,5.940178982932408e-05,1.1230410596026488e-05,i-b LZ counts + topological handles,1.0
RFR,1.5353099903114016e-08,2.2569678826888846e-09,1.0413782059341888e-07,7.717827097932364e-10,3.156900792452238e-07,1.2887457276189566e-07,2.4364827586206897e-08,i-b LZ counts + topological handles,1.0
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,1.0
ACC,0.00017391830516051368,3.4532710337921554e-05,0.000884450642530173,1.5672672166989926e-05,0.0019970448009039815,7.881160362650389e-05,1.49e-05,i-b LZ counts + topological handles,1.0
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,1.0
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,1.0
NU,0.0001375806279447438,9.501111808793319e-05,0.0002000602996780722,8.417588212296078e-05,0.00022627522042321046,0.00017084663068027352,3.23e-05,i-b LZ counts + topological handles,1.0
NR,0.9998339861537776,0.9995356852245725,0.9999153446012037,0.9990724415828803,0.9999390144252204,0.9998711480524428,0.4536,i-b LZ counts + topological handles,2.4
WALL,1.4691169191981799e-05,4.77145676466395e-06,4.4516995537263465e-05,2.7020713452154903e-06,7.761287174846496e-05,2.475521061673131e-05,1.1230410596026488e-05,i-b LZ counts + topological handles,2.4
RFR,6.448523719049211e-09,9.858521134895987e-10,4.269864982678862e-08,3.243595389304137e-10,1.2647428667045474e-07,5.3707425332276274e-08,2.4364827586206897e-08,i-b LZ counts + topological handles,2.4
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,2.4
ACC,7.291620530329877e-05,1.4500368571885097e-05,0.0003715069319197923,6.456789998599973e-06,0.0008291191917279745,3.284409194440343e-05,1.49e-05,i-b LZ counts + topological handles,2.4
