case,s,central,median,p16,p84
"i-a LZ counts, (S1c,d) only",1.0,0.9981283134833275,0.9985055942502183,0.9978107651449267,0.9989820951989743
"i-a LZ counts, (S1c,d) only",1.333521432163324,0.9985957757745283,0.9988789347730314,0.9983574060729165,0.9992364847053691
"i-a LZ counts, (S1c,d) only",1.7782794100389228,0.998946610429441,0.9991590838978308,0.9987677220786035,0.9994273349459318
"i-a LZ counts, (S1c,d) only",2.371373705661655,0.9992098610917931,0.9993692692304232,0.9990756370339346,0.9995705002761763
"i-a LZ counts, (S1c,d) only",3.1622776601683795,0.9994073622921014,0.9995269440239418,0.9993066652733896,0.9996778860425948
"i-a LZ counts, (S1c,d) only",4.216965034285822,0.9995555185326283,0.9996452160869462,0.9994799821286311,0.9997584291470288
"i-a LZ counts, (S1c,d) only",5.623413251903491,0.9996666488636868,0.9997339259883553,0.999609990885128,0.9998188364706266
"i-a LZ counts, (S1c,d) only",7.498942093324558,0.9997500010700312,0.9998004593606524,0.9997075058922605,0.999864140362574
"i-a LZ counts, (S1c,d) only",10.0,0.9998125155273891,0.9998503581619609,0.9997806443154934,0.9998981161826733
i-b LZ counts + topological handles,0.00031622776601683794,0.5055500427841517,0.44267521498462387,0.2228883212611652,0.608938369119415
i-b LZ counts + topological handles,0.00042169650342858224,0.5768911728514855,0.5143738688046747,0.276659993870166,0.6749533852755749
i-b LZ counts + topological handles,0.0005623413251903491,0.6451636609785788,0.5854857418898147,0.3377657017877197,0.7346799568420542
i-b LZ counts + topological handles,0.0007498942093324559,0.7079959069052393,0.6532050921042405,0.4048145886233305,0.7868969252991467
i-b LZ counts + topological handles,0.001,0.7637759250208642,0.7152418943781766,0.4756141929762601,0.8311983976452463
i-b LZ counts + topological handles,0.001333521432163324,0.8117339881168504,0.7700872388897027,0.5474077778277474,0.8678369626218551
i-b LZ counts + topological handles,0.0017782794100389228,0.8518442857227254,0.8170708669577034,0.6172815391678781,0.8975037154424703
i-b LZ counts + topological handles,0.0023713737056616554,0.8846236635495017,0.8562454988823479,0.6826222073343082,0.9211164568622154
i-b LZ counts + topological handles,0.0031622776601683794,0.9109091211793351,0.8881789361728085,0.7414793747737507,0.9396551299103605
i-b LZ counts + topological handles,0.004216965034285823,0.9316686979080635,0.9137334056649793,0.7927356866982525,0.9540542910829597
i-b LZ counts + topological handles,0.005623413251903491,0.9478678102902613,0.9338826473387729,0.8360762093834464,0.9651450506829962
i-b LZ counts + topological handles,0.007498942093324558,0.9603899142369409,0.949585305945743,0.8718193096230226,0.9736326196889619
i-b LZ counts + topological handles,0.01,0.9699994189442225,0.9617115333221613,0.900694431851829,0.9800959945482258
i-b LZ counts + topological handles,0.01333521432163324,0.9773326576883873,0.9710100883116604,0.923634651138344,0.9849994271118594
i-b LZ counts + topological handles,0.01778279410038923,0.9829049755731845,0.9781018596485203,0.9416190245611296,0.988708795702937
i-b LZ counts + topological handles,0.023713737056616554,0.9871254943935108,0.9834882791085151,0.955571728733595,0.9915088122044141
i-b LZ counts + topological handles,0.03162277660168379,0.9903142949396952,0.9875666102334926,0.9663091315355038,0.9936189560490657
i-b LZ counts + topological handles,0.042169650342858224,0.9927191082590626,0.9906471889232407,0.9745207172272397,0.9952072431582987
i-b LZ counts + topological handles,0.05623413251903491,0.9945301408684897,0.9929699364626976,0.9807706943295647,0.9964016260403291
i-b LZ counts + topological handles,0.07498942093324558,0.995892565162119,0.9947189105358902,0.9855103691671909,0.9972991695269782
i-b LZ counts + topological handles,0.1,0.9969166909373126,0.9960345038414179,0.9890947899097765,0.9979732938413759
i-b LZ counts + topological handles,0.1333521432163324,0.9976860599854808,0.9970233451664778,0.9917998806354515,0.99847941401636
i-b LZ counts + topological handles,0.1778279410038923,0.9982637849830053,0.9977661607316048,0.9938381406317193,0.9988592875547373
i-b LZ counts + topological handles,0.23713737056616552,0.9986974567995883,0.9983239204488813,0.9953721252458935,0.9991443422246573
i-b LZ counts + topological handles,0.31622776601683794,0.999022912087162,0.9987425905477122,0.9965255620033712,0.9993582098428203
i-b LZ counts + topological handles,0.4216965034285822,0.9992671083314997,0.9990567793038454,0.9973922730107051,0.9995186480131008
i-b LZ counts + topological handles,0.5623413251903491,0.9994503080229368,0.9992925173631694,0.9980432043942019,0.9996389934711876
i-b LZ counts + topological handles,0.7498942093324559,0.999587732490474,0.9994693689746632,0.9985318918055347,0.9997292588493417
i-b LZ counts + topological handles,1.0,0.9996908111012912,0.9996020300506668,0.9988986697772658,0.9997969590301914
i-b LZ counts + topological handles,1.333521432163324,0.9997681231042433,0.9997015349319088,0.9991738912925368,0.9998477330201038
i-b LZ counts + topological handles,1.7782794100389228,0.9998261067738731,0.9997761660650302,0.9993803778410274,0.9998858115248803
i-b LZ counts + topological handles,2.371373705661655,0.9998695928050543,0.9998321388310827,0.999535276912369,0.9999143682781619
i-b LZ counts + topological handles,3.1622776601683795,0.9999022052100196,0.9998741165964878,0.9996514663375974,0.9999357838923427
i-b LZ counts + topological handles,4.216965034285822,0.9999266624595248,0.9999055977924802,0.9997386138397002,0.9999518439392961
i-b LZ counts + topological handles,5.623413251903491,0.9999450035943189,0.9999292066597638,0.9998039752170296,0.9999638876139924
i-b LZ counts + topological handles,7.498942093324558,0.9999587579465645,0.9999469115441226,0.9998529949431577,0.9999729192862569
i-b LZ counts + topological handles,10.0,0.9999690725039345,0.9999601887457521,0.9998897577058733,0.9999796921920339
ii corpus counts + handles,0.00031622776601683794,0.07836403620684104,0.050242165444324825,0.018918845956597406,0.1259323664021717
ii corpus counts + handles,0.00042169650342858224,0.10183846300755309,0.06589481560383921,0.02507049572247848,0.1611644197278618
ii corpus counts + handles,0.0005623413251903491,0.13134267825193735,0.08598248318730001,0.03315481777141795,0.20395335053147598
ii corpus counts + handles,0.0007498942093324559,0.16779779368525957,0.11146305790483921,0.043729110467809834,0.25465389000967475
ii corpus counts + handles,0.001,0.21190298167955104,0.14331075366828477,0.057475449824935444,0.3130023394882362
ii corpus counts + handles,0.001333521432163324,0.26392451720846416,0.18239021830846758,0.07520315278780212,0.3779409434447583
ii corpus counts + handles,0.0017782794100389228,0.3234752578476801,0.22927427120294902,0.09783122655595128,0.4475749029343972
ii corpus counts + handles,0.0023713737056616554,0.3893552367988099,0.2840234801583639,0.12633778562885434,0.5193276616511726
ii corpus counts + handles,0.0031622776601683794,0.4595386390956234,0.34597765512632006,0.1616622847072902,0.5902919288068371
ii corpus counts + handles,0.004216965034285823,0.5313645178887099,0.4136384760571349,0.20455116507521048,0.6576851651606392
ii corpus counts + handles,0.005623413251903491,0.6019139133779235,0.484724492274873,0.2553526440331323,0.7192649806821882
ii corpus counts + handles,0.007498942093324558,0.6684691301618414,0.5564340312256582,0.3137937932536427,0.7735807575996574
ii corpus counts + handles,0.01,0.7289086224925535,0.6258666914324316,0.3788060596415516,0.8200173248715235
ii corpus counts + handles,0.01333521432163324,0.7819242797782309,0.690476593464692,0.4484844950874326,0.8586701102414879
ii corpus counts + handles,0.01778279410038923,0.827032274448005,0.7484140138094362,0.5202457479424513,0.890134055976772
ii corpus counts + handles,0.023713737056616554,0.8644276115330781,0.7986687361408683,0.5911811727379077,0.9152843386133165
ii corpus counts + handles,0.03162277660168379,0.8947668647871078,0.8410174241781485,0.658512755995705,0.935097060557564
ii corpus counts + handles,0.042169650342858224,0.918953176162436,0.8758431030041308,0.720007074958536,0.9505265792447859
ii corpus counts + handles,0.05623413251903491,0.9379660097706246,0.9039116933092086,0.7742243425109337,0.9624353588283535
ii corpus counts + handles,0.07498942093324558,0.9527479515704486,0.9261696258143717,0.8205595335598893,0.9715633267459408
ii corpus counts + handles,0.1,0.9641421945669364,0.9435934603765419,0.8591158808406224,0.9785227534224962
ii corpus counts + handles,0.1333521432163324,0.972867104901558,0.9570957869984333,0.8904932419404401,0.9838073570214303
ii corpus counts + handles,0.1778279410038923,0.979514180381936,0.9674773922760778,0.9155690995787027,0.987807854144811
ii corpus counts + handles,0.23713737056616552,0.9845586870424609,0.9754114794947026,0.9353199298161416,0.9908292157103173
ii corpus counts + handles,0.31622776601683794,0.9883757564442455,0.9814471156019621,0.9506992587122443,0.993107071889516
ii corpus counts + handles,0.4216965034285822,0.991257630460664,0.9860224409802579,0.9625681093733972,0.9948221066371643
ii corpus counts + handles,0.5623413251903491,0.9934297818112281,0.9894815382719866,0.9716647694549726,0.9961120928287934
ii corpus counts + handles,0.7498942093324559,0.9950649218609373,0.9920914612432481,0.9785999164694221,0.9970816431504258
ii corpus counts + handles,1.0,0.9962946399860996,0.9940576788410902,0.9838658466971244,0.9978099425793224
ii corpus counts + handles,1.333521432163324,0.9972187945500062,0.995537255201759,0.9878520719976882,0.9983567885595642
ii corpus counts + handles,1.7782794100389228,0.9979129383872358,0.9966496740238693,0.9908625772041445,0.9987672586281315
ii corpus counts + handles,2.371373705661655,0.9984341072076479,0.9974855029637175,0.9931322044303618,0.9990752892807471
ii corpus counts + handles,3.1622776601683795,0.9988252859989334,0.9981132066471279,0.9948410184154393,0.9993064043746457
ii corpus counts + handles,4.216965034285822,0.9991188298827536,0.9985844365890117,0.9961263113974694,0.9994797864142905
ii corpus counts + handles,5.623413251903491,0.9993390699720809,0.9989381012398764,0.9970923263010101,0.9996098440818862
ii corpus counts + handles,7.498942093324558,0.9995042904572989,0.9992034767226352,0.9978179654982048,0.9997073957838759
ii corpus counts + handles,10.0,0.9996282241917172,0.9994025727901936,0.9983628114841523,0.9997805617337691
