logS2c,counts_per_2Dbin_UDTnorm
2.9579,4.0718e-05
2.9565,3.9259e-05
2.9551,3.9259e-05
2.9536,3.9259e-05
2.9522,3.9259e-05
2.9508,3.9259e-05
2.9494,3.9259e-05
2.9479,3.9259e-05
2.9465,3.9259e-05
2.9451,3.9259e-05
2.9437,3.9259e-05
2.9422,3.9259e-05
2.9408,3.9259e-05
2.9394,3.9259e-05
2.9379,3.9259e-05
2.9365,3.9259e-05
2.9351,3.9259e-05
2.9337,3.9259e-05
2.9322,3.9259e-05
2.9308,3.9259e-05
2.9294,3.9259e-05
2.9280,3.6495e-05
2.9265,3.6495e-05
2.9251,3.6495e-05
2.9237,3.6495e-05
2.9223,3.6495e-05
2.9208,3.6495e-05
2.9194,3.6495e-05
2.9180,3.6495e-05
2.9165,3.6495e-05
2.9151,3.6495e-05
2.9137,3.6495e-05
2.9123,3.6495e-05
2.9108,3.6495e-05
2.9094,3.6495e-05
2.9080,3.6495e-05
2.9066,3.6495e-05
2.9051,3.6495e-05
2.9037,3.6495e-05
2.9023,3.6495e-05
2.9009,3.6495e-05
2.8994,3.6495e-05
2.8980,3.5187e-05
2.8966,3.3926e-05
2.8951,3.2710e-05
2.8937,3.3926e-05
2.8923,3.2710e-05
2.8909,3.3926e-05
2.8894,3.2710e-05
2.8880,3.3926e-05
2.8866,3.2710e-05
2.8852,3.3926e-05
2.8837,3.2710e-05
2.8823,3.3926e-05
2.8809,3.2710e-05
2.8795,3.3926e-05
2.8780,3.2710e-05
2.8766,3.3926e-05
2.8752,3.2710e-05
2.8738,3.3926e-05
2.8723,3.2710e-05
2.8709,3.3926e-05
2.8695,3.2710e-05
2.8680,3.1538e-05
2.8666,3.0408e-05
2.8652,3.1538e-05
2.8638,3.0408e-05
2.8623,3.1538e-05
2.8609,3.0408e-05
2.8595,3.1538e-05
2.8581,3.0408e-05
2.8566,3.1538e-05
2.8552,3.0408e-05
2.8538,3.1538e-05
2.8524,3.0408e-05
2.8509,3.1538e-05
2.8495,3.0408e-05
2.8481,3.1538e-05
2.8466,3.0408e-05
2.8452,3.1538e-05
2.8438,3.0408e-05
2.8424,3.1538e-05
2.8409,3.0408e-05
2.8395,3.1538e-05
2.8381,3.0408e-05
2.8367,2.9318e-05
2.8352,2.9318e-05
2.8338,2.9318e-05
2.8324,2.9318e-05
2.8310,2.9318e-05
2.8295,2.9318e-05
2.8281,2.9318e-05
2.8267,2.9318e-05
2.8252,2.9318e-05
