z,r_min47,r_max47,r_mean47,r_wall_reco,r_min54,r_max54
58.0,61.23401299495295,63.25949254078428,62.246752767868614,69.04208831533938,63.52310415651898,65.55052227011842
58.25,61.24478991378984,63.273296595750665,62.25904325477025,69.04369166651439,63.532139930511626,65.56256588914225
58.5,61.25551495092879,63.28710065071704,62.27130780082292,69.0452950176894,63.54117570450426,65.57335636314242
58.75,61.265754869744455,63.30010424784236,62.28292955879341,69.0468983688644,63.550211478496905,65.5841468371426
59.0,61.27599478856012,63.31243060407263,62.29421269631638,69.04858634628745,63.55924725248955,65.59493731114277
59.25,61.28623470737578,63.324756960302906,62.305495833839345,69.05031290182423,63.56828302648219,65.60572778514295
59.5,61.29647462619144,63.337083316533175,62.31677897136231,69.05203945736102,63.577318800474835,65.61651825914312
59.75,61.306714545007104,63.34940967276344,62.32806210888528,69.0537660128978,63.58592503474677,65.62730873314328
60.0,61.31695446382277,63.36173602899371,62.33934524640824,69.05549256843459,63.59430717953801,65.63809920714345
60.25,61.32719438263843,63.37406238522398,62.35062838393121,69.05721912397138,63.60268932432925,65.64888968114363
60.5,61.337434301454095,63.386388741454255,62.361911521454175,69.05904172658717,63.61107146912049,65.6596801551438
60.75,61.34767422026975,63.39871509768452,62.37319465897714,69.0608877398668,63.61945361391173,65.67047062914398
61.0,61.357914139085416,63.41104145391479,62.38447779650011,69.06273375314643,63.627835758702965,65.68126110314415
61.25,61.36815405790108,63.42336781014506,62.39576093402307,69.06457976642606,63.636217903494206,65.69205157714433
61.5,61.378393976716744,63.43569416637533,62.40704407154604,69.0664257797057,63.64460004828544,65.7028420511445
61.75,61.38863389553241,63.4480205226056,62.418327209069005,69.06827179298533,63.65298219307668,65.71363252514467
62.0,61.39887381434807,63.46034687883587,62.42961034659197,69.07022291337407,63.66136433786792,65.72442299914485
62.25,61.40911373316373,63.47267323506614,62.44089348411494,69.07218302465608,63.66974648265916,65.73503766396719
62.5,61.41935365197939,63.48499959129641,62.4521766216379,69.07414313593809,63.6781286274504,65.74427902456533
62.75,61.429593570795056,63.497325947526676,62.46345975916087,69.0761032472201,63.68651077224163,65.75352038516347
63.0,61.43983348961072,63.509127565238394,62.47448052742456,69.0780633585021,63.694892917032874,65.7627617457616
63.25,61.450073408426384,63.51990523866409,62.484989323545236,69.08002764290976,63.703275061824115,65.77200310635973
63.5,61.46031332724205,63.53068291208979,62.49549811966592,69.0820965002771,63.71165720661535,65.78124446695787
63.75,61.470553246057705,63.54146058551549,62.5060069157866,69.08416535764444,63.72003935140659,65.790485827556
64.0,61.48079316487337,63.55223825894119,62.516515711907275,69.08623421501179,63.728421496197825,65.79972718815414
64.25,61.49103308368903,63.56301593236688,62.52702450802796,69.08830307237913,63.736803640989066,65.80896854875228
64.5,61.501273002504696,63.57379360579258,62.53753330414864,69.09037192974648,63.7451857857803,65.8182099093504
64.75,61.51151292132036,63.58457127921828,62.54804210026932,69.09245621138012,63.75356793057154,65.82745126994854
65.0,61.52175284013602,63.595348952643974,62.558550896389995,69.09462422851352,63.76195007536278,65.83669263054668
65.25,61.53199275895168,63.606126626069674,62.56905969251068,69.09679224564691,63.77033222015402,65.8459339911448
65.5,61.542232677767345,63.616904299495374,62.57956848863136,69.09896026278031,63.77871436494526,65.85517535174294
65.75,61.55247259658301,63.627681972921074,62.59007728475204,69.10112827991371,63.78709650973649,65.86441671234108
66.0,61.56271251539867,63.63845964634677,62.600586080872716,69.10329629704711,63.795478654527734,65.87365807293921
66.25,61.572952434214336,63.64923731977247,62.611094876993405,69.1054888885856,63.803860799318976,65.88201239136495
66.5,61.58319235302999,63.66001499319817,62.62160367311408,69.10774701284087,63.81224294411021,65.88971219181923
66.75,61.59254495915735,63.67079266662387,62.63166881289061,69.11000513709615,63.82062508890145,65.89741199227352
67.0,61.60181048038672,63.68116991577567,62.64149019808119,69.11226326135143,63.82824227653676,65.90511179272781
67.25,61.611076001616084,63.69031875843195,62.65069738002401,69.11452138560671,63.83566912905639,65.9128115931821
67.5,61.62034152284545,63.69946760108823,62.65990456196684,69.11677950986198,63.84309598157603,65.92051139363639
67.75,61.629607044074824,63.70861644374452,62.66911174390967,69.11906882637834,63.850522834095656,65.92821119409068
68.0,61.63887256530419,63.7177652864008,62.678318925852494,69.12140695150212,63.857949686615285,65.93591099454497
68.25,61.64813808653356,63.72691412905708,62.68752610779532,69.12374507662591,63.86537653913492,65.94361079499926
68.5,61.65740360776293,63.73606297171336,62.69673328973815,69.1260832017497,63.87280339165455,65.95131059545355
68.75,61.6666691289923,63.74521181436964,62.70594047168097,69.12842132687348,63.88023024417418,65.95901039590784
69.0,61.67593465022166,63.75436065702592,62.71514765362379,69.13075945199726,63.887657096693815,65.96671019636213
69.25,61.68520017145103,63.7635094996822,62.724354835566615,69.13313221719254,63.89508394921344,65.97440999681642
69.5,61.6944656926804,63.77265834233848,62.73356201750944,69.13553865599505,63.90251080173307,65.98210979727071
69.75,61.70373121390977,63.78180718499476,62.74276919945227,69.13794509479756,63.90993765425271,65.989809597725
70.0,61.712996735139136,63.79095602765104,62.75197638139509,69.14035153360007,63.91736450677234,65.99745086287177
70.25,61.72226225636851,63.80010487030732,62.761183563337916,69.14275797240259,63.924791359291966,66.00358331609364
70.5,61.731527777597876,63.80925371296361,62.77039074528074,69.1451644112051,63.9322182118116,66.00971576931549
70.75,61.74079329882724,63.817952266792325,62.77937278280979,69.14760586710244,63.93964506433123,66.01584822253736
71.0,61.75005882005661,63.82538693455488,62.78772287730574,69.15006840071248,63.94707191685086,66.02198067575921
71.25,61.75932434128598,63.83282160231743,62.796072971801706,69.15253093432253,63.954498769370495,66.02811312898108
71.5,61.76858986251535,63.84025627007998,62.804423066297666,69.15499346793257,63.961925621890124,66.03424558220293
71.75,61.776600828968846,63.847690937842536,62.81214588340569,69.15745600154261,63.96935247440975,66.0403780354248
72.0,61.78452185170664,63.85512560560509,62.81982372865586,69.15991853515266,63.97677932692939,66.04651048864665
72.25,61.79244287444444,63.86256027336764,62.82750157390604,69.16241441367288,63.98401638377619,66.05264294186851
72.5,61.80036389718224,63.869994941130194,62.83517941915622,69.16492192306929,63.99024534233738,66.05877539509036
