sample,r2,r,z,d_true_wall,d_reco_wall,d_edge47_mean
science,1150.0805610057798,33.91283770205289,89.73506180171276,38.88716229794711,35.425389384462825,29.17757371193388
science,1313.6056370261615,36.2436978939258,15.31618958071752,36.5563021060742,32.14948647987357,21.9822839532306
science,1749.9579472040698,41.83249869663621,61.0201694369763,30.96750130336379,27.230383988704233,20.55288939798855
science,2410.4086811709267,49.09591308012233,71.80246985455446,23.704086919877668,20.0620597565417,13.717844224977632
science,785.9151075810198,28.03417749071693,32.887944946161,44.76582250928307,40.8853920650041,32.582509351078215
science,1061.2233953827454,32.57642391949653,43.598105531729885,40.22357608050347,36.40213097218025,28.859982060469562
science,574.0824956430754,23.960018690374085,94.09127633817195,48.83998130962591,45.41958736046507,39.096744710192624
science,934.3620016222455,30.56733553357645,59.03072903165125,42.23266446642354,38.48146303422995,31.7282640423002
science,1711.3468256046065,41.36842788413171,64.46628607099322,31.431572115868285,27.721665048373147,21.167688248791485
science,206.7959527032009,14.380401687825028,21.73799575844987,58.41959831217497,54.317214939425995,44.973621349655474
science,707.1798273308261,26.592852937036035,48.09458178437984,46.20714706296396,42.401123301322635,35.14218676815293
science,3107.5345035513847,55.745264404713204,53.43010239303186,17.054735595286793,13.27109161162192,6.2750794584432725
science,1860.7144975455337,43.13600001791466,42.86435234926097,29.663999982085336,25.840037835412225,18.247861520629336
science,1202.1339423675988,34.671803275393664,96.87841026509533,38.12819672460633,34.73458507719639,28.340900732544775
science,3267.8878079962615,57.16544242806366,22.359508157299132,15.634557571936334,11.552947034567488,2.2813850318246907
science,1585.8141411470767,39.82228196810269,122.9171661476237,32.977718031897304,30.161005896254117,23.254650469631656
science,722.6562562431122,26.88226657562774,30.894362259117713,45.91773342437226,42.01593789438161,33.558528829527376
science,1475.5586007274321,38.413000412977794,90.57606278051695,34.3869995870222,30.933242839989177,24.67359346937684
science,3893.7744528292124,62.40011580781892,120.33951519441959,10.399884192181077,7.464423791058209,0.5267812241955596
science,208.08678496740765,14.425213515487654,51.43650007432167,58.37478648451234,54.58189639768567,47.49138696247449
science,2457.532882442818,49.57350988625697,32.247128074849186,23.226490113743026,19.339877102232293,10.987499277743503
science,2470.9562036857924,49.70871355895053,120.21741931401056,23.09128644104947,20.15096403751641,13.212809526206392
science,2582.8516477155154,50.82176352425716,52.476592331160205,21.97823647574284,18.19005330750762,11.148961435115432
science,1282.9248052072505,35.81793971192719,98.96218573784489,36.98206028807281,33.609242087198446,27.158614433336346
science,3464.624160277459,58.861058096822035,83.26735678674227,13.938941903177962,10.41368605584023,4.206141144534044
science,3871.757132785543,62.22344520183323,79.50215358264145,10.576554798166768,7.012978824437823,0.7894337527587183
science,560.6544397702555,23.678142658795167,73.85156435173334,49.12185734120483,45.50037696070699,39.1985451681141
science,588.2935947291858,24.254764371751495,16.292603253985448,48.545235628248506,44.19774719887417,34.16557317792457
science,1995.0977116571983,44.666516672527734,59.00993255250343,28.133483327472263,24.382138270173783,17.628144305212047
science,1372.3671280370838,37.04547378610623,125.89159926465683,35.75452621389377,33.10738893615036,26.294186592981738
science,1274.5393453302001,35.700691104377796,128.98949920683827,37.0993088956222,34.6739866348793,28.038806944028742
science,2006.5598200919505,44.794640528660906,90.27613671733829,28.00535947133909,24.548743919969198,18.29343691498994
