z_centre,map_wall12_equal,map_wall12_wall,map_wall12_top,map_wall12_bottom,map_wall12_bulk214Pb,map_rfr12_equal,map_rfr12_bottom,map_wall_roi_equal,uniform,neutron_surf_l14.2,rfr_pb214_E2_l2.7
51.0,0.00020842261634945717,0.0010239377600777784,2.790812983834319e-07,0.000297203397430734,0.003942009797065301,0.0002692045981485379,0.00027236616222103247,0.0002606040217107338,0.008377474209751103,0.006905270706445973,3.077285315456133e-08
55.0,0.00020295272674955935,0.0011504028096903955,5.986501422459408e-07,0.00021320606919777576,0.003486622156129261,0.0001726555066439169,0.0001663379227866675,0.0002402703262524241,0.00843442223046402,0.007007827146963214,6.568066479584634e-09
59.0,0.00019776276782021405,0.0012217479081308626,1.0178029819186944e-06,0.00016131112918433703,0.007171865229418045,8.826533789908447e-05,7.931910831267501e-05,0.00021151104580691368,0.0084861124340712,0.007115163354950157,1.4074687526567219e-09
63.0,0.0001961981710473197,0.0012802427761206868,1.426130247807442e-06,9.53798161431405e-05,0.015174724579199597,4.331393801755315e-05,4.332408016773172e-05,0.00016777973329881995,0.008535226219812201,0.00722615950372709,3.0274399653864413e-10
67.0,0.00021415957238209477,0.001409322790154976,3.1920152233682924e-06,3.879054222910628e-05,0.002388571301173558,3.066054230203795e-05,3.1219213351953645e-05,0.00026913733867905834,0.008576252065596332,0.007322934387658803,6.53196108313425e-11
71.0,0.00024161220270916729,0.0016081349019495218,6.930070947713309e-06,2.8298978871271687e-05,0.009528752258274055,2.0048987508193112e-05,1.985802820941326e-05,0.00016381381662614858,0.008625619556323728,0.0074429350425632744,1.4146711579955243e-11
75.0,0.0002586871274535822,0.0017114548840704462,1.3886735693768738e-05,1.9195670628552272e-05,0.014725512434155347,1.2198548086837333e-05,1.1624096998034802e-05,0.00017984725656408537,0.008658636198184359,0.007524641714704662,3.0623836799750077e-12
79.0,0.0002716607933572699,0.0017639353786562026,2.4401605958276163e-05,8.493008178413653e-06,0.014264117448508636,6.287854136788269e-06,5.6677205521428995e-06,0.0002879965393780417,0.008680647292755176,0.007579643150158591,6.649680805992825e-13
83.0,0.00031907925739981403,0.0020379617165619743,3.8385827785922313e-05,7.857922081342619e-06,0.003844271719870209,3.2328510856983104e-06,2.971417119400868e-06,0.0002640169616259818,0.008680647292755176,0.007582021614640565,1.4416245974758635e-13
87.0,0.00029396438594521136,0.001674471709647195,8.820194441731171e-05,3.0509581883368434e-06,0.008755941709060185,2.8065848592827787e-06,2.45727466569131e-06,0.0002705448324056777,0.008680647292755176,0.007588762664065974,2.3703261575748698e-14
91.0,0.00036607483729471986,0.00184872958574071,0.00017112810647657438,1.183601862581081e-06,0.004975174700682409,2.071220045897823e-06,1.725800395395436e-06,0.0005464012134136896,0.008680647292755176,0.007604285040066897,0.0
95.0,0.00048070190196038083,0.0020768327985460195,0.0003153607467442713,5.787269573559532e-07,0.019466336768305392,1.5648110282891432e-06,1.172490337446619e-06,0.000841328309430983,0.0086806472927542,0.0076360170349665255,0.0
99.0,0.0006719378363395335,0.002351763817269092,0.0005831222153326785,6.76519900482699e-07,0.03872557603397352,1.3475974201238629e-06,8.647606170845231e-07,0.00111753585086147,0.008680647292747569,0.007696081033430602,0.0
103.0,0.0010895574427394368,0.002838907067601873,0.0011970098872712905,2.645201537117973e-07,0.004884292782210014,1.268151742920324e-06,7.336767530973901e-07,0.0013906585384530499,0.008658636198176093,0.007749355622232028,0.0
107.0,0.0019278277327582757,0.00368249158543559,0.002464065974003395,6.280183996846512e-08,0.0020953522774473524,1.2216791113944832e-06,7.972931592392693e-07,0.0014578608453998088,0.008625619556318877,0.007853388519692422,0.0
111.0,0.004083302527870465,0.0068428669930785425,0.00546617844181009,6.13045158421662e-08,0.008347700857458175,1.083418161489875e-06,6.570979352294887e-07,0.002889288468171603,0.008625619556318877,0.008163941899995857,0.0
115.0,0.007815905427005413,0.011490348082440297,0.010877807369578696,5.097043256062329e-08,0.007755627095963855,1.0895581581246487e-06,6.595377396549919e-07,0.00633822107969061,0.008625619556318877,0.008670815787120551,0.0
119.0,0.01536705751710698,0.019670290584165095,0.02214098468808386,1.6743727559065052e-08,0.0020716460857810137,1.197052939933653e-06,7.77861202209277e-07,0.013539973408396458,0.008642127877247486,0.009522892010095877,0.0
123.0,0.03598240243145495,0.040950650996823136,0.05316188112409256,1.0501817586490236e-09,0.00482037796346757,1.135483382778318e-06,7.471707642186411e-07,0.03171808526114716,0.008705488510170382,0.010957958356406613,0.0
127.0,0.10482214536509721,0.1248158844121891,0.15344393664138228,1.0029903338921164e-08,0.03370084664343831,9.73892580849753e-07,5.865955547348808e-07,0.10158270788816152,0.008810706091414907,0.013209972824771422,0.0
