exposure_tyr,window,hypothesis,mean,P0,P1,Pge2,Pge1
5.6,200-270 keV,DM corpus posterior (Gamma-Poisson),0.7591549295774648,0.6204817919774375,0.19810297246516625,0.18141523555739614,0.37951820802256253
5.6,200-270 keV,modelled background (P016),0.001123943661971831,0.9988766877261355,0.0011226811222612057,6.311516033562985e-07,0.0011233122738645296
5.6,200-270 keV,corpus-revised background (P093),0.0018535211267605633,0.9981481955827068,0.001850088768150482,1.7156491426378237e-06,0.001851804417293157
5.6,200-270 keV,"steady unknown (Exp(1) rate, P081)",1.971830985915493,0.33649289099526064,0.22326542530491228,0.440241683699827,0.6635071090047393
5.6,200-270 keV,plug-in best fit L10 (P069 ROI-anchored),0.6776,0.5078343333721513,0.3441085442929697,0.14805712233487905,0.49216566662784866
5.6,200-270 keV,plug-in best fit d300 (P069 ROI-anchored),0.3528,0.7027177228683976,0.2479188126279707,0.04936346450363169,0.2972822771316024
5.6,200-270 keV,plug-in best fit d350 (P069 ROI-anchored),0.9967999999999999,0.36905854093665036,0.36787755360565305,0.26306390545769665,0.6309414590633496
5.6,200-270 keV,plug-in best fit d366 (P069 ROI-anchored),1.5344,0.21558500337422587,0.3307936291774122,0.45362136744836196,0.7844149966257741
5.6,200-270 keV,plug-in best fit d380 (P069 ROI-anchored),1.5568,0.21080958367383357,0.3281883598634241,0.4610020564627424,0.7891904163261665
5.6,200-270 keV,"plug-in, one band event per 2.84 t.yr (P020/P079 anchoring)",1.971830985915493,0.1392017462981062,0.27448231664415307,0.5863159370577405,0.8607982537018938
5.6,270-420 keV (1000 phd),modelled background (P038 MSSI),0.00552112676056338,0.9944940866485259,0.005490727915017213,1.5185436456886211e-05,0.005505913351474101
5.6,55-200 keV,modelled background (P081/P016),0.23661971830985915,0.7892913840150135,0.18676190495003137,0.023946711034955152,0.21070861598498647
5.6,200-400 keV (1000 phd),plug-in best fit L10 (P069/P050),1.232,0.2917085767211244,0.35938496652042523,0.3489064567584503,0.7082914232788756
5.6,200-400 keV (1000 phd),plug-in best fit d300 (P069/P050),0.6272,0.5340851477595171,0.33497820467476913,0.13093664756571383,0.4659148522404829
5.6,200-400 keV (1000 phd),plug-in best fit d350 (P069/P050),2.8895999999999997,0.055598447543217556,0.16065727402088142,0.783744278435901,0.9444015524567825
5.6,200-400 keV (1000 phd),plug-in best fit d366 (P069/P050),9.127999999999998,0.00010858253314524366,0.0009911413625497839,0.998900276104305,0.9998914174668547
5.6,200-400 keV (1000 phd),plug-in best fit d380 (P069/P050),58.8,2.907263956735351e-26,1.7094712065603863e-24,1.0,1.0
6.76,200-270 keV,DM corpus posterior (Gamma-Poisson),0.9164084507042254,0.5829134104876476,0.20058410131011561,0.2165024882022367,0.41708658951235245
6.76,200-270 keV,modelled background (P016),0.0013567605633802817,0.9986441594201201,0.00135492101235127,9.195675286547066e-07,0.001355840579879919
6.76,200-270 keV,corpus-revised background (P093),0.0022374647887323943,0.9977650364697677,0.0022324641365293984,2.4993937029737097e-06,0.0022349635302323367
6.76,200-270 keV,"steady unknown (Exp(1) rate, P081)",2.380281690140845,0.29583333333333334,0.20831597222222223,0.4958506944444444,0.7041666666666666
6.76,200-270 keV,plug-in best fit L10 (P069 ROI-anchored),0.8179599999999999,0.44133105215488233,0.3609911474206075,0.19767780042451025,0.5586689478451177
6.76,200-270 keV,plug-in best fit d300 (P069 ROI-anchored),0.42588,0.6531947207843558,0.27818256768764144,0.0686227115280027,0.3468052792156442
6.76,200-270 keV,plug-in best fit d350 (P069 ROI-anchored),1.20328,0.3002079133110854,0.3612341779289628,0.3385579087599518,0.6997920866889147
6.76,200-270 keV,plug-in best fit d366 (P069 ROI-anchored),1.85224,0.15688534924331027,0.29058931928242904,0.5525253314742606,0.8431146507566898
6.76,200-270 keV,plug-in best fit d380 (P069 ROI-anchored),1.87928,0.15270001019387827,0.28696607515715156,0.56033391464897,0.8472999898061218
6.76,200-270 keV,"plug-in, one band event per 2.84 t.yr (P020/P079 anchoring)",2.380281690140845,0.09252451059669775,0.22023439846256224,0.68724109094074,0.9074754894033022
6.76,270-420 keV (1000 phd),modelled background (P038 MSSI),0.006664788732394366,0.9933573717131358,0.006620517018234589,2.21112686296171e-05,0.006642628286864238
6.76,55-200 keV,modelled background (P081/P016),0.28563380281690137,0.7515377765790624,0.21466459308483637,0.033797630336101274,0.2484622234209376
6.76,200-400 keV (1000 phd),plug-in best fit L10 (P069/P050),1.4871999999999999,0.22600458326089984,0.3361140162256102,0.4378814005134899,0.7739954167391001
6.76,200-400 keV (1000 phd),plug-in best fit d300 (P069/P050),0.75712,0.4690152476891712,0.3551008243304253,0.17588392798040353,0.5309847523108289
6.76,200-400 keV (1000 phd),plug-in best fit d350 (P069/P050),3.48816,0.030557045439571058,0.10658786362049419,0.8628550909399347,0.969442954560429
6.76,200-400 keV (1000 phd),plug-in best fit d366 (P069/P050),11.018799999999999,1.6390641930338506e-05,0.0001806052053020139,0.9998030041527677,0.9999836093580696
6.76,200-400 keV (1000 phd),plug-in best fit d380 (P069/P050),70.98,1.4920304088123745e-31,1.0590431841750235e-29,1.0,1.0
10.0,200-270 keV,DM corpus posterior (Gamma-Poisson),1.3556338028169015,0.5045984925016983,0.19768596048107623,0.29771554701722536,0.4954015074983017
10.0,200-270 keV,modelled background (P016),0.002007042253521127,0.9979949705089909,0.0020030180746131157,2.0114163959587657e-06,0.0020050294910091138
10.0,200-270 keV,corpus-revised background (P093),0.0033098591549295775,0.9966956123905368,0.0032989220973489598,5.4655121141794195e-06,0.0033043876094631663
10.0,200-270 keV,"steady unknown (Exp(1) rate, P081)",3.5211267605633805,0.22118380062305298,0.17226152696499455,0.6065546724119525,0.7788161993769471
10.0,200-270 keV,plug-in best fit L10 (P069 ROI-anchored),1.21,0.2981972794298874,0.3608187081101637,0.34098401245994886,0.7018027205701126
10.0,200-270 keV,plug-in best fit d300 (P069 ROI-anchored),0.63,0.5325918010068972,0.33553283463434525,0.13187536435875757,0.4674081989931028
10.0,200-270 keV,plug-in best fit d350 (P069 ROI-anchored),1.7799999999999998,0.16863814726859555,0.3001759021381,0.5311859505933045,0.8313618527314044
10.0,200-270 keV,plug-in best fit d366 (P069 ROI-anchored),2.74,0.06457034689316847,0.17692275048728162,0.7585069026195499,0.9354296531068316
10.0,200-270 keV,plug-in best fit d380 (P069 ROI-anchored),2.7800000000000002,0.06203850737735829,0.17246705050905606,0.7654944421135857,0.9379614926226417
10.0,200-270 keV,"plug-in, one band event per 2.84 t.yr (P020/P079 anchoring)",3.5211267605633805,0.029566102474155437,0.10410599462730788,0.8663279028985367,0.9704338975258445
10.0,270-420 keV (1000 phd),modelled background (P038 MSSI),0.009859154929577466,0.9901892872081599,0.009762429592193127,4.828319964700599e-05,0.009810712791840093
10.0,55-200 keV,modelled background (P081/P016),0.4225352112676056,0.6553831770481215,0.27692246917526264,0.06769435377661587,0.34461682295187845
10.0,200-400 keV (1000 phd),plug-in best fit L10 (P069/P050),2.2,0.11080315836233387,0.24376694839713453,0.6454298932405317,0.8891968416376661
10.0,200-400 keV (1000 phd),plug-in best fit d300 (P069/P050),1.12,0.32627979462303947,0.36543336997780423,0.30828683539915636,0.6737202053769605
10.0,200-400 keV (1000 phd),plug-in best fit d350 (P069/P050),5.16,0.005741699685654202,0.029627170377975683,0.9646311299363701,0.9942583003143458
10.0,200-400 keV (1000 phd),plug-in best fit d366 (P069/P050),16.299999999999997,8.336810789962802e-08,1.3589001587639364e-06,0.9999985577317333,0.9999999166318921
10.0,200-400 keV (1000 phd),plug-in best fit d380 (P069/P050),105.0,2.506567475899953e-46,2.631895849694951e-44,1.0,1.0
