b,k_exposure,pi_DM,pi_U,L_U,mu_U,n_new,P_DM,P_U,P_known
0.0002,1.0,0.01,0.01,0.1,0.10536051565782628,0,0.19221602384793865,0.6571468617806909,0.1506371143713704
0.0002,1.0,0.01,0.01,0.1,0.10536051565782628,1,0.7347287844178307,0.26515605612930754,0.00011515945286166119
0.0002,1.0,0.01,0.01,0.1,0.10536051565782628,2,0.9752318167382127,0.02476816288102949,2.0380757879394517e-08
0.0002,1.0,0.01,0.01,0.1,0.10536051565782628,3,0.9986613050349818,0.0013386949629311273,2.087068274940878e-12
0.0002,2.0,0.01,0.0,0.1,0.10536051565782628,0,0.35959174872354716,0.0,0.640408251276453
0.0002,2.0,0.01,0.0,0.1,0.10536051565782628,1,0.9994660059657262,0.0,0.0005339940342738228
0.0002,2.0,0.01,0.0,0.1,0.10536051565782628,2,0.9999998931441441,0.0,1.0685585587335586e-07
0.0002,2.0,0.01,0.0,0.1,0.10536051565782628,3,0.9999999999839717,0.0,1.602838014406716e-11
0.0002,2.0,0.05,0.0,0.1,0.10536051565782628,0,0.745270370921541,0.0,0.25472962907845886
0.0002,2.0,0.05,0.0,0.1,0.10536051565782628,1,0.9998974720545848,0.0,0.0001025279454151361
0.0002,2.0,0.05,0.0,0.1,0.10536051565782628,2,0.9999999794923087,0.0,2.050769128184963e-08
0.0002,2.0,0.05,0.0,0.1,0.10536051565782628,3,0.9999999999969239,0.0,3.076153765062833e-12
0.0002,2.0,0.01,0.1,0.1,0.10536051565782628,0,0.01392413170456136,0.9637827851545513,0.022293083140887432
0.0002,2.0,0.01,0.1,0.1,0.10536051565782628,1,0.08360988695061075,0.916349954240233,4.015880915619179e-05
0.0002,2.0,0.01,0.1,0.1,0.10536051565782628,2,0.46362294759596223,0.5363770078673301,4.4536707700852616e-08
0.0002,2.0,0.01,0.1,0.1,0.10536051565782628,3,0.9160913418569216,0.0839086581298781,1.3200282468731253e-11
0.0002,2.0,0.05,0.1,0.1,0.10536051565782628,0,0.0660102546747485,0.9138027196101489,0.020187025715102537
0.0002,2.0,0.05,0.1,0.1,0.10536051565782628,1,0.3132775859896951,0.6866936723780626,2.8741632242308527e-05
0.0002,2.0,0.05,0.1,0.1,0.10536051565782628,2,0.8120936789569877,0.18790630614191572,1.4901096611895191e-08
0.0002,2.0,0.05,0.1,0.1,0.10536051565782628,3,0.9820107020928401,0.017989297904457018,2.702835295575318e-12
0.0002,2.0,0.01,0.01,0.1,0.10536051565782628,0,0.10325656050777514,0.7147080879668968,0.1820353515253282
0.0002,2.0,0.01,0.01,0.1,0.10536051565782628,1,0.4769828010268,0.5227649310810288,0.00025226789217121427
0.0002,2.0,0.01,0.01,0.1,0.10536051565782628,2,0.8963042232004774,0.10369568199158541,9.480793719657175e-08
0.0002,2.0,0.01,0.01,0.1,0.10536051565782628,3,0.9909237130171064,0.009076286967171011,1.572246861306869e-11
0.001,1.0,0.01,0.0,0.1,0.10536051565782628,0,0.2019346967861893,0.0,0.7980653032138108
0.001,1.0,0.01,0.0,0.1,0.10536051565782628,1,0.9960634678114183,0.0,0.0039365321885817366
0.001,1.0,0.01,0.0,0.1,0.10536051565782628,2,0.9999973652732388,0.0,2.634726761159326e-06
0.001,1.0,0.01,0.0,0.1,0.10536051565782628,3,0.999999998682615,0.0,1.317384923080097e-09
0.001,1.0,0.05,0.0,0.1,0.10536051565782628,0,0.568671953080886,0.0,0.43132804691911386
0.001,1.0,0.05,0.0,0.1,0.10536051565782628,1,0.9992420929938474,0.0,0.0007579070061525927
0.001,1.0,0.05,0.0,0.1,0.10536051565782628,2,0.9999994943442926,0.0,5.05655707507042e-07
0.001,1.0,0.05,0.0,0.1,0.10536051565782628,3,0.9999999997471686,0.0,2.528314501532117e-10
0.001,1.0,0.01,0.1,0.1,0.10536051565782628,0,0.025677290614825637,0.8830940082495266,0.09122870113564775
0.001,1.0,0.01,0.1,0.1,0.10536051565782628,1,0.2145231966270811,0.7847146263241291,0.0007621770487897558
0.001,1.0,0.01,0.1,0.1,0.10536051565782628,2,0.7940432695966935,0.20595484963322389,1.8807700828032722e-06
0.001,1.0,0.01,0.1,0.1,0.10536051565782628,3,0.9863938688768711,0.01360612995492715,1.168201785234489e-09
0.001,1.0,0.05,0.1,0.1,0.10536051565782628,0,0.11686273599434209,0.8038292161920183,0.07930804781363973
0.001,1.0,0.05,0.1,0.1,0.10536051565782628,1,0.5772778225399986,0.42233041267528454,0.0003917647847168284
0.001,1.0,0.05,0.1,0.1,0.10536051565782628,2,0.9506829228154029,0.049316647068054296,4.301165428155399e-07
