model,experiment,exposure_tyr,roi_max_keV,N_expected,N_lo,N_hi,P_zero,P_zero_hi,P_ge1
O1s_d350,XENONnT+PandaX-4T,4.640000000000001,100.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT+PandaX-4T,4.640000000000001,150.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5316901408450707,0.4595070422535212,3.6760563380281694,0.21617000064139907,0.02532264211976861,0.7838299993586009
L10_1000,XENONnT,3.1,55.0,0.07345562049999396,0.02203668614999819,0.1762934891999855,0.929177381304106,0.8383718941300796,0.07082261869589401
L10_1000,XENONnT,3.1,70.0,0.08964179072525863,0.026892537217577592,0.2151402977406207,0.9142586225402998,0.8064282921729433,0.08574137745970023
L10_1000,XENONnT,3.1,100.0,0.1534048884210803,0.0460214665263241,0.3681717322105927,0.8577823453523461,0.6919983330804891,0.1422176546476539
L10_1000,XENONnT,3.1,150.0,0.3445246782315999,0.10335740346947998,0.8268592277558396,0.7085570660356943,0.4374209707637362,0.29144293396430565
L10_1000,XENONnT,3.1,270.0,1.0237241676475546,0.3071172502942664,2.4569380023541307,0.3592545216838355,0.08569695350693031,0.6407454783161646
L10_1000,PandaX-4T,1.54,55.0,0.03649085663548087,0.010947256990644263,0.0875780559251541,0.964166909585533,0.9161473581302706,0.03583309041446703
L10_1000,PandaX-4T,1.54,70.0,0.04453172829577364,0.013359518488732094,0.10687614790985674,0.9564452532343104,0.8986369641646328,0.0435547467656896
L10_1000,PandaX-4T,1.54,100.0,0.07620758973176248,0.022862276919528746,0.18289821535622994,0.9266238290001633,0.8328529230610985,0.07337617099983673
L10_1000,PandaX-4T,1.54,150.0,0.1711509691860206,0.05134529075580619,0.4107623260464494,0.8426943429888952,0.6631445250531008,0.15730565701110477
L10_1000,PandaX-4T,1.54,270.0,0.5085597477991078,0.15256792433973237,1.2205433947178588,0.6013610670023029,0.2950697839903211,0.39863893299769715
L10_1000,XENONnT+PandaX-4T,4.640000000000001,55.0,0.10994647713547484,0.03298394314064245,0.2638715451251396,0.8958820841887584,0.7680721959379433,0.10411791581124163
L10_1000,XENONnT+PandaX-4T,4.640000000000001,70.0,0.13417351902103228,0.04025205570630968,0.32201644565047743,0.8744383197572089,0.7246862722947632,0.12556168024279113
L10_1000,XENONnT+PandaX-4T,4.640000000000001,100.0,0.2296124781528428,0.06888374344585284,0.5510699475668227,0.7948415612991313,0.5763328344594929,0.2051584387008687
L10_1000,XENONnT+PandaX-4T,4.640000000000001,150.0,0.5156756474176205,0.15470269422528615,1.2376215538022892,0.5970970312330887,0.29007332190538415,0.40290296876691134
L10_1000,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5322839154466625,0.4596851746339987,3.6774813970719897,0.21604168248519323,0.02528658155991851,0.7839583175148068
O4_1000,XENONnT,3.1,55.0,0.7697209592680615,0.23091628778041848,1.8473303022433476,0.4631422858443458,0.15765750285990995,0.5368577141556542
O4_1000,XENONnT,3.1,70.0,0.8270437867202387,0.24811313601607166,1.9849050881285728,0.4373402482516264,0.13739365378693785,0.5626597517483736
O4_1000,XENONnT,3.1,100.0,0.9035138968969757,0.27105416906909274,2.1684333525527415,0.40514352299101325,0.11435663317397518,0.5948564770089868
O4_1000,XENONnT,3.1,150.0,0.974700102312506,0.2924100306937519,2.3392802455500146,0.3773054896415071,0.09639699543384969,0.6226945103584929
O4_1000,XENONnT,3.1,270.0,1.0394270709050282,0.3118281212715085,2.4946249701720675,0.3536572444512602,0.08252739582389533,0.6463427555487398
O4_1000,PandaX-4T,1.54,55.0,0.3823775087976821,0.11471325263930465,0.917706021114437,0.6822374539444834,0.3994342847236884,0.31776254605551657
O4_1000,PandaX-4T,1.54,70.0,0.41085401017715084,0.12325620305314527,0.986049624425162,0.6630837280108965,0.3730474616419334,0.33691627198910346
O4_1000,PandaX-4T,1.54,100.0,0.44884238749075567,0.13465271624722672,1.0772217299778135,0.6383667053433745,0.34054032556042274,0.3616332946566255
O4_1000,PandaX-4T,1.54,150.0,0.48420585727782556,0.1452617571833477,1.1620940574667813,0.6161863424121797,0.31283040965574627,0.38381365758782027
O4_1000,PandaX-4T,1.54,270.0,0.5163605449012075,0.1549081634703623,1.2392653077628981,0.5966882209914732,0.28959690439748836,0.40331177900852677
O4_1000,XENONnT+PandaX-4T,4.640000000000001,55.0,1.1520984680657438,0.3456295404197231,2.765036323357785,0.3159730139084746,0.06297381188617097,0.6840269860915253
O4_1000,XENONnT+PandaX-4T,4.640000000000001,70.0,1.2378977968973897,0.3713693390692169,2.970954712553735,0.2899932022198994,0.05125435379092777,0.7100067977801006
O4_1000,XENONnT+PandaX-4T,4.640000000000001,100.0,1.3523562843877315,0.40570688531631943,3.2456550825305555,0.2586301359629808,0.03894304509105933,0.7413698640370192
O4_1000,XENONnT+PandaX-4T,4.640000000000001,150.0,1.4589059595903318,0.43767178787709954,3.5013743030167963,0.23249048963423677,0.03015591157115429,0.7675095103657632
O4_1000,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5557876158062358,0.46673628474187073,3.733890277934966,0.211023112032369,0.02389967835858629,0.788976887967631
O6_1000,XENONnT,3.1,55.0,0.10352217199387788,0.031056651598163367,0.2484532127853069,0.9016560310082284,0.780006354306173,0.09834396899177156
O6_1000,XENONnT,3.1,70.0,0.16401172246258144,0.04920351673877444,0.39362813391019547,0.8487320725919292,0.6746048722785815,0.15126792740807082
O6_1000,XENONnT,3.1,100.0,0.30175143420350165,0.0905254302610505,0.7242034420884039,0.7395218618863898,0.484710515216411,0.2604781381136102
O6_1000,XENONnT,3.1,150.0,0.5496952469086509,0.1649085740725953,1.3192685925807621,0.5771256644134225,0.267330758177997,0.4228743355865775
O6_1000,XENONnT,3.1,270.0,1.0234438235716334,0.3070331470714901,2.4562651765719203,0.35935525067946633,0.08575463202832889,0.6406447493205336
O6_1000,PandaX-4T,1.54,55.0,0.05142714350663611,0.015428143051990835,0.12342514441592665,0.9498728518463927,0.8838878027054969,0.050127148153607304
O6_1000,PandaX-4T,1.54,70.0,0.08147679115883079,0.02444303734764924,0.1955442987811939,0.9217541024501984,0.8223869120193795,0.0782458975498016
O6_1000,PandaX-4T,1.54,100.0,0.14990232537851372,0.04497069761355412,0.3597655809084329,0.8607920498567188,0.6978398938925575,0.13920795014328124
O6_1000,PandaX-4T,1.54,150.0,0.27307441298042656,0.08192232389412799,0.6553785911530238,0.7610361545533697,0.5192454436390899,0.2389638454466303
O6_1000,PandaX-4T,1.54,270.0,0.508420480096876,0.15252614402906284,1.2202091522325025,0.6014448230084338,0.2951684253324209,0.3985551769915662
O6_1000,XENONnT+PandaX-4T,4.640000000000001,55.0,0.154949315500514,0.0464847946501542,0.3718783572012336,0.8564585855582855,0.6894381026040086,0.14354141444171453
O6_1000,XENONnT+PandaX-4T,4.640000000000001,70.0,0.24548851362141227,0.07364655408642368,0.5891724326913894,0.7823222697926703,0.5547862177464106,0.21767773020732972
O6_1000,XENONnT+PandaX-4T,4.640000000000001,100.0,0.4516537595820154,0.13549612787460463,1.083969022996837,0.6365745394070428,0.3382503345072271,0.3634254605929572
