E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.330744794197377308e-04,2.075881797192205818e-03,1.173922725714971393e-03,1.769747479395900481e-03,1.097416801435609646e-03,4.452070404847192908e-04
4.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.280367897707043754e-04,2.043910710885936399e-03,1.184219207061541117e-03,1.707139443638609451e-03,1.106318078676985514e-03,4.419286282507853400e-04
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.234271601582481464e-04,2.012859319641805735e-03,1.194365770050973691e-03,1.646438457752750703e-03,1.115122025850988742e-03,4.386743164322895591e-04
4.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.192468622506648289e-04,1.982692604907636876e-03,1.204362772018304157e-03,1.587594235784548250e-03,1.123829083484730864e-03,4.343506894395442598e-04
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.154963298427141934e-04,1.953376830970016478e-03,1.214210625679028191e-03,1.530557651007607295e-03,1.132439666211638215e-03,4.310197591339703536e-04
4.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.121751925318273259e-04,1.924879504082706999e-03,1.223909796792751808e-03,1.475517423103936843e-03,1.140954163711763343e-03,4.275370117061643273e-04
4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.092823094536897486e-04,1.897169332703736938e-03,1.233460801894471423e-03,1.421945171532680834e-03,1.149372941718969582e-03,4.243885186910069103e-04
4.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.068158030048419782e-04,1.870216188813853290e-03,1.242864206089366701e-03,1.370312489175246800e-03,1.157696343084681483e-03,4.212634707342127402e-04
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.047730924835400225e-04,1.843991070293064241e-03,1.252120620910007667e-03,1.320020800920260759e-03,1.165924688890916357e-03,4.181615528647936154e-04
5.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.031509275854215820e-04,1.818466064329534457e-03,1.261230702232407543e-03,1.272022707565198529e-03,1.174058279603610840e-03,4.150824367465050582e-04
5.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.019454216934732414e-04,1.793614311838593591e-03,1.270195148250343863e-03,1.224823752503462855e-03,1.182097396260190034e-03,4.124864631180691159e-04
5.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.011520849067529670e-04,1.769409972865807010e-03,1.279014697503707111e-03,1.179120057658065469e-03,1.190042301682483344e-03,4.104433396604067617e-04
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.007658567556420557e-04,1.745828192953665032e-03,1.287690126960953007e-03,1.134975462377606128e-03,1.197893241710292411e-03,4.074209418771447717e-04
5.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.007811385551989090e-04,1.722845070447846533e-03,1.296222250152697037e-03,1.092137990144339101e-03,1.205650446448533692e-03,4.052447459329466210e-04
5.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.011918253515994803e-04,1.700437624721054791e-03,1.304611915354798044e-03,1.050676678396898290e-03,1.213314131522326509e-03,4.028672456660850262e-04
5.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.019913374201071434e-04,1.678583765292920166e-03,1.312860003819435982e-03,1.010553672624930552e-03,1.220884499334918020e-03,4.013196589152326767e-04
5.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.031726512763751051e-04,1.657262261824751174e-03,1.320967428052607397e-03,9.717782433437077792e-04,1.228361740323513944e-03,3.995430188400533574e-04
5.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.047283301656692053e-04,1.636452714968395948e-03,1.328935130136746053e-03,9.342204945085140358e-04,1.235746034208630093e-03,3.968339325141603726e-04
5.500000000000000000e+01,7.514442383866283792e-07,0.000000000000000000e+00,0.000000000000000000e+00,3.070394437592453320e-04,1.618557087108867063e-03,1.338817314974910695e-03,8.983173613920972765e-04,1.244939353004789924e-03,3.967122890417386968e-04
5.550000000000000000e+01,3.649778399272486977e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.093413887790953209e-04,1.598712919992455010e-03,1.346539732934399700e-03,8.633122032125993940e-04,1.252168580553160568e-03,3.939215141119608871e-04
5.600000000000000000e+01,8.795949376729775951e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.122593065785020123e-04,1.580433600489409510e-03,1.355035983818997716e-03,8.300255903844702297e-04,1.260157277868489316e-03,3.939215141119608871e-04
