E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.858267168870877903e-04,1.063870854169563819e-02,2.136619104489476237e-04,1.514683093561834323e-02,2.475239213721439264e-04,3.598482312870666618e-04
1.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.083894847537515494e-04,1.031608309039693840e-02,2.280898738897170778e-04,1.472415126972754715e-02,2.626920430212189910e-04,3.761635374507730644e-04
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.296439302897326607e-04,1.000392023226911835e-02,2.427183226565040567e-04,1.431070457972836128e-02,2.779233687153622400e-04,3.918267684507688504e-04
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.495511541071626342e-04,9.701905977948038773e-03,2.575262880422195797e-04,1.390669542788232002e-02,2.931952982957782157e-04,4.069335618688424698e-04
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.686778250307619242e-04,9.417115752350385324e-03,2.726746278642718435e-04,1.351746903831377994e-02,3.087056129442681423e-04,4.222489087085449480e-04
1.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.858408630853674503e-04,9.134390758719622763e-03,2.877944138255226396e-04,1.313666627035152065e-02,3.240113074694321560e-04,4.365810945862105136e-04
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.017053103617369118e-04,8.863437898261371586e-03,3.031613330575964557e-04,1.276463962098434678e-02,3.394234950873907270e-04,4.496844735631764112e-04
1.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.160423287767728011e-04,8.598933466778138288e-03,3.185174946844704564e-04,1.240008656327800350e-02,3.546869283370122417e-04,4.615425441566435799e-04
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.289632785959251991e-04,8.343123056500745954e-03,3.339609328369103720e-04,1.204488851291604656e-02,3.699008538487677240e-04,4.737125922353489175e-04
1.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.412126614783198092e-04,8.102558314333572348e-03,3.497188956467753881e-04,1.170383037426304777e-02,3.853395828950590481e-04,4.862028085683028932e-04
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.514734521383688521e-04,7.865732800488210719e-03,3.654721507714589436e-04,1.136872113444527613e-02,4.005930973444306168e-04,4.972569725669572643e-04
1.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.602395347002764703e-04,7.634320229549235517e-03,3.811080745637235334e-04,1.103931944069243450e-02,4.156039576305314712e-04,5.066640737435458694e-04
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.685768420188956703e-04,7.419506543285221689e-03,3.972480335137393661e-04,1.072739258574410305e-02,4.310339798261806862e-04,5.160338881602087330e-04
1.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.746830315802900012e-04,7.203076708062798594e-03,4.129503246349807170e-04,1.041447280157614848e-02,4.458631542791652996e-04,5.268811563921089926e-04
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.803434342828426172e-04,7.000038962659712455e-03,4.289608593649972264e-04,1.011420905210202829e-02,4.609319656712745883e-04,5.348898917406049499e-04
1.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.840219343455743064e-04,6.800118028822044539e-03,4.449006283721834145e-04,9.820286884707324013e-03,4.757561234875396145e-04,5.413456628688080629e-04
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.872491965182809885e-04,6.610430340013557712e-03,4.609285967497141396e-04,9.535580205633661238e-03,4.906193991111238968e-04,5.494063354810793361e-04
2.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.885260907230467022e-04,6.423659092177322165e-03,4.768661743101768589e-04,9.256417355086728541e-03,5.052230509178770763e-04,5.556163164536831239e-04
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.894701674148001374e-04,6.246468404264262503e-03,4.928672797635250862e-04,8.986098149913558653e-03,5.198541684960266340e-04,5.599105204801058978e-04
2.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.885076832728468623e-04,6.072014644695310735e-03,5.087620436955289172e-04,8.721049637051779199e-03,5.342151487157053256e-04,5.673763629445963304e-04
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.873356224667423311e-04,5.906516250584531967e-03,5.246956679684091447e-04,8.465669411902307720e-03,5.485923848374950774e-04,5.720245547703135336e-04
2.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.843109574789141648e-04,5.743594534300911977e-03,5.405106352648575505e-04,8.213380096553059978e-03,5.626931980195207716e-04,5.742303897219721513e-04
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.812955899607273991e-04,5.591448707073599922e-03,5.566879098576438083e-04,7.972957169933118926e-03,5.771241993334692583e-04,5.784903177290360871e-04
2.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.763031384752550230e-04,5.436899147886325827e-03,5.720411342861925381e-04,7.734171721472166486e-03,5.906262398560649341e-04,5.816215236579925585e-04
