E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.018450781326708966e+04,2.524287963456739426e+10,5.258860921988031623e+04,2.865484063451971200e+16,2.772909109290920896e+05,2.869970985143708696e-03
8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.598012201410862326e+04,2.446846016396787262e+10,5.839885338970494195e+04,2.787462576801954400e+16,3.059686433127085329e+05,3.135938752317221113e-03
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.165446254273198429e+04,2.371392313679904938e+10,6.438747519461780030e+04,2.710243206253616000e+16,3.352275954147376469e+05,3.377255658702693099e-03
9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.714300521831195510e+04,2.297284740268090820e+10,7.053120422734793101e+04,2.635565743367717200e+16,3.649115986769800656e+05,3.634601403951178387e-03
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.252724682172016765e+04,2.227010724865487671e+10,7.687933963837941701e+04,2.563207436016260400e+16,3.952963016155381920e+05,3.895259566906290882e-03
1.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.773010967494231591e+04,2.158985438239519882e+10,8.338220672674363595e+04,2.492225254477903600e+16,4.261089958103784593e+05,4.117976985697567593e-03
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.027330730563665275e+05,2.093142980112946320e+10,9.002739321133325575e+04,2.423251159350646400e+16,4.572822780360014294e+05,4.368851230882190954e-03
1.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.075201433003753191e+05,2.029419075473102188e+10,9.680296674484947289e+04,2.355918989462610800e+16,4.887531622159538674e+05,4.594204151297302113e-03
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120776913078038779e+05,1.967751044060831833e+10,1.036974578899142798e+05,2.290196353717372000e+16,5.204628498891806812e+05,4.828214933048398036e-03
1.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.163942969850710215e+05,1.908077770171854019e+10,1.106998437067999766e+05,2.226287313355850400e+16,5.523565100137484260e+05,5.047123345006167446e-03
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.204606004106953624e+05,1.850339672771158600e+10,1.177995319329385238e+05,2.163774296216004800e+16,5.843830678285205504e+05,5.257282626721898611e-03
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.242691595314896258e+05,1.794478675928130341e+10,1.249863457351461257e+05,2.102688232051225200e+16,6.164950024999979651e+05,5.459975982503419492e-03
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.279283868383491645e+05,1.741803460551961899e+10,1.323383549327551445e+05,2.043837317166826800e+16,6.491081839649690082e+05,5.665467575589164424e-03
1.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.312119408749584691e+05,1.689510233491682434e+10,1.396765059617657680e+05,1.986260051375746800e+16,6.812911154082836583e+05,5.857767739550696559e-03
