tau_s,f2_excluded_above_gamma_channel,deposited_eV_per_baryon_per_unit_f2
3.1623e+14,2.9239e-04,6.8402e+02
3.9811e+14,2.9855e-04,6.6990e+02
5.0119e+14,3.0769e-04,6.5000e+02
6.3096e+14,3.2017e-04,6.2467e+02
7.9433e+14,3.3641e-04,5.9451e+02
1.0000e+15,3.5694e-04,5.6031e+02
1.2589e+15,3.8239e-04,5.2303e+02
1.5849e+15,4.1351e-04,4.8366e+02
1.9953e+15,4.5123e-04,4.4323e+02
2.5119e+15,4.9667e-04,4.0268e+02
3.1623e+15,5.5119e-04,3.6285e+02
3.9811e+15,6.1644e-04,3.2444e+02
5.0119e+15,6.9444e-04,2.8800e+02
6.3096e+15,7.8763e-04,2.5393e+02
7.9433e+15,8.9898e-04,2.2247e+02
1.0000e+16,1.0321e-03,1.9378e+02
1.2589e+16,1.1914e-03,1.6787e+02
1.5849e+16,1.3822e-03,1.4470e+02
1.9953e+16,1.6111e-03,1.2414e+02
2.5119e+16,1.8862e-03,1.0603e+02
3.1623e+16,2.2172e-03,9.0204e+01
3.9811e+16,2.6164e-03,7.6442e+01
5.0119e+16,3.0987e-03,6.4542e+01
6.3096e+16,3.6831e-03,5.4302e+01
7.9433e+16,4.3932e-03,4.5525e+01
1.0000e+17,5.2591e-03,3.8030e+01
1.2589e+17,6.3194e-03,3.1649e+01
1.5849e+17,7.6238e-03,2.6234e+01
1.9953e+17,9.2363e-03,2.1654e+01
2.5119e+17,1.1238e-02,1.7797e+01
3.1623e+17,1.3733e-02,1.4564e+01
3.9811e+17,1.6851e-02,1.1869e+01
5.0119e+17,2.0757e-02,9.6353e+00
6.3096e+17,2.5658e-02,7.7948e+00
7.9433e+17,3.1815e-02,6.2864e+00
1.0000e+18,3.9554e-02,5.0563e+00
1.2589e+18,4.9289e-02,4.0577e+00
1.5849e+18,6.1536e-02,3.2501e+00
1.9953e+18,7.6949e-02,2.5991e+00
2.5119e+18,9.6348e-02,2.0758e+00
3.1623e+18,1.2077e-01,1.6561e+00
3.9811e+18,1.5150e-01,1.3201e+00
5.0119e+18,1.9020e-01,1.0515e+00
6.3096e+18,2.3891e-01,8.3715e-01
7.9433e+18,3.0023e-01,6.6616e-01
1.0000e+19,3.7742e-01,5.2991e-01
1.2589e+19,4.7461e-01,4.2140e-01
1.5849e+19,5.9695e-01,3.3503e-01
1.9953e+19,7.5098e-01,2.6632e-01
2.5119e+19,9.4488e-01,2.1167e-01
3.1623e+19,1.1890e+00,1.6821e-01
3.9811e+19,1.4963e+00,1.3366e-01
5.0119e+19,1.8832e+00,1.0620e-01
6.3096e+19,2.3703e+00,8.4379e-02
7.9433e+19,2.9834e+00,6.7037e-02
1.0000e+20,3.7554e+00,5.3257e-02
1.2589e+20,4.7272e+00,4.2308e-02
1.5849e+20,5.9507e+00,3.3610e-02
1.9953e+20,7.4909e+00,2.6699e-02
2.5119e+20,9.4299e+00,2.1209e-02
3.1623e+20,1.1871e+01,1.6848e-02
3.9811e+20,1.4944e+01,1.3383e-02
5.0119e+20,1.8813e+01,1.0631e-02
6.3096e+20,2.3684e+01,8.4446e-03
7.9433e+20,2.9816e+01,6.7079e-03
1.0000e+21,3.7535e+01,5.3284e-03
1.2589e+21,4.7253e+01,4.2325e-03
1.5849e+21,5.9488e+01,3.3620e-03
1.9953e+21,7.4890e+01,2.6706e-03
2.5119e+21,9.4281e+01,2.1213e-03
3.1623e+21,1.1869e+02,1.6850e-03
3.9811e+21,1.4942e+02,1.3385e-03
5.0119e+21,1.8811e+02,1.0632e-03
6.3096e+21,2.3682e+02,8.4453e-04
7.9433e+21,2.9814e+02,6.7083e-04
1.0000e+22,3.7533e+02,5.3286e-04
1.2589e+22,4.7251e+02,4.2327e-04
1.5849e+22,5.9486e+02,3.3621e-04
1.9953e+22,7.4888e+02,2.6706e-04
2.5119e+22,9.4279e+02,2.1214e-04
3.1623e+22,1.1869e+03,1.6851e-04
3.9811e+22,1.4942e+03,1.3385e-04
5.0119e+22,1.8811e+03,1.0632e-04
6.3096e+22,2.3682e+03,8.4453e-05
7.9433e+22,2.9813e+03,6.7084e-05
1.0000e+23,3.7533e+03,5.3287e-05
1.2589e+23,4.7251e+03,4.2327e-05
1.5849e+23,5.9486e+03,3.3622e-05
1.9953e+23,7.4888e+03,2.6707e-05
2.5119e+23,9.4278e+03,2.1214e-05
3.1623e+23,1.1869e+04,1.6851e-05
3.9811e+23,1.4942e+04,1.3385e-05
5.0119e+23,1.8811e+04,1.0632e-05
6.3096e+23,2.3682e+04,8.4453e-06
7.9433e+23,2.9813e+04,6.7084e-06
1.0000e+24,3.7533e+04,5.3287e-06
1.2589e+24,4.7251e+04,4.2327e-06
1.5849e+24,5.9486e+04,3.3622e-06
1.9953e+24,7.4888e+04,2.6707e-06
2.5119e+24,9.4278e+04,2.1214e-06
3.1623e+24,1.1869e+05,1.6851e-06
3.9811e+24,1.4942e+05,1.3385e-06
5.0119e+24,1.8811e+05,1.0632e-06
6.3096e+24,2.3682e+05,8.4454e-07
7.9433e+24,2.9813e+05,6.7084e-07
1.0000e+25,3.7533e+05,5.3287e-07
1.2589e+25,4.7251e+05,4.2327e-07
1.5849e+25,5.9486e+05,3.3622e-07
1.9953e+25,7.4888e+05,2.6707e-07
2.5119e+25,9.4278e+05,2.1214e-07
3.1623e+25,1.1869e+06,1.6851e-07
3.9811e+25,1.4942e+06,1.3385e-07
5.0119e+25,1.8811e+06,1.0632e-07
6.3096e+25,2.3682e+06,8.4454e-08
7.9433e+25,2.9813e+06,6.7084e-08
1.0000e+26,3.7533e+06,5.3287e-08
