tag,delta_keV,f2,N_5_55,N_55_125,N_125_200,N_200_270,N_600_1000phd,N_600_1700phd,N_above_670keV_noeff
hig,300.0,0.1,3.8847169986061263,25.72740063760248,61.37376177757473,5.051198632961338,13.3065339321475,14.645382504168712,0.33018464274211706
hig,300.0,0.42,16.31581139414573,108.0550826779304,257.76979946581383,21.215034258437615,55.887442515019494,61.510606517508585,1.3867754995168915
hig,350.0,0.001,0.030530286782287027,5.178842848277429,30.938430430229605,3.125528236649889,9.71697414949262,10.823875498496978,0.28318987906802223
hig,350.0,0.01,0.30530286782287025,51.78842848277429,309.3843043022961,31.255282366498893,97.1697414949262,108.23875498496979,2.8318987906802224
hig,350.0,0.1,3.053028678228703,517.8842848277429,3093.8430430229605,312.5528236649889,971.6974149492621,1082.387549849698,28.318987906802224
hig,350.0,0.42,12.822720448560549,2175.11399627652,12994.140780696433,1312.7218593929533,4081.1291427869005,4546.027709368731,118.93974920856934
hig,366.0,0.001,0.014191711983027527,39.17249124277461,306.99162944752976,33.436723258820464,110.4305145069587,123.54150796597216,3.4032234446554535
hig,366.0,0.01,0.14191711983027527,391.7249124277461,3069.9162944752975,334.3672325882047,1104.305145069587,1235.4150796597216,34.03223444655454
hig,366.0,0.1,1.4191711983027526,3917.2491242774613,30699.162944752974,3343.6723258820466,11043.051450695872,12354.150796597216,340.3223444655454
hig,366.0,0.42,5.96051903287156,16452.446321965337,128936.48436796249,14043.423768704595,46380.81609292265,51887.433345708305,1429.3538467552905
hig,380.0,0.001,0.0006118256005586454,271.84069667539825,2649.2699857293787,309.5796346460787,1081.3078647249924,1214.5238716235162,35.056800037924894
hig,380.0,0.01,0.006118256005586455,2718.406966753983,26492.69985729379,3095.796346460787,10813.078647249924,12145.238716235164,350.568000379249
hig,380.0,0.1,0.061182560055864546,27184.06966753983,264926.99857293785,30957.96346460787,108130.78647249924,121452.38716235163,3505.6800037924895
hig,380.0,0.42,0.25696675223463106,114173.09260366728,1112693.394006339,130023.44655135304,454149.30318449676,510100.02608187683,14723.856015928457
