tag,m_GeV,delta_keV,halo,Nexo_lo,Nendo_lo,Nexo_mid,Nendo_mid,Nexo_gap,Nendo_gap,Nexo_hi,Nendo_hi,Nexo_roi,Nendo_roi,Nexo_he1000,Nendo_he1000,Nexo_he1700,Nendo_he1700,Nexo_all,Nendo_all,Eexo_peak_keV,Eexo_p16,Eexo_p50,Eexo_p84,frac_exo_below_270,frac_exo_270_670,frac_exo_above_670,pct248_exo_accepted_true,pct248_exo_accepted_obs,obs_p16,obs_p50,obs_p84,R_lo,R_mid,R_gap,R_hi,R_roi,R_he1000,R_he1700,R_all
iso,1000.0,380.0,annual,1.0507032371212555,0.0,323310.12615021423,0.0,4259997.964023229,0.0037303233242303364,1002258.6560835503,0.5463848609064051,5591059.604029264,0.6893044605091596,1116626.4065188945,21.80078723915871,1332413.9586795308,22.828037447392074,7262843.769874118,24.648495530674438,166.0,145.36713172370395,180.49639672255748,326.69092820032887,0.8016742793336764,0.19262772782993376,0.005697992836389831,0.9947571282611595,0.9916640144247035,139.3313720649184,169.86725185997406,203.2636326832724,1.5242948469318567,469038.2039765112,6180139.848328489,1454014.464585395,8111161.212999243,1619932.0771754335,1932983.224416296,10536481.607139707
iso,1000.0,380.0,june16,4.379820398069217,0.0,372266.2249754836,0.0,4369852.21935225,0.022676300194971685,994230.6870453033,2.2805199541266186,5741698.981353079,2.702802640463688,1084151.5021685173,64.19309747648384,1296335.7767326687,67.61995315345683,7383301.287126145,73.70114678698143,166.0,144.08976241191402,179.0878515339013,321.47174832636847,0.8098563112301942,0.1843507955799919,0.005792893189813908,0.9950074216622274,0.9920407843128298,138.17686199704036,168.94737830853856,202.4968454020462,1.6204736270783808,137733.41027653366,1616785.5373274928,367851.75216298254,2124350.071068468,401121.2235542741,479626.5022555519,2731720.4654866992
iso,1000.0,380.0,dec16,0.0,0.0,276597.3755777072,0.0,4145852.4336167052,0.0,1009929.0732600464,0.0,5438020.202242602,1.7345449899329265e-05,1149918.603801333,0.06271026781751632,1369332.7158112633,0.0627165574774252,7140722.7543400545,0.06569099856154827,168.5,146.68435239712085,181.97377138624682,331.3952728477126,0.7930506541425237,0.2013543872071084,0.005594958650367854,0.9944888506607259,0.9912610199992976,140.5086825783607,170.81553349958665,204.04695211421682,0.0,15946393848.706282,239016713759.44086,58224438058.484695,313512779074.8677,66295115461.133095,78944779395.0974,411676998624.0703
iso,1000.0,380.0,sun,0.0,0.0,316172.8448401717,0.0,4248658.302572977,0.0,1003426.5886644318,0.017008930923493454,5573765.924151474,0.06432465995420576,1120204.534098,6.681999220050465,1336423.2392001965,6.847945867931366,7248887.499782856,7.246102799213167,166.0,145.54774952289404,180.66916459898104,327.23943012505873,0.8007317276863665,0.19357973287343955,0.005688539440193985,0.9947274200861019,0.9916188761704144,139.49967458844895,169.9886497961682,203.35867193094995,0.0,4915266.478909683,66050225.614837244,15599407.589232415,86650530.73144217,17414853.57086225,20776219.26259117,112692200.8595694
p,1000.0,250.0,annual,1244746.6922894889,3.0542048938078765,2583185.434756037,4493.41596436252,1830917.9764406935,15396.066821545353,540671.9909959392,4829.170876844074,6201205.382598278,24735.707147132027,140613.60056804153,1066.3279291492013,201029.41550212872,1247.0986681132244,6678443.603675943,27090.631255064523,58.5,52.69409625000066,77.78810579352164,187.80387600163766,0.9679841202819189,0.031071231771162666,0.0009446479469183977,0.9940889799802165,0.9925902284093212,51.26318510815029,76.21225985616229,180.792447796179,50.3218559665803,104.43143668344825,74.01922918759081,21.857955698615523,250.6985284759597,5.684640416045066,8.127093933736072,269.99202262346773
p,1000.0,250.0,june16,1434746.5584386971,11.647820744215181,2750495.454157667,6960.847838444681,1789838.8285345626,18953.335210362806,524402.5871883676,5897.158291241957,6501120.705017906,31840.183647816884,138933.51943940713,1330.5474359680763,199798.79335157012,1561.1442765655747,6990007.809256406,34824.10252208066,58.5,51.54497934102147,74.81899209424927,184.85647819216564,0.9695113815513106,0.02951333456211158,0.0009752838865778601,0.9945250504763047,0.9931394740077516,50.118501146111456,73.438455953461,177.85303331648822,45.06087572573,86.38440922894155,56.21320681852545,16.469835506879157,204.17974899035025,4.36346476440418,6.2750515374388955,219.53415490854664
p,1000.0,250.0,dec16,1060996.7375868212,0.0,2414635.131537448,2406.9042398777488,1872635.357254803,12015.220763806012,557371.5635281461,3811.6099892331604,5907369.129374901,18244.694725545658,142269.03052848147,816.2304370210975,202184.78634875113,950.1342483690394,6373134.1289674435,20014.26941028899,61.0,54.04261155820443,81.80288390078852,190.69596473687872,0.9663532156965835,0.03273672964203578,0.0009100546613807214,0.9936106707715188,0.9919875876347917,52.595397095670094,79.83510054237631,183.65749274802138,58.153712821582396,132.3472476717602,102.63999400509545,30.549788413161647,323.78558360330277,7.797830145619305,11.081839920602137,349.31437466278777
p,1000.0,250.0,sun,1218258.8850698303,0.2232296472892364,2563241.290186444,4001.5553661461563,1835644.7663981593,14870.636255920424,542454.0565375941,4672.68824443826,6161287.415829477,23558.630874506955,140832.6237408987,1026.7934775781025,201218.7644459872,1199.9611271234216,6637005.851527225,25814.544527888516,58.5,52.88181051296553,78.22011688282467,188.16788659053464,0.9677650552860201,0.03129378562700602,0.0009411590869738973,0.9940316734916671,0.9925181431667135,51.44626227949712,76.63216514420276,181.15344120485472,51.71178629009894,108.80264238785432,77.91814287410607,23.02570380372101,261.52994410624564,5.977963001801399,8.541190934135658,281.7229017629034
p,1000.0,278.0,annual,345549.95038924384,0.0,1397565.256441385,266.59022065241305,1678008.1687923695,6018.535406717278,533422.0671402313,2239.7412649135285,3956273.7395204925,8531.789510162407,150746.44838214843,558.5693708345397,217754.00425080996,653.0365917777926,4358743.562166639,9580.100014735859,63.5,62.41025777057726,147.13595961288186,205.19353534442766,0.9466549704659534,0.05161315830138491,0.0017318712326617192,0.9905974158245041,0.9882637403587851,60.74573966662611,140.01587326983213,195.25237027786295,40.501462205279616,163.80681389018253,196.67716447922868,62.52170971926349,463.7097217187655,17.66879600142396,25.522664851428676,510.8826884412515
p,1000.0,278.0,june16,415426.3261547716,0.0,1521738.7519418423,473.4220907647778,1651596.029830574,7880.391914455288,518011.7423949315,2866.2590922672944,4108449.9226582972,11228.957317790131,148147.59069909583,728.4723071035683,215192.52182732735,855.1970327323489,4515052.999123122,12603.85387041769,63.5,60.722124286386794,141.56422132459025,202.89984199518366,0.9489562468070002,0.049250786596665375,0.0017929665963344332,0.9912200292297908,0.9890406873799628,59.08277326734009,132.8621674354298,193.17431248655552,36.99598407918144,135.51915007557636,147.08365016348728,46.13177588396753,365.87991265664937,13.193352375147455,19.16406980071035,402.0901381439829
p,1000.0,278.0,dec16,279087.2371271192,0.0,1274109.2477313387,111.09010473369463,1704441.4189256178,4280.857384533137,549215.9207773256,1650.9568780020222,3808634.666305885,6047.984966104681,153356.06407116615,399.79243891643506,220282.99343787157,464.3557120402033,4207125.370373717,6792.865704448209,66.0,64.42471259914751,151.94854818897045,207.45766616057804,0.9442540324590143,0.05408224235653514,0.0016637251844505707,0.9899290888496111,0.9874297630566857,62.725883259879936,145.66769247004498,197.2854795175118,46.14549121587361,210.6667352633902,281.8197182165609,90.80973644202997,629.7361332164336,25.356555105648358,36.422543156510024,695.6243102375626
p,1000.0,278.0,sun,335261.629408942,0.0,1381940.602681632,216.54009642220018,1681244.4430090932,5727.628095824676,535122.1821754334,2143.8774172052354,3935302.78207301,8094.667495748867,151060.4972357915,532.1258160017092,218085.33403266163,621.4517887266321,4337187.8317320915,9091.306358512851,63.5,62.682276849652325,147.80514879404083,205.48331783822144,0.9463271261718564,0.051947570967973866,0.0017253028601696974,0.990515976524609,0.9881621066206148,61.01488718275837,140.81934328160668,195.51344031595687,41.417591221012316,170.72234324725449,207.69777682555141,66.1079880620751,486.15990516469526,18.661729751731617,26.94185204607787,535.8080284347544
p,1000.0,300.0,annual,103366.32652628988,0.0,803087.234192285,28.660856273152692,1531864.4356315865,2337.0562150433025,519998.0111104132,1076.201219347517,2960059.1533506596,3445.4925334683585,157620.54094753866,306.245596512963,229618.39739978046,357.58156212067104,3334505.6002569296,3968.0835696804997,168.5,73.01335055044753,163.95892543117503,216.37692977923476,0.92622232820236,0.07119127208627529,0.002586399711364762,0.9874435325863093,0.9843841533829322,70.92358883803495,158.0487625897004,202.9952980924724,30.000450014685583,233.08343477496035,444.5995516610671,150.9212416104017,859.1105987308456,45.74688217039091,66.64312726536029,967.7877887897481
p,1000.0,300.0,june16,130506.85891485865,0.0,890330.0500781712,51.65357843151935,1517793.1269415296,3338.3292788360422,506130.015785228,1460.6352875999053,3046450.2245281492,4855.455714145703,154348.9155737126,420.68560562763724,226028.3447861068,493.8218916290331,3421236.1232954753,5581.06212997601,68.5,70.41079910392625,161.03569711643303,214.4236305891973,0.9290004717575043,0.0683118047627228,0.0026877234797728633,0.9881683461405049,0.9852803478502328,68.42876667403833,154.94400356898174,201.41605433480976,26.87839547885173,183.36693865507146,312.5954011936816,104.23944642532477,627.4282794203509,31.78875983237542,46.55141722899548,704.6168938021974
p,1000.0,300.0,dec16,78037.73675882898,0.0,717174.2296337809,10.414953605737848,1545523.6209337472,1427.8833473983323,534168.7365123652,721.0235175727487,2876701.861568323,2161.7277892102084,160931.78993744703,200.9211950102361,233213.83631237532,232.4124513713799,3250938.039369765,2498.2743069480243,168.5,76.3028050287894,166.74792979727582,218.31647764423278,0.9233708456831174,0.07415335922673272,0.002475795090149835,0.9866788018023342,0.9834389800960988,74.04662725424073,160.9747166598571,204.54507994807972,36.099705591211475,331.7597309029376,714.9483060022129,247.10268294581383,1330.741953694055,74.44590884231718,107.8830727330292,1503.8609651021334
