window,detector,model,rate_per_tyr,b_per_tyr,E_3sigma,E_5sigma,E_5sigma_lo68,E_5sigma_hi68,E_N3,E_P90_N3,s_at_5sigma,yr_5sigma_LZ alone,yr_3sigma_LZ alone,yr_5sigma_present generation,yr_3sigma_present generation,yr_5sigma_40 t,yr_3sigma_40 t,yr_5sigma_60 t,yr_3sigma_60 t
ext400,LZ-like,L10,0.39400984278435736,0.04321964304806983,3.2233279473945053,8.953688742762509,41.71082905712639,3.1124570275813737,7.614022986836671,13.508089798526,3.5278414938759264,3.2057696618074605,1.1540770782506864,1.3078715662814064,0.47083376386130665,,,,
ext400,LZ-like,inel300,0.4010782584736796,0.04321964304806983,3.587823917485095,9.966177548569712,49.544573305631275,3.369479218474048,7.47983700591657,13.270029540092,3.997217134819826,3.568280129819883,1.2845808467351574,1.4557665130835105,0.5240759447100636,,,,
ext400,LZ-like,inel350,0.6874125082920092,0.04321964304806983,1.407262826409406,3.909063406692795,17.188973460755047,1.4049983236304906,4.364191753586212,7.742542176106747,2.6871390814672007,1.399597108553394,0.5038549590792217,0.5709996211938059,0.20555986362977008,,,,
ext400,LZ-like,inel366,1.702601759837184,0.008008375442436018,0.4214565894737581,1.1707127485382163,4.804560783808773,0.4368850019705717,1.7620092206922675,3.1259925035806218,1.9932575859249937,0.4191608084420751,0.1508978910391471,0.17100682859161792,0.061562458292982486,,,,
ext400,LZ-like,inel380,10.494835738956743,0.008008375442436018,0.050636517947082474,0.14065699429745132,0.5463647631533558,0.05411880517818801,0.28585487897290524,0.5071370786755434,1.476172050687127,0.05036068797949666,0.018129847672618795,0.020545865366265164,0.0073965115318554596,,,,
ext400,40 t,L10,0.39400984278435736,0.04287599865535701,3.0775921821483436,8.548867172634285,39.22218558962723,2.994566731538293,7.614022986836671,13.508089798526,3.3683378106739883,,,,,0.2671520991448214,0.09617475569213574,,
ext400,40 t,inel300,0.4010782584736796,0.04287599865535701,3.4918999070786807,9.699721964107454,47.717662849772125,3.295637977931927,7.47983700591657,13.270029540092,3.8903475930431166,,,,,0.3031163113783579,0.10912187209620877,,
ext400,40 t,inel350,0.6874125082920092,0.04287599865535701,1.323257655703924,3.675715710288677,15.88308984227397,1.3328280377441706,4.364191753586212,7.742542176106747,2.5267329561778835,,,,,0.11486611594652116,0.041351801740747623,,
ext400,40 t,inel366,1.702601759837184,0.007664731049723203,0.39352250617386003,1.093118072705167,4.420638179790591,0.41113523667323476,1.7620092206922675,3.1259925035806218,1.8611447542976483,,,,,0.03415993977203647,0.012297578317933126,,
ext400,40 t,inel380,10.494835738956743,0.007664731049723203,0.047702905470313084,0.13250807075086965,0.5098674741679297,0.05125569074595328,0.28585487897290524,0.5071370786755434,1.3906504366164354,,,,,0.0041408772109646766,0.0014907157959472839,,
ext400,60 t,L10,0.39400984278435736,0.042821251115337106,3.0485210047863482,8.468113902184289,38.731153834620635,2.9708919457876197,7.614022986836671,13.508089798526,3.3365202272796624,,,,,,,0.17641903962883934,0.06351085426638226
ext400,60 t,inel300,0.4010782584736796,0.042821251115337106,3.472256400231494,9.645156667309697,47.34404762242079,3.280486782788831,7.47983700591657,13.270029540092,3.868462638830373,,,,,,,0.20094076390228535,0.07233867500482279
ext400,60 t,inel350,0.6874125082920092,0.042821251115337106,1.3062856542159738,3.6285712617110377,15.623707176373212,1.3181097878071237,4.364191753586212,7.742542176106747,2.494325272529085,,,,,,,0.07559523461897995,0.027214284462832788
ext400,60 t,inel366,1.702601759837184,0.007609983509703301,0.38783830705964534,1.077328630721238,4.343769567891126,0.40584820757221407,1.7620092206922675,3.1259925035806218,1.8342616225889636,,,,,,,0.022444346473359123,0.008079964730409278
