m_chi_GeV,delta_keV,R_June_eff,R_June_sharp,R_June_200_270_eff,R_June_total_noeff,R_Dec_eff,June_over_Dec,R_avg_eff,June_over_avg
400,400,0.0,0.0,0.0,0.0,0.0,inf,,
1000,0,137443385.3911038,134946504.30228773,48381.83151804839,189025922.55249158,,,141156479.10158882,0.9736951946228927
1000,25,100177822.51778129,101208158.6489976,39225.71928131328,126148232.3070829,,,100028104.01140586,1.001496764412913
1000,50,55203759.37574681,57193350.44937296,30897.525245990084,62260102.27580135,,,53141689.248316795,1.038803247630961
1000,75,25216823.747533046,25750982.161666073,23612.041340018302,26928637.14746582,,,23417591.40528209,1.076832510701554
1000,100,10121966.981657483,10167260.121852584,17475.74780157866,10599297.400520394,,,9081210.809111968,1.1146054413252067
1000,125,3687937.026861069,3688528.3450864977,12506.812368166142,3848383.9654422873,,,3196009.502051941,1.1539192935732183
1000,150,1239170.4154294308,1239158.143443701,8634.359346769124,1295202.8293441592,,,1034818.8072588389,1.1974757384936834
1000,175,387374.3382145605,387365.6637902014,5731.033175368302,406576.87772521115,,,310407.0640483645,1.2479559361903043
1000,200,114821.51255746296,114815.55966696858,3642.7563050636436,121670.29920192795,69596.82782906895,1.64980956947444,88172.4841848058,1.3022374680609194
1000,225,34500.85986678052,34496.91685968954,2200.133185255488,37279.662287842526,19839.03084953328,1.7390395795262432,25733.248100687062,1.3407114302783785
1000,250,11751.468679639265,11748.965113027642,1250.1097853641834,13073.97270730387,6693.018497644173,1.7557800988859629,8717.34566693856,1.3480558335787844
1000,275,4591.447140915171,4589.942980550439,653.6576303770403,5270.00220731384,2448.964730593873,1.874852293116425,3316.7173492925117,1.3843347675962112
1000,300,1696.3639602568521,1695.5223696463693,302.18974020341324,2029.0794138996139,703.2590996237802,2.4121464779685744,1094.7222432083108,1.5495838974508322
1000,310,1054.5049264363229,1053.858313266939,210.71720301139666,1296.2495216546254,,,,
1000,320,609.074929241082,608.5871106810117,140.7461224646234,780.0657264528535,,,,
1000,325,446.83599010377816,446.41544074169946,112.6087506933506,588.9549696466264,99.4180928743686,4.494513797085509,219.239291490466,2.038120024316944
1000,330,318.5351416192482,318.17620274701386,88.55909381132021,435.58652436160776,,,,
1000,340,145.37312009078335,145.11810803158698,51.019543971980276,222.29681400549464,,,,
1000,350,54.74455052304546,54.5721209772999,25.595632906625145,102.71083581229624,1.97447523218408,27.726126735198083,13.131824103061621,4.1688458582294015
1000,360,15.456944106625315,15.347658973229215,9.982848780270533,43.172803725095875,,,,
1000,370,2.7248240612676655,2.663051783238716,2.274341633181825,16.866020711147264,,,,
1000,375,0.8716683599485986,0.8283849185024047,0.76251702869766,10.269580995492746,0.0004038990710193091,2158.1341045147565,0.023198470210212145,37.57438969251013
1000,380,0.22477667604180926,0.19690856507271384,0.1877521121031719,5.9849720123552705,,,,
1000,390,0.012284887926420312,0.005403693842182746,0.0039730287809012586,1.4938977682109695,,,,
1000,400,0.0004286086785626953,5.274947629785619e-05,3.0235584723436155e-05,0.1704509083365692,0.0,inf,0.0,inf
4000,0,34762871.03187589,34144834.997295216,13996.799681788676,47704644.153006375,,,,
4000,25,25753400.780420374,26019515.232669737,11593.55503379269,32379923.414009377,,,,
4000,50,14502065.499047654,15019827.005318401,9341.605381195926,16346800.247552225,,,,
4000,75,6795822.502690066,6938687.665026025,7312.321446432878,7257142.803073262,,,,
4000,100,2808832.882881583,2821562.9789938186,5550.155020416107,2942148.66986304,,,,
4000,125,1058427.646333031,1058624.1967302084,4079.2522575257635,1105017.822527348,,,,
4000,150,370379.48567178694,370375.01442317484,2897.967028740173,387495.2998508175,,,,
4000,175,121905.35898650793,121902.09541936906,1984.4108109625251,128198.27733159094,,,,
4000,200,38620.31738217967,38618.00019029072,1305.9931674797494,41081.15027253317,24393.524133645442,1.5832200862240948,,
4000,225,12526.091237292992,12524.495004765575,822.0380565537711,13627.917759696205,7581.687232501792,1.652150880557975,,
4000,250,4564.95336474537,4563.8928010474065,490.85702618852605,5136.386237416671,2747.019964279202,1.66178383270075,,
4000,275,1901.7450489667997,1901.0686475916823,274.68891749846625,2221.2063132479184,1106.8935940029783,1.7180920183026036,,
4000,300,793.5426807095891,793.1339776000443,140.6318166355347,969.9486309289534,399.3278645964187,1.9871958635082585,,
4000,310,536.0735053434906,535.7454768865827,103.97145081854731,672.7880700586467,,,,
4000,320,346.7961224601731,346.53600478681517,74.89618951124851,451.2387223910698,,,,
4000,325,273.3336976604002,273.1038149233276,62.84627844196462,364.09635910317616,98.8149533554835,2.766116750337283,,
4000,330,212.00582129719004,211.80297572739948,52.22881660220694,290.5209839107565,,,,
4000,340,120.47715869010764,120.32167596786886,34.868844756851416,178.4296241325797,,,,
4000,350,62.282340037391705,62.165976243675416,21.932827123916443,104.11601592840854,11.06087287559161,5.630870252096666,,
4000,360,28.45965523924409,28.37503664939055,12.644229252511735,57.86959703913016,,,,
4000,370,10.962518287855538,10.903201275646367,6.346204990483008,30.93433473321037,,,,
4000,375,6.263186587950678,6.214504808480095,4.156165560004426,22.456288035558785,0.16339383995817464,38.33184035306301,,
4000,380,3.3160573829275197,3.2767423143809724,2.496987088776771,16.25954942152301,,,,
4000,390,0.6938308394842674,0.669893859786745,0.6132437868274393,8.514930675539526,,,,
4000,400,0.08477443987056922,0.07214668540702604,0.06861241850342761,4.315462012954553,0.00020980931238189713,404.0547052375916,,
