m_chi_GeV,dmax_E216_June_vesc544,dmax_E248_June_vesc544,dmax_E280_June_vesc544,dabs_June_vesc544,dmax_E216_avg_vesc544,dmax_E248_avg_vesc544,dmax_E280_avg_vesc544,dabs_avg_vesc544,dmax_E216_Dec_vesc544,dmax_E248_Dec_vesc544,dmax_E280_Dec_vesc544,dabs_Dec_vesc544,dmax_E216_June_vesc500,dmax_E248_June_vesc500,dmax_E280_June_vesc500,dabs_June_vesc500,dmax_E216_June_vesc600,dmax_E248_June_vesc600,dmax_E280_June_vesc600,dabs_June_vesc600
106.62695572228829,156.65926564104547,132.3117634912035,105.18192056701507,207.53627294783482,145.48648453718133,120.33994138068262,92.46114969033289,200.13072830871977,133.98190699741448,108.0125938310966,79.36261195331575,192.6458524362511,122.91180267288699,96.15079160959648,66.75874373248563,185.57831295273874,199.61058214597446,178.33481861324873,154.08414562914348,237.25800570592722
108.73845306043069,161.47351625104722,137.8392364137981,111.42261580220243,209.71250255512277,150.30073514718305,125.86741430327723,98.70184492552026,202.22930322329873,138.7961576074162,113.54006675369119,85.60330718850311,194.66594078918385,127.72605328288873,101.67826453219108,72.999438967673,187.52429094194457,204.42483275597618,183.86229153584335,160.32484086433084,239.7458980114478
110.89176366219664,166.19428312036607,143.25937615264567,117.54212841057871,211.89125351359593,155.02150201650193,131.28755404212478,104.82135753389653,204.33030951935066,143.51692447673508,118.96020649253876,91.72281979687939,196.6883695900849,132.44682015220758,107.09840427103865,79.11895157604928,189.4725235158197,209.14559962529503,189.2824312746909,166.44435347270712,242.23667275648307
113.08771554142393,170.823381528363,148.5742669173829,123.54281153205632,214.07211066139638,159.65060042449886,136.60244480686202,110.82204065537414,206.43334684929386,148.14602288473202,124.27509725727599,97.723502918357,198.71275346434533,137.0759185602045,112.41329503577587,85.11963469752689,191.42263943787572,213.774698033292,194.59732203942812,172.44503659418473,244.7298553229191
115.32715310882703,175.36259150507016,153.78595244619476,129.426972612973,216.25465722316343,164.18981040120602,141.81413033567387,116.70620173629082,208.53801330961872,152.68523286143918,129.48678278608784,103.60766399927367,200.73870553961993,141.61512853691167,117.62498056458773,91.00379577844356,193.37426602883474,218.31390800999915,199.80900756824,178.3291976751014,247.22496924806575
117.61093749669854,179.81365851566596,158.8964367916937,135.19687429337498,218.4384751276233,168.6408774118018,146.9246146811728,122.4761034166928,210.64390574714474,157.13629987203495,134.5972671315868,109.37756567967564,202.76583774063025,146.06619554750748,122.73546491008668,96.77369745884553,195.3270294506175,222.76497502059493,204.91949191373894,184.0990993555034,249.72153658772922
119.93994689004104,184.1782941316612,163.90768509154017,140.85473527707256,220.62314532729002,173.00551302779706,151.93586298101928,128.1339644003904,212.7506200673135,161.50093548803022,139.60851543143326,115.03542666337324,204.79376108592734,150.43083116350272,127.74671320993315,102.43155844254312,197.28055499221847,227.1296106365902,209.9307402135854,189.756960339201,252.21907828169793
122.31507686425566,188.45817668904846,168.8216243240959,146.40273118479675,222.8082481197563,177.2853955851843,156.849802213575,133.68196030811458,214.85775154401497,165.78081804541745,144.52245466398898,120.58342257109743,206.82208598613073,154.71071372088997,132.66065244248887,107.9795543502673,199.23446735700367,231.40949319397743,214.84467944614113,195.30495624692517,254.7171145210464
124.73724072951897,192.65495193367616,173.6401440494091,151.84299539079564,224.99336347005595,181.482170829812,161.6683219388882,139.12222451411344,216.964895130447,169.97759329004515,149.34097438930218,126.0236867770963,208.85042254316156,158.90748896551767,137.47917216780206,113.4198185562662,201.1883909509658,235.60626843860513,219.66319917145432,200.74522045292403,257.21516511666357
127.20736988197835,196.77023365408698,178.3650971358067,157.1776198431799,227.17807133356726,185.59745255022284,166.39327502528585,144.45684896649774,219.0716457704963,174.092875010456,154.0659274756998,131.3583112294806,210.8783808499781,163.02277068592852,142.20412525419968,118.75444300865048,203.14195017146372,239.72155015901598,224.38815225785194,206.07984490530833,259.7127498684001
129.7264141619019,200.80560430206836,182.99830047237796,162.40865586834104,229.3619519789326,189.63282319820422,171.02647836185707,149.68788499165885,221.17759871013567,178.12824565843738,158.69913081227105,136.58934725464172,212.90557129032675,167.0581413339099,146.83732859077094,123.9854790338116,205.094769695976,243.75692080699736,229.0213555944232,211.31088093046944,262.20938893423414
132.2953422189219,204.76261560115512,187.54153566762565,167.53811495974978,231.54458631046757,193.58983449729095,175.56971355710476,154.8173440830676,223.28234980832804,182.0852569575241,163.24236600751874,141.71880634605046,214.93160483801827,171.01515263299663,151.38056378601863,129.11493812522036,207.04647477039833,247.7139321060841,233.5645907896709,216.4403400218782,264.7046031988531
134.91514188450964,208.6427891433134,191.99654973454818,172.56796955143653,233.72555618953098,197.47000803944925,180.02472762402732,159.84719867475434,225.38549584692944,185.9654304996824,167.69738007444127,146.74866093773718,216.95609335524037,174.8953261751549,155.83557785294119,134.1447927169071,208.9966914964116,251.5941056482424,238.01960485659342,221.47019461356493,267.19791464104776
137.58682055182712,212.44761697404022,196.36505576241973,177.50015377645275,235.90444475433526,201.27483587017608,184.39323365189887,164.77938289977058,227.48663483908734,189.77025833040923,172.06588610231285,151.68084516275343,218.97864988942186,178.70015400588173,160.20408388081273,139.07697694192333,210.9450471174554,255.39893347896918,242.38811088446496,226.40237883858117,269.6888466993239
140.31140556310066,216.17856216610036,200.6487335755258,182.33656421060473,238.08083673767723,205.00578106223622,188.6769114650049,169.61579333392257,229.5853663356338,193.50120352246938,176.34956391541888,156.51725559690541,220.99888896816702,182.4310991979419,164.48776169391877,143.9133873760753,212.8911703028418,259.12987867102936,246.67178869757103,231.23878927273316,272.1769246351355
143.08994460466477,219.83705938212174,204.84923037910588,187.0790606017435,240.25431878207593,208.6642782782576,192.877408268585,174.35828972506133,231.6812917289783,197.15970073849076,180.55006071899896,161.25975198804417,223.01642689178252,186.08959641396325,168.68825849749885,148.65588376721408,214.8346914295509,262.78837588705073,250.8722855011511,235.98128566387192,274.6616758931544
145.92350610983053,223.42451542626853,208.9681613927559,191.72946658489678,242.4244797518141,212.25173432240436,196.99633928223503,179.0086957082146,233.7740145540144,200.74715678263752,184.668991732649,165.91015797119744,225.03088202293048,189.67705245811004,172.8071895111489,153.30628975036734,216.77524286125708,266.3758319311975,254.99121651480112,240.63169164702518,277.1426304579997
148.81317966973057,226.94230978520014,213.00711047152924,196.2895703835118,244.59091104138366,215.769528681336,201.03528836100838,183.5687995068296,235.86314078555915,204.26495114156916,188.70794081142233,170.47026176981245,227.04187507294347,193.19484681704168,176.84613858992222,157.86639354898236,218.71245922414033,269.89362629012913,259.0301655935745,245.1917954456402,279.61932120685685
151.76007645229961,230.39179515852467,216.96763071497594,200.76112549708066,246.75320687984836,219.21901405466053,204.99580860445508,188.04035462039846,237.94827913185503,207.7144365148937,192.66846105486903,174.94181688338134,229.04902938434955,196.64433219036619,180.8066588333689,162.3379486625512,220.64597767904615,273.34311166345367,262.9906858370212,249.66335055920905,282.09128425742836
154.7653296295535,233.7742979789551,220.85124506435903,205.14585137541647,248.91096463065065,222.60151687509097,208.87942295383817,192.42508049873427,240.02904132367868,211.09693933532412,196.55207540425212,179.32654276171712,231.05197120916836,200.02683501079662,184.690273182752,166.72267454088703,222.5754381895721,276.7256144838841,266.8743001864043,254.04807643754486,284.5580593106767
157.83009481332797,237.0911189223625,224.65944688827122,209.44543407983343,251.06378508639563,225.91833781849834,212.68762477775036,196.72466320315127,242.1050423986062,214.4137602787315,200.3602772281643,183.6261254661341,233.050329982545,203.34365595420402,188.4984750066642,171.022257245304,224.50048378566277,280.0424354272915,270.68250201031645,258.34765914196186,287.0191899878252
160.95555049964707,240.34353340792558,228.3937005568807,213.6615269314893,253.21127275816457,229.17075230406144,216.4218784463598,200.9407560548071,244.17590098000292,217.6661747642946,204.0945308967738,187.84221831778999,235.04373859130544,206.59607043976712,192.23272867527368,175.23835009695986,226.4207608223129,283.2948499128546,274.41675567892594,262.5637519936177,289.47422416110453
