doy,p_delta300,p_delta330,p_delta350,p_delta366,p_delta380,p_flat
46.00,2.390531e-03,1.996013e-03,1.277205e-03,4.099842e-04,2.095690e-04,2.737851e-03
47.00,2.409108e-03,2.026619e-03,1.315454e-03,4.338117e-04,2.228021e-04,2.737851e-03
48.00,2.427832e-03,2.057632e-03,1.354659e-03,4.589427e-04,2.367139e-04,2.737851e-03
49.00,2.446699e-03,2.089048e-03,1.394825e-03,4.854294e-04,2.513392e-04,2.737851e-03
50.00,2.465704e-03,2.120861e-03,1.435961e-03,5.133245e-04,2.667126e-04,2.737851e-03
51.00,2.484842e-03,2.153067e-03,1.478073e-03,5.426802e-04,2.828691e-04,2.737851e-03
52.00,2.504109e-03,2.185660e-03,1.521167e-03,5.735490e-04,2.998434e-04,2.737851e-03
53.00,2.523499e-03,2.218635e-03,1.565247e-03,6.059837e-04,3.176808e-04,2.737851e-03
54.00,2.543008e-03,2.251983e-03,1.610311e-03,6.400376e-04,3.364432e-04,2.737851e-03
55.00,2.562629e-03,2.285695e-03,1.656356e-03,6.757643e-04,3.561944e-04,2.737851e-03
56.00,2.582357e-03,2.319763e-03,1.703379e-03,7.132171e-04,3.769981e-04,2.737851e-03
57.00,2.602186e-03,2.354177e-03,1.751378e-03,7.524494e-04,3.989179e-04,2.737851e-03
58.00,2.622110e-03,2.388930e-03,1.800350e-03,7.935147e-04,4.220175e-04,2.737851e-03
59.00,2.642125e-03,2.424012e-03,1.850292e-03,8.364664e-04,4.463606e-04,2.737851e-03
60.00,2.662224e-03,2.459416e-03,1.901202e-03,8.813580e-04,4.720109e-04,2.737851e-03
61.00,2.682402e-03,2.495131e-03,1.953076e-03,9.282428e-04,4.990321e-04,2.737851e-03
62.00,2.702652e-03,2.531150e-03,2.005913e-03,9.771743e-04,5.274878e-04,2.737851e-03
63.00,2.722970e-03,2.567463e-03,2.059706e-03,1.028200e-03,5.574474e-04,2.737851e-03
64.00,2.743348e-03,2.604057e-03,2.114442e-03,1.081354e-03,5.889936e-04,2.737851e-03
65.00,2.763781e-03,2.640921e-03,2.170107e-03,1.136668e-03,6.222112e-04,2.737851e-03
66.00,2.784262e-03,2.678043e-03,2.226688e-03,1.194172e-03,6.571852e-04,2.737851e-03
67.00,2.804783e-03,2.715409e-03,2.284170e-03,1.253900e-03,6.940002e-04,2.737851e-03
68.00,2.825340e-03,2.753008e-03,2.342539e-03,1.315882e-03,7.327413e-04,2.737851e-03
69.00,2.845924e-03,2.790827e-03,2.401782e-03,1.380149e-03,7.734932e-04,2.737851e-03
70.00,2.866530e-03,2.828854e-03,2.461883e-03,1.446734e-03,8.163408e-04,2.737851e-03
71.00,2.887152e-03,2.867077e-03,2.522829e-03,1.515669e-03,8.613689e-04,2.737851e-03
72.00,2.907782e-03,2.905483e-03,2.584606e-03,1.586983e-03,9.086623e-04,2.737851e-03
73.00,2.928414e-03,2.944060e-03,2.647197e-03,1.660704e-03,9.583133e-04,2.737851e-03
74.00,2.949041e-03,2.982792e-03,2.710577e-03,1.736831e-03,1.010441e-03,2.737851e-03
75.00,2.969656e-03,3.021663e-03,2.774717e-03,1.815363e-03,1.065172e-03,2.737851e-03
76.00,2.990252e-03,3.060659e-03,2.839591e-03,1.896293e-03,1.122630e-03,2.737851e-03
77.00,3.010822e-03,3.099762e-03,2.905169e-03,1.979620e-03,1.182943e-03,2.737851e-03
78.00,3.031358e-03,3.138959e-03,2.971425e-03,2.065338e-03,1.246234e-03,2.737851e-03
79.00,3.051853e-03,3.178232e-03,3.038330e-03,2.153444e-03,1.312631e-03,2.737851e-03
80.00,3.072301e-03,3.217568e-03,3.105857e-03,2.243934e-03,1.382258e-03,2.737851e-03
81.00,3.092693e-03,3.256948e-03,3.173977e-03,2.336805e-03,1.455241e-03,2.737851e-03
82.00,3.113024e-03,3.296359e-03,3.242664e-03,2.432051e-03,1.531706e-03,2.737851e-03
83.00,3.133285e-03,3.335785e-03,3.311887e-03,2.529665e-03,1.611775e-03,2.737851e-03
84.00,3.153470e-03,3.375207e-03,3.381609e-03,2.629602e-03,1.695553e-03,2.737851e-03
85.00,3.173571e-03,3.414608e-03,3.451790e-03,2.731809e-03,1.783138e-03,2.737851e-03
86.00,3.193581e-03,3.453971e-03,3.522391e-03,2.836233e-03,1.874630e-03,2.737851e-03
87.00,3.213492e-03,3.493276e-03,3.593371e-03,2.942819e-03,1.970125e-03,2.737851e-03
88.00,3.233297e-03,3.532508e-03,3.664690e-03,3.051514e-03,2.069724e-03,2.737851e-03
89.00,3.252988e-03,3.571646e-03,3.736309e-03,3.162263e-03,2.173525e-03,2.737851e-03
90.00,3.272558e-03,3.610674e-03,3.808186e-03,3.275013e-03,2.281626e-03,2.737851e-03
91.00,3.292000e-03,3.649574e-03,3.880282e-03,3.389709e-03,2.394125e-03,2.737851e-03
92.00,3.311305e-03,3.688328e-03,3.952557e-03,3.506298e-03,2.511122e-03,2.737851e-03
93.00,3.330468e-03,3.726917e-03,4.024970e-03,3.624723e-03,2.632706e-03,2.737851e-03
94.00,3.349480e-03,3.765324e-03,4.097476e-03,3.744890e-03,2.758887e-03,2.737851e-03
95.00,3.368334e-03,3.803529e-03,4.170027e-03,3.866690e-03,2.889637e-03,2.737851e-03
96.00,3.387023e-03,3.841514e-03,4.242575e-03,3.990014e-03,3.024925e-03,2.737851e-03
97.00,3.405539e-03,3.879259e-03,4.315072e-03,4.114752e-03,3.164723e-03,2.737851e-03
98.00,3.423875e-03,3.916746e-03,4.387471e-03,4.240793e-03,3.309000e-03,2.737851e-03
99.00,3.442025e-03,3.953955e-03,4.459723e-03,4.368029e-03,3.457726e-03,2.737851e-03
100.00,3.459980e-03,3.990869e-03,4.531780e-03,4.496349e-03,3.610871e-03,2.737851e-03
101.00,3.477734e-03,4.027468e-03,4.603595e-03,4.625643e-03,3.768407e-03,2.737851e-03
102.00,3.495278e-03,4.063732e-03,4.675120e-03,4.755803e-03,3.930303e-03,2.737851e-03
103.00,3.512606e-03,4.099644e-03,4.746307e-03,4.886715e-03,4.096523e-03,2.737851e-03
104.00,3.529712e-03,4.135185e-03,4.817105e-03,5.018253e-03,4.266940e-03,2.737851e-03
105.00,3.546587e-03,4.170336e-03,4.887463e-03,5.150272e-03,4.441361e-03,2.737851e-03
106.00,3.563225e-03,4.205079e-03,4.957329e-03,5.282629e-03,4.619590e-03,2.737851e-03
107.00,3.579620e-03,4.239395e-03,5.026653e-03,5.415183e-03,4.801430e-03,2.737851e-03
108.00,3.595765e-03,4.273268e-03,5.095382e-03,5.547788e-03,4.986687e-03,2.737851e-03
109.00,3.611653e-03,4.306677e-03,5.163464e-03,5.680303e-03,5.175164e-03,2.737851e-03
110.00,3.627278e-03,4.339606e-03,5.230848e-03,5.812585e-03,5.366665e-03,2.737851e-03
111.00,3.642631e-03,4.372035e-03,5.297483e-03,5.944489e-03,5.560995e-03,2.737851e-03
112.00,3.657708e-03,4.403947e-03,5.363317e-03,6.075873e-03,5.757958e-03,2.737851e-03
113.00,3.672501e-03,4.435322e-03,5.428298e-03,6.206595e-03,5.957355e-03,2.737851e-03
114.00,3.687004e-03,4.466145e-03,5.492376e-03,6.336504e-03,6.158899e-03,2.737851e-03
115.00,3.701211e-03,4.496398e-03,5.555503e-03,6.465447e-03,6.362209e-03,2.737851e-03
116.00,3.715117e-03,4.526066e-03,5.617630e-03,6.593268e-03,6.566899e-03,2.737851e-03
117.00,3.728715e-03,4.555132e-03,5.678709e-03,6.719813e-03,6.772584e-03,2.737851e-03
118.00,3.742000e-03,4.583579e-03,5.738691e-03,6.844927e-03,6.978877e-03,2.737851e-03
119.00,3.754966e-03,4.611393e-03,5.797528e-03,6.968455e-03,7.185393e-03,2.737851e-03
120.00,3.767608e-03,4.638557e-03,5.855172e-03,7.090243e-03,7.391747e-03,2.737851e-03
121.00,3.779919e-03,4.665054e-03,5.911574e-03,7.210134e-03,7.597553e-03,2.737851e-03
122.00,3.791895e-03,4.690868e-03,5.966686e-03,7.327975e-03,7.802424e-03,2.737851e-03
123.00,3.803528e-03,4.715984e-03,6.020459e-03,7.443611e-03,8.005976e-03,2.737851e-03
124.00,3.814815e-03,4.740386e-03,6.072849e-03,7.556893e-03,8.207804e-03,2.737851e-03
125.00,3.825751e-03,4.764061e-03,6.123815e-03,7.667684e-03,8.407480e-03,2.737851e-03
126.00,3.836330e-03,4.786998e-03,6.173318e-03,7.775845e-03,8.604571e-03,2.737851e-03
127.00,3.846550e-03,4.809184e-03,6.221319e-03,7.881241e-03,8.798647e-03,2.737851e-03
128.00,3.856405e-03,4.830606e-03,6.267779e-03,7.983733e-03,8.989275e-03,2.737851e-03
129.00,3.865892e-03,4.851252e-03,6.312658e-03,8.083185e-03,9.176024e-03,2.737851e-03
130.00,3.875005e-03,4.871109e-03,6.355917e-03,8.179458e-03,9.358461e-03,2.737851e-03
131.00,3.883741e-03,4.890164e-03,6.397517e-03,8.272417e-03,9.536156e-03,2.737851e-03
132.00,3.892095e-03,4.908407e-03,6.437418e-03,8.361923e-03,9.708677e-03,2.737851e-03
133.00,3.900062e-03,4.925822e-03,6.475582e-03,8.447840e-03,9.875592e-03,2.737851e-03
134.00,3.907640e-03,4.942401e-03,6.511972e-03,8.530043e-03,1.003650e-02,2.737851e-03
135.00,3.914825e-03,4.958134e-03,6.546562e-03,8.608437e-03,1.019106e-02,2.737851e-03
136.00,3.921614e-03,4.973014e-03,6.579329e-03,8.682931e-03,1.033894e-02,2.737851e-03
137.00,3.928006e-03,4.987033e-03,6.610247e-03,8.753433e-03,1.047981e-02,2.737851e-03
138.00,3.933996e-03,5.000184e-03,6.639292e-03,8.819854e-03,1.061335e-02,2.737851e-03
139.00,3.939583e-03,5.012458e-03,6.666439e-03,8.882100e-03,1.073922e-02,2.737851e-03
140.00,3.944764e-03,5.023848e-03,6.691662e-03,8.940082e-03,1.085709e-02,2.737851e-03
141.00,3.949537e-03,5.034346e-03,6.714938e-03,8.993708e-03,1.096664e-02,2.737851e-03
142.00,3.953898e-03,5.043945e-03,6.736241e-03,9.042888e-03,1.106753e-02,2.737851e-03
143.00,3.957845e-03,5.052637e-03,6.755547e-03,9.087529e-03,1.115944e-02,2.737851e-03
144.00,3.961376e-03,5.060415e-03,6.772834e-03,9.127553e-03,1.124208e-02,2.737851e-03
145.00,3.964490e-03,5.067275e-03,6.788092e-03,9.162922e-03,1.131530e-02,2.737851e-03
146.00,3.967185e-03,5.073217e-03,6.801314e-03,9.193609e-03,1.137900e-02,2.737851e-03
147.00,3.969462e-03,5.078237e-03,6.812493e-03,9.219584e-03,1.143306e-02,2.737851e-03
148.00,3.971319e-03,5.082334e-03,6.821620e-03,9.240818e-03,1.147738e-02,2.737851e-03
149.00,3.972756e-03,5.085504e-03,6.828687e-03,9.257282e-03,1.151184e-02,2.737851e-03
150.00,3.973772e-03,5.087745e-03,6.833689e-03,9.268949e-03,1.153633e-02,2.737851e-03
151.00,3.974365e-03,5.089056e-03,6.836616e-03,9.275788e-03,1.155074e-02,2.737851e-03
152.00,3.974536e-03,5.089434e-03,6.837461e-03,9.277773e-03,1.155496e-02,2.737851e-03
153.00,3.974284e-03,5.088876e-03,6.836218e-03,9.274875e-03,1.154890e-02,2.737851e-03
154.00,3.973607e-03,5.087382e-03,6.832883e-03,9.267087e-03,1.153251e-02,2.737851e-03
155.00,3.972508e-03,5.084955e-03,6.827466e-03,9.254440e-03,1.150594e-02,2.737851e-03
156.00,3.970987e-03,5.081598e-03,6.819977e-03,9.236978e-03,1.146933e-02,2.737851e-03
157.00,3.969045e-03,5.077314e-03,6.810429e-03,9.214745e-03,1.142285e-02,2.737851e-03
158.00,3.966684e-03,5.072108e-03,6.798833e-03,9.187784e-03,1.136667e-02,2.737851e-03
159.00,3.963905e-03,5.065983e-03,6.785200e-03,9.156139e-03,1.130094e-02,2.737851e-03
160.00,3.960710e-03,5.058942e-03,6.769543e-03,9.119853e-03,1.122585e-02,2.737851e-03
161.00,3.957098e-03,5.050989e-03,6.751873e-03,9.078972e-03,1.114154e-02,2.737851e-03
162.00,3.953073e-03,5.042128e-03,6.732202e-03,9.033537e-03,1.104818e-02,2.737851e-03
163.00,3.948634e-03,5.032362e-03,6.710541e-03,8.983594e-03,1.094594e-02,2.737851e-03
164.00,3.943784e-03,5.021695e-03,6.686903e-03,8.929190e-03,1.083500e-02,2.737851e-03
165.00,3.938524e-03,5.010135e-03,6.661311e-03,8.870406e-03,1.071565e-02,2.737851e-03
166.00,3.932858e-03,4.997688e-03,6.633790e-03,8.807340e-03,1.058826e-02,2.737851e-03
167.00,3.926787e-03,4.984365e-03,6.604369e-03,8.740089e-03,1.045318e-02,2.737851e-03
168.00,3.920316e-03,4.970172e-03,6.573074e-03,8.668750e-03,1.031077e-02,2.737851e-03
169.00,3.913447e-03,4.955119e-03,6.539932e-03,8.593424e-03,1.016140e-02,2.737851e-03
170.00,3.906184e-03,4.939214e-03,6.504973e-03,8.514220e-03,1.000543e-02,2.737851e-03
171.00,3.898529e-03,4.922469e-03,6.468227e-03,8.431249e-03,9.843245e-03,2.737851e-03
172.00,3.890485e-03,4.904891e-03,6.429725e-03,8.344620e-03,9.675212e-03,2.737851e-03
173.00,3.882057e-03,4.886490e-03,6.389497e-03,8.254446e-03,9.501705e-03,2.737851e-03
174.00,3.873247e-03,4.867277e-03,6.347572e-03,8.160837e-03,9.323103e-03,2.737851e-03
175.00,3.864060e-03,4.847263e-03,6.303989e-03,8.063924e-03,9.139815e-03,2.737851e-03
176.00,3.854500e-03,4.826461e-03,6.258788e-03,7.963849e-03,8.952273e-03,2.737851e-03
177.00,3.844571e-03,4.804884e-03,6.212012e-03,7.860755e-03,8.760913e-03,2.737851e-03
178.00,3.834279e-03,4.782547e-03,6.163701e-03,7.754784e-03,8.566167e-03,2.737851e-03
179.00,3.823628e-03,4.759462e-03,6.113898e-03,7.646079e-03,8.368470e-03,2.737851e-03
180.00,3.812623e-03,4.735642e-03,6.062645e-03,7.534783e-03,8.168255e-03,2.737851e-03
181.00,3.801268e-03,4.711101e-03,6.009982e-03,7.421037e-03,7.965957e-03,2.737851e-03
182.00,3.789569e-03,4.685851e-03,5.955951e-03,7.304985e-03,7.762008e-03,2.737851e-03
183.00,3.777529e-03,4.659908e-03,5.900595e-03,7.186769e-03,7.556843e-03,2.737851e-03
184.00,3.765154e-03,4.633283e-03,5.843954e-03,7.066532e-03,7.350893e-03,2.737851e-03
185.00,3.752448e-03,4.605992e-03,5.786076e-03,6.944422e-03,7.144552e-03,2.737851e-03
186.00,3.739419e-03,4.578051e-03,5.727008e-03,6.820594e-03,6.938174e-03,2.737851e-03
187.00,3.726071e-03,4.549478e-03,5.666802e-03,6.695202e-03,6.732110e-03,2.737851e-03
188.00,3.712411e-03,4.520290e-03,5.605506e-03,6.568400e-03,6.526713e-03,2.737851e-03
189.00,3.698445e-03,4.490503e-03,5.543172e-03,6.440344e-03,6.322334e-03,2.737851e-03
190.00,3.684178e-03,4.460134e-03,5.479849e-03,6.311187e-03,6.119327e-03,2.737851e-03
191.00,3.669618e-03,4.429200e-03,5.415586e-03,6.181084e-03,5.918043e-03,2.737851e-03
192.00,3.654769e-03,4.397719e-03,5.350434e-03,6.050189e-03,5.718834e-03,2.737851e-03
193.00,3.639639e-03,4.365706e-03,5.284443e-03,5.918658e-03,5.522052e-03,2.737851e-03
194.00,3.624232e-03,4.333179e-03,5.217662e-03,5.786644e-03,5.328048e-03,2.737851e-03
195.00,3.608556e-03,4.300155e-03,5.150141e-03,5.654295e-03,5.137092e-03,2.737851e-03
196.00,3.592617e-03,4.266653e-03,5.081933e-03,5.521750e-03,4.949342e-03,2.737851e-03
197.00,3.576422e-03,4.232692e-03,5.013088e-03,5.389148e-03,4.764943e-03,2.737851e-03
198.00,3.559977e-03,4.198289e-03,4.943657e-03,5.256625e-03,4.584044e-03,2.737851e-03
199.00,3.543291e-03,4.163464e-03,4.873692e-03,5.124322e-03,4.406792e-03,2.737851e-03
200.00,3.526370e-03,4.128235e-03,4.803243e-03,4.992374e-03,4.233333e-03,2.737851e-03
201.00,3.509220e-03,4.092620e-03,4.732363e-03,4.860922e-03,4.063816e-03,2.737851e-03
202.00,3.491849e-03,4.056638e-03,4.661101e-03,4.730101e-03,3.898387e-03,2.737851e-03
203.00,3.474264e-03,4.020307e-03,4.589510e-03,4.600052e-03,3.737194e-03,2.737851e-03
204.00,3.456471e-03,3.983647e-03,4.517641e-03,4.470912e-03,3.580384e-03,2.737851e-03
205.00,3.438477e-03,3.946675e-03,4.445543e-03,4.342806e-03,3.428059e-03,2.737851e-03
206.00,3.420291e-03,3.909410e-03,4.373263e-03,4.215836e-03,3.280233e-03,2.737851e-03
207.00,3.401918e-03,3.871872e-03,4.300847e-03,4.090098e-03,3.136905e-03,2.737851e-03
208.00,3.383367e-03,3.834078e-03,4.228342e-03,3.965690e-03,2.998075e-03,2.737851e-03
209.00,3.364645e-03,3.796049e-03,4.155794e-03,3.842710e-03,2.863745e-03,2.737851e-03
210.00,3.345759e-03,3.757802e-03,4.083250e-03,3.721254e-03,2.733913e-03,2.737851e-03
211.00,3.326717e-03,3.719357e-03,4.010755e-03,3.601420e-03,2.608582e-03,2.737851e-03
212.00,3.307525e-03,3.680732e-03,3.938357e-03,3.483306e-03,2.487750e-03,2.737851e-03
213.00,3.288193e-03,3.641946e-03,3.866102e-03,3.367009e-03,2.371419e-03,2.737851e-03
214.00,3.268725e-03,3.603018e-03,3.794035e-03,3.252626e-03,2.259588e-03,2.737851e-03
215.00,3.249131e-03,3.563967e-03,3.722202e-03,3.140243e-03,2.152233e-03,2.737851e-03
216.00,3.229417e-03,3.524810e-03,3.650641e-03,3.029907e-03,2.049250e-03,2.737851e-03
217.00,3.209591e-03,3.485565e-03,3.579391e-03,2.921662e-03,1.950520e-03,2.737851e-03
218.00,3.189661e-03,3.446249e-03,3.508488e-03,2.815547e-03,1.855922e-03,2.737851e-03
219.00,3.169633e-03,3.406879e-03,3.437972e-03,2.711603e-03,1.765339e-03,2.737851e-03
220.00,3.149514e-03,3.367473e-03,3.367879e-03,2.609874e-03,1.678650e-03,2.737851e-03
221.00,3.129314e-03,3.328048e-03,3.298247e-03,2.510398e-03,1.595736e-03,2.737851e-03
222.00,3.109038e-03,3.288623e-03,3.229115e-03,2.413219e-03,1.516479e-03,2.737851e-03
223.00,3.088694e-03,3.249213e-03,3.160519e-03,2.318376e-03,1.440759e-03,2.737851e-03
224.00,3.068289e-03,3.209838e-03,3.092499e-03,2.225913e-03,1.368456e-03,2.737851e-03
225.00,3.047832e-03,3.170513e-03,3.025089e-03,2.135862e-03,1.299452e-03,2.737851e-03
226.00,3.027328e-03,3.131254e-03,2.958317e-03,2.048227e-03,1.233630e-03,2.737851e-03
227.00,3.006786e-03,3.092076e-03,2.892207e-03,1.963004e-03,1.170876e-03,2.737851e-03
228.00,2.986211e-03,3.052995e-03,2.826784e-03,1.880186e-03,1.111073e-03,2.737851e-03
229.00,2.965611e-03,3.014025e-03,2.762070e-03,1.799769e-03,1.054106e-03,2.737851e-03
230.00,2.944994e-03,2.975181e-03,2.698092e-03,1.721745e-03,9.998595e-04,2.737851e-03
231.00,2.924365e-03,2.936478e-03,2.634872e-03,1.646110e-03,9.482181e-04,2.737851e-03
232.00,2.903732e-03,2.897931e-03,2.572436e-03,1.572858e-03,8.990662e-04,2.737851e-03
233.00,2.883102e-03,2.859555e-03,2.510807e-03,1.501984e-03,8.522884e-04,2.737851e-03
234.00,2.862483e-03,2.821365e-03,2.450011e-03,1.433481e-03,8.077690e-04,2.737851e-03
235.00,2.841880e-03,2.783376e-03,2.390069e-03,1.367342e-03,7.653956e-04,2.737851e-03
236.00,2.821301e-03,2.745600e-03,2.330997e-03,1.303537e-03,7.250787e-04,2.737851e-03
237.00,2.800751e-03,2.708048e-03,2.272807e-03,1.242028e-03,6.867385e-04,2.737851e-03
238.00,2.780238e-03,2.670733e-03,2.215509e-03,1.182774e-03,6.502953e-04,2.737851e-03
239.00,2.759767e-03,2.633664e-03,2.159116e-03,1.125739e-03,6.156697e-04,2.737851e-03
240.00,2.739345e-03,2.596855e-03,2.103639e-03,1.070883e-03,5.827818e-04,2.737851e-03
241.00,2.718978e-03,2.560317e-03,2.049089e-03,1.018168e-03,5.515522e-04,2.737851e-03
242.00,2.698672e-03,2.524060e-03,1.995477e-03,9.675537e-04,5.219011e-04,2.737851e-03
243.00,2.678434e-03,2.488096e-03,1.942816e-03,9.190029e-04,4.937489e-04,2.737851e-03
244.00,2.658271e-03,2.452437e-03,1.891116e-03,8.724764e-04,4.670161e-04,2.737851e-03
245.00,2.638187e-03,2.417095e-03,1.840388e-03,8.279348e-04,4.416240e-04,2.737851e-03
246.00,2.618190e-03,2.382077e-03,1.790637e-03,7.853296e-04,4.175071e-04,2.737851e-03
247.00,2.598284e-03,2.347393e-03,1.741863e-03,7.446069e-04,3.946081e-04,2.737851e-03
248.00,2.578475e-03,2.313049e-03,1.694066e-03,7.057125e-04,3.728700e-04,2.737851e-03
249.00,2.558769e-03,2.279054e-03,1.647246e-03,6.685920e-04,3.522355e-04,2.737851e-03
250.00,2.539170e-03,2.245416e-03,1.601404e-03,6.331915e-04,3.326475e-04,2.737851e-03
251.00,2.519685e-03,2.212142e-03,1.556539e-03,5.994567e-04,3.140490e-04,2.737851e-03
252.00,2.500318e-03,2.179240e-03,1.512652e-03,5.673334e-04,2.963828e-04,2.737851e-03
253.00,2.481075e-03,2.146718e-03,1.469744e-03,5.367674e-04,2.795918e-04,2.737851e-03
254.00,2.461961e-03,2.114583e-03,1.427813e-03,5.077047e-04,2.636188e-04,2.737851e-03
255.00,2.442983e-03,2.082844e-03,1.386860e-03,4.800909e-04,2.484075e-04,2.737851e-03
256.00,2.424144e-03,2.051507e-03,1.346881e-03,4.538736e-04,2.339160e-04,2.737851e-03
257.00,2.405449e-03,2.020574e-03,1.307867e-03,4.290014e-04,2.201158e-04,2.737851e-03
258.00,2.386902e-03,1.990052e-03,1.269810e-03,4.054231e-04,2.069790e-04,2.737851e-03
259.00,2.368509e-03,1.959942e-03,1.232701e-03,3.830874e-04,1.944778e-04,2.737851e-03
260.00,2.350272e-03,1.930250e-03,1.196531e-03,3.619430e-04,1.825842e-04,2.737851e-03
261.00,2.332198e-03,1.900980e-03,1.161292e-03,3.419388e-04,1.712704e-04,2.737851e-03
262.00,2.314289e-03,1.872136e-03,1.126976e-03,3.230234e-04,1.605084e-04,2.737851e-03
263.00,2.296551e-03,1.843721e-03,1.093574e-03,3.051456e-04,1.502703e-04,2.737851e-03
264.00,2.278987e-03,1.815740e-03,1.061076e-03,2.882542e-04,1.405282e-04,2.737851e-03
265.00,2.261603e-03,1.788197e-03,1.029476e-03,2.722981e-04,1.312545e-04,2.737851e-03
266.00,2.244401e-03,1.761095e-03,9.987609e-04,2.572316e-04,1.224280e-04,2.737851e-03
267.00,2.227386e-03,1.734435e-03,9.689177e-04,2.430162e-04,1.140366e-04,2.737851e-03
