kind,variant,delta,mod_fraction,a1,duty10,t1,N3_cos,N5_cos,N3_llr,N5_llr,N_unit_per_2p84,cos_null_bias_per_sqrtN
efficiency,sharp5,350.0,0.9333551070003406,1.1827475409994312,0.6913073237508556,151.90127458519902,11.594663725541029,32.19367494665772,11.45271032093895,31.790470720580494,237409955666.0373,0.0
efficiency,sharp5,366.0,0.9973641397326364,1.538513766667756,0.4914442162902122,151.90182740416805,6.3995202640503805,17.2713030610353,6.387955453086888,17.135424755693364,18965911963.513855,3.925231146709437e-17
efficiency,sharp5,380.0,1.0,1.7198553009102866,0.36960985626283366,151.90141012008263,4.770884582142427,12.630845183847008,4.776132793972093,12.622573833899823,520380726.8161205,0.0
efficiency,edge250,300.0,0.4193055175184775,0.4292135819208185,1.0,151.899980454858,96.47324551456737,268.1569371689475,96.1726540254955,267.32555488906115,12242980529718.898,3.925231146709437e-17
efficiency,edge250,330.0,0.7029117687546752,0.7679948858051768,1.0,151.90054542081762,29.262052800875363,81.43255094748497,29.048750997580946,80.84964343914858,1796520511032.5554,0.0
efficiency,edge250,350.0,0.9372968321753371,1.1932574727453442,0.6844626967830253,151.9012926854963,11.371469780715591,31.56369568271242,11.227203265937968,31.156000120369935,228329192567.43665,3.925231146709437e-17
efficiency,edge250,366.0,0.9984614217125953,1.552379374886744,0.48459958932238195,151.90184026640065,6.272969097253656,16.880701811541282,6.263542072167793,16.762209663746948,17332583965.555775,0.0
efficiency,edge250,380.0,0.9999998178140141,1.7478204687626029,0.3531827515400411,151.9013337887986,4.57017367273212,12.006632344869859,4.572155949464919,11.991848575932698,404409742.1955824,0.0
efficiency,edge290,300.0,0.41784005374002575,0.427641965813542,1.0,151.89997868860334,97.19356166586661,270.14655347812527,96.9082685172123,269.3216968941392,12475672780047.64,3.925231146709438e-17
efficiency,edge290,330.0,0.6955963440204318,0.7584093888261485,1.0,151.90053291633242,30.039608989090123,83.58322587543597,29.835251685113636,83.0176253988549,1868803758454.5813,0.0
efficiency,edge290,350.0,0.9203289275930894,1.1552969224243648,0.7091033538672142,151.90124151175462,12.208398158125693,33.92015897168592,12.080685947180887,33.5587996018032,251716972342.33054,3.925231146709437e-17
efficiency,edge290,366.0,0.9823824164140423,1.4422997829767183,0.5338809034907598,151.9017047715041,7.346136422469719,20.234875550466754,7.330401684993201,20.155608754469167,23587966651.003605,3.925231146709437e-17
efficiency,edge290,380.0,0.9998805071688025,1.54015545929666,0.49623545516769335,151.90168759327616,6.391497522880662,17.230812867709147,6.3945970967008545,17.14544685916073,1570293187.7116709,-3.925231146709437e-17
efficiency,none,300.0,0.41060713785582925,0.41987659113474374,1.0,151.89996897279903,100.8818886541893,280.33733651329834,100.58212844867532,279.52057544871275,14126380942087.14,7.850462293418876e-17
efficiency,none,330.0,0.6525660930160567,0.7027653975263441,1.0,151.9004522119428,35.18368478352259,97.92030745507579,34.988528746788106,97.35336223687798,2450340686082.972,3.925231146709437e-17
efficiency,none,350.0,0.8277494329679621,0.9690091711177133,0.9151266255989049,151.90093659829637,17.889586278924178,49.80912637983656,17.772882058750174,49.48844040121737,471616451975.67505,0.0
efficiency,none,366.0,0.9371801192270576,1.188282855469977,0.6899383983572895,151.90129506086933,11.477990286820091,31.853972306583692,11.34794990217872,31.470479007516953,95858635420.61143,3.925231146709437e-17
efficiency,none,380.0,0.9991703781642512,1.4692450686331515,0.5352498288843258,151.90165365163656,7.147460659129954,19.433276645319072,7.110891743903359,19.113170328574782,18842394652.672935,7.850462293418876e-17
