,L1s,L1v,L2s,L2v,L3s,L3v,L4s,L4v,L5s,L5v,L6s,L6v,L7s,L7v,L8s,L8v,L9s,L9v,L10s,L10v,L11s,L11v,L12s,L12v,L13s,L13v,L14s,L14v,L15s,L15v,L16s,L16v,L17s,L17v,L18s,L18v,L19s,L19v,L20s,L20v,O1s,O1v,O3s,O3v,O4s,O4v,O5s,O5v,O6s,O6v,O7s,O7v,O8s,O8v,O9s,O9v,O10s,O10v,O11s,O11v,O12s,O12v,O13s,O13v,O14s,O14v,O15s,O15v
L8v,0.64156,0.67838,0.00785,0.00000,0.50183,0.50235,0.24184,0.23895,0.64156,0.67838,0.29289,0.31338,0.53408,0.55984,0.00785,0.00000,0.32132,0.23561,0.36813,0.37796,0.23970,0.26741,0.26219,0.24487,0.56310,0.28215,0.23970,0.26741,0.38522,0.38297,0.28913,0.28984,0.50183,0.50235,0.27846,0.46526,0.23939,0.26836,0.24184,0.23895,0.64156,0.67838,0.31564,0.11316,0.38522,0.38297,0.30931,0.13138,0.24184,0.23895,0.53564,0.56131,0.55794,0.22872,0.23970,0.26741,0.00785,0.00000,0.50183,0.50235,0.44941,0.28613,0.28913,0.28984,0.23939,0.26836,0.24620,0.27233
L9s,0.39084,0.45623,0.31582,0.32132,0.23621,0.26875,0.49798,0.49927,0.39084,0.45623,0.23130,0.25388,0.35611,0.38103,0.31582,0.32132,0.00000,0.37713,0.53035,0.53123,0.29245,0.29393,0.38195,0.45134,0.30956,0.10783,0.29245,0.29393,0.22140,0.22210,0.21767,0.35218,0.23621,0.26875,0.43421,0.52654,0.28077,0.28302,0.49798,0.49927,0.39084,0.45623,0.27067,0.35013,0.22140,0.22210,0.07539,0.38038,0.49798,0.49927,0.35730,0.38219,0.31440,0.16912,0.29245,0.29393,0.31582,0.32132,0.23621,0.26875,0.23903,0.17487,0.21767,0.35218,0.28077,0.28302,0.37579,0.52161
L9v,0.71000,0.73223,0.23011,0.23561,0.59642,0.57351,0.17180,0.17770,0.71000,0.73223,0.39302,0.24528,0.58461,0.60529,0.23011,0.23561,0.37713,0.00000,0.18131,0.18779,0.20801,0.23091,0.24035,0.35043,0.62836,0.34428,0.20801,0.23091,0.48849,0.48913,0.35538,0.45810,0.59642,0.57351,0.29061,0.27028,0.22180,0.24474,0.17180,0.17770,0.71000,0.73223,0.44998,0.26814,0.48849,0.48913,0.41085,0.12881,0.17180,0.17770,0.58644,0.60704,0.63475,0.35948,0.20801,0.23091,0.23011,0.23561,0.59642,0.57351,0.57102,0.43379,0.35538,0.45810,0.22180,0.24474,0.31035,0.25140
L10s,0.82044,0.82162,0.36456,0.36813,0.73586,0.68874,0.18389,0.19081,0.82044,0.82162,0.51864,0.40376,0.67236,0.68801,0.36456,0.36813,0.53035,0.18131,0.00000,0.01934,0.29735,0.31134,0.38262,0.46900,0.74433,0.48593,0.29735,0.31134,0.61244,0.61373,0.52315,0.60790,0.73586,0.68874,0.34027,0.29799,0.31453,0.32869,0.18389,0.19081,0.82044,0.82162,0.61135,0.37162,0.61244,0.61373,0.56357,0.25095,0.18389,0.19081,0.67421,0.68977,0.75208,0.50362,0.29735,0.31134,0.36456,0.36813,0.73586,0.68874,0.72314,0.57157,0.52315,0.60790,0.31453,0.32869,0.45556,0.23375
L10v,0.81780,0.81693,0.37418,0.37796,0.73658,0.68526,0.19938,0.20626,0.81780,0.81693,0.52209,0.40555,0.66860,0.68368,0.37418,0.37796,0.53123,0.18779,0.01934,0.00000,0.29637,0.30859,0.39266,0.47961,0.74188,0.48661,0.29637,0.30859,0.61296,0.61439,0.52952,0.61644,0.73658,0.68526,0.34785,0.29708,0.31360,0.32606,0.19938,0.20626,0.81780,0.81693,0.61876,0.38167,0.61296,0.61439,0.56563,0.26170,0.19938,0.20626,0.67045,0.68545,0.75011,0.50722,0.29637,0.30859,0.37418,0.37796,0.73658,0.68526,0.72618,0.57499,0.52952,0.61644,0.31360,0.32606,0.46624,0.24830
L11s,0.57314,0.57958,0.23323,0.23970,0.49392,0.43046,0.30304,0.30520,0.57314,0.57958,0.31877,0.30481,0.41661,0.43704,0.23323,0.23970,0.29245,0.20801,0.29735,0.29637,0.00000,0.03174,0.36912,0.42940,0.48901,0.22095,0.00000,0.03174,0.34114,0.34286,0.37779,0.46455,0.49392,0.43046,0.31371,0.42864,0.01769,0.04177,0.30304,0.30520,0.57314,0.57958,0.44739,0.25283,0.34114,0.34286,0.31641,0.22355,0.30304,0.30520,0.41856,0.43889,0.49412,0.25075,0.00000,0.03174,0.23323,0.23970,0.49392,0.43046,0.49531,0.31719,0.37779,0.46455,0.01769,0.04177,0.40059,0.32192
L11v,0.55969,0.56129,0.26100,0.26741,0.49042,0.41632,0.32884,0.33118,0.55969,0.56129,0.32757,0.31608,0.39879,0.41807,0.26100,0.26741,0.29393,0.23091,0.31134,0.30859,0.03174,0.00000,0.39283,0.45275,0.47598,0.22095,0.03174,0.00000,0.33548,0.33765,0.39389,0.48250,0.49042,0.41632,0.33341,0.43920,0.03075,0.01803,0.32884,0.33118,0.55969,0.56129,0.46305,0.27920,0.33548,0.33765,0.31963,0.25243,0.32884,0.33118,0.40076,0.41995,0.48203,0.25899,0.03174,0.00000,0.26100,0.26741,0.49042,0.41632,0.49811,0.32244,0.39389,0.48250,0.03075,0.01803,0.42455,0.34663
L12s,0.71718,0.76921,0.25984,0.26219,0.56995,0.61161,0.29895,0.30086,0.71718,0.76921,0.44756,0.20373,0.64413,0.66760,0.25984,0.26219,0.38195,0.24035,0.38262,0.39266,0.36912,0.39283,0.00000,0.24007,0.64241,0.38521,0.36912,0.39283,0.51047,0.50919,0.22927,0.32767,0.56995,0.61161,0.42540,0.30678,0.37431,0.39869,0.29895,0.30086,0.71718,0.76921,0.30974,0.33505,0.51047,0.50919,0.40258,0.23130,0.29895,0.30086,0.64560,0.66899,0.64451,0.37098,0.36912,0.39283,0.25984,0.26219,0.56995,0.61161,0.49486,0.44344,0.22927,0.32767,0.37431,0.39869,0.10535,0.38828
L12v,0.74343,0.78360,0.24790,0.24487,0.60650,0.61569,0.32473,0.32189,0.74343,0.78360,0.47793,0.35751,0.66633,0.69000,0.24790,0.24487,0.45134,0.35043,0.46900,0.47961,0.42940,0.45275,0.24007,0.00000,0.67357,0.43672,0.42940,0.45275,0.51756,0.51419,0.33670,0.22781,0.60650,0.61569,0.46655,0.45227,0.43123,0.45537,0.32473,0.32189,0.74343,0.78360,0.32383,0.33747,0.51756,0.51419,0.43675,0.26034,0.32473,0.32189,0.66758,0.69119,0.66593,0.37543,0.42940,0.45275,0.24790,0.24487,0.60650,0.61569,0.50885,0.44386,0.33670,0.22781,0.43123,0.45537,0.18483,0.41902
L13s,0.09389,0.16750,0.55913,0.56310,0.21330,0.18908,0.73313,0.73384,0.09389,0.16750,0.43481,0.51597,0.17862,0.18795,0.55913,0.56310,0.30956,0.62836,0.74433,0.74188,0.48901,0.47598,0.64241,0.67357,0.00000,0.30953,0.48901,0.47598,0.20560,0.20872,0.47829,0.54108,0.21330,0.18908,0.65439,0.74506,0.47419,0.46076,0.73313,0.73384,0.09389,0.16750,0.47553,0.58267,0.20560,0.20872,0.30015,0.62833,0.73313,0.73384,0.17778,0.18737,0.03203,0.34889,0.48901,0.47598,0.55913,0.56310,0.21330,0.18908,0.29500,0.33070,0.47829,0.54108,0.47419,0.46076,0.62437,0.74225
L13v,0.39845,0.43961,0.27641,0.28215,0.29667,0.27650,0.45464,0.45559,0.39845,0.43961,0.24630,0.27718,0.30124,0.32813,0.27641,0.28215,0.10783,0.34428,0.48593,0.48661,0.22095,0.22095,0.38521,0.43672,0.30953,0.00000,0.22095,0.22095,0.16631,0.16767,0.26934,0.36761,0.29667,0.27650,0.40944,0.51889,0.20709,0.20799,0.45464,0.45559,0.39845,0.43961,0.31483,0.31478,0.16631,0.16767,0.12276,0.33837,0.45464,0.45559,0.30280,0.32961,0.31228,0.10488,0.22095,0.22095,0.27641,0.28215,0.29667,0.27650,0.29781,0.16791,0.26934,0.36761,0.20709,0.20799,0.38193,0.47700
L14s,0.57314,0.57958,0.23323,0.23970,0.49392,0.43046,0.30304,0.30520,0.57314,0.57958,0.31877,0.30481,0.41661,0.43704,0.23323,0.23970,0.29245,0.20801,0.29735,0.29637,0.00000,0.03174,0.36912,0.42940,0.48901,0.22095,0.00000,0.03174,0.34114,0.34286,0.37779,0.46455,0.49392,0.43046,0.31371,0.42864,0.01769,0.04177,0.30304,0.30520,0.57314,0.57958,0.44739,0.25283,0.34114,0.34286,0.31641,0.22355,0.30304,0.30520,0.41856,0.43889,0.49412,0.25075,0.00000,0.03174,0.23323,0.23970,0.49392,0.43046,0.49531,0.31719,0.37779,0.46455,0.01769,0.04177,0.40059,0.32192
L14v,0.55969,0.56129,0.26100,0.26741,0.49042,0.41632,0.32884,0.33118,0.55969,0.56129,0.32757,0.31608,0.39879,0.41807,0.26100,0.26741,0.29393,0.23091,0.31134,0.30859,0.03174,0.00000,0.39283,0.45275,0.47598,0.22095,0.03174,0.00000,0.33548,0.33765,0.39389,0.48250,0.49042,0.41632,0.33341,0.43920,0.03075,0.01803,0.32884,0.33118,0.55969,0.56129,0.46305,0.27920,0.33548,0.33765,0.31963,0.25243,0.32884,0.33118,0.40076,0.41995,0.48203,0.25899,0.03174,0.00000,0.26100,0.26741,0.49042,0.41632,0.49811,0.32244,0.39389,0.48250,0.03075,0.01803,0.42455,0.34663
L15s,0.28729,0.32286,0.38183,0.38522,0.25933,0.22465,0.57239,0.57199,0.28729,0.32286,0.32694,0.42142,0.19156,0.22050,0.38183,0.38522,0.22140,0.48849,0.61244,0.61296,0.34114,0.33548,0.51047,0.51756,0.20560,0.16631,0.34114,0.33548,0.00000,0.00643,0.37585,0.40835,0.25933,0.22465,0.51746,0.65303,0.32519,0.31959,0.57239,0.57199,0.28729,0.32286,0.36929,0.41290,0.00000,0.00643,0.19056,0.46225,0.57239,0.57199,0.19245,0.22139,0.19562,0.16541,0.34114,0.33548,0.38183,0.38522,0.25933,0.22465,0.27240,0.18711,0.37585,0.40835,0.32519,0.31959,0.48556,0.58345
L15v,0.28964,0.32614,0.37968,0.38297,0.25899,0.22647,0.57177,0.57130,0.28964,0.32614,0.32623,0.42198,0.19650,0.22533,0.37968,0.38297,0.22210,0.48913,0.61373,0.61439,0.34286,0.33765,0.50919,0.51419,0.20872,0.16767,0.34286,0.33765,0.00643,0.00000,0.37414,0.40362,0.25899,0.22647,0.51727,0.65428,0.32692,0.32180,0.57177,0.57130,0.28964,0.32614,0.36560,0.41114,0.00643,0.00000,0.18933,0.46133,0.57177,0.57130,0.19736,0.22620,0.19798,0.16298,0.34286,0.33765,0.37968,0.38297,0.25899,0.22647,0.26948,0.18427,0.37414,0.40362,0.32692,0.32180,0.48310,0.58299
L16s,0.54777,0.62696,0.28584,0.28913,0.36400,0.45715,0.45083,0.45161,0.54777,0.62696,0.32704,0.20079,0.53017,0.55542,0.28584,0.28913,0.21767,0.35538,0.52315,0.52952,0.37779,0.39389,0.22927,0.33670,0.47829,0.26934,0.37779,0.39389,0.37585,0.37414,0.00000,0.24935,0.36400,0.45715,0.44989,0.46470,0.37316,0.39026,0.45083,0.45161,0.54777,0.62696,0.14181,0.34293,0.37585,0.37414,0.22864,0.34144,0.45083,0.45161,0.53127,0.55648,0.47884,0.26304,0.37779,0.39389,0.28584,0.28913,0.36400,0.45715,0.28786,0.29282,0.00000,0.24935,0.37316,0.39026,0.20562,0.49639
L16v,0.60072,0.66670,0.29202,0.28984,0.43696,0.49362,0.48173,0.47902,0.60072,0.66670,0.39864,0.37159,0.58105,0.60628,0.29202,0.28984,0.35218,0.45810,0.60790,0.61644,0.46455,0.48250,0.32767,0.22781,0.54108,0.36761,0.46455,0.48250,0.40835,0.40362,0.24935,0.00000,0.43696,0.49362,0.51425,0.58282,0.45822,0.47711,0.48173,0.47902,0.60072,0.66670,0.14954,0.36194,0.40835,0.40362,0.31175,0.37922,0.48173,0.47902,0.58186,0.60705,0.52815,0.29448,0.46455,0.48250,0.29202,0.28984,0.43696,0.49362,0.31670,0.31776,0.24935,0.00000,0.45822,0.47711,0.23737,0.53358
L17s,0.24728,0.35912,0.49868,0.50183,0.00000,0.22975,0.69714,0.69723,0.24728,0.35912,0.33278,0.46090,0.35460,0.37258,0.49868,0.50183,0.23621,0.59642,0.73586,0.73658,0.49392,0.49042,0.56995,0.60650,0.21330,0.29667,0.49392,0.49042,0.25933,0.25899,0.36400,0.43696,0.00000,0.22975,0.59094,0.72692,0.47972,0.47633,0.69714,0.69723,0.24728,0.35912,0.34667,0.51237,0.25933,0.25899,0.21061,0.58588,0.69714,0.69723,0.35448,0.37256,0.20893,0.31959,0.49392,0.49042,0.49868,0.50183,0.00000,0.22975,0.14912,0.24804,0.36400,0.43696,0.47972,0.47633,0.53944,0.69959
L17v,0.24354,0.26611,0.49845,0.50235,0.22975,0.00000,0.67352,0.67399,0.24354,0.26611,0.36057,0.47529,0.25388,0.26604,0.49845,0.50235,0.26875,0.57351,0.68874,0.68526,0.43046,0.41632,0.61161,0.61569,0.18908,0.27650,0.43046,0.41632,0.22465,0.22647,0.45715,0.49362,0.22975,0.00000,0.58996,0.70746,0.41547,0.40092,0.67352,0.67399,0.24354,0.26611,0.45138,0.51767,0.22465,0.22647,0.25105,0.56767,0.67352,0.67399,0.25396,0.26626,0.18658,0.31364,0.43046,0.41632,0.49845,0.50235,0.22975,0.00000,0.29622,0.27199,0.45715,0.49362,0.41547,0.40092,0.59228,0.68512
L18s,0.72287,0.75241,0.27720,0.27846,0.59094,0.58996,0.28357,0.28269,0.72287,0.75241,0.28336,0.44407,0.62143,0.64230,0.27720,0.27846,0.43421,0.29061,0.34027,0.34785,0.31371,0.33341,0.42540,0.46655,0.65439,0.40944,0.31371,0.33341,0.51746,0.51727,0.44989,0.51425,0.59094,0.58996,0.00000,0.52159,0.31897,0.33928,0.28357,0.28269,0.72287,0.75241,0.50866,0.20060,0.51746,0.51727,0.44159,0.27272,0.28357,0.28269,0.62298,0.64378,0.65553,0.40507,0.31371,0.33341,0.27720,0.27846,0.59094,0.58996,0.59687,0.41112,0.44989,0.51425,0.31897,0.33928,0.45222,0.20863
L18v,0.81708,0.83559,0.46072,0.46526,0.72692,0.70746,0.35752,0.36452,0.81708,0.83559,0.60459,0.29924,0.71793,0.73292,0.46072,0.46526,0.52654,0.27028,0.29799,0.29708,0.42864,0.43920,0.30678,0.45227,0.74506,0.51889,0.42864,0.43920,0.65303,0.65428,0.46470,0.58282,0.72692,0.70746,0.52159,0.00000,0.44108,0.45210,0.35752,0.36452,0.81708,0.83559,0.56756,0.51750,0.65303,0.65428,0.57461,0.36115,0.35752,0.36452,0.71953,0.73446,0.75687,0.54991,0.42864,0.43920,0.46072,0.46526,0.72692,0.70746,0.69132,0.63176,0.46470,0.58282,0.44108,0.45210,0.39813,0.46523
L19s,0.55855,0.56562,0.23295,0.23939,0.47972,0.41547,0.31609,0.31799,0.55855,0.56562,0.30979,0.30645,0.40248,0.42329,0.23295,0.23939,0.28077,0.22180,0.31453,0.31360,0.01769,0.03075,0.37431,0.43123,0.47419,0.20709,0.01769,0.03075,0.32519,0.32692,0.37316,0.45822,0.47972,0.41547,0.31897,0.44108,0.00000,0.03234,0.31609,0.31799,0.55855,0.56562,0.43983,0.25265,0.32519,0.32692,0.30300,0.23250,0.31609,0.31799,0.40442,0.42514,0.47893,0.23734,0.01769,0.03075,0.23295,0.23939,0.47972,0.41547,0.48213,0.30248,0.37316,0.45822,0.00000,0.03234,0.40213,0.33300
L19v,0.54466,0.54668,0.26200,0.26836,0.47633,0.40092,0.34197,0.34406,0.54466,0.54668,0.31956,0.31861,0.38398,0.40360,0.26200,0.26836,0.28302,0.24474,0.32869,0.32606,0.04177,0.01803,0.39869,0.45537,0.46076,0.20799,0.04177,0.01803,0.31959,0.32180,0.39026,0.47711,0.47633,0.40092,0.33928,0.45210,0.03234,0.00000,0.34197,0.34406,0.54466,0.54668,0.45642,0.28013,0.31959,0.32180,0.30702,0.26171,0.34197,0.34406,0.38594,0.40547,0.46647,0.24692,0.04177,0.01803,0.26200,0.26836,0.47633,0.40092,0.48535,0.30859,0.39026,0.47711,0.03234,0.00000,0.42691,0.35788
L20s,0.81027,0.82666,0.24135,0.24184,0.69714,0.67352,0.00000,0.00818,0.81027,0.82666,0.46219,0.38761,0.67553,0.69608,0.24135,0.24184,0.49798,0.17180,0.18389,0.19938,0.30304,0.32884,0.29895,0.32473,0.73313,0.45464,0.30304,0.32884,0.57239,0.57177,0.45083,0.48173,0.69714,0.67352,0.28357,0.35752,0.31609,0.34197,0.00000,0.00818,0.81027,0.82666,0.51243,0.25954,0.57239,0.57177,0.51126,0.13078,0.00000,0.00818,0.67728,0.69774,0.73400,0.43547,0.30304,0.32884,0.24135,0.24184,0.69714,0.67352,0.65825,0.50344,0.45083,0.48173,0.31609,0.34197,0.34419,0.14750
