m_GeV,HL-LHC 14 TeV_r12cm,HL-LHC 14 TeV_r5cm,FCC-hh 100 TeV_r10cm,FCC-hh 100 TeV_r5cm,MuC 10 TeV_r10cm,MuC 10 TeV_r5cm
1150.0,0.000605500630187599,0.03978694337540431,44.79941127301837,326.6332477808071,197.12899124893224,1349.2993450715578
1200.0,0.000498722163943156,0.0309237041344891,35.537686533067536,262.84496104373,163.32754411564602,1221.1983293905055
1250.0,0.00023411877351386517,0.02412118858162878,27.516059030739235,222.220128264364,135.13161260629252,1104.5589068684933
1300.0,0.00019865224220310358,0.016690094535831864,22.911510486037255,187.56442377902871,111.6361693724243,998.3803179671805
1350.0,0.0001811705756860704,0.013464154663803993,18.64027032135606,158.6092982693537,92.07977329149846,901.751137443461
1400.0,0.0001335421335435311,0.009760723304424613,16.157293426636087,134.45464012692213,75.82191535610605,813.840791347621
1450.0,8.395996605894044e-05,0.0075778670664972845,12.706313785055615,114.27316544601786,62.32396906729807,733.8919459844761
1500.0,6.699714044019724e-05,0.005879239090421923,11.007184045537524,95.30699024775026,51.13315808440258,661.2136722875669
1550.0,4.3055738784154506e-05,0.004657506896058551,8.70584059690894,77.79460134943575,41.8690533923656,595.1753000935948
1600.0,3.3549274063932085e-05,0.0038294360997360045,7.6243291674488285,69.97163006434357,34.21219394890801,535.2008867495459
1650.0,2.3514585129377075e-05,0.002879816962977847,6.181896320500767,60.444413554193126,27.894492079674706,480.7642333355448
1700.0,1.900906669485933e-05,0.0023154528238936364,5.287998205038428,51.432655178381516,22.6911405049314,431.38438960303995
1750.0,1.6385167006193454e-05,0.0018616927258438831,5.028815517740768,44.70892757672521,18.413783963191673,386.621595600421
1800.0,8.699060421107685e-06,0.0014993849001913413,3.9195383771741996,38.29277087110078,14.904756674763743,346.073613985749
1850.0,7.233856697114636e-06,0.0012693770932858187,3.222691011288977,33.561989720034184,12.032218755133348,309.372412307636
1900.0,5.975607046560606e-06,0.0009573519950120945,3.193116772500656,29.460141314566293,9.686051272351902,276.18115916217425
1950.0,3.874423518835963e-06,0.0007483309585609227,2.481950433027871,27.351434944162804,7.774391861227701,246.1915021897568
2000.0,3.765265772282832e-06,0.0006528375337662248,2.3895219434169084,23.631342233256266,6.2207114084592625,219.1210994345208
2050.0,2.4907330768269035e-06,0.0005365908323489921,1.7386002470210107,20.418122368680173,5.004054079705128,195.58433749175498
2100.0,1.9157515133370117e-06,0.00043624635017824295,1.6812083473775532,17.65055012221242,4.01279852216659,174.30346974562454
2150.0,1.4686722961412865e-06,0.00036040966367316705,1.4361152606488077,15.850527910764091,3.2073212699772355,155.08182224589237
2200.0,1.242623468886687e-06,0.00027629482351776885,1.230709605456238,13.97127038516894,2.5546402111435325,137.7391670200777
2250.0,8.958764338839999e-07,0.0002442708118507533,1.0281187137172094,12.594688047550997,2.0273436276764785,122.11029691931503
2300.0,7.501575799468739e-07,0.000199123736124145,1.1021782721012403,10.760644313283402,1.6026876337990887,108.04373448922006
2350.0,5.728456319019768e-07,0.00017223321424967352,0.8316431866945831,10.15972667448791,1.261835761127597,95.40056120524622
2400.0,4.531031626350413e-07,0.0001422575271833146,0.7390300644009112,8.99849555501305,0.9892185650770402,84.05335493332939
2450.0,3.787789690557261e-07,0.00011791684226024336,0.6543218788987654,7.937437514971852,0.7719945894074294,73.88522481012421
2500.0,2.4011084293107316e-07,0.0001016667437917374,0.6129465044278187,7.351254506820215,0.5995969357585725,64.78893390844632
