E_keV,nat_el,129_el,129_inel,129_inel_jun,129_el_jun,131_el,131_inel,131_inel_jun,131_el_jun
27.0,9.102338900277703,5.865865394232317,3.580104050139227,3.6334596721229904,5.725606083918295,3.236473506045385,0.7085206343989023,0.7637090206872097,3.1586989087254844
28.0,8.660370060659156,5.492228592006409,3.372811488649109,3.42225331045268,5.36222811984259,3.168141468652746,0.7185358368402468,0.7732568150793259,3.093151893854991
29.0,8.24466525335943,5.135975481629463,3.1779857861405794,3.223796466179656,5.01629253018286,3.1086897717299675,0.7247421353602929,0.7789357519761165,3.0358659051607577
30.0,7.85247431432626,4.803324515605135,2.9845580287608,3.027580446768421,4.693186197199143,3.049149798721125,0.7315821239361306,0.7852836371075731,2.9788525197221394
31.0,7.486162713948407,4.492800964846817,2.813237390808865,2.85310542044094,4.391487739029803,2.993361749101591,0.7390176730367866,0.7922570907578493,2.9254803680948243
32.0,7.143953700036429,4.20301292627635,2.6431999048948693,2.680658234034149,4.109855400266036,2.9409407737600786,0.7425354958276729,0.7952726563048439,2.875376313114152
33.0,6.8342589520750865,3.9384702311501116,2.484105671038343,2.519309382899178,3.8522022498586073,2.8957887209249757,0.7510412912852034,0.8033685718449556,2.831981351187928
34.0,6.535099075827109,3.6860169139476566,2.3352828368582204,2.368377493442595,3.6067380018341475,2.8490821618794526,0.7555511400281884,0.8074314217344207,2.787426117968117
35.0,6.255365597003555,3.450593378789738,2.1960971546031285,2.2272193296178218,3.3777652087057044,2.8047722182138175,0.756040010209382,0.8074478762995256,2.745196968331245
36.0,6.002980390539972,3.2361225526002566,2.065950095134717,2.095227880180627,3.1686993059193673,2.7668578379397166,0.7613828143915681,0.812392365199018,2.7088351165540017
37.0,5.757859222848161,3.0312898956005796,1.9442770469232444,1.9718305321616203,2.969383653994573,2.7265693272475815,0.7670791212209572,0.8177062853680624,2.6705097758867593
38.0,5.537153811833389,2.8449359859302663,1.8305455965735624,1.8564873270245694,2.7876268313239883,2.6922178259031226,0.7686483414489677,0.8188705088696621,2.637609756722437
39.0,5.321898008256065,2.666838642723807,1.7242538875307092,1.7486892961122547,2.6142431543896985,2.6550593655322587,0.7705054235049917,0.8203405894980887,2.602320730218796
40.0,5.128490591434079,2.50502469619972,1.6249290537409953,1.647956872110045,2.456334001283936,2.6234658952343595,0.7726121658978017,0.8220753155779585,2.57209854615651
41.0,4.938958187665768,2.350252761818828,1.5268199274270577,1.5488290438547272,2.305586232558767,2.5887054258469395,0.7749328160059397,0.8240361830801552,2.5391324239210884
42.0,4.7690313327934835,2.2098198744813047,1.4404190530423095,1.4611827004597655,2.168466344107261,2.5592114583121774,0.7730434650410347,0.8217740991752557,2.5109457788055773
43.0,4.609480708836516,2.0789206006922663,1.3597060297310624,1.3793061985382544,2.040628067725892,2.53056010814425,0.7757010291627658,0.8240925037238691,2.483575680453234
44.0,4.451854201827387,1.9535274028299126,1.2798481446267505,1.2986093544112944,1.918415974880937,2.4983267989974736,0.7784784029835666,0.8265360884737888,2.4530503757513427
45.0,4.310987752020421,1.8399706820557333,1.2096679759628617,1.2274004192702686,1.8074534630962347,2.471017069964687,0.7769912508502401,0.8247046278128504,2.426975286073413
46.0,4.178359970360312,1.7341293468523937,1.1401257555242688,1.157117473634624,1.7040085496299275,2.4442306235079183,0.7755968304541725,0.8229728883413305,2.401404352537638
47.0,4.050420442952326,1.6325365601586113,1.0791074651914752,1.0951898050302784,1.6049310019617695,2.4178838827937144,0.7742713675899887,0.8213155585906374,2.376255681639443
48.0,3.928292765701399,1.5407100781463865,1.0185330350438289,1.0339620963105665,1.5151345385231025,2.3875826875550126,0.7772956470246313,0.8240208990142548,2.34757862355283
49.0,3.8170089793436306,1.4551047431754744,0.9620827012790784,0.9768927801033017,1.4314047484819454,2.3619042361681566,0.7760278754111384,0.8224265174491917,2.323065120893079
50.0,3.71175901021246,1.3752878176198098,0.9126825469295633,0.9267321711911255,1.3533209610857495,2.3364711925926502,0.7747709533325782,0.8208448042946856,2.298783119228452
51.0,3.612089603923434,1.3008547274265374,0.8634700836827672,0.8769745202488312,1.2804897774798483,2.3112348764968966,0.7692604128109206,0.8150065645715757,2.274684723468071
52.0,3.5152377645857142,1.2290842395340404,0.8175820196191095,0.830570283858205,1.210434105621742,2.286153525051673,0.7679979982594763,0.8134219715716191,2.2507287913511997
53.0,3.425601919998743,1.164410245684431,0.7775400288616562,0.7898921783818157,1.1471186080286435,2.2611916743143117,0.7667049432297455,0.8118060989223976,2.226880334073447
54.0,3.3403731437358495,1.1040535614979534,0.7374762644404096,0.7493740871275426,1.0880186158095533,2.236319582237896,0.7653706245167147,0.8101477292025548,2.2031099569860415
55.0,3.254903859088725,1.0477071675595617,0.7000850458978647,0.7115528825763197,1.0328352271220298,2.2071966915291634,0.7598211777798348,0.8042736186367714,2.1755023583064648
56.0,3.177525423349834,0.995084842198007,0.6675581958546405,0.6784932221179238,0.9812897099193191,2.182440581151827,0.7583964350204647,0.8025225465287049,2.1518224114251288
57.0,3.10363484672341,0.9459199102740145,0.6348415578667734,0.6453980912524914,0.9331222943255125,2.1577149364493953,0.7569068693352466,0.8007041585535304,2.1281615986896933
58.0,3.0329719713818397,0.899964057138577,0.6042686356783241,0.6144669329794971,0.8880910276315795,2.1330079142432625,0.7512503399524683,0.7947203225186579,2.104508061450197
