isotope,E_star_keV,E_NR_keV,S1c,log10S2c,in_ROI,offset_from_NR_median_dex
129,39.58,196.0,625.9462317487894,4.529019266034874,False,0.484361796221787
129,39.58,198.0,630.4428934087096,4.529444244690534,False,0.4839179752749594
129,39.58,200.0,634.9450395091473,4.529865456975451,False,0.4834761180321303
129,39.58,202.0,639.4526145209132,4.530282968259725,False,0.48303622715387284
129,39.58,204.0,643.9655640351431,4.530696842254804,False,0.4825983044559825
129,39.58,206.0,648.483834730602,4.531107141066984,False,0.48216235095655335
129,39.58,208.0,653.0073743421985,4.531513925248921,False,0.4817283669206862
129,39.58,210.0,657.5361316306531,4.531917253849252,False,0.4812963519029516
129,39.58,212.0,662.0700563532763,4.532317184460365,False,0.4808663047877042
129,39.58,214.0,666.6090992358023,4.532713773264422,False,0.4804383834335022
129,39.58,216.0,671.1532119452407,4.533107075077668,False,
129,39.58,218.0,675.702347063698,4.533497143393125,False,
129,39.58,220.0,680.2564580631303,4.533884030421704,False,
129,39.58,222.0,684.8154992809879,4.534267787131829,False,
129,39.58,224.0,689.3794258967146,4.534648463287597,False,
129,39.58,226.0,693.9481939090648,4.535026107485565,False,
129,39.58,228.0,698.5217601142064,4.535400767190191,False,
129,39.58,230.0,703.1000820845777,4.535772488768003,False,
129,39.58,232.0,707.683118148462,4.536141317520535,False,
129,39.58,234.0,712.2708273702606,4.536507297716085,False,
129,39.58,236.0,716.8631695314244,4.5368704726203335,False,
129,39.58,238.0,721.4601051120273,4.537230884525884,False,
129,39.58,240.0,726.0615952729487,4.537588574780748,False,
129,39.58,242.0,730.6676018386456,4.537943583815834,False,
129,39.58,244.0,735.2780872804883,4.538295951171472,False,
129,39.58,246.0,739.8930147006375,4.538645715523009,False,
129,39.58,248.0,744.5123478164428,4.538992914705519,False,
129,39.58,250.0,749.1360509453426,4.539337585737659,False,
129,39.58,252.0,753.7640889902434,4.539679764844707,False,
129,39.58,254.0,758.3964274253623,4.540019487480807,False,
129,39.58,256.0,763.0330322825153,4.540356788350462,False,
129,39.58,258.0,767.6738701378331,4.540691701429298,False,
129,39.58,260.0,772.3189080988873,4.541024259984125,False,
129,39.58,262.0,776.9681137922154,4.541354496592337,False,
129,39.58,264.0,781.621455351225,4.54168244316065,False,
129,39.58,266.0,786.2789014044672,4.542008130943233,False,
129,39.58,268.0,790.9404210642618,4.542331590559233,False,
129,39.58,270.0,795.6059839156654,4.542652852009731,False,
129,39.58,272.0,800.2755600057668,4.542971944694134,False,
129,39.58,274.0,804.9491198332981,4.543288897426056,False,
129,39.58,276.0,809.6266343385522,4.543603738448661,False,
129,39.58,278.0,814.3080748935942,4.543916495449537,False,
129,39.58,280.0,818.9934132927561,4.544227195575078,False,
129,39.58,282.0,823.6826217434053,4.544535865444421,False,
129,39.58,284.0,828.3756728569771,4.544842531162934,False,
129,39.58,286.0,833.072539640261,4.545147218335293,False,
129,39.58,288.0,837.7731954869367,4.545449952078132,False,
129,39.58,290.0,842.477614169342,4.545750757032321,False,
129,39.58,292.0,847.1857698304743,4.546049657374851,False,
129,39.58,294.0,851.8976369762125,4.546346676830354,False,
129,39.58,296.0,856.6131904677515,4.546641838682282,False,
129,39.58,298.0,861.3324055142455,4.546935165783736,False,
129,39.58,300.0,866.0552576656497,4.547226680567967,False,
129,39.58,302.0,870.7817228057564,4.547516405058572,False,
129,39.58,304.0,875.5117771454168,4.547804360879377,False,
129,39.58,306.0,880.2453972159436,4.548090569264024,False,
129,39.58,308.0,884.98255986269,4.548375051065279,False,
129,39.58,310.0,889.7232422387946,4.548657826764074,False,
129,39.58,312.0,894.4674217990937,4.548938916478262,False,
129,39.58,314.0,899.2150762941889,4.549218339971142,False,
129,39.58,316.0,903.9661837646692,4.549496116659723,False,
129,39.58,318.0,908.720722535482,4.549772265622754,False,
129,39.58,320.0,913.4786712104469,4.550046805608521,False,
131,80.19,10.0,504.24183126455955,4.720659951177319,False,0.7025294475017683
131,80.19,12.0,506.82059828781235,4.72290749581992,False,0.7041437991893673
131,80.19,14.0,509.51898752116136,4.724985931350512,False,0.7055657794746049
131,80.19,16.0,512.3193034721179,4.7269234237261895,False,0.706824115227799
131,80.19,18.0,515.2080689352022,4.728741432808093,False,0.7079467412422105
131,80.19,20.0,518.1747140312162,4.730456720552267,False,0.7089523579518477
131,80.19,22.0,521.210754694802,4.732082646681641,False,0.7098552566600063
131,80.19,24.0,524.3092507955733,4.7336300411951,False,0.7106712064025027
131,80.19,26.0,527.4644343299948,4.735107811645394,False,0.7114084664620011
131,80.19,28.0,530.6714461084679,4.736523377305763,False,0.7120752718715266
131,80.19,30.0,533.9261443375397,4.7378829866486925,False,0.7126812010296684
131,80.19,32.0,537.224962354746,4.739191954040818,False,0.713231447066283
131,80.19,34.0,540.5648008621091,4.740454839223809,False,0.7137305064516628
131,80.19,36.0,543.942944924613,4.741675585465701,False,0.7141836727068389
131,80.19,38.0,547.3569990981315,4.742857627332618,False,0.714596703035002
131,80.19,40.0,550.8048360602559,4.744003975780536,False,0.7149710224693395
131,80.19,42.0,554.2845554537123,4.745117286077403,False,0.7153098745127311
131,80.19,44.0,557.7944505608946,4.746199912561947,False,0.7156169385313689
131,80.19,46.0,561.3329810584795,4.7472539531938835,False,0.7158954263532404
131,80.19,48.0,564.8987505462442,4.748281286103229,False,0.7161460719615427
131,80.19,50.0,568.4904878635346,4.749283599807925,False,0.7163709487308347
131,80.19,52.0,572.107031439267,4.750262418375796,False,0.7165721754844991
131,80.19,54.0,575.7473160927507,4.7512191225161216,False,0.716752931776492
131,80.19,56.0,579.4103618305707,4.752154967368796,False,0.7169129271797878
131,80.19,58.0,583.095264281345,4.753071097594888,False,0.7170535697804103
131,80.19,60.0,586.8011864838184,4.753968560247182,False,0.7171761461898214
131,80.19,62.0,590.5273518004644,4.754848315802951,False,0.7172827161168991
131,80.19,64.0,594.2730377728067,4.755711247666385,False,0.7173742895212891
131,80.19,66.0,598.0375707691768,4.756558170389659,False,0.7174509755665417
131,80.19,68.0,601.8203213028609,4.757389836815448,False,0.7175136968337847
131,80.19,70.0,605.6206999202319,4.758206944307168,False,0.7175633059241076
131,80.19,72.0,609.4381535758138,4.759010140203982,False,0.7176013007066011
