model,m_GeV,delta_keV,halo,N_roi_unit,N_hi_unit,N_lo_unit,mu_N1_roi_muN,mu_N1_hi_muN,mu_N1_roi_ecm,mu_N1_roi_in_e_over_2mchi,mu_N1_roi_GeVinv,N_lo_per_hi,gA_chi_for_N1
Z_axial_O4,1000,390,annual,1.5849e-07,1.9413e-09,0,,,,,,,1256
photon_dipole,1000,366,annual,86646,80206,0,0.0033972,0.003531,3.5723e-17,3.6207,0.00054822,0,
Z_axial_O4,1000,366,annual,0.0027227,0.0024936,0,,,,,,,9.5823
photon_dipole,1000,300,june16,3.1955e+07,1.5117e+07,0,0.0001769,0.00025719,1.8602e-18,0.18854,2.8547e-05,0,
Z_axial_O4,1000,300,june16,0.9182,0.39952,0,,,,,,,0.5218
photon_dipole,1000,366,june16,2.7379e+05,2.5363e+05,0,0.0019111,0.0019856,2.0096e-17,2.0369,0.0003084,0,
Z_axial_O4,1000,366,june16,0.0082825,0.0076083,0,,,,,,,5.494
photon_dipole,400,300,annual,6.2617e+06,3.2399e+06,0,0.00039963,0.00055556,4.2022e-18,0.17037,6.4488e-05,0,
photon_dipole,4000,300,annual,1.1465e+07,5.5593e+06,0,0.00029533,0.00042412,3.1055e-18,1.259,4.7658e-05,0,
photon_dipole,1000,0,annual,1.1884e+12,2.2679e+09,8.0808e+11,9.1731e-07,2.0999e-05,9.6459e-21,0.00097766,1.4803e-07,356.32,
Aprime_mA_0.3GeV,1000,300,annual,2.7559e+06,1.6092e+06,0,,,,,,,
Aprime_mA_1.0GeV,1000,300,annual,49438,30765,0,,,,,,,
Aprime_mA_3.0GeV,1000,300,annual,667.16,418.47,0,,,,,,,
