m_GeV,delta_keV,f2,Z5,B,kappa_hat,mu_hi,mu_gap,mu_lomid,mu_he,exo_fraction_of_hi,exo_fraction_of_roi
1000.0,120.0,3.162277660168379e-08,1.2465965341291791,0.0058586454984453345,5.829997805231442e-08,0.00878967791439137,0.0733392469929657,2.2514163619031904,0.004132975007899574,2.4272431821256836e-07,2.8165475139665824e-07
1000.0,120.0,5.6234132519034905e-08,1.246596521364522,0.005858645236961929,5.8299966672248064e-08,0.008789677642768253,0.07333924395214664,2.2514163633451347,0.004132975006038964,4.3163158647780773e-07,5.008607476834399e-07
1000.0,120.0,1e-07,1.2465964986654394,0.005858644771971651,5.8299946337877726e-08,0.008789677145055488,0.07333923842214309,2.251416362146253,0.004132974995822349,7.675613387020329e-07,8.906700466913502e-07
1000.0,120.0,1.7782794100389227e-07,1.2465964583001712,0.005858643945089814,5.8299909786339907e-08,0.008789676200976851,0.07333922809591793,2.251416344900029,0.004132974949908756,1.3649378154032547e-06,1.5838592305224085e-06
1000.0,120.0,3.162277660168379e-07,1.24659638651952,0.005858642474665526,5.829983057028075e-08,0.008789672378645133,0.07333919184812773,2.251415765188541,0.004132973860371402,2.4272385705813007e-06,2.816541175938211e-06
1000.0,120.0,5.62341325190349e-07,1.2465962588738628,0.005858639859848522,5.829974526140309e-08,0.008789673957938721,0.07333919728094619,2.2514168798736045,0.00413297586154759,4.316301281820651e-06,5.008587434271774e-06
1000.0,120.0,1e-06,1.2465960318853537,0.005858635209999492,5.829952614752163e-08,0.008789666602900965,0.07333912214028193,2.2514162587846376,0.004132974641243709,7.675567271808048e-06,8.906637087006711e-06
1000.0,120.0,1.778279410038923e-06,1.2465956282398711,0.005858626941351381,5.8299162905367964e-08,0.008789657503926587,0.07333902173052885,2.251416173830279,0.004132974342750778,1.364923232576037e-05,1.583839188171739e-05
1000.0,120.0,3.162277660168379e-06,1.246594910456782,0.005858612237646383,5.82985170175468e-08,0.008789641330780104,0.0733388432361991,2.2514160245769363,0.004132973815290955,2.4271924561012218e-05,2.8164777972233228e-05
1000.0,120.0,5.623413251903491e-06,1.2465936340735557,0.005858586091177769,5.829736843118295e-08,0.008789612563345851,0.0733385257668771,2.2514157571356073,0.0041329728736125455,4.316155457665857e-05,5.0083870174674695e-05
1000.0,120.0,1e-05,1.2465913644204558,0.005858539598067059,5.829531114262625e-08,0.008789559164115723,0.07333794251276221,2.251414706400781,0.004132970143275,7.675106150160113e-05,8.906003337546391e-05
1000.0,120.0,1.778279410038923e-05,1.2465873287001572,0.005858456928597129,5.829167953126857e-08,0.008789468205007181,0.07333693871992195,2.2514138602039195,0.004132967164774981,0.00013647774214401505,0.00015836387925595384
1000.0,120.0,3.1622776601683795e-05,1.2465801531905925,0.005858309945332265,5.828522252058023e-08,0.00878930646591262,0.07333515386805124,2.251412351494835,0.004132961861385427,0.000242673140765501,0.00028158441669176495
1000.0,120.0,5.623413251903491e-05,1.246567396698014,0.005858048650685288,5.8273773293751635e-08,0.008789023402871259,0.0733320181398216,2.2514108133712822,0.004132954533361266,0.0004314697757860733,0.0005006383731228172
1000.0,120.0,0.0001,1.2465447233672193,0.005857584257032962,5.825337189506006e-08,0.008788512379433218,0.073326378793596,2.2514060474376834,0.004132937778635251,0.0007670497979137224,0.0008899670799786859
1000.0,120.0,0.00017782794100389227,1.2465044394739857,0.005856759260481315,5.821711272155447e-08,0.008787602248302067,0.07331634125259125,2.25139699841843,0.004132906944454856,0.001363321021680777,0.001581637621974154
1000.0,120.0,0.00031622776601683794,1.2464329158964127,0.005855294789800676,5.815278611945372e-08,0.008785992764833541,0.0732985741598153,2.2513825202486855,0.004132855118280343,0.0024221305383731644,0.002809523509103036
1000.0,120.0,0.0005623413251903491,1.2463060813660927,0.00585269875426817,5.803870331876379e-08,0.008783132975580754,0.07326702232656442,2.2513552003747908,0.004132760205726568,0.00430017473168651,0.004986438659263168
1000.0,120.0,0.001,1.2460816481025039,0.005848108042795555,5.783695681137754e-08,0.00877807853958821,0.07321124784456348,2.25130776589023,0.004132593964138615,0.0076247187970246745,0.00883683722196076
1000.0,120.0,0.0017782794100389228,1.2456860287018066,0.00584002498776796,5.7481612352117956e-08,0.008769172605602569,0.07311298381293554,2.251223195657491,0.004132299290455946,0.013489261780218684,0.015619006113913397
1000.0,120.0,0.0031622776601683794,1.2449933254399557,0.005825900365084739,5.68603707532419e-08,0.008753601312763192,0.07294118119625714,2.251074968622939,0.004131783434544808,0.023770635052931966,0.027478433294340996
1000.0,120.0,0.005623413251903491,1.2437946101833415,0.005801542619032162,5.578807908290508e-08,0.008726711834413372,0.07264454273103774,2.2508152418293514,0.0041308859603330205,0.0416014657448863,0.047953936330593326
1000.0,120.0,0.01,1.241761803225492,0.0057604805005432805,5.397762722231478e-08,0.008681273477644661,0.07214340083620512,2.250365027637563,0.004129349324232296,0.07195288499947063,0.08254081432725799
1000.0,120.0,0.01778279410038923,1.2384300138929798,0.005693838076034054,5.103180436395088e-08,0.00860722922207867,0.07132711931865736,2.2495987109831788,0.004126787396334334,0.12200999662685799,0.13886172219233378
1000.0,120.0,0.03162277660168379,1.2332626842896577,0.005592077042114452,4.651567245593909e-08,0.008493454358598763,0.07007367561314028,2.248344406863806,0.004122714686207279,0.20041619207253894,0.22531808116192953
1000.0,120.0,0.05623413251903491,1.2258972309262488,0.00545031148252488,4.018776478255399e-08,0.008333483832947547,0.06831307030203726,2.246418483868549,0.004116700643296553,0.31382324899544617,0.3467061231683442
1000.0,120.0,0.1,1.216569148401505,0.0052761493172953835,3.235536861395916e-08,0.008134535924138096,0.06612650544006704,2.2437465423851317,0.004108730768921352,0.4602898840555153,0.4973950406357193
1000.0,120.0,0.1778279410038923,1.2063750980123964,0.005092450097248555,2.402385506885215e-08,0.007921694696116805,0.06379111293710606,2.2405332414487873,0.004099575590773208,0.6240831521501476,0.6582873624305413
1000.0,120.0,0.31622776601683794,1.1968826647965962,0.004927384367646,1.6475696734032618e-08,0.007727704422632648,0.061666236505465113,2.237267573700168,0.004090634087524279,0.7802093432829114,0.8046543899836606
1000.0,120.0,0.5623413251903491,1.1892737472271795,0.004799093609802878,1.0568795455756163e-08,0.00757507558490874,0.05999699136536448,2.234461796157399,0.004083180085427315,0.9079383951271658,0.9196406338459355
1000.0,120.0,1.0,1.183874523365668,0.004710166595804312,6.453620582225108e-09,0.0074682919816983296,0.05883055080107041,2.232369294558707,0.0040777355455111075,1.0,1.0
1000.0,130.0,0.0,1.407295459918132,0.009521232777429823,9.297778046772047e-08,0.012096138022459473,0.09944209512974392,2.3071796015278747,0.005765702150531498,0.0,0.0
1000.0,130.0,1e-08,1.4072954515846754,0.0095212324893671,9.297779354648922e-08,0.012096140715370176,0.09944211676447583,2.307180163750925,0.005765703524796493,9.196011054133235e-08,1.1199225685269241e-07
1000.0,130.0,1.7782794100389228e-08,1.4072954450989386,0.0095212322651738,9.297776319601164e-08,0.012096137538448017,0.09944209025510126,2.3071795956079093,0.005765702081063976,1.635307606892762e-07,1.991535086364317e-07
1000.0,130.0,3.162277660168379e-08,1.407295433565449,0.009521231866495627,9.297772636467002e-08,0.012096134118893525,0.09944206144599371,2.3071790106151613,0.005765700576600679,2.908033516551494e-07,3.5415053385431463e-07
1000.0,130.0,5.6234132519034905e-08,1.4072954130556947,0.009521231157534754,9.297774947928474e-08,0.012096139566009483,0.09944210498711722,2.3071801691569567,0.0057657033961590505,5.171295083059275e-07,6.297784443225004e-07
1000.0,130.0,1e-07,1.4072953765836738,0.00952122989680507,9.297770799135435e-08,0.012096138507496933,0.09944209408093047,2.307180179898661,0.005765703288444419,9.196004270783427e-07,1.119921540516985e-06
1000.0,130.0,1.7782794100389227e-07,1.4072953117262916,0.009521227654878405,9.297761111438789e-08,0.012096133619930883,0.09944204998071696,2.3071796257905914,0.00576570166443181,1.6353054618107114e-06,1.9915318355142908e-06
