tag,m_GeV,delta_keV,E_star,halfwidth_v250,v_min_248,exo_lo,exo_mid,exo_gap,exo_hi,exo_roi,exo_lomid,exo_he1700,exo_he1000,exo_all,exo_gap_true,exo_hi_true,exo_lomid_true,exo_roi_true,exo_D248,exo_pct248,exo_p16,exo_p50,exo_p84,exo_p95,exo_mode,exo_fwhm,exo_f_hi_of_roi,endo_lomid,endo_gap,endo_hi,endo_roi,endo_he1700,endo_he1000,endo_all,endo_D248,endo_pct248,endo_p16,endo_p50,endo_p84,endo_mode,R_roi,gap_per_hi,lomid_per_hi,he1700_per_hi,D248_per_hi,endo_D248_per_hi,Z5_exo,mu_hi_exo,mu_gap_exo,mu_lomid_exo,mu_he_exo,kappa_exo,Z4_exo,Z5_endo,mu_hi_endo,kappa_endo,Z4_endo,B_exo,B_endo,B_exo_mu3,B_endo_mu3,B_exo_log,B_endo_log,B_exo_noHE,B_endo_noHE,B_exo_bin,B_endo_bin,kappa_f2_one_event,sigmaN_f2_cm2,endo_events_at_exo_coupling_f2fo,endo_gap_at_exo_coupling_f2fo,date_exo,date_endo,B_exo_date,B_endo_date
iso,10000.0,440.0,434.6828667778182,281.18887095704343,229.99159781989,0.0015141512749715829,5878.66504008436,178627.17952338143,63915.8090723052,248974.19612010362,5878.666554235635,130790.02112030047,105929.81303470062,403420.6172521382,181733.53583146422,62770.78326600308,4024.9486617011826,248974.1961201036,312.2691361443961,0.9859541882942436,149.02112063294035,178.65312414900797,210.76129752078566,231.12638667576033,176.5,78.0,0.2567165998257611,3.121751772110146e-54,1.0878976945066388e-23,7.516898217665465e-10,1.9742924028302932e-07,0.07615665658829406,0.0592501997969231,0.07974571670689,3.072701749569761e-13,4.9974502734139775e-06,290.9329502599304,303.96011767763133,317.29536035977407,304.5,1261080657369.6016,2.7947260954063524,0.09197515668753176,2.046285934866965,0.004885632219583413,0.0004087725629101381,2.697378368624968,0.1688773379660755,0.4719659033365492,0.013451161991269042,0.34557132139775515,2.6421841547062614e-06,3.067394922410519,,,,,1.76244359518846,,5.874808242419654,,11.541984014748374,,4.1443534071432655,,5.120611592003349,,4.016480485060412e-06,1.190582394732505e-43,7.929706907770903e-13,4.369519859728129e-29,1.0573603110910654,6.093235469086071,1.8635379080889258,
iso,10000.0,450.0,444.5620228409505,284.09068704551635,242.16262844144146,0.00017658385927373944,4538.261458269904,156366.23690270798,59140.698436539686,220575.74440779508,4538.261634853764,129351.29808029458,104381.81504980905,372520.7056915059,158924.6654199515,58210.48445246568,3011.452679520524,220575.74440779505,294.18387999951517,0.98497130961182,150.28911263762538,179.89899139011717,211.82107226822018,232.0071290089346,177.5,77.0,0.26811968195016855,6.832281657453346e-83,2.221458146431989e-47,4.80687031458563e-27,5.828328180313043e-18,0.0027359718315414622,0.0017209762762520036,0.0028648919704734204,1.8051498648962818e-32,6.8908349790263254e-15,336.0384997759501,349.26446968218295,362.52827420234377,349.5,3.784545715062116e+22,2.6439700753702655,0.07673669325571963,2.18717907464508,0.004974305136338323,3.755353788969221e-06,2.7048246422581963,0.1693036886813469,0.44763388652328473,0.011250903325198453,0.37029748514406696,2.862727244640448e-06,3.0681495016771803,,,,,1.8024381153750237,,6.008123077219909,,11.769035467450177,,4.581386408493603,,5.14442071997206,,4.533590049462665e-06,1.3438662326137333e-43,2.6423250643270055e-23,1.0071180547961841e-52,1.0619247523117639,5.719633469393479,1.9140536492269045,
iso,10000.0,460.0,454.4411789040827,286.96316101877983,254.33365906299287,1.7370944107497866e-05,3484.5487399308286,136125.63362044818,54466.789324483194,194584.93513090047,3484.5487573017726,127719.72211526304,102670.79651405275,343924.27888589114,138205.19131882503,53724.88408209804,2242.2371843422616,194584.9351309004,276.1553322077717,0.9839004211764851,151.58099084120056,181.16016061112433,212.87594371817917,232.8922865947167,179.5,77.0,0.2799126730332052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,2.499241011058803,0.06397565930576055,2.34491005802415,0.005070159920067805,,2.7111893627992556,0.16904677841667556,0.42248864140632564,0.009365685302956934,0.3963994909858423,3.1036670329434654e-06,3.0676018460841665,,,,,1.8306895847376055,,6.102294687071178,,11.966623865817583,,5.0690488966187655,,5.12713906820547,,5.139143990398248e-06,1.5233671324240178e-43,0.0,0.0,1.0666172534013039,,1.9526450967031983,
iso,10000.0,470.0,464.32033496721493,289.80716536653614,266.50468968454436,1.4608760178383771e-06,2655.5591372759786,117809.37539813775,49936.27002256807,170886.17739849028,2655.5591387368545,125906.96825989806,100808.00207995829,317522.54159832833,119475.10019220003,49362.26432121862,1653.1216806191596,170886.17739849028,258.2925560103264,0.9827345677366555,152.8789958812195,182.42041376398055,213.95137690981687,233.7917291113563,180.5,77.0,0.29221948072559106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,2.359194536253815,0.05317896465908863,2.5213530806965756,0.0051724439148858005,,2.7163841187680013,0.16810135483723085,0.39658379786885883,0.0077415689029574596,0.4238428688881202,3.3663178038980397e-06,3.065735568402156,,,,,1.8460525593478578,,6.153504921313033,,12.130016122859534,,5.616348061134299,,5.068691503968838,,5.851848377812883e-06,1.7346300277525673e-43,0.0,0.0,1.0714434217994793,,1.9779408710093551,
iso,10000.0,480.0,474.19949103034713,292.6235301777413,278.6757203060958,9.974830501568727e-08,2001.6395505995913,101383.4506342675,45602.99579833727,149449.74387583774,2001.6395506993397,123931.04646050198,98812.48917556189,293304.7226275906,102690.99444911905,45177.59467080326,1202.7061026828194,149449.7438758377,240.6241057516733,0.9814741444216204,154.2349832599993,183.72184372270218,215.02827340797927,234.6928223986889,181.5,77.0,0.3051393372492098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,2.2231752291581692,0.043892720547370735,2.717607567023494,0.005276497772553063,,2.7200769648760224,0.166480132018679,0.370114505650909,0.006328092279259638,0.45242766653303235,3.65064025080451e-06,3.0625527158303374,,,,,1.846520781203529,,6.155066193694737,,12.246756890984189,,6.227871323869069,,4.970620139836854,,6.69121253784681e-06,1.9834379568394677e-43,0.0,0.0,1.0763403799636253,,1.9874848792513364,
iso,10000.0,490.0,484.07864709347933,295.41304597051936,290.84675092764724,5.453692230936843e-09,1485.7099998610797,86764.07067855426,41458.878809690774,130146.80138373298,1485.7099998665335,121775.65184030097,96667.3166196302,271118.4139475563,87760.64690939648,41167.35326192395,857.8411324802768,130146.80138373298,223.30876692616496,0.9801081196788736,155.62218475130047,185.02920542251664,216.11286070705486,235.60091375432603,183.5,77.0,0.31855472719187944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,2.092774169721967,0.03583574960351454,2.9372635087236514,0.005386271248463377,,2.722273553250942,0.16408315626018755,0.34338899110777377,0.005092117153040577,0.48195546727924965,3.9577326008592894e-06,3.0578116624128597,,,,,1.830745255617872,,6.102481788416276,,12.31526368956829,,6.909634421995854,,4.828220957321306,,7.683631017957463e-06,2.2776149047972173e-43,0.0,0.0,1.0813323652355329,,1.9796440974010039,
iso,10000.0,500.0,493.9578031566116,298.17646628377105,303.0177815491988,2.3638794151572743e-10,1086.350493580011,73730.69336254084,37519.75768026866,112751.37740027427,1086.3504935802475,119471.54513431744,94403.79202405036,250759.6170129306,74464.83010508792,37344.89060323008,598.4351290941347,112751.37740027427,206.4163500543641,0.9786053078140197,157.03766237842763,186.37533021012464,217.2174558054462,236.527417178531,185.5,76.0,0.3327654042493089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,1.965116459195983,0.028954091410658297,3.18423019019514,0.005501537398332314,,2.7229592691603055,0.1609511512953713,0.316287756537077,0.004035728304724454,0.5125055151013869,4.289770543481261e-06,3.051518646913048,,,,,1.7991248722911504,,5.997081206267915,,12.334079924298797,,7.682919248747657,,4.645806207341748,,8.869071252672497e-06,2.6290081902143778e-43,0.0,0.0,1.0864436717670714,,1.9546478322194607,
p,300.0,100.0,71.03582356261555,89.11068682730624,303.2042569955581,386493225.41593486,46949714.723427415,4747933.4754589405,985603.3417273918,439392237.9302426,433442940.1393623,139830.13606558013,110704.53793981553,458446851.29984945,4879653.319777993,956013.5048202521,433554439.54587257,439392307.9123677,5668.787125328744,0.9998420019405165,17.90509711458003,30.69159507492043,50.174557781885106,67.28544565100654,24.5,34.0,0.0022431059464547596,47341171.00574792,540523.7691552779,101539.13056986989,47990800.34738593,10577.75230713625,8787.762028690113,50021146.49523004,556.5842245651933,0.9998602493083992,19.727564203153484,32.827667885476124,52.21551013071205,26.5,9.15575974456897,4.81728630012313,439.7742192916066,0.141872627806345,0.005751590812784272,0.005481475185393706,1.3746374484171373,0.006581667135695868,0.031705774924758345,2.506591557722,0.0009337584118878327,6.677805215392921e-09,1.8699287335045442,1.309578012476246,0.006066551787328529,5.974594969723604e-08,1.8403586481655052,0.004929964566040586,0.004250384817071553,0.01643321522013529,0.014167949390238509,0.7155158814139221,0.6514608458137864,0.004938948442315117,0.004255702921259345,0.01106590255179311,0.009874297991252539,2.2758708818127983e-09,6.746234208405232e-47,0.10922086510550714,0.0012301623071481996,,,,
p,300.0,110.0,78.1394059188771,92.46913234002498,291.0332263740067,319881628.61216396,46231430.21729539,4984630.866252569,1050872.507133889,372222370.60859776,366113058.82945937,153159.9011005746,120937.04548075891,388083708.2705636,5121970.278188985,1020061.6604026597,366077979.4285136,372222387.36535585,6077.887831956903,0.9997996780313748,19.71882089421998,32.850572028157664,52.506519443007384,70.05418328904283,26.5,35.0,0.0028232384459205727,30367294.34576773,451018.82826266915,85433.6303341893,30905180.723560903,8825.41402676463,7359.018217455794,32204385.985416226,469.0019883311102,0.9998171456567285,21.981813573227157,35.410153900583495,54.9933956287694,29.5,12.044012100690612,4.743325981424205,348.3896061073885,0.14574546394623766,0.0057836586176695315,0.005489664743222581,1.5070760713642366,0.008545505462569694,0.04053411808500929,2.5782251342927043,0.0012454686582973283,8.131819421060306e-09,1.9775513805460603,1.46349399919602,0.00824965168801908,9.656211091286949e-08,1.9662457405254872,0.007484693190837726,0.006851828296174103,0.024948977302792424,0.02283942765391368,0.8917876529895818,0.8375683385002719,0.00750248730956418,0.006863057325884615,0.0170286188765894,0.016277353240289796,2.686566093179628e-09,7.963634591833058e-47,0.08302881063550736,0.0012116918913960926,,,,
p,300.0,120.0,85.24298827513866,95.70980286574547,278.86219575245525,262159677.34758553,45086937.70887552,5209634.165634194,1116004.3765008752,313600978.9885059,307246615.05646104,167289.51479640935,131747.14190482767,326901310.9096883,5352113.5316076055,1084086.1691068728,307162227.7069067,313600983.54155433,6493.942508856787,0.9997454856394431,21.57202398153836,35.02120746743334,54.889641079022226,73.09869151226329,28.5,36.0,0.003558676315681333,19154544.042039126,372809.6891399241,71364.02180242189,19599316.922876474,7309.382407716579,6120.069045366712,20423951.342616573,392.0888041476778,0.9997589455154511,24.36444052872827,38.090179743470884,57.905709569458935,32.5,16.000607583546365,4.668112666339628,275.30950731555674,0.14990041107269633,0.00581892208094911,0.005494208345393049,1.6333120283621414,0.010996220128236298,0.05133159446247862,2.6216971770958315,0.0016483379174684783,9.853205202217837e-09,2.080812796590269,1.611322619559929,0.011140751433387145,1.5611159730082728e-07,2.0886646024295774,0.011436122686953919,0.011244585936052367,0.03812040895651306,0.03748195312017456,1.10873298072048,1.0771761950207135,0.011471566059031381,0.011268794866437051,0.026273598443427065,0.02721977694623947,3.1887655555968527e-09,9.452275806005627e-47,0.062497626716895,0.0011888026955221601,,,,
p,300.0,130.0,92.34657063140021,98.84428305917679,266.69116513090376,212798991.11557737,43552708.53978334,5420999.9770363765,1180693.4613108665,262967672.7408401,256351699.6553607,182200.3531477925,143090.4119599564,274131449.5803527,5568169.21195898,1147784.4341779184,256248979.49280086,262967673.61335203,6912.146123924511,0.9996763628885694,23.44501419991093,37.199841151128716,57.31918533231054,76.58896644631986,31.5,36.0,0.004489880634394416,11871184.340761466,305686.1166083338,59180.07020767259,12236483.68979858,6002.489748488622,5049.810264730277,12752792.007320117,326.1103754116848,0.9996787783700144,26.862899741207748,40.8525961356095,60.9738720971914,35.5,21.490460773471494,4.591369525344626,217.11960644784622,0.1543163904249155,0.005854310496689201,0.0055104763185868134,1.7530233596513332,0.014037135416328237,0.06444967577366521,2.639340516737037,0.0021661600693535167,1.1888890619198896e-08,2.1795853435781503,1.7544500364542108,0.014977997051454178,2.5309191082224007e-07,2.2074276438734617,0.017525690591008485,0.018783106622977535,0.05841896863669496,0.06261035540992511,1.3746572505896626,1.3900958688491936,0.017596376589494533,0.018836316112511336,0.04054151737439775,0.04607112099251874,3.8027487925693435e-09,1.1272271285429271e-46,0.04653227357667602,0.0011624475108375529,,,,
p,300.0,140.0,99.45015298766175,101.88237444408854,254.52013450935232,171046633.55709398,41649694.36610061,5615280.828053737,1244148.2977396718,219567194.99523002,212696327.9231946,197874.33794924265,154955.69535778323,228930423.73478127,5766491.624504912,1210443.0688307772,212587332.75014615,219567195.20251626,7331.469315030427,0.999588119501057,25.336005464154155,39.39242211992368,59.82936447170086,80.92622571182483,33.5,37.0,0.005666366953254107,7208209.497684912,248158.60524542,48671.295942257326,7505390.885852885,4882.340402842934,4129.782449106565,7823362.766701399,268.82467693349923,0.9995683074700803,29.525216299649514,43.75150566448102,64.31090785709571,38.5,29.254598239393257,4.513353302219194,170.95737566784794,0.15904401292734502,0.005892761601129064,0.005523269346524645,1.8664569560133455,0.01778480659303961,0.08026911556602502,2.6330243844108483,0.0028285670096937225,1.4294764237792608e-08,2.2737348037891736,1.8915511275235397,0.020077559834315247,4.1251336019765884e-07,2.3226041418130117,0.026867093994667756,0.031802236363385514,0.08955697998222584,0.10600745454461839,1.6999764066737948,1.7979518928061629,0.02700779938723073,0.031920976764546125,0.06239665942684227,0.07882769046877865,4.55441442434843e-09,1.350039083250633e-46,0.03418266051090162,0.0011302171312559289,,,,
