m_GeV,delta_keV,halo,exo_roi,exo_all,mode,fwhm,p16,p84,pct248,gap_per_hi,lomid_per_hi,he1700_per_hi,f_hi_of_roi,Z5,mu_hi,mu_gap,B,frac_hi_of_all
1000.0,300.0,SHM annual (WimPyDD),12410127.135549616,14227734.80768681,158.5,76.0,70.450860099585,190.18757661174791,0.9955641930081734,5.387497080296349,2.912076950691236,0.9096931748709184,0.10746658590119389,2.4974869318990853,0.12260893563588122,0.6605552827565532,0.7651671228585641,0.09373761964812113
1000.0,300.0,"v0=150, vE=251",10471102.894635225,12369854.287091566,160.5,75.0,134.1708488920598,197.5785988191351,0.9940339930389586,5.1964377073477666,0.6467482139546558,0.9023862162968863,0.14601176140948197,2.533053612640847,0.13569846225367627,0.705148606084111,0.9263000878107718,0.12359920675388121
1000.0,300.0,"v0=100, vE=251",10800091.068237962,12802808.382609028,160.5,71.0,139.46801264063077,198.08620994044367,0.994078748561632,5.377935297193067,0.32172741682238193,0.9154453292314446,0.14914102533808352,2.5170709905232895,0.1335065968723529,0.7179898397279523,0.8759166550764232,0.12581119763142484
1000.0,300.0,"v0=50, vE=251",11554488.970665073,13640925.27147868,158.5,65.0,141.57360175242445,196.89246326246007,0.9944585815862408,5.884536597012913,0.19581546767938698,0.9382648275245822,0.1411295166730501,2.4872378881123622,0.12489428255338464,0.7349449764430632,0.7614306887253217,0.11954316964433334
1000.0,300.0,"disk lag 100, sig 50",5414581.313522215,7399856.500219466,196.5,61.0,173.51744911582645,223.3938451747107,0.9732705068103441,1.124238050512863,0.0006968771644407992,0.6596868965332217,0.4688283946902906,2.984998339256775,0.3576410812539637,0.40207371197226865,8.404472080647505,0.3430484719620411
1000.0,300.0,"disk lag 50, sig 50",3376887.609420068,4943794.560017694,209.5,58.0,186.0831843968845,233.30648329260816,0.9445199228226392,0.5132768022537841,4.4338554230445915e-05,0.6118744465945136,0.6552995235053417,3.180216639117111,0.46944786013712525,0.24095669647606535,20.0981318729147,0.44760614837849233
1000.0,300.0,"disk lag 50, sig 20",1362519.1041857263,2302122.981919406,230.5,40.0,214.83970018801406,249.28162216425937,0.816099115969537,0.026528948247146935,9.665849821807109e-14,0.6456522500018947,0.9453952878922872,3.4736299993124957,0.5974932759409881,0.015850868195456756,67.79654364686024,0.55953532929263
1000.0,300.0,"disk lag 20, sig 20",632350.4637886743,1144028.903630754,242.5,39.0,227.01377016534167,261.3291867525884,0.5992982550012235,0.00305445041513246,1.318936970349477e-16,0.7779893484083649,0.9116059196576357,3.589729682122101,0.5611395785757107,0.0017139730187278332,95.91556403255653,0.5038809983371391
1000.0,300.0,"disk lag 10, sig 10",232804.1759461745,436818.49054904596,258.5,37.0,245.212104205182,275.1574549126514,0.2025921328444814,5.067635459674606e-06,7.002889617947777e-27,0.984037638641118,0.7385951689283902,3.576034668489216,0.503711316840764,2.552625330661646e-06,81.97907165858832,0.3936372735597215
1000.0,300.0,"SHM + disk(lag 50, sig 20) rho_d/rho_0 = 0.25",12750756.911596049,14803265.553166663,158.5,77.0,71.06817378054639,193.990541575386,0.9907698777040972,4.344803672319669,2.345686074040783,0.8583379485357526,0.1298514112163505,2.729970971529356,0.1460462407838938,0.6345422432863445,1.6610824049337007,0.1118471983834134
1000.0,300.0,"SHM + disk(lag 50, sig 20) rho_d/rho_0 = 1.0",13772646.239735344,16529857.789606215,158.5,83.0,72.97991292203079,207.03481603554565,0.9778098274532212,2.7535876491061906,1.4813378088331033,0.7799666282654534,0.1903623377077364,2.9952825269056302,0.2031894326849624,0.5594999122702061,4.917330686177117,0.1586095396577603
