structure,description,anand_candidate,dm_type,majorana_allowed,dim,m_chi_GeV,N_lo,N_mid,f_hi,R_lo,R_hi,R_roi,N_events_unit_C,C_1event,Lambda_1event_GeV,Lambda_lo68_GeV,Lambda_hi68_GeV,Lambda_over_mchi,leading_op_248keV,frac_lead_248,leading_op_20keV,frac_lead_20,leading_piece_248,leading_piece_20,fractions_248,fractions_20,classification,Z_pred_P016,dRdE_248_unit,mu_chi_1event_muN,anapole_a_1event_GeV-2
VV_isov,"vector-vector, u=-d",L5^v (certain),D,False,6,1000,476.89,8.4584,0.0018367,4.146e+16,8.6939e+13,4.7334e+16,1.3443e+17,2.7274e-09,19148,15384,25873,19.148,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,1.4294,1.7161e+12,,
VV_isov,"vector-vector, u=-d",L5^v (certain),D,False,6,4000,404.27,7.6109,0.0021657,1.0472e+16,2.5905e+13,1.1961e+16,3.397e+16,5.4257e-09,13576,10907,18344,3.394,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,1.5237,5.1507e+11,,
AV_univ,"axial(DM)-vector(q) chibar g^mu g5 chi qbar g_mu q, u=d=s","A-V Lagrangian (L8 or L13, uncertain)",D,True,6,200,516.93,38.164,0.0016594,9.3831e+13,1.8152e+11,1.0939e+14,3.1066e+14,5.6735e-08,4198.3,3373,5672.7,20.991,O8,0.78361,O8,0.99533,8_c,8_c,"{""O8"": 0.7836, ""O9"": 0.2164}","{""O8"": 0.9953, ""O9"": 0.0047}",excluded,1.3807,2.0656e+09,,
AV_univ,"axial(DM)-vector(q) chibar g^mu g5 chi qbar g_mu q, u=d=s","A-V Lagrangian (L8 or L13, uncertain)",D,True,6,1000,167.04,17.186,0.0050227,2.075e+13,1.2422e+11,2.4732e+13,7.024e+13,1.1932e-07,2895,2325.9,3911.7,2.895,O8,0.78371,O8,0.9954,8_c,8_c,"{""O8"": 0.7837, ""O9"": 0.2163}","{""O8"": 0.9954, ""O9"": 0.0046}",excluded,1.9808,1.59e+09,,
AV_univ,"axial(DM)-vector(q) chibar g^mu g5 chi qbar g_mu q, u=d=s","A-V Lagrangian (L8 or L13, uncertain)",D,True,6,4000,143.15,15.46,0.0058356,5.2655e+12,3.6782e+10,6.3031e+12,1.7901e+13,2.3635e-07,2056.9,1652.6,2779.3,0.51423,O8,0.78392,O8,0.99541,8_c,8_c,"{""O8"": 0.7839, ""O9"": 0.2161}","{""O8"": 0.9954, ""O9"": 0.0046}",excluded,2.0516,4.7906e+08,,
AV_anapole,anapole a chibar g^mu g5 chi d^nu F_{mu nu} -> e Q_q A-V,L16? (uncertain),D,True,6,200,82.492,7.29,0.010197,1.7013e+11,2.0624e+09,2.0226e+11,5.7442e+11,1.3194e-06,870.58,699.45,1176.3,4.3529,O9,0.99107,O8,0.8979,9_c,8_c,"{""O8"": 0.0089, ""O9"": 0.9911}","{""O8"": 0.8979, ""O9"": 0.1021}",excluded,2.2932,2.247e+07,,1.3194e-06
AV_anapole,anapole a chibar g^mu g5 chi d^nu F_{mu nu} -> e Q_q A-V,L16? (uncertain),D,True,6,1000,26.91,3.7639,0.029512,3.758e+10,1.3965e+09,4.7319e+10,1.3439e+11,2.7279e-06,605.46,486.45,818.1,0.60546,O9,0.9901,O8,0.89935,9_c,8_c,"{""O8"": 0.0099, ""O9"": 0.9901}","{""O8"": 0.8993, ""O9"": 0.1007}",excluded,2.7159,1.7311e+07,,2.7279e-06
AV_anapole,anapole a chibar g^mu g5 chi d^nu F_{mu nu} -> e Q_q A-V,L16? (uncertain),D,True,6,4000,23.09,3.4545,0.033988,9.5348e+09,4.1294e+08,1.215e+10,3.4505e+10,5.3834e-06,430.99,346.27,582.36,0.10775,O9,0.98996,O8,0.89957,9_c,8_c,"{""O8"": 0.01, ""O9"": 0.99}","{""O8"": 0.8996, ""O9"": 0.1004}",excluded,2.7677,5.2051e+06,,5.3834e-06
VA_univ,"vector(DM)-axial(q) chibar g^mu chi qbar g_mu g5 q, u=d=s","V-A Lagrangian (L7, likely)",D,False,6,200,65.64,7.9779,0.011892,4.9226e+06,74994,6.3061e+06,1.7909e+07,0.0002363,65.053,52.266,87.9,0.32527,O7,0.52821,O7,0.94734,7_c,7_c,"{""O7"": 0.5282, ""O9"": 0.4718}","{""O7"": 0.9473, ""O9"": 0.0527}",excluded,2.3854,756.08,,
VA_univ,"vector(DM)-axial(q) chibar g^mu chi qbar g_mu g5 q, u=d=s","V-A Lagrangian (L7, likely)",D,False,6,1000,31.502,5.1968,0.023742,1.0228e+06,32469,1.3676e+06,3.884e+06,0.00050741,44.393,35.667,59.984,0.044393,O7,0.96976,O7,0.99782,7_c,7_c,"{""O7"": 0.9698, ""O9"": 0.0302}","{""O7"": 0.9978, ""O9"": 0.0022}",excluded,2.6613,363.12,,
VA_univ,"vector(DM)-axial(q) chibar g^mu chi qbar g_mu g5 q, u=d=s","V-A Lagrangian (L7, likely)",D,False,6,4000,27.176,4.8103,0.027194,2.5835e+05,9506.5,3.4958e+05,9.9281e+05,0.0010036,31.566,25.361,42.652,0.0078914,O7,0.99809,O7,0.99986,7_c,7_c,"{""O7"": 0.9981, ""O9"": 0.0019}","{""O7"": 0.9999, ""O9"": 0.0001}",excluded,2.7126,108.09,,
AA_univ,"axial-axial chibar g^mu g5 chi qbar g_mu g5 q, u=d=s",L15^s (likely),D,True,6,200,86.48,20.786,0.0085931,2.112e+13,2.4421e+11,2.842e+13,8.0712e+13,1.1131e-07,2997.3,2408.1,4050,14.987,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.273,2.5232e+09,,
AA_univ,"axial-axial chibar g^mu g5 chi qbar g_mu g5 q, u=d=s",L15^s (likely),D,True,6,1000,28.156,9.9999,0.024027,4.6227e+12,1.6418e+11,6.8335e+12,1.9407e+13,2.27e-07,2098.9,1686.3,2836,2.0989,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.7006,1.9413e+09,,
AA_univ,"axial-axial chibar g^mu g5 chi qbar g_mu g5 q, u=d=s",L15^s (likely),D,True,6,4000,24.149,9.0779,0.027532,1.1712e+12,4.8501e+10,1.7616e+12,5.003e+12,4.4708e-07,1495.6,1201.6,2020.8,0.37389,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.7525,5.8394e+08,,
AA_Zlike,axial-axial with Z (T3) quark charges,L15 (isovector-like),D,True,6,200,173.1,18.055,0.0046942,3.3003e+13,1.9066e+11,4.0616e+13,1.1535e+14,9.3109e-08,3277.2,2633,4428.2,16.386,O4,0.70009,O4,0.97157,4_c,4_c,"{""O4"": 0.7001, ""O6"": 0.2999}","{""O4"": 0.9716, ""O6"": 0.0284}",excluded,1.9635,1.8905e+09,,
AA_Zlike,axial-axial with Z (T3) quark charges,L15 (isovector-like),D,True,6,1000,55.895,8.7314,0.013895,7.1352e+12,1.2766e+11,9.1871e+12,2.6091e+13,1.9577e-07,2260.1,1815.8,3053.8,2.2601,O4,0.70013,O4,0.97157,4_c,4_c,"{""O4"": 0.7001, ""O6"": 0.2999}","{""O4"": 0.9716, ""O6"": 0.0284}",excluded,2.4491,1.4548e+09,,
AA_Zlike,axial-axial with Z (T3) quark charges,L15 (isovector-like),D,True,6,4000,47.879,7.9336,0.016078,1.8046e+12,3.769e+10,2.3442e+12,6.6576e+12,3.8756e-07,1606.3,1290.6,2170.4,0.40158,O4,0.70005,O4,0.97157,4_c,4_c,"{""O4"": 0.7001, ""O6"": 0.2999}","{""O4"": 0.9716, ""O6"": 0.0284}",excluded,2.508,4.374e+08,,
SGG,scalar-gluon alpha_s/(12pi) chibar chi G G,L1^s-like (certain),D,True,7,200,7907.9,205.84,0.00011285,3.3396e+16,4.2231e+12,3.7424e+16,1.0628e+17,3.0674e-09,688.25,594.81,841.18,3.4412,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0,8.6371e+09,,
SGG,scalar-gluon alpha_s/(12pi) chibar chi G G,L1^s-like (certain),D,True,7,1000,2755.4,92.147,0.00032346,7.2585e+15,2.6342e+12,8.1441e+15,2.3129e+16,6.5754e-09,533.78,461.31,652.39,0.53378,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.16244,6.6574e+09,,
SGG,scalar-gluon alpha_s/(12pi) chibar chi G G,L1^s-like (certain),D,True,7,4000,2386.8,82.805,0.00037327,1.8369e+15,7.6961e+11,2.0618e+15,5.8555e+15,1.3068e-08,424.55,366.91,518.89,0.10614,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.26657,2e+09,,
PGG,pseudoscalar(DM)-gluon chibar i g5 chi G G,L3-like,D,True,7,200,723.2,68.031,0.0012445,1.0134e+09,1.4013e+06,1.126e+09,3.1977e+09,1.7684e-05,38.383,33.172,46.912,0.19192,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.1718,3299.3,,
PGG,pseudoscalar(DM)-gluon chibar i g5 chi G G,L3-like,D,True,7,1000,258.12,32.148,0.0033906,9.0623e+06,35109,1.0355e+07,2.9407e+07,0.0001844,17.569,15.184,21.473,0.017569,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.7656,101.72,,
PGG,pseudoscalar(DM)-gluon chibar i g5 chi G G,L3-like,D,True,7,4000,224.37,29.149,0.0038812,1.4392e+05,641.44,1.6527e+05,4.6937e+05,0.0014596,8.8156,7.6188,10.775,0.0022039,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.8375,1.91,,
SGGt,scalar(DM)-gluon-dual chibar chi G Gdual,L2-like,D,True,7,200,1.3674,6.7219,0.10972,3.8016e+08,2.7802e+08,2.534e+09,7.1966e+09,1.1788e-05,43.939,37.974,53.703,0.2197,O10,1,O10,1,10_q2pi,10_q2pi,"{""O10"": 1.0}","{""O10"": 1.0}",compatible,3.4363,3.3829e+06,,
SGGt,scalar(DM)-gluon-dual chibar chi G Gdual,L2-like,D,True,7,1000,0.47384,3.5655,0.19712,9.017e+07,1.9029e+08,9.6538e+08,2.7417e+09,1.9098e-05,37.411,32.332,45.724,0.037411,O10,1,O10,1,10_q2pi,10_q2pi,"{""O10"": 1.0}","{""O10"": 1.0}",compatible,3.532,2.6024e+06,,
SGGt,scalar(DM)-gluon-dual chibar chi G Gdual,L2-like,D,True,7,4000,0.41004,3.2814,0.21158,2.3105e+07,5.6348e+07,2.6632e+08,7.5636e+08,3.6361e-05,30.185,26.087,36.892,0.0075462,O10,1,O10,1,10_q2pi,10_q2pi,"{""O10"": 1.0}","{""O10"": 1.0}",compatible,3.5396,7.8302e+05,,
PGGt,pseudoscalar-gluon-dual chibar i g5 chi G Gdual,L4-like,D,True,7,200,0.23518,3.462,0.21154,22.995,97.777,462.22,1312.7,0.0276,3.309,2.8597,4.0443,0.016545,O6,1,O6,1,6_q2pi,6_q2pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.5633,1.2925,,
PGGt,pseudoscalar-gluon-dual chibar i g5 chi G Gdual,L4-like,D,True,7,1000,0.081776,1.9542,0.32509,0.22115,2.7043,8.3188,23.625,0.20574,1.6939,1.464,2.0703,0.0016939,O6,1,O6,1,6_q2pi,6_q2pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.5852,0.03977,,
PGGt,pseudoscalar-gluon-dual chibar i g5 chi G Gdual,L4-like,D,True,7,4000,0.070803,1.8134,0.34179,0.0035483,0.050116,0.14663,0.41642,1.5497,0.86415,0.74683,1.0562,0.00021604,O6,1,O6,1,6_q2pi,6_q2pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.5868,0.0007479,,
SS_univ,"m_q chibar chi qbar q, u=d=s",L1^s (certain),D,True,7,200,7966.4,206.89,0.00011202,9.2474e+16,1.1608e+13,1.0363e+17,2.943e+17,1.8433e-09,815.58,704.85,996.81,4.0779,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0,2.345e+10,,
SS_univ,"m_q chibar chi qbar q, u=d=s",L1^s (certain),D,True,7,1000,2776.4,92.645,0.00032102,2.0099e+16,7.2391e+12,2.255e+16,6.4042e+16,3.9515e-09,632.52,546.65,773.08,0.63252,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.15763,1.8075e+10,,
SS_univ,"m_q chibar chi qbar q, u=d=s",L1^s (certain),D,True,7,4000,2405,83.257,0.00037045,5.0863e+15,2.1149e+12,5.7089e+15,1.6213e+16,7.8536e-09,503.09,434.79,614.88,0.12577,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.26002,5.43e+09,,
PS_univ,"m_q chibar i g5 chi qbar q, u=d=s",L3 (certain),D,True,7,200,728.51,68.399,0.0012357,2.8056e+09,3.8511e+06,3.1166e+09,8.8511e+09,1.0629e-05,45.481,39.307,55.588,0.22741,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.167,8957,,
PS_univ,"m_q chibar i g5 chi qbar q, u=d=s",L3 (certain),D,True,7,1000,260.07,32.333,0.0033659,2.5087e+07,96464,2.8659e+07,8.1391e+07,0.00011084,20.818,17.991,25.443,0.020818,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.7617,276.16,,
PS_univ,"m_q chibar i g5 chi qbar q, u=d=s",L3 (certain),D,True,7,4000,226.07,29.318,0.0038528,3.9841e+05,1762.3,4.5742e+05,1.2991e+06,0.00087737,10.446,9.0276,12.767,0.0026114,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.8338,5.1852,,
SP_univ,"m_q chibar chi qbar i g5 q, u=d=s",L2 (certain),D,True,7,200,2.6859,3.2122,0.1423,4.8498e+08,1.8056e+08,1.2689e+09,3.6037e+09,1.6658e-05,39.155,33.839,47.856,0.19578,O10,1,O10,1,10_eta,10_pi,"{""O10"": 1.0}","{""O10"": 1.0}",compatible,3.3322,2.2713e+06,,
SP_univ,"m_q chibar chi qbar i g5 q, u=d=s",L2 (certain),D,True,7,1000,0.84568,1.9197,0.26101,1.0491e+08,1.2405e+08,4.7528e+08,1.3498e+09,2.7219e-05,33.244,28.73,40.631,0.033244,O10,1,O10,1,10_eta,10_pi,"{""O10"": 1.0}","{""O10"": 1.0}",compatible,3.4879,1.7473e+06,,
SP_univ,"m_q chibar chi qbar i g5 q, u=d=s",L2 (certain),D,True,7,4000,0.72196,1.7936,0.27948,2.6533e+07,3.6751e+07,1.315e+08,3.7345e+08,5.1747e-05,26.835,23.192,32.798,0.0067088,O10,1,O10,1,10_eta,10_pi,"{""O10"": 1.0}","{""O10"": 1.0}",compatible,3.5021,5.2569e+05,,
SP_isov,"m_q chibar chi qbar i g5 q, u=-d",L2^v (certain),D,True,7,200,76.709,38.116,0.0085597,9.149e+10,1.1927e+09,1.3934e+11,3.9572e+11,1.5897e-06,85.684,74.051,104.72,0.42842,O10,1,O10,1,10_pi,10_pi,"{""O10"": 1.0}","{""O10"": 1.0}",excluded,2.3225,1.211e+07,,
SP_isov,"m_q chibar chi qbar i g5 q, u=-d",L2^v (certain),D,True,7,1000,25.842,17.794,0.022243,2.0699e+10,8.0099e+08,3.601e+10,1.0227e+11,3.127e-06,68.384,59.1,83.58,0.068384,O10,1,O10,1,10_pi,10_pi,"{""O10"": 1.0}","{""O10"": 1.0}",excluded,2.7296,9.3151e+06,,
SP_isov,"m_q chibar chi qbar i g5 q, u=-d",L2^v (certain),D,True,7,4000,22.272,16.079,0.025234,5.269e+09,2.3658e+08,9.3751e+09,2.6625e+10,6.1285e-06,54.645,47.226,66.788,0.013661,O10,1,O10,1,10_pi,10_pi,"{""O10"": 1.0}","{""O10"": 1.0}",excluded,2.7799,2.8033e+06,,
PP_univ,"m_q chibar i g5 chi qbar i g5 q, u=d=s",L4 (certain),D,True,7,200,0.21823,1.9816,0.30929,13.889,63.642,205.77,584.37,0.041367,2.8914,2.4989,3.534,0.014457,O6,1,O6,1,6_eta,6_pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.5655,0.8674,,
PP_univ,"m_q chibar i g5 chi qbar i g5 q, u=d=s",L4 (certain),D,True,7,1000,0.069336,1.2247,0.42797,0.1225,1.7668,4.1284,11.725,0.29204,1.5072,1.3026,1.8422,0.0015072,O6,1,O6,1,6_eta,6_pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.587,0.026691,,
PP_univ,"m_q chibar i g5 chi qbar i g5 q, u=d=s",L4 (certain),D,True,7,4000,0.059276,1.1491,0.44396,0.0019418,0.032758,0.073786,0.20955,2.1845,0.77069,0.66606,0.94195,0.00019267,O6,1,O6,1,6_eta,6_pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.5886,0.00050191,,
PP_isov,"m_q chibar i g5 chi qbar i g5 q, u=-d",L4^v (certain),D,True,7,200,9.7036,15.529,0.038066,4021.8,414.46,10888,30922,0.0056868,5.6025,4.8418,6.8474,0.028012,O6,1,O6,1,6_pi,6_pi,"{""O6"": 1.0}","{""O6"": 1.0}",marginal,3.0335,4.6314,,
PP_isov,"m_q chibar i g5 chi qbar i g5 q, u=-d",L4^v (certain),D,True,7,1000,3.3263,7.6765,0.083081,37.398,11.243,135.33,384.33,0.051009,2.6964,2.3303,3.2956,0.0026964,O6,1,O6,1,6_pi,6_pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.2905,0.1425,,
PP_isov,"m_q chibar i g5 chi qbar i g5 q, u=-d",L4^v (certain),D,True,7,4000,2.8739,6.9955,0.091714,0.59725,0.20782,2.2659,6.4352,0.3942,1.3638,1.1787,1.6669,0.00034096,O6,1,O6,1,6_pi,6_pi,"{""O6"": 1.0}","{""O6"": 1.0}",compatible,3.3191,0.0026803,,
TT_univ,"m_q chibar sigma^{mu nu} chi qbar sigma_{mu nu} q, u=d=s","tensor-tensor (no Anand L, see text)",D,False,7,200,92.637,23.895,0.0079312,2.1495e+08,2.3203e+06,2.9256e+08,8.3086e+08,3.4693e-05,30.661,26.498,37.474,0.15331,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.2436,24122,,
TT_univ,"m_q chibar sigma^{mu nu} chi qbar sigma_{mu nu} q, u=d=s","tensor-tensor (no Anand L, see text)",D,False,7,1000,30.152,11.419,0.022139,4.7099e+07,1.5621e+06,7.0556e+07,2.0038e+08,7.0644e-05,24.19,20.906,29.566,0.02419,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.6771,18557,,
TT_univ,"m_q chibar sigma^{mu nu} chi qbar sigma_{mu nu} q, u=d=s","tensor-tensor (no Anand L, see text)",D,False,7,4000,25.861,10.356,0.025365,1.1935e+07,4.6151e+05,1.8195e+07,5.1673e+07,0.00013911,19.299,16.679,23.588,0.0048248,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.7294,5583.3,,
TT_isov,"tensor-tensor, u=-d",tensor-tensor isovector,D,False,7,200,89.764,21.972,0.0082576,7.9429e+09,8.8486e+07,1.0716e+10,3.0433e+10,5.7323e-06,55.876,48.29,68.292,0.27938,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.2571,9.2137e+05,,
TT_isov,"tensor-tensor, u=-d",tensor-tensor isovector,D,False,7,1000,29.206,10.523,0.023111,1.7393e+09,5.9552e+07,2.5768e+09,7.3182e+09,1.169e-05,44.062,38.08,53.853,0.044062,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.6882,7.0884e+05,,
TT_isov,"tensor-tensor, u=-d",tensor-tensor isovector,D,False,7,4000,25.048,9.5462,0.026488,4.407e+08,1.7594e+07,6.6424e+08,1.8864e+09,2.3024e-05,35.151,30.379,42.962,0.0087878,O4,1,O4,1,4_c,4_c,"{""O4"": 1.0}","{""O4"": 1.0}",excluded,2.7402,2.1324e+05,,
PTT_univ,"m_q chibar i sigma^{mu nu} g5 chi qbar sigma_{mu nu} q, u=d=s",pseudotensor-tensor,D,True,7,200,992.94,84.408,0.00091368,5.7814e+12,5.8225e+09,6.3726e+12,1.8098e+13,2.3506e-07,162.03,140.04,198.04,0.81017,O11,0.99335,O11,0.99972,11_c,11_c,"{""O10"": 0.0, ""O11"": 0.9933, ""O12"": 0.0067}","{""O10"": 0.0, ""O11"": 0.9997, ""O12"": 0.0003}",excluded,0.95846,6.4396e+06,,
PTT_univ,"m_q chibar i sigma^{mu nu} g5 chi qbar sigma_{mu nu} q, u=d=s",pseudotensor-tensor,D,True,7,1000,357.36,40.81,0.0024724,1.2905e+12,3.6111e+09,1.4606e+12,4.148e+12,4.91e-07,126.76,109.55,154.92,0.12676,O11,0.99333,O11,0.99972,11_c,11_c,"{""O10"": 0.0, ""O11"": 0.9933, ""O12"": 0.0067}","{""O10"": 0.0, ""O11"": 0.9997, ""O12"": 0.0003}",excluded,1.5926,4.9596e+06,,
PTT_univ,"m_q chibar i sigma^{mu nu} g5 chi qbar sigma_{mu nu} q, u=d=s",pseudotensor-tensor,D,True,7,4000,310.97,37.124,0.0028277,3.2783e+11,1.0542e+09,3.7282e+11,1.0588e+12,9.7184e-07,100.96,87.25,123.39,0.025239,O11,0.99334,O11,0.99972,11_c,11_c,"{""O10"": 0.0, ""O11"": 0.9933, ""O12"": 0.0067}","{""O10"": 0.0, ""O11"": 0.9997, ""O12"": 0.0003}",excluded,1.6687,1.4904e+06,,
Q15_univ,"chibar sigma^{mu nu} chi d_nu(qbar g_mu q) [DM dipole x quark vector current], u=d=s",L6 (likely),D,True,7,200,46.942,14.584,0.015819,4.8593e+11,1.0352e+10,6.5436e+11,1.8584e+12,7.3355e-07,110.88,95.827,135.52,0.5544,O5,0.45662,O5,0.9587,5_c,5_c,"{""O5"": 0.4566, ""O6"": 0.2139, ""O1"": 0.0015, ""O4"": 0.328}","{""O5"": 0.9587, ""O6"": 0.0064, ""O1"": 0.0245, ""O4"": 0.0104}",excluded,2.5155,1.271e+08,,
