structure,m_chi_GeV,piece,c0_factor,c1_factor,kind,diag_rate_20keV,diag_rate_248keV,frac_248,frac_20
Q15_univ,4000,6_c,-9.5094,0,const,5.1179e+06,1.5207e+07,0.21411,0.0064221
Q15_univ,4000,1_q2,0.00075,0,q2,49164,264.88,3.7293e-06,6.1692e-05
Q15_univ,4000,4_q2,10.787,0,q2,8.3813e+06,2.3312e+07,0.32823,0.010517
Q15_charge,200,5_c,-1.8778,-1.8778,const,2.7222e+08,1.4864e+05,0.001809,0.67422
Q15_charge,200,6_c,-1.6525,-8.8371,const,4.8245e+07,3.3633e+07,0.40933,0.11949
Q15_charge,200,1_q2,0.0025,0.0025,q2,7.2073e+06,47766,0.00058133,0.017851
Q15_charge,200,4_q2,1.8745,10.024,q2,7.6082e+07,4.8336e+07,0.58828,0.18844
Q15_charge,1000,5_c,-1.8778,-1.8778,const,6.0052e+07,1.2695e+05,0.0020092,0.68933
Q15_charge,1000,6_c,-1.6525,-8.8371,const,1.0479e+07,2.587e+07,0.40944,0.12028
Q15_charge,1000,1_q2,0.0005,0.0005,q2,62635,1474.9,2.3343e-05,0.00071899
Q15_charge,1000,4_q2,1.8745,10.024,q2,1.6523e+07,3.7185e+07,0.58853,0.18966
Q15_charge,4000,5_c,-1.8778,-1.8778,const,1.523e+07,38720,0.0020366,0.69033
Q15_charge,4000,6_c,-1.6525,-8.8371,const,2.6508e+06,7.7858e+06,0.40952,0.12016
Q15_charge,4000,1_q2,0.000125,0.000125,q2,990.27,27.68,1.4559e-06,4.4887e-05
Q15_charge,4000,4_q2,1.8745,10.024,q2,4.1799e+06,1.1187e+07,0.58844,0.18946
Q16_univ,200,11_c,-11.267,0,const,1.1893e+16,1.2389e+12,1,1
Q16_univ,1000,11_c,-11.267,0,const,2.5839e+15,9.5496e+11,1,1
Q16_univ,4000,11_c,-11.267,0,const,6.5364e+14,2.8688e+11,1,1
Q17_univ,200,9_c,-3.0421,0,const,1.1921e+09,5.7074e+07,1,1
Q17_univ,1000,9_c,-3.0421,0,const,2.5883e+08,4.3922e+07,1,1
Q17_univ,4000,9_c,-3.0421,0,const,6.5479e+07,1.3205e+07,1,1
Q18_univ,200,14_c,3.0421,0,const,655.96,24.306,1,1
Q18_univ,1000,14_c,3.0421,0,const,144.72,21.432,1,1
Q18_univ,4000,14_c,3.0421,0,const,36.704,6.5663,1,1
TW2_quark,200,1_c,0.80559,-0.00055484,const,4.3075e+16,3.6499e+11,1,1
TW2_quark,1000,1_c,0.80559,-0.00055484,const,9.3586e+15,2.8133e+11,1,1
TW2_quark,4000,1_c,0.80559,-0.00055484,const,2.3674e+15,8.4516e+10,1,1
TW2_gluon,200,1_c,0.59011,-0.00040643,const,2.3113e+16,1.9585e+11,1,1
TW2_gluon,1000,1_c,0.59011,-0.00040643,const,5.0217e+15,1.5095e+11,1,1
TW2_gluon,4000,1_c,0.59011,-0.00040643,const,1.2703e+15,4.535e+10,1,1
