delta_keV,m_Aprime_GeV,alpha_D,sigma0_cm2,sigma_over_m_cm2_g,Gamma_up_per_s,tau_s,f2_steady_state,f2_primordial,f2_total,LZ_exo_events_2p84tyr_ss,LZ_exo_events_2p84tyr_prim
350.0,7.0,0.1,2.0379364836972302e-26,1.1431741087660461e-05,3.967770540492329e-23,15410245730945.44,6.114431903299299e-10,0.0,6.114431903299299e-10,1.1067121744971732e-05,0.0
350.0,10.0,0.0245,2.937074569788569e-28,1.6475428113471528e-07,5.917000756084281e-25,3700000000000.0,2.189290279751184e-12,0.0,2.189290279751184e-12,3.962615406349643e-08,0.0
350.0,10.0,0.1,4.89308549735705e-27,2.7447610351472768e-06,9.85756060988635e-24,3700000000000.0,3.64729742565795e-11,0.0,3.64729742565795e-11,6.60160834044089e-07,0.0
380.0,2.4,0.0245,8.852582977034413e-26,4.965828786130259e-05,9.759079376363928e-23,3918306327160.4946,3.8239062467668276e-10,0.0,3.8239062467668276e-10,0.0010095112491464425,0.0
380.0,2.4,0.1,1.4748159895101063e-24,0.0008272934254277816,1.6258357978115665e-21,3918306327160.4946,6.3705226934890915e-09,0.0,6.3705226934890915e-09,0.0168181799108112,0.0
380.0,2.6,0.0245,6.42719654815257e-26,3.605315840103534e-05,7.499515450732551e-23,2844788347746.9272,2.1334534167992006e-10,0.0,2.1334534167992006e-10,0.0005632317020349889,0.0
380.0,2.6,0.1,1.0707532774931395e-24,0.000600635708472059,1.2493986590141697e-21,2844788347746.9272,3.5542747468541463e-09,0.0,3.5542747468541463e-09,0.009383285331694946,0.0
380.0,2.9,0.0245,4.1526275550857003e-26,2.329403463895047e-05,5.187675784417661e-23,1838024773746.2197,9.535076609923014e-11,0.0,9.535076609923014e-11,0.00025172602250196754,0.0
380.0,2.9,0.1,6.918163357077385e-25,0.0003880722138933856,8.642525255173114e-22,1838024773746.2197,1.5885175526735553e-09,0.0,1.5885175526735553e-09,0.004193686339058186,0.0
380.0,3.0,0.0245,3.626017987393295e-26,2.034003470798954e-05,4.617405411822583e-23,1604938271604.9382,7.410650660949824e-11,0.0,7.410650660949824e-11,0.00019564117744907535,0.0
380.0,3.0,0.1,6.040846293033395e-25,0.0003388593870552193,7.692470490333334e-22,1604938271604.9382,1.2345940293127572e-09,0.0,1.2345940293127572e-09,0.003259328237385679,0.0
380.0,3.5,0.0245,1.95723419894282e-26,1.0979044140589107e-05,2.6893508752910203e-23,866305705955.8518,2.3298000085819755e-11,0.0,2.3298000085819755e-11,6.150672022656416e-05,0.0
380.0,3.5,0.1,3.2606983739155684e-25,0.00018290785740256738,4.480384631888412e-22,866305705955.8518,3.8813827714818405e-10,0.0,3.8813827714818405e-10,0.001024685051671206,0.0
380.0,4.0,0.0245,1.1472947538236598e-26,6.4357141068248155e-06,1.6620734799472847e-23,507812500000.0,8.440216890357305e-12,0.0,8.440216890357305e-12,2.2282172590543285e-05,0.0
380.0,4.0,0.1,1.9113615224050975e-25,0.00010721722793544049,2.7689687296081376e-22,507812500000.0,1.4061169330041324e-10,0.0,1.4061169330041324e-10,0.00037121487031309094,0.0
380.0,5.0,0.0245,4.699319311661711e-27,2.6360684981554444e-06,7.275736073346526e-24,208000000000.0,1.5133531032560773e-12,0.0,1.5133531032560773e-12,3.995252192596044e-06,0.0
380.0,5.0,0.1,7.82893679577128e-26,4.391617656235643e-05,1.2121176298786377e-22,208000000000.0,2.5212046701475666e-11,0.0,2.5212046701475666e-11,6.655980329189575e-05,0.0
380.0,7.0,0.0245,1.2232713743392625e-27,6.861902587868192e-07,2.015864165638693e-24,54144106622.24074,1.0914716432029577e-13,0.0,1.0914716432029577e-13,2.881485138055808e-07,0.0
380.0,7.0,0.1,2.0379364836972302e-26,1.1431741087660461e-05,3.358374286778331e-23,54144106622.24074,1.8183617546071764e-12,0.0,1.8183617546071764e-12,4.8004750321629455e-06,0.0
380.0,10.0,0.0245,2.937074569788569e-28,1.6475428113471528e-07,5.01341926841882e-25,13000000000.0,6.5174450489444666e-15,0.0,6.5174450489444666e-15,1.720605492921339e-08,0.0
