experiment,window,model,alpha,prior,pi,P_now,date_P_lt_0.01,date_P_lt_0.001,date_P_lt_0.0001
present,1000phd,d380,1.5,lo68,0.0016,4.941889963813049e-07,2021.0,2021.0,2021.4
present,1000phd,d380,1.5,hi68,0.137,4.8951543143336804e-05,2021.39,2022.18,2025.04
world,600phd,L10,2.0,median,0.015,0.0015204988891570866,2022.0,2027.61,2032.46
world,600phd,L10,2.0,lo68,0.0016,0.00016022775369522874,2021.0,2022.07,2027.74
world,600phd,L10,2.0,hi68,0.137,0.015626496255934957,2027.69,2032.49,2035.07
world,600phd,L10,1.5,median,0.015,0.002700688479718623,2022.16,2030.34,2034.0
world,600phd,L10,1.5,lo68,0.0016,0.00028489551228707107,2021.0,2022.26,2030.6
world,600phd,L10,1.5,hi68,0.137,0.0274545064837115,2030.51,2034.07,inf
world,600phd,d300,2.0,median,0.015,0.003354059225495144,2022.4,2030.86,2033.48
world,600phd,d300,2.0,lo68,0.0016,0.0003540270345736463,2021.0,2022.8,2031.1
world,600phd,d300,2.0,hi68,0.137,0.03389298378084352,2031.01,2033.53,inf
world,600phd,d300,1.5,median,0.015,0.004884382515016635,2023.33,2032.33,inf
world,600phd,d300,1.5,lo68,0.0016,0.0005162644716874947,2021.0,2023.99,2032.37
world,600phd,d300,1.5,hi68,0.137,0.04867647335765928,2032.35,inf,inf
world,600phd,d350,2.0,median,0.015,0.0008649746124812024,2021.77,2026.38,2032.07
world,600phd,d350,2.0,lo68,0.0016,9.109614407626303e-05,2021.0,2021.85,2026.5
world,600phd,d350,2.0,hi68,0.137,0.008944006625274569,2026.46,2032.09,2033.19
world,600phd,d350,1.5,median,0.015,0.0017698189316419134,2021.97,2028.32,2032.73
world,600phd,d350,1.5,lo68,0.0016,0.00018654237417786192,2021.0,2022.04,2028.5
world,600phd,d350,1.5,hi68,0.137,0.018146774971912447,2028.43,2032.76,inf
world,600phd,d366,2.0,median,0.015,0.000435749645491649,2021.59,2025.16,2030.16
world,600phd,d366,2.0,lo68,0.0016,4.587401854733689e-05,2021.0,2021.65,2025.24
world,600phd,d366,2.0,hi68,0.137,0.004523888713532977,2025.21,2030.3,2032.31
world,600phd,d366,1.5,median,0.015,0.0010587013599367224,2021.72,2026.84,2032.17
world,600phd,d366,1.5,lo68,0.0016,0.0001115181227338475,2021.0,2021.8,2026.95
world,600phd,d366,1.5,hi68,0.137,0.010927389438811191,2026.91,2032.18,2033.54
world,600phd,d380,2.0,median,0.015,0.00042366748155970045,2021.59,2025.12,2030.06
world,600phd,d380,2.0,lo68,0.0016,4.4601573217357724e-05,2021.0,2021.64,2025.2
world,600phd,d380,2.0,hi68,0.137,0.004398952317265618,2025.17,2030.19,2032.05
world,600phd,d380,1.5,median,0.015,0.0010366214702674926,2021.71,2026.79,2032.03
world,600phd,d380,1.5,lo68,0.0016,0.000109190182173466,2021.0,2021.79,2026.91
world,600phd,d380,1.5,hi68,0.137,0.010701696721306752,2026.86,2032.03,2032.24
world,1000phd,L10,2.0,median,0.015,0.0004915401167882164,2021.67,2025.11,2031.24
world,1000phd,L10,2.0,lo68,0.0016,5.175000551472619e-05,2021.0,2021.74,2025.21
world,1000phd,L10,2.0,hi68,0.137,0.005100426360092954,2025.17,2031.41,2034.51
world,1000phd,L10,1.5,median,0.015,0.0011587496001036499,2021.83,2027.1,2033.43
world,1000phd,L10,1.5,lo68,0.0016,0.00012206762444116212,2021.0,2021.93,2027.24
world,1000phd,L10,1.5,hi68,0.137,0.011948882328800672,2027.19,2033.51,inf
world,1000phd,d300,2.0,median,0.015,0.001367725754267794,2022.03,2027.45,2032.92
