experiment,window,model,date,k_expected,b,truth,P_BF_gt100,P_BF_lt0p01,P_settled,BF_if_zero,N_min_for_BF100
LZ,1000phd,d300,end-2032,2.837101949266977,0.024367524199295578,A/B x0.30,0.21856540693320503,0.0,0.21856540693320503,0.06791723581470833,2
LZ,1000phd,d300,end-2032,2.837101949266977,0.024367524199295578,C one-off,0.00029210895188783956,0.0,0.00029210895188783956,0.06791723581470833,2
LZ,1000phd,d350,end-2027,7.266312155409896,0.013588788706337831,A/B best fit,0.9942930465211856,0.0,0.9942930465211856,0.01463236658661882,2
LZ,1000phd,d350,end-2027,7.266312155409896,0.013588788706337831,A/B x0.30,0.6438383013128052,0.0,0.6438383013128052,0.01463236658661882,2
LZ,1000phd,d350,end-2027,7.266312155409896,0.013588788706337831,C one-off,9.149542264201782e-05,0.0,9.149542264201782e-05,0.01463236658661882,2
LZ,1000phd,d350,end-2028,8.707236332409895,0.016283472579577265,A/B best fit,0.998417852428233,0.0,0.998417852428233,0.010610199201852726,2
LZ,1000phd,d350,end-2028,8.707236332409895,0.016283472579577265,A/B x0.30,0.7380620426982519,0.0,0.7380620426982519,0.010610199201852726,2
LZ,1000phd,d350,end-2028,8.707236332409895,0.016283472579577265,C one-off,0.00013114529414296792,0.0,0.00013114529414296792,0.010610199201852726,2
LZ,1000phd,d350,end-2030,11.589084686409896,0.021672840326056143,A/B best fit,0.9992744175724976,9.068011775558647e-06,0.9992834855842732,0.006307660361395216,3
LZ,1000phd,d350,end-2030,11.589084686409896,0.021672840326056143,A/B x0.30,0.6788564407200168,0.03024579095260686,0.7091022316726237,0.006307660361395216,3
LZ,1000phd,d350,end-2030,11.589084686409896,0.021672840326056143,C one-off,1.6693245366696307e-06,0.9785603281654726,0.9785619974900093,0.006307660361395216,3
LZ,1000phd,d350,end-2032,13.030008863409895,0.024367524199295578,A/B best fit,0.9997875079611985,2.1407027657948433e-06,0.9997896486639644,0.005078155770377453,3
LZ,1000phd,d350,end-2032,13.030008863409895,0.024367524199295578,A/B x0.30,0.7519702398619196,0.01957758120992738,0.7715478210718469,0.005078155770377453,3
LZ,1000phd,d350,end-2032,13.030008863409895,0.024367524199295578,C one-off,2.36783152510084e-06,0.9759269670614961,0.9759293348930211,0.005078155770377453,3
LZ,1000phd,d366,end-2027,23.019744515042067,0.013588788706337831,A/B best fit,0.9999999712855998,9.92545549463433e-11,0.9999999713848544,0.0017311762446109548,3
LZ,1000phd,d366,end-2027,23.019744515042067,0.013588788706337831,A/B x0.30,0.968513036341699,0.0009883119776392096,0.9695013483193382,0.0017311762446109548,3
LZ,1000phd,d366,end-2027,23.019744515042067,0.013588788706337831,C one-off,4.139675888539364e-07,0.9865031220930923,0.9865035360606812,0.0017311762446109548,3
LZ,1000phd,d366,end-2028,27.584605714322066,0.016283472579577265,A/B best fit,0.9999999995779679,1.0305904897855144e-12,0.9999999995789985,0.0012217896339637496,3
LZ,1000phd,d366,end-2028,27.584605714322066,0.016283472579577265,A/B x0.30,0.9890570579072792,0.00025059682457382167,0.9893076547318529,0.0012217896339637496,3
LZ,1000phd,d366,end-2028,27.584605714322066,0.016283472579577265,C one-off,7.108666263152299e-07,0.9838483864821141,0.9838490973487405,0.0012217896339637496,3
LZ,1000phd,d366,end-2030,36.71432811288207,0.021672840326056143,A/B best fit,0.9999999999999215,1.1111111322653093e-16,0.9999999999999215,0.0007009720446581879,3
LZ,1000phd,d366,end-2030,36.71432811288207,0.021672840326056143,A/B x0.30,0.9988249441841494,1.611159636396756e-05,0.9988410557805133,0.0007009720446581879,3
