experiment,window,model,rate_per_tyr,b_per_tyr,E_new_now,mu_now,P0_now,mu_end2027,mu_end2028,mu_2030,asimov3_new,asimov5_new,asimov3_comb,asimov5_comb,asimov5_new_lo68,toy3_best_q16,toy3_best_med,toy3_best_q84,P3_best_by2027,P3_best_by2028,P3_best_by2030,toy5_best_q16,toy5_best_med,toy5_best_q84,P5_best_by2027,P5_best_by2028,P5_best_by2030,toy3_lo68_q16,toy3_lo68_med,toy3_lo68_q84,P3_lo68_by2027,P3_lo68_by2028,P3_lo68_by2030,toy5_lo68_q16,toy5_lo68_med,toy5_lo68_q84,P5_lo68_by2027,P5_lo68_by2028,P5_lo68_by2030,toy3_PG_q16,toy3_PG_med,toy3_PG_q84,P3_PG_by2027,P3_PG_by2028,P3_PG_by2030,toy5_PG_q16,toy5_PG_med,toy5_PG_q84,P5_PG_by2027,P5_PG_by2028,P5_PG_by2030,toy3_comb_med,P3_comb_by2027,P3_comb_by2028,toy5_comb_med,P5_comb_by2027,P5_comb_by2028
XENONnT,600phd,L10,0.120513,0.00020070422535211268,6.195999999999913,0.7466985479999895,0.4739286253763843,1.1198067959999787,1.409037995999979,1.987500395999979,2027.01,inf,2021.0,2028.17,inf,2022.49,2026.35,inf,0.5728,0.60965,0.70195,2028.4,inf,inf,0.1402,0.19945,0.34435,2025.31,inf,inf,0.22435,0.23285,0.2604,inf,inf,inf,0.01115,0.01475,0.0279,2022.0,2023.93,inf,0.71315,0.7438,0.7995,2023.39,2029.39,inf,0.38775,0.4701,0.5994,2024.25,1.0,1.0,2029.66,0.34835,0.44265
XENONnT,600phd,d300,0.062824,0.00020070422535211268,6.195999999999913,0.38925750399999454,0.6775597731962877,0.583760607999989,0.7345382079999891,1.0360934079999893,2030.39,inf,2021.0,inf,inf,2023.41,inf,inf,0.3498,0.3689,0.4257,inf,inf,inf,0.03615,0.0504,0.0948,inf,inf,inf,0.1196,0.1218,0.13275,inf,inf,inf,0.00295,0.00365,0.00605,2022.47,2026.88,inf,0.5214,0.5487,0.61195,2027.81,inf,inf,0.169,0.22235,0.33325,2024.25,1.0,1.0,inf,0.14965,0.1944
XENONnT,600phd,d350,0.178018,0.00020070422535211268,6.195999999999913,1.1029995279999845,0.3318741235146193,1.6541432559999687,2.081386455999969,2.9358728559999694,2024.9,2029.18,2021.0,2026.52,inf,2022.16,2024.45,2030.61,0.7225,0.76365,0.8557,2025.85,2030.17,inf,0.2735,0.37635,0.57735,2023.67,inf,inf,0.31065,0.32425,0.3723,inf,inf,inf,0.02635,0.0371,0.0683,2021.85,2023.06,2029.04,0.81155,0.83945,0.8811,2022.82,2027.47,inf,0.55185,0.63195,0.74515,2024.25,1.0,1.0,2027.84,0.5206,0.6338
XENONnT,600phd,d366,0.273672,0.00020070422535211268,6.195999999999913,1.6956717119999762,0.18347594463283276,2.5429602239999523,3.1997730239999527,4.513398623999953,2023.29,2027.19,2021.0,2024.06,inf,2021.95,2023.22,2026.92,0.8671,0.9047,0.9611,2023.26,2027.93,2031.12,0.51175,0.64225,0.8325,2022.93,2030.08,inf,0.4386,0.4636,0.5365,2030.8084,inf,inf,0.0658,0.09335,0.16785,2021.73,2022.53,2026.03,0.888,0.90665,0.9375,2022.34,2024.16,2030.64,0.70245,0.7695,0.8517,2024.25,1.0,1.0,2026.06,0.73965,0.83745
XENONnT,600phd,d380,0.278338,0.00020070422535211268,6.195999999999913,1.7245822479999755,0.1782474994708817,2.5863166959999506,3.254327895999951,4.590350295999952,2023.26,2027.13,2021.0,2023.99,inf,2021.92,2023.18,2026.88,0.8694,0.9076,0.9628,2023.26,2027.89,2031.0,0.51575,0.6489,0.84005,2022.91,2029.88,inf,0.443,0.46885,0.5441,2030.66,inf,inf,0.06535,0.09575,0.17505,2021.74,2022.52,2025.92,0.8915,0.90945,0.9367,2022.33,2024.16,2030.64,0.7076,0.77165,0.8513,2024.25,1.0,1.0,2025.9450000000002,0.7492,0.8454
XENONnT,1000phd,L10,0.219641,0.0009647887323943661,6.195999999999913,1.3608956359999809,0.256431005233205,2.040904171999961,2.5680425719999618,3.622319371999962,2025.14,2029.45,2021.0,2027.11,inf,2022.03,2026.88,2030.1,0.6472,0.7549,0.88885,2026.73,2029.22,inf,0.33355,0.4726,0.58075,2027.52,inf,inf,0.1819,0.23,0.3369,inf,inf,inf,0.0259,0.04655,0.0587,2021.79,2023.92,2029.41,0.7671,0.82285,0.8876,2023.3,2027.13,inf,0.6032,0.6927,0.74435,2024.25,1.0,1.0,2027.28,0.6121,0.73395
XENONnT,1000phd,d300,0.11233,0.0009647887323943661,6.195999999999913,0.6959966799999902,0.49857727826503756,1.0437703599999801,1.3133623599999804,1.8525463599999805,2028.52,inf,2021.0,2031.55,inf,2023.34,2029.84,inf,0.3475,0.43155,0.58915,2029.17,inf,inf,0.0929,0.14935,0.19295,2031.76,inf,inf,0.07675,0.09655,0.141,inf,inf,inf,0.00445,0.00775,0.0096,2022.06,2027.4,inf,0.5524,0.62725,0.72995,2025.97,2031.28,inf,0.3339,0.4244,0.4899,2024.25,1.0,1.0,inf,0.29525,0.3939
XENONnT,1000phd,d350,0.5159,0.0009647887323943661,6.195999999999913,3.1965163999999553,0.04090445081383245,4.79374279999991,6.03190279999991,8.508222799999912,2022.62,2025.12,2021.0,2023.09,inf,2021.74,2022.42,2026.49,0.9575,0.9844,0.9978,2023.17,2025.67,2027.87,0.8574,0.9378,0.97725,2022.25,2028.22,inf,0.476,0.58075,0.7425,2027.78,inf,inf,0.17965,0.2749,0.3492,2021.63,2022.05,2025.53,0.9285,0.9507,0.9719,2021.95,2023.54,2027.61,0.8646,0.90355,0.9261,2024.25,1.0,1.0,2023.61,0.9507,0.98305
XENONnT,1000phd,d366,1.634376,0.0009647887323943661,6.195999999999913,10.126593695999858,4.0001496342006475e-05,15.186621791999713,19.109124191999715,26.954128991999717,2021.79,2022.31,2021.0,2021.89,2025.41,2021.58,2021.8,2022.26,1.0,1.0,1.0,2021.8,2022.5,2023.39,1.0,1.0,1.0,2021.74,2022.61,2026.72,0.94995,0.97985,0.99745,2023.26,2025.94,2028.04,0.8359,0.9264,0.97075,2021.54,2021.68,2022.13,0.9906,0.99435,0.9977,2021.65,2021.92,2023.27,0.9771,0.98525,0.9901,2024.25,1.0,1.0,2022.11,1.0,1.0
XENONnT,1000phd,d380,10.493725,0.0009647887323943661,6.195999999999913,65.01912009999909,5.788351851979594e-29,97.50769269999815,122.69263269999817,173.06251269999817,2021.54,2021.6,2021.0,2021.56,2021.88,2021.52,2021.55,2021.63,1.0,1.0,1.0,2021.55,2021.61,2021.72,1.0,1.0,1.0,2021.54,2021.65,2021.9,1.0,1.0,1.0,2021.66,2021.87,2022.43,1.0,1.0,1.0,2021.51,2021.53,2021.6,1.0,1.0,1.0,2021.53,2021.57,2021.69,1.0,1.0,1.0,2024.25,1.0,1.0,2021.55,1.0,1.0
PandaX-4T,600phd,L10,0.120513,0.00020070422535211268,4.104799999999941,0.4946817623999929,0.6097649265493547,0.7465298297999857,0.9417608897999857,1.3322230097999859,2028.44,inf,2021.0,2030.16,inf,2022.35,2027.73,inf,0.52745,0.56,0.59675,2030.47,inf,inf,0.0912,0.11145,0.18015,2027.11,inf,inf,0.20355,0.21985,0.2288,inf,inf,inf,0.0091,0.00975,0.01405,2021.63,2025.96,inf,0.67585,0.7029,0.73735,2025.34,inf,inf,0.2744,0.33115,0.4424,2024.25,1.0,1.0,inf,0.22845,0.29045
PandaX-4T,600phd,d300,0.062824,0.00020070422535211268,4.104799999999941,0.25787995519999635,0.7726879837141127,0.3891695503999926,0.49094443039999264,0.6944941903999927,inf,inf,2021.0,inf,inf,2025.3,inf,inf,0.32445,0.34805,0.3691,inf,inf,inf,0.0272,0.03155,0.04755,inf,inf,inf,0.1121,0.12165,0.1242,inf,inf,inf,0.00285,0.00295,0.00375,2022.29,2028.15,inf,0.48895,0.51625,0.54615,2029.5,inf,inf,0.1187,0.14535,0.2137,2024.25,1.0,1.0,inf,0.0951,0.1205
PandaX-4T,600phd,d350,0.178018,0.00020070422535211268,4.104799999999941,0.7307282863999897,0.48155815009819153,1.102750302799979,1.3911394627999791,1.9679177827999794,2026.87,2031.66,2021.0,2027.86,inf,2021.85,2026.58,inf,0.6692,0.70545,0.75335,2027.66,inf,inf,0.1718,0.21675,0.3465,2025.8784,inf,inf,0.2786,0.30105,0.31675,inf,inf,inf,0.0191,0.02205,0.0313,2021.4,2024.76,2031.75,0.77275,0.79615,0.8275,2024.35,2029.28,inf,0.41645,0.4818,0.59795,2024.25,1.0,1.0,2029.64,0.35585,0.4454
PandaX-4T,600phd,d366,0.273672,0.00020070422535211268,4.104799999999941,1.123368825599984,0.3251824642932079,1.695288571199968,2.138637211199968,3.0253344911999682,2025.13,2028.71,2021.0,2026.13,inf,2021.53,2025.01,2028.3,0.81665,0.849,0.89555,2025.11,2029.83,inf,0.33805,0.4207,0.60815,2024.6,inf,inf,0.3988,0.42675,0.4529,inf,inf,inf,0.04525,0.05455,0.08625,2021.24,2022.4,2027.57,0.86285,0.88115,0.90345,2022.12,2026.205,inf,0.5919,0.6561,0.75255,2024.25,1.0,1.0,2027.54,0.55645,0.6658
PandaX-4T,600phd,d380,0.278338,0.00020070422535211268,4.104799999999941,1.1425218223999836,0.31901351114746374,1.7241925747999671,2.175100134799967,3.0769152547999674,2025.07,2028.62,2021.0,2026.05,inf,2021.51,2024.98,2028.25,0.8214,0.8516,0.89775,2025.0,2029.7,inf,0.3478,0.43515,0.62035,2024.43,inf,inf,0.41195,0.4394,0.4677,inf,inf,inf,0.0482,0.05825,0.09205,2021.22,2022.37,2027.47,0.86605,0.88255,0.90575,2022.07,2026.2,inf,0.58915,0.65665,0.7569,2024.25,1.0,1.0,2027.48,0.5625,0.66935
PandaX-4T,1000phd,L10,0.219641,0.0009647887323943661,4.104799999999941,0.9015823767999871,0.4059268220832788,1.360588138599974,1.7164065585999742,2.4280433985999745,2027.02,inf,2021.0,2028.6,inf,2021.68,2028.34,inf,0.46805,0.5608,0.72285,2027.94,2031.6,inf,0.1653,0.2593,0.4475,2029.31,inf,inf,0.12575,0.15245,0.21255,inf,inf,inf,0.0104,0.01775,0.0403,2021.3,2025.74,inf,0.6667,0.73005,0.81315,2025.16,2028.6149999999998,inf,0.43735,0.53115,0.6681,2024.25,1.0,1.0,2028.81,0.40615,0.5226
PandaX-4T,1000phd,d300,0.11233,0.0009647887323943661,4.104799999999941,0.4610921839999934,0.6305945439911712,0.6958394179999867,0.8778140179999868,1.241763217999987,2030.68,inf,2021.0,inf,inf,2025.73,inf,inf,0.23425,0.28635,0.4043,2031.7584,inf,inf,0.03675,0.06165,0.13015,inf,inf,inf,0.0578,0.0661,0.08715,inf,inf,inf,0.002,0.00335,0.00845,2021.69,2029.01,inf,0.43285,0.49975,0.60775,2027.53,inf,inf,0.19535,0.2692,0.4022,2024.25,1.0,1.0,inf,0.16645,0.23155
PandaX-4T,1000phd,d350,0.5159,0.0009647887323943661,4.104799999999941,2.11766631999997,0.12031207102655368,3.1957941399999394,4.031552139999939,5.7030681399999406,2024.02,2027.01,2021.0,2024.79,inf,2021.23,2022.2,2027.81,0.85745,0.92275,0.9798,2024.91,2027.37,2029.7,0.6198,0.7696,0.92175,2021.98,2030.23,inf,0.33625,0.4103,0.55455,2029.6083999999998,inf,inf,0.07695,0.12705,0.2452,2021.08,2021.69,2027.26,0.87455,0.90825,0.94655,2021.54,2025.56,2029.46,0.75565,0.8196,0.88945,2024.25,1.0,1.0,2025.685,0.83025,0.9102
PandaX-4T,1000phd,d366,1.634376,0.0009647887323943661,4.104799999999941,6.708786604799904,0.001220143743300646,10.124305569599807,12.771994689599808,18.06737292959981,2021.32,2022.06,2021.0,2021.46,2027.18,2021.01,2021.32,2021.99,0.99975,0.9999,1.0,2021.34,2022.33,2025.28,0.9979,0.99965,1.0,2021.24,2022.395,2028.05,0.8356,0.90665,0.97375,2025.08,2027.49,2030.01,0.5931,0.73995,0.9088,2021.0,2021.15,2021.79,0.97985,0.9864,0.994,2021.11,2021.49,2025.06,0.9582,0.97275,0.9862,2024.25,1.0,1.0,2021.78,0.9994,0.99995
PandaX-4T,1000phd,d380,10.493725,0.0009647887323943661,4.104799999999941,43.07464237999938,1.9630009257375951e-19,65.00442888499876,82.00426338499877,116.00393238499878,2021.0,2021.04,2021.0,2021.0,2021.45,2021.0,2021.0,2021.08,1.0,1.0,1.0,2021.0,2021.06,2021.21,1.0,1.0,1.0,2021.0,2021.12,2021.48,1.0,1.0,1.0,2021.12,2021.42,2022.23,1.0,1.0,1.0,2021.0,2021.0,2021.04,1.0,1.0,1.0,2021.0,2021.0,2021.18,0.99985,1.0,1.0,2024.25,1.0,1.0,2021.0,1.0,1.0
present,600phd,L10,0.120513,0.00020070422535211268,17.94252119999975,2.16230705737557,0.11505936604087007,3.2214727602386404,4.04253144462864,5.684648813408639,2024.37,2026.9,2021.0,2024.97,inf,2021.84,2023.96,2027.74,0.86335,0.926,0.98,2025.06,2027.29,2029.62,0.63185,0.7772,0.9267,2023.1784,2030.185,inf,0.34835,0.41865,0.55785,2029.57,inf,inf,0.07925,0.13075,0.25015,2021.57,2022.33,2027.12,0.8794,0.909,0.94135,2022.21,2025.63,2029.42,0.7625,0.82155,0.8902,2024.25,1.0,1.0,2025.79,0.83195,0.9086
present,600phd,d300,0.062824,0.00020070422535211268,17.94252119999975,1.1272209518687843,0.32393222995662163,1.679369069637569,2.1073908663575693,2.963434459797569,2026.11,2030.21,2021.0,2027.39,inf,2022.2,2027.19,2031.38,0.58345,0.6756,0.8191,2027.21,2030.32,inf,0.24205,0.3555,0.5744,2027.67,inf,inf,0.1704,0.2024,0.2791,inf,inf,inf,0.01665,0.02975,0.06465,2021.83,2024.31,2030.64,0.72605,0.7783,0.8501,2024.72,2027.73,inf,0.5292,0.61675,0.7403,2024.25,1.0,1.0,2027.9,0.51475,0.6329
present,600phd,d350,0.178018,0.00020070422535211268,17.94252119999975,3.1940917389815557,0.04100375057668341,4.758657886138112,5.9714998606781124,8.397183809758111,2022.89,2025.49,2021.0,2024.04,2031.54,2021.65,2022.53,2026.25,0.96085,0.9857,0.99835,2023.76,2026.01,2027.89,0.853,0.93505,0.98965,2022.31,2028.0,inf,0.5008,0.59475,0.74915,2027.8283999999999,2031.44,inf,0.17515,0.2691,0.4588,2021.41,2022.09,2025.61,0.9307,0.9497,0.9707,2022.0,2024.64,2027.62,0.8639,0.9022,0.9434,2024.25,1.0,1.0,2024.78,0.94955,0.98225
present,600phd,d366,0.273672,0.00020070422535211268,17.94252119999975,4.910365661846332,0.007369792986495127,7.315616516392665,9.180152062552665,12.909223154872665,2022.16,2024.46,2021.0,2022.37,2028.52,2021.52,2022.15,2024.42,0.99555,0.999,1.0,2022.15,2024.84,2026.47,0.97715,0.99505,0.9997,2022.04,2025.99,2029.58,0.70685,0.799,0.9123,2026.29,2028.82,inf,0.38365,0.52405,0.7443,2021.24,2021.87,2023.72,0.96605,0.97615,0.9869,2021.75,2022.39,2026.19,0.93065,0.95275,0.97365,2024.25,1.0,1.0,2023.67,0.995,0.9991
present,600phd,d380,0.278338,0.00020070422535211268,17.94252119999975,4.994085465765529,0.006777916902444577,7.440344901706061,9.336670045846061,13.12932033412606,2022.15,2024.43,2021.0,2022.35,2028.43,2021.52,2022.13,2024.32,0.9964,0.99955,1.0,2022.15,2024.79,2026.4,0.97995,0.9961,0.99975,2022.04,2025.8,2029.5,0.71245,0.80545,0.91625,2026.28,2028.73,inf,0.39295,0.537,0.75495,2021.23,2021.86,2023.56,0.96755,0.9778,0.9874,2021.74,2022.37,2026.16,0.93055,0.9535,0.97365,2024.25,1.0,1.0,2023.61,0.99445,0.99915
present,1000phd,L10,0.219641,0.0009647887323943661,20.78252119999975,4.564693738889145,0.010413067836180477,6.495076470565791,7.991497192795791,10.98433863725579,2023.05,2025.02,2021.0,2023.8,inf,2021.58,2023.66,2025.36,0.9895,0.9973,0.99975,2023.54,2024.86,2027.53,0.89475,0.9594,0.9957,2024.03,2027.22,2030.85,0.59825,0.70615,0.8472,2028.13,inf,inf,0.15105,0.23425,0.4349,2021.3,2022.28,2024.96,0.9537,0.96785,0.9811,2022.18,2023.82,2027.36,0.8714,0.90395,0.94255,2024.25,1.0,1.0,2023.9,0.96,0.98735
present,1000phd,d300,0.11233,0.0009647887323943661,20.78252119999975,2.334500606395972,0.09685884113622197,3.3217474876669444,4.087055147566944,5.617670467366945,2024.54,2027.96,2021.0,2026.1,inf,2022.28,2025.3,2027.9,0.84925,0.9204,0.978,2024.88,2028.36,2031.33,0.44765,0.5949,0.81775,2026.19,2030.65,inf,0.2931,0.37705,0.52395,inf,inf,inf,0.0248,0.04355,0.10095,2021.58,2023.95,2027.42,0.86935,0.90215,0.93915,2023.36,2025.89,2031.03,0.6882,0.75305,0.83915,2024.25,1.0,1.0,2026.62,0.6874,0.79625
present,1000phd,d350,0.5159,0.0009647887323943661,20.78252119999975,10.72170268707987,2.206092338604755e-05,15.255849095409745,18.770691272409746,25.800375626409746,2021.92,2023.04,2021.0,2022.1,2026.49,2021.23,2021.79,2023.46,1.0,1.0,1.0,2022.13,2023.3,2024.2,0.9997,0.99995,1.0,2021.69,2024.37,2026.69,0.9443,0.9772,0.9958,2024.17,2026.96,2029.24,0.68665,0.81855,0.9488,2021.07,2021.57,2023.24,0.9899,0.99325,0.997,2021.52,2022.24,2024.07,0.9665,0.97665,0.98865,2024.25,1.0,1.0,2022.27,1.0,1.0
present,1000phd,d366,1.634376,0.0009647887323943661,20.78252119999975,33.96645386877079,1.772378670706405e-15,48.330671876641595,59.465724595921586,81.7358300344816,2021.32,2021.73,2021.0,2021.46,2023.23,2021.01,2021.31,2021.7,1.0,1.0,1.0,2021.33,2021.84,2022.2,1.0,1.0,1.0,2021.26,2021.94,2023.53,1.0,1.0,1.0,2022.16,2023.36,2024.3,0.99955,1.0,1.0,2021.0,2021.15,2021.63,0.99975,0.9999,1.0,2021.11,2021.5,2022.15,0.99735,0.9991,0.99985,2024.25,1.0,1.0,2021.61,1.0,1.0
present,1000phd,d380,10.493725,0.0009647887323943661,20.78252119999975,218.08606227946737,1.933866864030697e-95,310.31340385487226,381.80746709162224,524.7955935651223,2021.0,2021.04,2021.0,2021.0,2021.45,2021.0,2021.0,2021.07,1.0,1.0,1.0,2021.0,2021.06,2021.21,1.0,1.0,1.0,2021.0,2021.12,2021.46,1.0,1.0,1.0,2021.13,2021.42,2021.8,1.0,1.0,1.0,2021.0,2021.0,2021.04,1.0,1.0,1.0,2021.0,2021.0,2021.17,1.0,1.0,1.0,2024.25,1.0,1.0,2021.0,1.0,1.0
XLZD,600phd,L10,0.120513,0.00020070422535211268,0.0,0.0,1.0,0.0,0.0,0.0,2032.15,2032.4,2021.0,2032.21,2033.71,2032.04,2032.13,2032.53,0.0,0.0,0.0,2032.23,2032.47,2032.81,0.0,0.0,0.0,2032.1,2032.87,2033.85,0.0,0.0,0.0,2032.78,2033.96,2035.36,0.0,0.0,0.0,2032.02,2032.08,2032.4316000000001,0.0,0.0,0.0,2032.06,2032.27,2032.76,0.0,0.0,0.0,2024.25,1.0,1.0,2032.29,0.0,0.0
XLZD,600phd,d300,0.062824,0.00020070422535211268,0.0,0.0,1.0,0.0,0.0,0.0,2032.32,2032.87,2021.0,2032.47,2035.84,2032.06,2032.44,2033.04,0.0,0.0,0.0,2032.45,2032.89,2033.87,0.0,0.0,0.0,2032.5184,2033.75,2035.5816,0.0,0.0,0.0,2034.05,2035.95,inf,0.0,0.0,0.0,2032.04,2032.14,2032.89,0.0,0.0,0.0,2032.19,2032.53,2033.7516,0.0,0.0,0.0,2024.25,1.0,1.0,2032.55,0.0,0.0
XLZD,600phd,d350,0.178018,0.00020070422535211268,0.0,0.0,1.0,0.0,0.0,0.0,2032.1,2032.26,2021.0,2032.13,2033.06,2032.03,2032.09,2032.33,0.0,0.0,0.0,2032.13,2032.31,2032.54,0.0,0.0,0.0,2032.07,2032.56,2033.23,0.0,0.0,0.0,2032.54,2033.04,2034.23,0.0,0.0,0.0,2032.02,2032.05,2032.26,0.0,0.0,0.0,2032.04,2032.18,2032.52,0.0,0.0,0.0,2024.25,1.0,1.0,2032.2,0.0,0.0
XLZD,600phd,d366,0.273672,0.00020070422535211268,0.0,0.0,1.0,0.0,0.0,0.0,2032.06,2032.16,2021.0,2032.08,2032.64,2032.02,2032.06,2032.14,0.0,0.0,0.0,2032.06,2032.2,2032.35,0.0,0.0,0.0,2032.05,2032.3,2032.78,0.0,0.0,0.0,2032.34,2032.68,2033.18,0.0,0.0,0.0,2032.01,2032.04,2032.12,0.0,0.0,0.0,2032.03,2032.1,2032.33,0.0,0.0,0.0,2024.25,1.0,1.0,2032.13,0.0,0.0
