b_LZ,model,scenario,E_eff_arch_tyr,s_hat_LZ,s_hat,s_ratio,lo90_LZ,hi90_LZ,lo90,hi90,ul90_LZ,ul90,Z_LZ,Z,dZ,N_events_LZ_hat
P016 anchor 5.7e-4,O1 inel. 300,LZ-like acceptance,2.1431,0.35191,0.20048,0.56969,0.037011,1.2839,0.021008,0.73165,1.0132,0.57739,3.5973,3.4376,-0.15972,0.56936
P016 anchor 5.7e-4,O1 inel. 300,actual ROIs,0.91587,0.35191,0.26605,0.75601,0.037011,1.2839,0.027937,0.97078,1.0132,0.76611,3.5973,3.5188,-0.078506,0.75558
P016 anchor 5.7e-4,O1 inel. 350,LZ-like acceptance,2.1431,0.35191,0.20048,0.56969,0.037011,1.2839,0.021008,0.73165,1.0132,0.57739,3.5973,3.4376,-0.15972,0.56936
P016 anchor 5.7e-4,O1 inel. 350,actual ROIs,0.88761,0.35191,0.26807,0.76175,0.037011,1.2839,0.028151,0.97814,1.0132,0.77192,3.5973,3.521,-0.076362,0.76131
P016 anchor 5.7e-4,O1 inel. 366,LZ-like acceptance,2.1431,0.35191,0.20048,0.56969,0.037011,1.2839,0.021008,0.73165,1.0132,0.57739,3.5973,3.4376,-0.15972,0.56936
P016 anchor 5.7e-4,O1 inel. 366,actual ROIs,0.81198,0.35191,0.27362,0.77753,0.037011,1.2839,0.028738,0.9984,1.0132,0.7879,3.5973,3.5268,-0.07055,0.77709
panel 0.0106,L10 1 TeV,LZ-like acceptance,2.1431,0.34838,0.19695,0.56532,0.03348,1.2804,0.017476,0.72812,1.0097,0.57385,2.6674,2.4508,-0.21658,0.55933
panel 0.0106,L10 1 TeV,actual ROIs,0.97031,0.34838,0.25871,0.74262,0.03348,1.2804,0.024003,0.95337,1.0097,0.75162,2.6674,2.5563,-0.11114,0.73475
panel 0.0106,O1 inel. 250,LZ-like acceptance,2.1431,0.34838,0.19695,0.56532,0.03348,1.2804,0.017476,0.72812,1.0097,0.57385,2.6674,2.4508,-0.21658,0.55933
panel 0.0106,O1 inel. 250,actual ROIs,0.94652,0.34838,0.26036,0.74735,0.03348,1.2804,0.024178,0.95939,1.0097,0.75637,2.6674,2.5587,-0.10873,0.73943
panel 0.0106,O1 inel. 300,LZ-like acceptance,2.1431,0.34838,0.19695,0.56532,0.03348,1.2804,0.017476,0.72812,1.0097,0.57385,2.6674,2.4508,-0.21658,0.55933
panel 0.0106,O1 inel. 300,actual ROIs,0.91587,0.34838,0.26252,0.75354,0.03348,1.2804,0.024406,0.96725,1.0097,0.76257,2.6674,2.5618,-0.1056,0.74555
panel 0.0106,O1 inel. 350,LZ-like acceptance,2.1431,0.34838,0.19695,0.56532,0.03348,1.2804,0.017476,0.72812,1.0097,0.57385,2.6674,2.4508,-0.21658,0.55933
panel 0.0106,O1 inel. 350,actual ROIs,0.88761,0.34838,0.26454,0.75933,0.03348,1.2804,0.024619,0.97461,1.0097,0.76838,2.6674,2.5647,-0.10269,0.75128
panel 0.0106,O1 inel. 366,LZ-like acceptance,2.1431,0.34838,0.19695,0.56532,0.03348,1.2804,0.017476,0.72812,1.0097,0.57385,2.6674,2.4508,-0.21658,0.55933
panel 0.0106,O1 inel. 366,actual ROIs,0.81198,0.34838,0.27009,0.77528,0.03348,1.2804,0.025206,0.99487,1.0097,0.78437,2.6674,2.5726,-0.094823,0.76706
