model,cls,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
O3s_m12,elastic,12,0.0,0.018554974,0.1539005834274576,0.37628,0.3152656018505189,0.13621664
O3s_m14,elastic,14,0.0,0.011569873,0.13768609594990266,0.4062,0.23733101865381995,0.10756335
O3s_m17,elastic,17,0.0,0.003885005,0.08865474297635956,0.42784,0.18187605042461094,0.062329806
O3s_m21,elastic,21,0.0,0.0033172795,0.08975866312539438,0.4245,0.19039450920483653,0.05759583
O3s_m30,elastic,30,0.0,0.02388968,0.24208292259572772,0.3818,0.30075673785263773,0.15456286
O3s_m40,elastic,40,0.0,0.005579043,0.10702046780352248,0.40708,0.23506278851528156,0.074692994
O3s_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O3s_m100,elastic,100,0.0,0.2915005,0.7764210912500857,0.2243,0.7577511024877744,0.5399079
O3s_m200,elastic,200,0.0,3.377228,1.5145087037308258,0.02452,1.9682437379305702,1.8377236
O3s_m400,elastic,400,0.0,4.6215386,1.5243903667214909,0.0116,2.2701249980205227,2.1497765
O3s_m1000,elastic,1000,0.0,5.196278,1.5148071106159477,0.00822,2.3989980999120197,2.2795346
O3s_m4000,elastic,4000,0.0,5.436792,1.5085362716854434,0.00706,2.4541959911139686,2.331693
O3v_m10,elastic,10,0.0,0.030873321,0.17413264755305136,0.34884,0.3884541205309217,0.17570806
O3v_m12,elastic,12,0.0,0.01933612,0.15544329766271403,0.37294,0.3240766557635978,0.13905437
O3v_m14,elastic,14,0.0,0.012305131,0.14032954491995042,0.40538,0.23944569606094157,0.1109285
O3v_m17,elastic,17,0.0,0.0045564,0.09524364559183596,0.42644,0.18544501985350983,0.06750111
O3v_m21,elastic,21,0.0,0.0030291365,0.08491531854815548,0.42844,0.18034720364198217,0.05503759
O3v_m30,elastic,30,0.0,0.021216592,0.23248482870258158,0.3867,0.287930420920509,0.14565916
O3v_m40,elastic,40,0.0,0.009336139,0.14279930499469629,0.40548,0.23918775142592408,0.0966237
O3v_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O3v_m100,elastic,100,0.0,0.84051925,1.117422071438341,0.10354,1.2616354331170383,0.91679835
O3v_m200,elastic,200,0.0,3.4862223,1.3486813294366584,0.01896,2.0757184340491883,1.8671428
O3v_m400,elastic,400,0.0,4.3389845,1.3013718901856919,0.01342,2.213836910080422,2.0830228
O3v_m1000,elastic,1000,0.0,4.7155385,1.2732636942018871,0.01146,2.27476551446123,2.171529
O3v_m4000,elastic,4000,0.0,4.87042,1.2606689908352564,0.01082,2.2966279990537215,2.2069027
O4s_m10,elastic,10,0.0,0.023033543,0.14733253501617583,0.42394,0.19182409035906492,0.15176806
O4s_m12,elastic,12,0.0,0.02424788,0.15823364850803046,0.40234,0.24729490704769827,0.1557173
O4s_m14,elastic,14,0.0,0.021829752,0.16037595483794576,0.36854,0.3357226817648304,0.14774895
O4s_m17,elastic,17,0.0,0.017159833,0.15660127664887113,0.38892,0.2821349957809867,0.13099554
O4s_m21,elastic,21,0.0,0.012683446,0.14896704200509703,0.41314,0.21947506707551478,0.1126208
O4s_m30,elastic,30,0.0,0.012207659,0.1689379819072201,0.40852,0.23135374052926075,0.11048827
O4s_m40,elastic,40,0.0,0.012582453,0.18416578121104976,0.4129,0.22009136457618877,0.11217153
O4s_m50,elastic,50,0.0,0.008104295,0.1518906142518972,0.42652,0.18524101553013023,0.09002385
O4s_m100,elastic,100,0.0,0.21591775,0.8544868792159832,0.28114,0.5794582643071263,0.4646695
O4s_m200,elastic,200,0.0,2.8982022,1.9145729341471451,0.03426,1.8215716883126065,1.7024107
O4s_m400,elastic,400,0.0,4.122567,1.9361868915802916,0.01614,2.1409260751843378,2.0304105
O4s_m1000,elastic,1000,0.0,4.6942306,1.9193919761528377,0.01112,2.2862437944318748,2.1666174
O4s_m4000,elastic,4000,0.0,4.932751,1.9078485833961167,0.00996,2.327851318162998,2.2209797
O4v_m10,elastic,10,0.0,0.023032684,0.14732973893842427,0.42394,0.19182409035906492,0.15176523
O4v_m12,elastic,12,0.0,0.024246892,0.15823170902876882,0.40234,0.24729490704769827,0.15571414
O4v_m14,elastic,14,0.0,0.021828001,0.16037476361816516,0.36854,0.3357226817648304,0.14774303
O4v_m17,elastic,17,0.0,0.01715528,0.15659514039725764,0.38898,0.2819784949843694,0.13097817
O4v_m21,elastic,21,0.0,0.012679984,0.1489808116821223,0.41318,0.2193723589358355,0.11260544
O4v_m30,elastic,30,0.0,0.012246477,0.16932265123614343,0.40808,0.2324867207544907,0.1106638
O4v_m40,elastic,40,0.0,0.0125310775,0.18393836424365873,0.41334,0.21896154950622845,0.1119423
O4v_m50,elastic,50,0.0,0.00784579,0.14956209397496423,0.42662,0.18498602096566003,0.088576466
O4v_m100,elastic,100,0.0,0.19157054,0.8084036840955378,0.28852,0.5577135551188122,0.43768772
O4v_m200,elastic,200,0.0,2.8177013,1.9000069384856033,0.03552,1.8052216779588486,1.678601
O4v_m400,elastic,400,0.0,4.0410123,1.9258444277875242,0.01672,2.12676035350001,2.010227
O4v_m1000,elastic,1000,0.0,4.614424,1.9104135752058937,0.01178,2.2642295501508665,2.148121
O4v_m4000,elastic,4000,0.0,4.853629,1.899377888730669,0.01034,2.313776227908041,2.2030954
O5s_m10,elastic,10,0.0,0.029762285,0.1669360010055243,0.43128,0.17311631634199123,0.1725175
O5s_m12,elastic,12,0.0,0.025202697,0.16476733155286638,0.35652,0.36777635662567487,0.15875357
O5s_m14,elastic,14,0.0,0.01921298,0.15849611980229383,0.37846,0.309527889926919,0.1386109
O5s_m17,elastic,17,0.0,0.011782023,0.1406416956524481,0.41184,0.2228143487972577,0.10854503
O5s_m21,elastic,21,0.0,0.0063639376,0.11534044508152874,0.424,0.19167090224842007,0.07977429
O5s_m30,elastic,30,0.0,0.01234959,0.18276624050486134,0.40676,0.23588745894113958,0.11112871
O5s_m40,elastic,40,0.0,0.015020612,0.20179729723167839,0.40768,0.23351696177171177,0.12255861
O5s_m50,elastic,50,0.0,0.007953109,0.14321255464892602,0.41134,0.22409934774507786,0.08918021
O5s_m100,elastic,100,0.0,0.7028863,1.2914798950441764,0.16532,0.9728255739840362,0.83838314
O5s_m200,elastic,200,0.0,4.246729,1.8672298088858952,0.01492,2.172207702102381,2.0607593
O5s_m400,elastic,400,0.0,5.524005,1.837818258391053,0.007,2.457263390205437,2.35032
O5s_m1000,elastic,1000,0.0,6.098666,1.8075331612999435,0.00498,2.577214924221592,2.4695477
O5s_m4000,elastic,4000,0.0,6.333794,1.7917423684048117,0.00444,2.616639772184736,2.5167031
O5v_m10,elastic,10,0.0,0.02961272,0.1675021685878164,0.43488,0.16396334459693954,0.17208347
O5v_m12,elastic,12,0.0,0.02379897,0.1632540687933215,0.35874,0.36182875851097324,0.15426914
O5v_m14,elastic,14,0.0,0.017491138,0.15597436500684125,0.38656,0.28829622050633436,0.13225406
O5v_m17,elastic,17,0.0,0.009388116,0.1301081446945318,0.41904,0.20434999984445668,0.09689229
O5v_m21,elastic,21,0.0,0.0058810078,0.11586076823732583,0.4213,0.19856887868925993,0.07668773
O5v_m30,elastic,30,0.0,0.018502556,0.2247581404299126,0.40268,0.24641628658282913,0.1360241
O5v_m40,elastic,40,0.0,0.0018455143,0.06705210402287776,0.42554,0.18774060245478263,0.042959448
O5v_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O5v_m100,elastic,100,0.0,2.9281952,1.4221166284187348,0.0322,1.8494005228938304,1.711197
O5v_m200,elastic,200,0.0,6.368632,1.3084880295718904,0.00416,2.6388002007593845,2.523615
O5v_m400,elastic,400,0.0,7.2920156,1.2345795288638328,0.00212,2.85973136948341,2.7003732
O5v_m1000,elastic,1000,0.0,7.6846147,1.2005751040487667,0.0016,2.9478425521849063,2.7721138
O5v_m4000,elastic,4000,0.0,7.8420343,1.186590796096425,0.00138,2.9932760318091396,2.8003633
O6s_m10,elastic,10,0.0,0.029469253,0.17190288406709442,0.34706,0.393270099353851,0.17166612
O6s_m12,elastic,12,0.0,0.01779137,0.1523068822643836,0.37986,0.30584849876643233,0.13338429
O6s_m14,elastic,14,0.0,0.010855372,0.1348955698995269,0.41092,0.22517903281266463,0.10418912
O6s_m17,elastic,17,0.0,0.0032317208,0.08149289311404573,0.4308,0.17433779234146757,0.056848224
O6s_m21,elastic,21,0.0,0.00404942,0.10034295297373319,0.41938,0.20347984182342832,0.06363505
O6s_m30,elastic,30,0.0,0.023419028,0.2320927646724158,0.38208,0.3000224911222622,0.15303276
O6s_m40,elastic,40,0.0,0.0,0.0,1.0,0.0,0.0
O6s_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O6s_m100,elastic,100,0.0,3.3123066,1.2099245455101482,0.0249,1.9616778690637864,1.8199743
O6s_m200,elastic,200,0.0,6.480952,1.133242162723036,0.00432,2.6259795818020373,2.5457714
O6s_m400,elastic,400,0.0,7.32537,1.0957507034254377,0.00214,2.8567520772973367,2.706542
O6s_m1000,elastic,1000,0.0,7.687477,1.0798716561475885,0.00146,2.976036611451482,2.77263
O6s_m4000,elastic,4000,0.0,7.833113,1.0735568690506625,0.00134,3.0022409042673104,2.79877
O6v_m10,elastic,10,0.0,0.029435897,0.17184756445203675,0.34706,0.393270099353851,0.17156893
O6v_m12,elastic,12,0.0,0.01772824,0.15215076022286667,0.38016,0.3050605979047753,0.13314743
O6v_m14,elastic,14,0.0,0.010789627,0.13461589460348478,0.4113,0.2242021636202017,0.10387313
O6v_m17,elastic,17,0.0,0.0031667503,0.08072143402387155,0.43094,0.17398150171928212,0.056273885
O6v_m21,elastic,21,0.0,0.004105494,0.10112079045939026,0.41858,0.20552751891974885,0.06407413
O6v_m30,elastic,30,0.0,0.023436584,0.23141303045122186,0.38258,0.2987117381599517,0.15309012
O6v_m40,elastic,40,0.0,0.0,0.0,1.0,0.0,0.0
O6v_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O6v_m100,elastic,100,0.0,3.2199194,1.1989534886015463,0.02602,1.9428027129736345,1.7944134
O6v_m200,elastic,200,0.0,6.4014983,1.130340029594663,0.00468,2.5986175192738408,2.5301182
O6v_m400,elastic,400,0.0,7.2553167,1.0942338723907596,0.00216,2.8537979283714714,2.6935694
O6v_m1000,elastic,1000,0.0,7.6225753,1.0788342893283698,0.00154,2.959638722234957,2.7609012
O6v_m4000,elastic,4000,0.0,7.7700768,1.0726916067869752,0.0014,2.98888226731579,2.7874858
O7s_m10,elastic,10,0.0,0.021127567,0.1404244477089378,0.4181,0.2067565384066739,0.14535324
O7s_m12,elastic,12,0.0,0.02449309,0.15622878814610885,0.43926,0.15284564640145237,0.15650268
O7s_m14,elastic,14,0.0,0.02291645,0.1597203597702901,0.36562,0.3434765225870201,0.1513818
O7s_m17,elastic,17,0.0,0.019036476,0.1588743569664075,0.38014,0.30511311873212876,0.13797274
O7s_m21,elastic,21,0.0,0.014536907,0.15234238857374294,0.40296,0.2456928596256834,0.120569095
O7s_m30,elastic,30,0.0,0.011149234,0.15132361881114775,0.41548,0.21347049538825683,0.10558993
O7s_m40,elastic,40,0.0,0.011516815,0.16467554076371016,0.40956,0.2286769645960832,0.10731643
O7s_m50,elastic,50,0.0,0.011608942,0.17105576658650534,0.40684,0.2356812763164738,0.107744806
O7s_m100,elastic,100,0.0,0.13316187,0.6575089213947649,0.3162,0.4783515662363804,0.36491352
O7s_m200,elastic,200,0.0,2.8834803,2.0530177876571543,0.03644,1.7935814470235003,1.6980814
O7s_m400,elastic,400,0.0,4.3189006,2.122440019629721,0.01476,2.1764718011827573,2.0781965
O7s_m1000,elastic,1000,0.0,4.990363,2.1189943446734105,0.0101,2.3226121020539177,2.233912
O7s_m4000,elastic,4000,0.0,5.273662,2.1116951354269986,0.0083,2.395449516829614,2.2964456
O7v_m10,elastic,10,0.0,0.021093346,0.1403088163715438,0.41802,0.20696140530394744,0.14523548
O7v_m12,elastic,12,0.0,0.024490481,0.15618428948073415,0.43918,0.15304853591769121,0.15649435
O7v_m14,elastic,14,0.0,0.022939695,0.15970957112585893,0.36554,0.34368924535701123,0.15145856
O7v_m17,elastic,17,0.0,0.01909212,0.15892538383923238,0.37994,0.30563837332471544,0.13817424
O7v_m21,elastic,21,0.0,0.014617296,0.15247545201418689,0.40246,0.24698478394275683,0.12090201
O7v_m30,elastic,30,0.0,0.011081843,0.15025453296402702,0.4149,0.21495808236206584,0.10527033
O7v_m40,elastic,40,0.0,0.011365727,0.1626307417973294,0.40934,0.22924306838655614,0.106610164
O7v_m50,elastic,50,0.0,0.01170213,0.17058161585737253,0.40492,0.24063244688985705,0.10817638
O7v_m100,elastic,100,0.0,0.12083682,0.6203530205311836,0.32466,0.45470706147010903,0.3476159
O7v_m200,elastic,200,0.0,2.8026628,2.0535773933443124,0.03882,1.7645465817270845,1.6741155
O7v_m400,elastic,400,0.0,4.2652497,2.1378871024717228,0.01518,2.1653616568807017,2.065248
O7v_m1000,elastic,1000,0.0,4.955272,2.1402183135433006,0.01008,2.3233566661413496,2.2260442
O7v_m4000,elastic,4000,0.0,5.2474613,2.135331392601074,0.00856,2.384120403992545,2.2907338
O8s_m10,elastic,10,0.0,0.021636484,0.1420870671790908,0.41906,0.20429880980158016,0.14709346
O8s_m12,elastic,12,0.0,0.024581581,0.15703150533227017,0.44126,0.14777543055642037,0.15678515
O8s_m14,elastic,14,0.0,0.02252475,0.15988289556844393,0.36546,0.3439019836804136,0.15008248
O8s_m17,elastic,17,0.0,0.018016228,0.1576730537271942,0.38422,0.29441605522959363,0.13422455
O8s_m21,elastic,21,0.0,0.013032342,0.1488842135950108,0.41028,0.22682477254372002,0.114159286
O8s_m30,elastic,30,0.0,0.011655023,0.16347248649253743,0.41026,0.22687621178754883,0.107958436
O8s_m40,elastic,40,0.0,0.013988928,0.1927266484926804,0.4089,0.23037549659572748,0.1182748
O8s_m50,elastic,50,0.0,0.013772039,0.1962312038449454,0.41646,0.2109580575637182,0.11735433
O8s_m100,elastic,100,0.0,0.0332891,0.32169114445423475,0.38452,0.2936308493686991,0.182453
O8s_m200,elastic,200,0.0,1.0792444,1.6365181609944557,0.12856,1.1332244715577378,1.0388669
O8s_m400,elastic,400,0.0,2.1637676,1.9521532538419706,0.05816,1.5704089569683446,1.470975
O8s_m1000,elastic,1000,0.0,2.7611663,2.034304361550312,0.03978,1.7532447772470545,1.6616758
O8s_m4000,elastic,4000,0.0,3.024186,2.0593205428667716,0.03324,1.8351734073798551,1.7390187
O8v_m10,elastic,10,0.0,0.022523796,0.14532261400745483,0.42166,0.19764860958140518,0.1500793
O8v_m12,elastic,12,0.0,0.024262711,0.15785436855367152,0.41278,0.22039954466310746,0.15576492
O8v_m14,elastic,14,0.0,0.021563234,0.15995746831322322,0.3689,0.3347681343278696,0.14684425
O8v_m17,elastic,17,0.0,0.016244778,0.1548842950069229,0.3942,0.26838887754144997,0.12745501
O8v_m21,elastic,21,0.0,0.011457716,0.14618635785154765,0.41744,0.20844695067567964,0.10704072
O8v_m30,elastic,30,0.0,0.014277911,0.1923543271914241,0.40578,0.23841401292527395,0.11949021
O8v_m40,elastic,40,0.0,0.011788076,0.18347605091548758,0.4231,0.19396919833244755,0.10857291
O8v_m50,elastic,50,0.0,0.002315315,0.08156258085364243,0.4496,0.12667201016581167,0.04811772
O8v_m100,elastic,100,0.0,0.8635986,1.3824439916425035,0.1353,1.1016818736722798,0.92930007
O8v_m200,elastic,200,0.0,4.3605027,1.7714635192169226,0.0135,2.2115178091866805,2.0881817
O8v_m400,elastic,400,0.0,5.541963,1.7081053770016297,0.00706,2.4541959911139686,2.3541374
O8v_m1000,elastic,1000,0.0,6.068564,1.664230323403899,0.00516,2.564918641952852,2.4634454
O8v_m4000,elastic,4000,0.0,6.2837243,1.6432103973420453,0.00464,2.601563068795336,2.5067358
O9s_m10,elastic,10,0.0,0.029228684,0.16711240943550365,0.4373,0.15781827215219774,0.17096399
O9s_m12,elastic,12,0.0,0.024044579,0.16389670057833428,0.35972,0.3592073213461888,0.15506315
O9s_m14,elastic,14,0.0,0.018533265,0.1580882042981102,0.38178,0.30080919024796593,0.13613693
O9s_m17,elastic,17,0.0,0.011645729,0.14028850175236585,0.41286,0.22019408894782602,0.10791538
O9s_m21,elastic,21,0.0,0.0069710864,0.11962083579419414,0.42204,0.19667739595709752,0.08349303
O9s_m30,elastic,30,0.0,0.008724477,0.14990992418461246,0.40606,0.23769198575357842,0.09340491
O9s_m40,elastic,40,0.0,0.011430897,0.17748440408468014,0.40846,0.2315082203141625,0.10691537
O9s_m50,elastic,50,0.0,0.007117059,0.14084572048886912,0.42248,0.19555306447202006,0.08436266
O9s_m100,elastic,100,0.0,2.9871256,1.883481853765261,0.0299,1.8822653251976995,1.7283303
O9s_m200,elastic,200,0.0,6.3424087,1.6836867495658225,0.00552,2.541430159563358,2.518414
O9s_m400,elastic,400,0.0,7.1745877,1.5264620770540205,0.00352,2.6949461860675865,2.6785421
O9s_m1000,elastic,1000,0.0,7.515484,1.4499041987073724,0.00282,2.7680084114679975,2.7414384
O9s_m4000,elastic,4000,0.0,7.6520014,1.417837966546358,0.00256,2.7993853186496596,2.766225
O9v_m10,elastic,10,0.0,0.029226441,0.16708592575014336,0.4373,0.15781827215219774,0.17095743
O9v_m12,elastic,12,0.0,0.024081973,0.16394231370213674,0.35992,0.35867263790951426,0.15518367
O9v_m14,elastic,14,0.0,0.018589972,0.15817906063603004,0.38156,0.3013862212567037,0.13634504
O9v_m17,elastic,17,0.0,0.011738236,0.14064354018046288,0.41242,0.22132421065554184,0.10834314
O9v_m21,elastic,21,0.0,0.0070159407,0.11972859192610485,0.4217,0.1975463678043688,0.083761215
O9v_m30,elastic,30,0.0,0.008336453,0.1458784262285917,0.40564,0.23877507310197887,0.091304176
O9v_m40,elastic,40,0.0,0.011754835,0.17938717948709382,0.40764,0.23361999948867487,0.10841972
O9v_m50,elastic,50,0.0,0.009207712,0.15985897905920865,0.41526,0.21403469673094594,0.095956825
O9v_m100,elastic,100,0.0,3.019031,1.929194239746721,0.02974,1.88462858678795,1.737536
O9v_m200,elastic,200,0.0,6.461785,1.7383766854254645,0.0048,2.589913682701567,2.542004
O9v_m400,elastic,400,0.0,7.306085,1.5733650129186572,0.0032,2.7265513165043966,2.7029772
O9v_m1000,elastic,1000,0.0,7.6486363,1.4910846562634106,0.00252,2.804466018746115,2.765617
O9v_m4000,elastic,4000,0.0,7.7850566,1.4563189386899467,0.00228,2.8365768693917026,2.7901714
O10s_m10,elastic,10,0.0,0.029330213,0.16803919668745948,0.4042,0.24249065119247162,0.17126065
O10s_m12,elastic,12,0.0,0.022819731,0.16220758614508668,0.36322,0.34986501990060287,0.15106201
O10s_m14,elastic,14,0.0,0.016733145,0.15457558602065546,0.39026,0.278641449336733,0.12935665
O10s_m17,elastic,17,0.0,0.008946689,0.12772090496582678,0.4204,0.2008702891655466,0.09458694
O10s_m21,elastic,21,0.0,0.005682031,0.11368599774868926,0.4229,0.19448006953796115,0.07537925
O10s_m30,elastic,30,0.0,0.017542258,0.21930201943177963,0.4029,0.2458478688508476,0.13244718
O10s_m40,elastic,40,0.0,0.0044831634,0.10571477079793112,0.41648,0.2109067972392212,0.06695643
O10s_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O10s_m100,elastic,100,0.0,1.5132174,1.3245101132270065,0.07264,1.4564075126160585,1.230129
O10s_m200,elastic,200,0.0,4.898543,1.4019974534676294,0.01072,2.300145116042859,2.2132652
O10s_m400,elastic,400,0.0,5.925026,1.337030750910344,0.00556,2.5389050436149456,2.4341376
O10s_m1000,elastic,1000,0.0,6.3784513,1.3025240329807275,0.00424,2.632335809231106,2.5255597
O10s_m4000,elastic,4000,0.0,6.5629077,1.287407671152323,0.00376,2.6728940367899656,2.5618172
O10v_m10,elastic,10,0.0,0.029331993,0.1680711596054607,0.40426,0.2423357689381696,0.17126586
O10v_m12,elastic,12,0.0,0.022770429,0.1621345174862654,0.36322,0.34986501990060287,0.15089874
O10v_m14,elastic,14,0.0,0.01666386,0.15442190127942013,0.39062,0.27770346565073273,0.12908858
O10v_m17,elastic,17,0.0,0.0088498555,0.12718995287286816,0.41924,0.20383812348869676,0.09407367
O10v_m21,elastic,21,0.0,0.005650634,0.11354577258316567,0.42232,0.195961883608628,0.075170696
O10v_m30,elastic,30,0.0,0.017794607,0.2207026310134097,0.4025,0.2468814148543784,0.13339643
O10v_m40,elastic,40,0.0,0.0040651704,0.10033550639491295,0.41832,0.2061931991534163,0.063758686
O10v_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O10v_m100,elastic,100,0.0,1.4402767,1.2975060387907433,0.0757,1.4346039092234388,1.2001153
O10v_m200,elastic,200,0.0,4.80994,1.3906812409913982,0.01154,2.272107801984802,2.1931574
O10v_m400,elastic,400,0.0,5.840153,1.328760228389001,0.00576,2.526516429517452,2.416641
O10v_m1000,elastic,1000,0.0,6.29677,1.2956216925158515,0.00446,2.615105111551937,2.5093365
O10v_m4000,elastic,4000,0.0,6.482368,1.2810680931943352,0.00396,2.6554613873812016,2.5460496
O11s_m10,elastic,10,0.0,0.029428516,0.1677062654562178,0.43764,0.15695539745253836,0.17154741
O11s_m12,elastic,12,0.0,0.023621863,0.1632596923809615,0.35964,0.35942122346950506,0.15369405
O11s_m14,elastic,14,0.0,0.017752832,0.1565576816574321,0.38458,0.29347382993418164,0.13323975
O11s_m17,elastic,17,0.0,0.010343485,0.13465210799040506,0.41638,0.21116310440641078,0.10170292
O11s_m21,elastic,21,0.0,0.006066572,0.11449609442934161,0.42358,0.19274331369146785,0.0778882
O11s_m30,elastic,30,0.0,0.012919505,0.18737585389317246,0.4064,0.23681540499383552,0.113664
O11s_m40,elastic,40,0.0,0.016800903,0.21276762698107632,0.40384,0.24342006702505775,0.1296183
O11s_m50,elastic,50,0.0,0.012601946,0.17967150972253876,0.40272,0.246312931987583,0.11225839
O11s_m100,elastic,100,0.0,0.0065517193,0.1263833694611094,0.4078,0.2332078634907891,0.08094269
O11s_m200,elastic,200,0.0,0.23663162,0.8095870403849403,0.26342,0.6328371408347941,0.48644796
O11s_m400,elastic,400,0.0,0.696816,1.2728678501662216,0.16468,0.9754037989279516,0.83475506
O11s_m1000,elastic,1000,0.0,1.03021,1.4477344254919444,0.12362,1.157079209443721,1.0149926
O11s_m4000,elastic,4000,0.0,1.1920621,1.5099772415487678,0.10874,1.2332567191671555,1.091816
O11v_m10,elastic,10,0.0,0.029383894,0.16731064857594902,0.43706,0.15842743089167935,0.17141731
O11v_m12,elastic,12,0.0,0.024088169,0.1638593151801615,0.35946,0.3599025633973954,0.15520364
O11v_m14,elastic,14,0.0,0.018423788,0.15777523494762136,0.3818,0.30075673785263773,0.13573426
O11v_m17,elastic,17,0.0,0.011332026,0.13895115527702728,0.41394,0.21742134260762735,0.10645199
O11v_m21,elastic,21,0.0,0.006616104,0.11734639407222858,0.42336,0.1933051414190948,0.081339434
O11v_m30,elastic,30,0.0,0.009722762,0.15960475557221798,0.40582,0.23831085858528978,0.09860407
O11v_m40,elastic,40,0.0,0.016445564,0.21239494297333295,0.40236,0.24724321821265768,0.12824026
O11v_m50,elastic,50,0.0,0.019217845,0.2278500065949629,0.39884,0.2563507671445552,0.13862844
O11v_m100,elastic,100,0.0,0.33618215,1.0066555067533045,0.24072,0.7039883961722079,0.57981217
O11v_m200,elastic,200,0.0,3.7128358,2.0972292520673363,0.02,2.053748910631823,1.926872
O11v_m400,elastic,400,0.0,5.2051373,2.1312710227721254,0.00826,2.3972200350224755,2.281477
O11v_m1000,elastic,1000,0.0,5.8971076,2.12478624907817,0.00532,2.5543050293320686,2.428396
O11v_m4000,elastic,4000,0.0,6.1868863,2.11844107881916,0.00442,2.618180620342684,2.4873452
O12s_m10,elastic,10,0.0,0.029475711,0.16791616104455898,0.41088,0.22528187363372895,0.17168492
O12s_m12,elastic,12,0.0,0.023405712,0.16294328564981697,0.36002,0.3584053346481716,0.15298925
O12s_m14,elastic,14,0.0,0.017415972,0.15588319667585893,0.38718,0.2866765430273375,0.13196959
O12s_m17,elastic,17,0.0,0.009818928,0.1321437662045355,0.41762,0.20798587027655382,0.09909051
O12s_m21,elastic,21,0.0,0.005812918,0.11318455213768175,0.42428,0.19095608380640877,0.07624249
O12s_m30,elastic,30,0.0,0.014877009,0.2020241158970748,0.40316,0.24517620481960276,0.12197135
O12s_m40,elastic,40,0.0,0.01400255,0.19167659960658057,0.40384,0.24342006702505775,0.11833237
O12s_m50,elastic,50,0.0,0.004855935,0.10923983401880832,0.41632,0.21131689536447798,0.06968454
O12s_m100,elastic,100,0.0,0.0012165037,0.055407854706572834,0.40826,0.23202319285556813,0.034878414
O12s_m200,elastic,200,0.0,0.9539699,1.3503345363642438,0.1304,1.1245022889914305,0.97671384
