op,n,m_med_GeV,R_lo,R_hi,R_100_200,R_roi,N_lo,ratio_100_200_over_hi,f_hi,pct248_true,pct248_obs,E_peak_keV,N_hi_unit,c_anand_1hi,c_mv2_1hi,Lambda_1hi_GeV,gchi_gN_1hi
O6s,1,0.1,0.0054098,0.00097479,0.0043328,0.015136,5.5497,4.4448,0.064402,0.98532,0.98204,39,0.0027684,0.00031355,19.006,56.474,3.1355e-06
O6s,1,0.3,0.015304,0.016114,0.044579,0.10104,0.94976,2.7665,0.15948,0.95913,0.95199,81,0.045763,7.712e-05,4.6746,113.87,6.9408e-06
O6s,1,1,0.018233,0.038201,0.08118,0.17367,0.4773,2.1251,0.21996,0.93877,0.93005,129,0.10849,5.0087e-05,3.036,141.3,5.0087e-05
O6s,1,3,0.018534,0.042117,0.086491,0.18456,0.44007,2.0536,0.2282,0.93573,0.92686,132,0.11961,4.7702e-05,2.8914,144.79,0.00042932
O6s,1,10,0.018569,0.042601,0.08713,0.18588,0.43589,2.0453,0.22919,0.93536,0.92647,132,0.12099,4.743e-05,2.875,145.2,0.004743
O6s,1,inf,0.018573,0.042649,0.087193,0.18601,0.43548,2.0444,0.22929,0.93532,0.92643,132,0.12112,,,,
O6s,1,0,377.3,13.572,73.657,591.29,27.799,5.427,0.022954,0.99496,0.99376,10.9,38.545,,,,
O6s,2,0.01,2.3723e-09,4.4064e-13,7.1296e-12,4.5124e-09,5383.8,16.18,9.7649e-05,0.99998,0.99998,1,1.2514e-12,14.748,8.9392e+05,0.2604,
O6s,2,0.03,5.8077e-06,2.7284e-09,4.2185e-08,6.9712e-06,2128.6,15.462,0.00039138,0.99993,0.99991,7.7,7.7486e-09,0.18742,11360,2.3099,
O6s,2,0.1,0.0017822,2.2725e-05,0.00023576,0.0026123,78.425,10.374,0.0086993,0.99842,0.9979,21,6.454e-05,0.0020536,124.48,22.067,
O6s,2,0.3,0.012656,0.0061135,0.02307,0.058771,2.0701,3.7736,0.10402,0.97587,0.97065,60,0.017362,0.0001252,7.5892,89.37,
O6s,2,1,0.017901,0.034219,0.075595,0.16231,0.52312,2.2091,0.21083,0.94209,0.93354,114,0.097183,5.2921e-05,3.2078,137.46,
O6s,2,3,0.018496,0.041592,0.085795,0.18312,0.44471,2.0628,0.22712,0.93613,0.92728,132,0.11812,4.8002e-05,2.9096,144.33,
O6s,2,10,0.018566,0.042553,0.087066,0.18575,0.4363,2.0461,0.22909,0.9354,0.92651,132,0.12085,4.7457e-05,2.8766,145.16,
O6s,2,inf,0.018573,0.042649,0.087193,0.18601,0.43548,2.0444,0.22929,0.93532,0.92643,132,0.12112,,,,
O6s,2,0,2.7911e+07,4438.6,72239,7.1198e+07,6288.3,16.275,6.2342e-05,0.99999,0.99999,1,12606,,,,
O7s,1,0.01,5.0985e-07,4.3261e-11,3.7701e-10,1.4345e-06,11785,8.7148,3.0158e-05,1,0.99999,1,1.2286e-10,1.4884,90218,0.81967,0.00014884
O7s,1,0.03,2.2912e-05,3.4036e-09,2.907e-08,3.9542e-05,6731.9,8.5411,8.6074e-05,0.99999,0.99998,2.65,9.6661e-09,0.1678,10171,2.4412,0.00015102
O7s,1,0.1,0.00022937,3.1002e-07,2.2133e-06,0.00028522,739.87,7.1394,0.0010869,0.99985,0.99977,7.65,8.8045e-07,0.017582,1065.7,7.5416,0.00017582
O7s,1,0.3,0.00038881,5.03e-06,2.238e-05,0.00049201,77.298,4.4493,0.010224,0.99838,0.99768,8.6,1.4285e-05,0.004365,264.58,15.136,0.00039285
O7s,1,1,0.00042044,1.1761e-05,4.0418e-05,0.00055675,35.749,3.4366,0.021125,0.99633,0.99494,8.75,3.3402e-05,0.0028546,173.03,18.717,0.0028546
