m_GeV,eff,delta_keV,Nunit_X,Nunit_P,Nunit_LZ,kappa90_n0_X,sigma90_n0_X_cm2,kappa90_n1_X,sigma90_n1_X_cm2,kappa90_n0_P,sigma90_n0_P_cm2,kappa90_n1_P,sigma90_n1_P_cm2,kappa90_n0_XP,sigma90_n0_XP_cm2,kappa90_n1_XP,sigma90_n1_XP_cm2
400.0,LZlike,210.0,749639.9824773516,372401.79774681333,686766.9516889284,3.0715877672247383e-06,9.079862587128828e-44,5.188784070915692e-06,1.5338466594026604e-43,6.183066284673175e-06,1.827764546759699e-43,1.0444954947947172e-05,3.0876134052910693e-43,2.0521383789648035e-06,6.06628750433176e-44,3.466644530137639e-06,1.024768242273329e-43
400.0,LZlike,220.0,421384.77707376564,209333.0828043868,386042.8280288691,5.4643288634912415e-06,1.61529993512805e-43,9.230803321874829e-06,2.7287003362161565e-43,1.0999623036897955e-05,3.2515777914915294e-43,1.8581487206371408e-05,5.492838339136418e-43,3.6507369562118216e-06,1.0791874566588268e-43,6.167131529700856e-06,1.8230541039375185e-43
400.0,LZlike,230.0,242702.095411396,120568.13772049994,222346.43579624663,9.487289329319416e-06,2.8045196804643706e-43,1.6026726070933458e-05,4.737630224941042e-43,1.9097790208370255e-05,5.645461694441266e-43,3.2261591441489434e-05,9.536788115141062e-43,6.338490715709093e-06,1.8737092692757648e-43,1.0707510952563303e-05,3.165227089939059e-43
400.0,LZlike,240.0,145215.34380279365,72139.2353084846,133035.99238707547,1.5856347819049843e-05,4.6872650316867335e-43,2.678587467507803e-05,7.918121823538553e-43,3.191862223315227e-05,9.435403635213553e-43,5.39196178524298e-05,1.593907639803215e-42,1.0593680654968645e-05,3.1315779306527747e-43,1.789573523550472e-05,5.290124494174464e-43
400.0,LZlike,250.0,89529.75446419032,44476.071572533256,82020.80731558081,2.571865648219751e-05,7.602643469143542e-43,4.3446114906478284e-05,1.2843023972968216e-42,5.177132149013785e-05,1.5304022567756482e-42,8.745646507148227e-05,2.585284046506589e-42,1.7182723080778514e-05,5.0793523177467646e-43,2.9026499183207478e-05,8.580468602629627e-43
400.0,LZlike,260.0,55523.71273190131,27582.74761520259,50866.88521245152,4.1470299565847356e-05,1.2258956931749356e-42,7.005511354728176e-05,2.0708859806071915e-42,8.347917445073168e-05,2.467712109637857e-42,0.00014102003376400873,4.1686665843391517e-42,2.7706450140975603e-05,8.190251398367026e-43,4.6804062930296e-05,1.3835660646298044e-42
400.0,LZlike,270.0,33323.99426180482,16554.50037521917,30529.078614040543,6.909690902927471e-05,2.0425606778217494e-42,0.00011672430289841652,3.4504650728363184e-42,0.00013909118051347506,4.111648117693132e-42,0.0002349645058344748,6.945741380384797e-42,4.616388318766198e-05,1.3646418321653928e-42,7.798390926402828e-05,2.305267613317368e-42
400.0,LZlike,280.0,18446.44980354665,9163.72022498769,16899.328207120154,0.0001248253742331106,3.689939312551796e-42,0.00021086550753262744,6.233355443042917e-42,0.00025127185722249537,7.427799914876992e-42,0.0004244695281500942,1.2547663554177299e-41,8.339626295746613e-05,2.465261178644519e-42,0.00014087997270498817,4.164526265826087e-42
400.0,LZlike,290.0,8860.28321632591,4401.560049400614,8117.162688505027,0.00025987713301954833,7.68217884747765e-42,0.00043900628287285706,1.2977381815051677e-41,0.0005231292937406492,1.5464126251416048e-41,0.000883713946042764,2.6123301056272854e-41,0.00017362480869840513,5.132490178271706e-42,0.0002933016114021243,8.67023354022849e-42
400.0,LZlike,300.0,3369.97800875208,1674.1181075736138,3087.334691889002,0.0006832641026202599,2.0197841092834146e-41,0.0011542271165859575,3.411988980021099e-41,0.001375401765014809,4.0657991810250555e-41,0.0023234441957249797,6.868289505237278e-41,0.0004564911030437081,1.34942472818504e-41,0.0007711431166845838,2.2795616030313383e-41
400.0,LZlike,305.0,1813.6702559189716,900.9845787468439,1661.5559763902836,0.0012695720142542116,3.7529578535559944e-41,0.002144667691001588,6.339811656088188e-41,0.002555631976745491,7.554655419495834e-41,0.004317188209159041,1.2761958528489212e-40,0.0008482054405577707,2.507364083194738e-41,0.001432859879763992,4.235650028852023e-41
400.0,LZlike,310.0,848.5494314317858,421.53745948546776,777.3807694407327,0.0027135543489962295,8.021486761504234e-41,0.00458396394590324,1.3550569245416889e-40,0.0054623496635638384,1.6147148675755276e-40,0.009227459891103925,2.7277119909605427e-40,0.0018129350176483428,5.359182965660156e-41,0.003062562119030182,9.05318203896387e-41
400.0,LZlike,315.0,326.48559671779793,162.18961901464803,299.10293376727293,0.007052638839655366,2.08481724741916e-40,0.011913909952242488,3.5218484197678938e-40,0.014196870391514045,4.196710043506101e-40,0.023982546007760848,7.089435130701603e-40,0.0047118923282180245,1.392873592025732e-40,0.007959724321541317,2.3529590735518255e-40
400.0,LZlike,320.0,92.45706602040455,45.93028441013646,84.7026024186932,0.02490437020240116,7.361933839875305e-40,0.04207055412229466,1.2436397047509546e-39,0.05013217378405428,1.48194772101386e-39,0.08468747907734639,2.503430574498675e-39,0.016638695609362847,4.91853338439945e-40,0.028107482279981347,8.30879975156888e-40
400.0,LZlike,325.0,17.229061157913613,8.558952962318376,15.784043125314405,0.13364541334525254,3.9506668229485096e-39,0.22576505848743725,6.673798254813298e-39,0.2690264814092746,7.952641007234013e-39,0.4544621307214646,1.343426921423456e-38,0.08928896150221613,2.6394541274009437e-39,0.1508344140756585,4.458787627138195e-39
400.0,LZlike,330.0,1.7776192758104126,0.8830753821767855,1.6285286268714745,1.295319549767065,3.829069657004528e-38,2.1881625907925,6.46838610789337e-38,2.607461431349287,7.707867491372752e-38,4.404742877569319,1.3020777230174966e-37,0.8654074578185135,2.558214641533198e-38,1.4619189722967134,4.3215510634632426e-38
400.0,LZlike,335.0,0.03608901425117567,0.017928090950584046,0.03306219370107707,63.80293415537081,1.8860664864212176e-36,107.78127584555138,3.186101939152013e-36,128.43447784522692,3.7966273427959564e-36,216.96230852026574,6.41358182556574e-36,42.626960319321014,1.2600875232555548e-36,72.00904205198476,2.128645692105871e-36
400.0,LZlike,340.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
400.0,hiedge,100.0,199317921.2734295,99015999.60034885,182600934.32791606,1.15523229686971e-08,3.4149603744735555e-46,1.9515154358167226e-08,5.7688379225076495e-46,2.325467610581884e-08,6.874270883680534e-46,3.928375227942754e-08,1.161259581803488e-45,7.718146810982977e-09,2.2815468019112116e-46,1.3038141920327243e-08,3.854180508571922e-46
400.0,hiedge,110.0,128689148.12660375,63929447.779022515,117895864.73534021,1.789261203077301e-08,5.289201249522367e-46,3.0225703228475124e-08,8.934963045573624e-46,3.6017595646361245e-08,1.0647093424363204e-45,6.084394805732004e-08,1.7985964572258587e-45,1.1954115796421621e-08,3.533733593430891e-46,2.0193896553507085e-08,5.969479620965136e-46
400.0,hiedge,120.0,81802693.04614657,40637466.86808572,74941822.01646976,2.814803418147939e-08,8.320787222582338e-46,4.755002378473933e-08,1.405617272562054e-45,5.666162724843253e-08,1.6749636616886523e-45,9.571758034590383e-08,2.8294893148976407e-45,1.8805798698833212e-08,5.559146635776993e-46,3.176833485618361e-08,9.390977467548206e-46
400.0,hiedge,130.0,51201613.13931328,25435640.075658854,46907284.29537087,4.4970946398406435e-08,1.3293776530423013e-45,7.596870023248196e-08,2.2456963997384248e-45,9.052593106172724e-08,2.6760199509293078e-45,1.5292400696148967e-07,4.5205576877851406e-45,3.00452443610043e-08,8.88161794058434e-46,5.075495058635648e-08,1.5003575084459302e-45
400.0,hiedge,140.0,31534582.809622876,15665566.944135236,28889746.832041603,7.301777270690129e-08,2.1584645884818716e-45,1.2334775517667668e-07,3.6462596946951815e-45,1.469838281762299e-07,4.344961184606365e-45,2.482974292517518e-07,7.339873411399393e-45,4.8783425730903884e-08,1.442077634546078e-45,8.240906057062452e-08,2.4360786753351434e-45
400.0,hiedge,150.0,19101805.74697414,9489284.145271024,17499718.81335695,1.2054279215800032e-07,3.56334271265963e-45,2.0363101015285735e-07,6.019497832343395e-45,2.426510751232474e-07,7.172962603405749e-45,4.099065788791285e-07,1.2117170961210733e-44,8.053505510556057e-08,2.3806815537165633e-45,1.3604658005902108e-07,4.0216472586776995e-45
400.0,hiedge,160.0,11355221.88929929,5640981.196619648,10402848.44051935,2.027776315115308e-07,5.994271267500558e-45,3.4254900854606087e-07,1.0126026546087234e-44,4.081887387569776e-07,1.2066390213799826e-44,6.895467055147979e-07,2.0383559930435342e-44,1.3547643484606585e-07,4.004793303718046e-45,2.2885817381310103e-07,6.765233252773799e-45
400.0,hiedge,170.0,6637840.452598776,3297507.837742618,6081118.350122749,3.46887668729446e-07,1.0254280860346918e-44,5.859917887115137e-07,1.7322392592720186e-44,6.98280372117716e-07,2.0641734199399638e-44,1.1795938603933067e-06,3.4869751323008165e-44,2.317568476425178e-07,6.850920402386949e-45,3.9150313469950264e-07,1.1573150223584607e-44
400.0,hiedge,180.0,3804443.912942904,1889949.5567522813,3485361.5202444666,6.052356277790017e-07,1.7891256084905164e-44,1.0224148624630745e-06,3.02234126508152e-44,1.2183314585161722e-06,3.6014866144938967e-44,2.0581078400230722e-06,6.083933715423839e-44,4.0436000993855717e-07,1.195320988431164e-44,6.830788951800713e-07,2.0192366210673948e-44
400.0,hiedge,190.0,2146471.22620142,1066311.512371028,1966444.6072296877,1.0727304293171692e-06,3.171078161973598e-44,1.8121463509592824e-06,5.356851602955783e-44,2.1593924226514444e-06,6.383339157219581e-44,3.6478270701128415e-06,1.0783272707248657e-43,7.166948988972466e-07,2.1186082547668434e-44,1.210701225856417e-06,3.578931027836838e-44
400.0,hiedge,200.0,1196002.9658321026,594143.4088327219,1095693.039665539,1.9252335201342986e-06,5.691146447932424e-44,3.25226618254561e-06,9.613962638274681e-44,3.8754700729976145e-06,1.145620388869514e-43,6.546769588241164e-06,1.9352781934189295e-43,1.2862551535380012e-06,3.802274566506576e-44,2.1728502512696966e-06,6.423121590226619e-44
400.0,hiedge,210.0,664941.5885395331,330325.82140351,609172.2940168625,3.462837999135173e-06,1.0236430008328976e-43,5.849716827824408e-06,1.7292237434013243e-43,6.970647920337036e-06,2.0605800666116766e-43,1.177540400406212e-05,3.4809049380156523e-43,2.313534008042896e-06,6.838994186599101e-44,3.908215984106824e-06,1.1553003458069192e-43
400.0,hiedge,220.0,374036.7852418593,185811.8223459559,342665.9580925421,6.1560389000539205e-06,1.8197750326376908e-43,1.0399298019537926e-05,3.0741168469140027e-43,1.23920263572514e-05,3.6631835072576894e-43,2.093365185751141e-05,6.188157289242473e-43,4.112870816846369e-06,1.2157979743915606e-43,6.9478068665016315e-06,2.0538280658261653e-43
400.0,hiedge,230.0,215610.84008685913,107109.9012044397,197527.35027312252,1.0679356376851927e-05,3.1569043689871785e-43,1.8040465861702598e-05,5.332908041239219e-43,2.149740569366297e-05,6.354807496013151e-43,3.631522348784289e-05,1.0735074628468558e-42,7.134914820741589e-06,2.1091386947974684e-43,1.2052897450706476e-05,3.5629342516899954e-43
400.0,hiedge,240.0,129116.7008130219,64141.844920017335,118287.5581641878,1.7833363039026596e-05,5.27168676697286e-43,3.0125614854679646e-05,8.90537611042792e-43,3.589832819544315e-05,1.061183699845186e-42,6.0642471460718765e-05,1.79264064560562e-42,1.1914531340728977e-05,3.522032107244799e-43,2.0127027165842003e-05,5.949712487570377e-43
400.0,hiedge,250.0,79668.13258887288,39577.0723183433,72986.28921045127,2.8902208764983635e-05,8.543727346839665e-43,4.8824038842141396e-05,1.443278191056972e-42,5.8179770890551473e-05,1.719841219169023e-42,9.828215611080411e-05,2.9053002547250734e-42,1.930966533867441e-05,5.7080937015523614e-43,3.2619508709189296e-05,9.642591362665115e-43
400.0,hiedge,260.0,49444.06740540721,24562.536711073255,45297.14562301821,4.656948994750762e-05,1.3766318969882404e-42,7.866909427387885e-05,2.3255222379860452e-42,9.374377846576211e-05,2.7711421303010037e-42,0.00015835986509676913,4.681246063478403e-42,3.1113236818377935e-05,9.197325173843847e-43,5.255909315711734e-05,1.553689426240677e-42
400.0,hiedge,270.0,29698.494229124717,14753.44552027486,27207.65277764974,7.753204530288613e-05,2.2919101481033642e-42,0.0001309736436463984,3.8716871434846574e-42,0.00015607100028503055,4.6135853630652146e-42,0.000263648243703789,7.7936559381834e-42,5.179942681873858e-05,1.5312330730862994e-42,8.750394295341272e-05,2.5866875312074214e-42
400.0,hiedge,280.0,16457.41046252982,8175.61681041804,15077.11152051119,0.00013991174402817007,4.135904640775245e-42,0.00023635067065113933,6.9867175367321e-42,0.0002816405236930696,8.325522328833284e-42,0.00047577083053151426,1.4064171664850333e-41,9.347551863951017e-05,2.7632121522420814e-42,0.00015790669806433878,4.6678500784201536e-42
400.0,hiedge,290.0,7919.266473970776,3934.0872161016114,7255.069930992581,0.00029075735834476445,8.59502335612041e-42,0.0004911717534426729,1.4519435438330693e-41,0.000585290786278422,1.7301670392190437e-41,0.0009887223608261598,2.9227434973263084e-41,0.0001942559937217176,5.742364742235618e-42,0.0003281535421707513,9.700484883367489e-42
400.0,hiedge,300.0,3022.725864241455,1501.6122035264002,2769.2069207889454,0.0007617577985616727,2.2518178413840782e-41,0.001286825261269968,3.8039598512056996e-41,0.0015334085555462243,4.532880070318599e-41,0.0025903625389200654,7.657321778401084e-41,0.0005089330119700831,1.5044472647178108e-41,0.0008597323943829527,2.541438693693463e-41
400.0,hiedge,305.0,1632.0005060374012,810.7357352572897,1495.123044240716,0.0014108972340889892,4.1707266667698106e-41,0.0023834061237177446,7.045541828105311e-41,0.0028401178088804328,8.395618614926242e-41,0.004797765573717538,1.418258419943277e-40,0.0009426253072577299,2.786476867885003e-41,0.001592361849897631,4.707150790328979e-41
400.0,hiedge,310.0,767.6115830244131,381.32962511535356,703.2312567062364,0.002999674641343666,8.867281553899555e-41,0.005067302377947952,1.4979356855809525e-40,0.006038306096211276,1.7849722608499104e-40,0.010200413877687437,3.0153250813642555e-40,0.002004092971587363,5.924261382993237e-41,0.003385482192163502,1.0007759968321018e-40
400.0,hiedge,315.0,298.13764956612795,148.10709042962486,273.13255637671074,0.007723227855827309,2.283048799981326e-40,0.013046725248087953,3.856717809880357e-40,0.015546757372119907,4.595747584377993e-40,0.026262888486410813,7.763522864044875e-40,0.005159915162298418,1.5253127758495927e-40,0.008716562126955313,2.576686467807997e-40
400.0,hiedge,320.0,86.07541182706882,42.76004329473741,78.8561837383469,0.026750786910274042,7.907749595653378e-40,0.04518967632492661,1.3358434870897212e-39,0.05384898663756464,1.5918197238003557e-39,0.09096623156316398,2.689035590894894e-39,0.017872292978846883,5.283194772958076e-40,0.030191378579153556,8.924816400814948e-40
400.0,hiedge,325.0,16.75470334433761,8.32330424202578,15.349470160618969,0.1374291715393563,4.0625177843046506e-39,0.23215690066601882,6.86274629425862e-39,0.2766431375142887,8.177795539834038e-39,0.467328826016012,1.3814619163767354e-38,0.09181690339913891,2.714182140375952e-39,0.15510482587600397,4.585024463836578e-39
400.0,hiedge,330.0,1.9221199838181096,0.9548596048644802,1.7609099206591712,1.1979403051760238,3.541208711222747e-38,2.0236613909363967,5.982107217851824e-38,2.411438276653035,7.128407145967868e-38,4.073604098638201,1.2041904139831593e-37,0.80034804871674,2.3658937510324383e-38,1.3520151534273341,3.9966664602027273e-38
400.0,hiedge,335.0,0.05145266215892744,0.025560354749918794,0.04713727759075933,44.75152311629193,1.3228913228411082e-36,75.59803199269648,2.2347391459084095e-36,90.08423484448375,2.6629630524723606e-36,152.17785660867472,4.4985008781273175e-36,29.898646909591587,8.83828254484361e-37,50.50730585718945,1.4930369293784629e-36
400.0,hiedge,340.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1000.0,LZlike,100.0,113342164.4513786,56305462.34036227,103836047.43287587,2.0315343465915198e-08,6.022280381393125e-46,3.4318384679062734e-08,1.0173341894050586e-45,4.0894522561257864e-08,1.2122772196310835e-45,6.908246266564576e-08,2.0478805111400526e-45,1.3572751022486449e-08,4.023506289292821e-46,2.2928231143339325e-08,6.796844799904485e-46
1000.0,LZlike,110.0,75291090.03889704,37402670.53545208,68976353.45498954,3.058243676390439e-08,9.065857500635675e-46,5.166242111769779e-08,1.531480802548987e-45,6.15620480312361e-08,1.824945341037051e-45,1.0399578276939163e-07,3.0828509661700383e-45,2.0432231458643014e-08,6.056930657752282e-46,3.451584169501361e-08,1.023187605151263e-45
1000.0,LZlike,120.0,49369539.348957926,24525513.095933937,45228868.30678726,4.663979106073231e-08,1.3825899580215106e-45,7.878785281965778e-08,2.3355870951627978e-45,9.388529369368193e-08,2.7831356297835606e-45,1.5859892450710332e-07,4.701506490262775e-45,3.1160205234540986e-08,9.237131185057507e-46,5.263843615106445e-08,1.560413792026869e-45
1000.0,LZlike,130.0,31963938.68416638,15878859.862456847,29283092.213881455,7.203696086241731e-08,2.1354636551667892e-45,1.2169088542041308e-07,3.607404586052355e-45,1.4500946667109978e-07,4.298660604556524e-45,2.4496217195018216e-07,7.261658582313183e-45,4.812814195549432e-08,1.426710631684708e-45,8.13021001731208e-08,2.410119443267737e-45
1000.0,LZlike,140.0,20433659.460823428,10150914.699892929,18719868.66733501,1.1268588499356402e-07,3.340460354978747e-45,1.903584625875552e-07,5.642986231547556e-45,2.268352230389925e-07,6.724303311970205e-45,3.8318911300092283e-07,1.1359257998569759e-44,7.528582833621734e-08,2.2317730819901112e-45,1.2717914526323733e-07,3.7700985598701353e-45
1000.0,LZlike,150.0,12893114.831641609,6404966.722815509,11811756.813503925,1.7859028094197348e-07,5.294130256910631e-45,3.01689704217483e-07,8.94328953889234e-45,3.594999161818947e-07,1.06570154522227e-44,6.072974565416865e-07,1.8002725695172893e-44,1.1931678252588746e-07,3.537026680263568e-45,2.015599316970253e-07,5.975042579863418e-45
1000.0,LZlike,160.0,8037655.073772493,3992899.617293432,7363529.164359315,2.864747216527763e-07,8.492256598413606e-45,4.839371637994849e-07,1.4345833198766332e-44,5.766698942361082e-07,1.709480224355986e-44,9.74159225830132e-07,2.8877975919594563e-44,1.9139474938008763e-07,5.673705917043574e-45,3.233200878832766e-07,9.584500628486128e-45
1000.0,LZlike,170.0,4949712.7472382905,2458889.558305473,4534575.54908282,4.6519568257465756e-07,1.3790260732625697e-44,7.858476236161953e-07,2.3295666816603436e-44,9.364328675204147e-07,2.77596157604803e-44,1.5819010605261075e-06,4.689387476069524e-44,3.107988396511721e-07,9.213320748090446e-45,5.250275071573718e-07,1.5563915330058331e-44
1000.0,LZlike,180.0,3018318.7309195567,1499422.853424554,2765169.4180037226,7.628700628639368e-07,2.2614520009694847e-44,1.2887041915599694e-06,3.8202346828503715e-44,1.535647529141691e-06,4.552273508445066e-44,2.594144801192146e-06,7.690082803140358e-44,5.096761195858199e-07,1.5108838799580608e-44,8.609877141887727e-07,2.5523119648353776e-44
1000.0,LZlike,190.0,1826139.18788223,907178.8223673013,1672979.126963075,1.260903339285054e-06,3.737821836854371e-44,2.1300238370717516e-06,6.314242625244751e-44,2.5381820466127707e-06,7.52418681444711e-44,4.287710321378202e-06,1.2710488401466706e-43,8.424138689188937e-07,2.497251658243222e-44,1.4230762704574203e-06,4.2185672711764497e-44
1000.0,LZlike,200.0,1099838.164582123,546371.2172440224,1007593.6733591063,2.093567103006335e-06,6.206170283420853e-44,3.536629410816887e-06,1.0483984163376276e-43,4.2143233891685965e-06,1.2492940180912108e-43,7.119189073722305e-06,2.110412396523796e-43,1.3987194007154393e-06,4.1463637669406566e-44,2.3628343046405924e-06,7.004385971221218e-44
1000.0,LZlike,210.0,665877.8796687982,330790.9466741772,610030.057503028,3.4579689013626427e-06,1.0250802950530194e-43,5.841491538861019e-06,1.7316517415312054e-43,6.960846489755968e-06,2.063473321210623e-43,1.175884660420075e-05,3.4857924667186597e-43,2.310280947031076e-06,6.848596798845605e-44,3.902720640187318e-06,1.1569224997299e-43
1000.0,LZlike,220.0,407596.7099115572,202483.5268592897,373411.1794028459,5.649174647409762e-06,1.6746413225668101e-43,9.54306034718488e-06,2.8289447925764185e-43,1.137171519933134e-05,3.3710312337383842e-43,1.92100565430345e-05,5.69462912791357e-43,3.7742330618470395e-06,1.1188336422321361e-43,6.375751525058864e-06,1.8900277709023486e-43
1000.0,LZlike,230.0,254931.20736314208,126643.24494814154,233549.8802939753,9.032181755292262e-06,2.6774999436920947e-43,1.5257920127680591e-05,4.523057815879984e-43,1.8181664572341566e-05,5.389772613925645e-43,3.071399506221418e-05,9.104856642355814e-43,6.034431776165089e-06,1.788846945139115e-43,1.0193869050821085e-05,3.021870523540507e-43
1000.0,LZlike,240.0,164145.5210637638,81543.25885103105,150378.47736164165,1.4027705325602765e-05,4.158372942110415e-43,2.3696778168494792e-05,7.024672878693175e-43,2.8237588642447124e-05,8.370750727624863e-43,4.77013067028142e-05,1.4140575275291458e-42,9.371958299432882e-06,2.7782233018410107e-43,1.5831899207399538e-05,4.693208173264837e-43
1000.0,LZlike,250.0,108838.16305315922,54067.99067802104,99709.80099063618,2.1156044308422967e-05,6.271497737671139e-43,3.573856716141162e-05,1.0594340786626413e-42,4.258684243903324e-05,1.2624443497909435e-42,7.194127155868573e-05,2.1326270414637586e-42,1.413442615433431e-05,4.1900092643923556e-43,2.3877059956977593e-05,7.078115611754717e-43
1000.0,LZlike,260.0,73757.98949244575,36641.06574786015,67571.83553501482,3.1218109602022565e-05,9.254296355652155e-43,5.273625307260284e-05,1.5633134768317912e-42,6.284164919887659e-05,1.8628778378260828e-42,0.00010615739254874597,3.146929726089969e-42,2.0856926673765075e-05,6.182827306577948e-43,3.523327252695448e-05,1.0444551246074466e-42
1000.0,LZlike,270.0,50322.99062509819,24999.1630847262,46102.352701702854,4.575612401802695e-05,1.3563945323625902e-42,7.729508822275824e-05,2.2913355817142098e-42,9.210648341291137e-05,2.730404578132486e-42,0.00015559400876009774,4.6124287683857465e-42,3.0569824236181794e-05,9.062118642939717e-43,5.164111497641175e-05,1.5308492033004417e-42
1000.0,LZlike,280.0,33915.20132544545,16848.19678747935,31070.700569117766,6.789241726459831e-05,2.0126028054801927e-42,0.00011468957423176705,3.3998577184044955e-42,0.00013666655423393167,4.051343309732856e-42,0.00023086862345355705,6.843869433151906e-42,4.5359158086261804e-05,1.3446268743509908e-42,7.662450002553403e-05,2.2714566653133484e-42
1000.0,LZlike,290.0,22158.227119654566,11007.635407828397,20299.795167683536,0.00010391557896604393,3.080473404637671e-42,0.0001755429249368863,5.203794436030478e-42,0.00020918071090567284,6.200952957387518e-42,0.0003533656281197062,1.047517061798343e-41,6.942635663679659e-05,2.0580749039605126e-42,0.00011728083347076458,3.476673006830708e-42
1000.0,LZlike,300.0,13705.114571094362,6808.347238543651,12555.653349002576,0.00016800917555672337,4.9804639707267065e-42,0.00028381521218391414,8.413418100185262e-42,0.0003382002884583392,1.0025609291722589e-41,0.0005713163362143726,1.69361013705028e-41,0.00011224750953143154,3.327465152856204e-42,0.00018961792193321849,5.621033644520325e-42
1000.0,LZlike,305.0,10499.798417013322,5216.028891032424,9619.170162683171,0.00021929801969045542,6.500870457228556e-42,0.0003704566359766776,1.0981816451896914e-41,0.00044144406561065703,1.3086167803512027e-41,0.0007457243970959094,2.2106253896675607e-41,0.00014651376315526115,4.343253969269078e-42,0.00024750335593269406,7.336989439844921e-42
1000.0,LZlike,310.0,7861.299542615745,3905.290740525241,7201.964742267327,0.0002929013183530016,8.682766629867555e-42,0.0004947935107820286,1.4667658746812138e-41,0.0005896065499313668,1.7478296462720402e-41,0.0009960129113144732,2.95258065682582e-41,0.0001956883807961864,5.800986325989099e-42,0.00033057325073799327,9.799513386878799e-42
