m_GeV,delta_keV,sigma_unit_cm2,E_lo_keV,Nunit_LZ_LZlike,Nunit_XENONnT_LZlike,Nunit_PandaX-4T_LZlike,Nunit_LZ_hiedge,Nunit_XENONnT_hiedge,Nunit_PandaX-4T_hiedge
400.0,290.0,2.956081113492885e-38,108.18169981988515,8117.162688505027,8860.28321632591,4401.560049400614,7255.069930992581,7919.266473970776,3934.0872161016114
400.0,300.0,2.956081113492885e-38,124.3652992099156,3087.334691889002,3369.97800875208,1674.1181075736138,2769.2069207889454,3022.725864241455,1501.6122035264002
400.0,305.0,2.956081113492885e-38,134.00978913827853,1661.5559763902836,1813.6702559189716,900.9845787468439,1495.123044240716,1632.0005060374012,810.7357352572897
400.0,310.0,2.956081113492885e-38,145.13874836059716,777.3807694407327,848.5494314317858,421.53745948546776,703.2312567062364,767.6115830244131,381.32962511535356
400.0,315.0,2.956081113492885e-38,158.38791079893153,299.10293376727293,326.48559671779793,162.18961901464803,273.13255637671074,298.13764956612795,148.10709042962486
400.0,320.0,2.956081113492885e-38,175.04092305826535,84.7026024186932,92.45706602040455,45.93028441013646,78.8561837383469,86.07541182706882,42.76004329473741
400.0,325.0,2.956081113492885e-38,198.68517363234375,15.784043125314405,17.229061157913613,8.558952962318376,15.349470160618969,16.75470334433761,8.32330424202578
400.0,330.0,2.956081113492885e-38,,1.6285286268714745,1.7776192758104126,0.8830753821767855,1.7609099206591712,1.9221199838181096,0.9548596048644802
400.0,335.0,2.956081113492885e-38,,0.03306219370107707,0.03608901425117567,0.017928090950584046,0.04713727759075933,0.05145266215892744,0.025560354749918794
400.0,340.0,2.956081113492885e-38,,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,100.0,2.964399982455243e-38,6.72760321051643,103836047.43287587,113342164.4513786,56305462.34036227,91976288.05916955,100396652.45895268,49874466.06025391
1000.0,110.0,2.964399982455243e-38,8.276249904652772,68976353.45498954,75291090.03889704,37402670.53545208,61084005.076582804,66676202.72443898,33123016.837301947
1000.0,120.0,2.964399982455243e-38,10.018279485924316,45228868.30678726,49369539.348957926,24525513.095933937,40052488.4051708,43719265.51268644,21718602.867592618
1000.0,130.0,2.964399982455243e-38,11.964833481781177,29283092.213881455,31963938.68416638,15878859.862456847,25932689.62867324,28306809.101720795,14062092.26343549
1000.0,140.0,2.964399982455243e-38,14.128166218045559,18719868.66733501,20433659.460823428,10150914.699892929,16579165.059991388,18096975.94576525,8990110.631122092
1000.0,150.0,2.964399982455243e-38,16.521806931589563,11811756.813503925,12893114.831641609,6404966.722815509,10462025.623563988,11419816.701777594,5673070.232495966
1000.0,160.0,2.964399982455243e-38,19.160753573416564,7363529.164359315,8037655.073772493,3992899.617293432,6522971.793630182,7120145.2676949175,3537104.4233065075
1000.0,170.0,2.964399982455243e-38,22.061706219657548,4534575.54908282,4949712.7472382905,2458889.558305473,4017708.889426188,4385527.308880699,2178616.7921536374
1000.0,180.0,2.964399982455243e-38,25.24335045769071,2765169.4180037226,3018318.7309195567,1499422.853424554,2450639.7035968485,2674994.042658532,1328868.008288432
1000.0,190.0,2.964399982455243e-38,28.726704482838148,1672979.126963075,1826139.18788223,907178.8223673013,1483238.2003058945,1619027.6130099555,804291.1367855908
1000.0,200.0,2.964399982455243e-38,32.53554833890998,1007593.6733591063,1099838.164582123,546371.2172440224,893782.0483039819,975607.1654022338,484656.4628127226
1000.0,210.0,2.964399982455243e-38,36.69696039134394,610030.057503028,665877.8796687982,330790.9466741772,541499.9150792365,591073.8509667723,293630.23564155784
1000.0,220.0,2.964399982455243e-38,41.24199571422266,373411.1794028459,407596.7099115572,202483.5268592897,331758.32515998173,362130.56619575474,179897.11998111688
1000.0,230.0,2.964399982455243e-38,46.20655516353467,233549.8802939753,254931.20736314208,126643.24494814154,207720.19903396128,226736.83697369014,112637.00933531704
1000.0,240.0,2.964399982455243e-38,51.63251505055035,150378.47736164165,164145.5210637638,81543.25885103105,133905.13716106553,146164.05816876874,72610.53212254963
1000.0,250.0,2.964399982455243e-38,57.56921980754715,99709.80099063618,108838.16305315922,54067.99067802104,88895.30827674594,97033.61114715227,48203.79392471435
1000.0,260.0,2.964399982455243e-38,64.07549127918914,67571.83553501482,73757.98949244575,36641.06574786015,60315.567780104866,65837.41553462151,32706.329007521654
1000.0,270.0,2.964399982455243e-38,71.22239159763312,46102.352701702854,50322.99062509819,24999.1630847262,41202.12751906893,44974.15327785693,22341.998725128928
1000.0,280.0,2.964399982455243e-38,79.09711687425987,31070.700569117766,33915.20132544545,16848.19678747935,27806.41831846103,30352.076333531408,15078.128243109151
1000.0,290.0,2.964399982455243e-38,87.80864476240822,20299.795167683536,22158.227119654566,11007.635407828397,18198.718026573617,19864.797845907822,9868.318929902594
1000.0,300.0,2.964399982455243e-38,97.496210507563,12555.653349002576,13705.114571094362,6808.347238543651,11284.069642610832,12317.118271863937,6118.82649634531
1000.0,305.0,2.964399982455243e-38,102.76090481240851,9619.170162683171,10499.798417013322,5216.028891032424,8659.561910189539,9452.338704784357,4695.677937215454
1000.0,310.0,2.964399982455243e-38,108.34256349476745,7201.964742267327,7861.299542615745,3905.290740525241,6497.428859448938,7092.263895877363,3523.253677306819
1000.0,315.0,2.964399982455243e-38,114.274380200166,5250.760075680186,5731.463462890344,2847.243139629397,4750.373693434294,5185.267059734617,2575.906861932681
1000.0,320.0,2.964399982455243e-38,120.59578139773568,3711.4173006676597,4051.1949408696287,2012.5290996578156,3370.2543742059243,3678.7987887459035,1827.5323015060294
1000.0,325.0,2.964399982455243e-38,127.35419938229595,2528.80934747623,2760.320062386026,1371.2557729272517,2308.1889452611686,2519.502017714656,1251.6235829937323
1000.0,330.0,2.964399982455243e-38,134.6075517817226,1652.5132621379262,1803.7996875449196,896.08113510296,1519.1703501465768,1658.2493258642212,823.7754715583551
