detector,delta_keV,ER_rejection,f2_90_C_1yr,f2_90_H_1yr,f2_sys_C_eps1e3,f2_sys_H_eps1e3,f2_P058,ratio_C_over_LZ,ratio_H_over_LZ,S_C_f2eq1,B_C_window,S_H_f2eq1,B_H_window,rej_needed_to_match_LZ_C,rej_needed_to_match_LZ_H
SNO+,300.0,0.0001,0.00030274116196159673,0.6936455501850102,0.00012412088200065515,0.2628064325714511,0.0028,0.10812184355771312,247.73055363750365,2218818.8427471924,2754017517.6145444,894.9128026582929,2351888411.2914495,0.008554076221383483,1.6294493056904488e-09
SNO+,350.0,1.0,0.0005737855886277129,1.2366208327852728,0.02375001278747349,47.10729386384343,5.7e-05,10.06641383557391,21695.102329566187,118191029.27188626,2807038456.5719523,50470.194511529466,2377514284.2199564,0.009868483947105908,2.124597148087483e-09
SNO+,350.0,0.01,5.7378558862771285e-05,0.12366208327852729,0.00023750012787473492,0.47107293863843436,5.7e-05,1.0066413835573909,2169.510232956619,118191029.27188626,2807038456.5719523,50470.194511529466,2377514284.2199564,0.009868483947105908,2.124597148087483e-09
SNO+,350.0,0.0001,5.737855886277129e-06,0.01236620832785273,2.3750012787473493e-06,0.004710729386384343,5.7e-05,0.10066413835573909,216.9510232956619,118191029.27188626,2807038456.5719523,50470.194511529466,2377514284.2199564,0.009868483947105908,2.124597148087483e-09
SNO+,366.0,1.0,4.680331918884416e-05,0.09851796949052072,0.0019387094041895413,3.738121268457716,4.8e-06,9.750691497675867,20524.576977191817,1450037886.1534834,2811202086.3168817,631018.9782619961,2358825463.4416246,0.010517903162778378,2.373840692832968e-09
SNO+,366.0,0.01,4.680331918884416e-06,0.00985179694905207,1.9387094041895415e-05,0.03738121268457716,4.8e-06,0.9750691497675866,2052.4576977191814,1450037886.1534834,2811202086.3168817,631018.9782619961,2358825463.4416246,0.010517903162778378,2.373840692832968e-09
SNO+,366.0,0.0001,4.680331918884416e-07,0.0009851796949052073,1.9387094041895417e-07,0.0003738121268457717,4.8e-06,0.09750691497675867,205.2457697719182,1450037886.1534834,2811202086.3168817,631018.9782619961,2358825463.4416246,0.010517903162778378,2.373840692832968e-09
SNO+,380.0,1.0,1.481765423049954e-06,0.00305741001567698,6.141245634393263e-05,0.11559168270939599,1.7e-07,8.716267194411495,17984.764798099885,45826585029.75515,2814323152.5313544,20259986.768033538,2341885962.1870937,0.013162516545940464,3.091651085859659e-09
SNO+,380.0,0.01,1.4817654230499539e-07,0.00030574100156769796,6.141245634393263e-07,0.0011559168270939598,1.7e-07,0.8716267194411494,1798.4764798099882,45826585029.75515,2814323152.5313544,20259986.768033538,2341885962.1870937,0.013162516545940464,3.091651085859659e-09
SNO+,380.0,0.0001,1.4817654230499537e-08,3.05741001567698e-05,6.141245634393263e-09,1.1559168270939599e-05,1.7e-07,0.08716267194411494,179.84764798099886,45826585029.75515,2814323152.5313544,20259986.768033538,2341885962.1870937,0.013162516545940464,3.091651085859659e-09
JUNO,300.0,1.0,0.005978658908725644,13.698402031757993,1.2412088200065512,2628.0643257145107,0.0028,2.135235324544873,4892.286439913569,56892790.83967161,70615833784.98833,22946.48211944341,60304831058.75513,0.2193352877277817,4.1780751427960226e-08
JUNO,300.0,0.01,0.0005978658908725644,1.3698402031757992,0.012412088200065514,26.280643257145105,0.0028,0.21352353245448727,489.2286439913569,56892790.83967161,70615833784.98833,22946.48211944341,60304831058.75513,0.2193352877277817,4.1780751427960226e-08
JUNO,300.0,0.0001,5.978658908725643e-05,0.13698402031757995,0.00012412088200065513,0.2628064325714511,0.0028,0.021352353245448725,48.9228643991357,56892790.83967161,70615833784.98833,22946.48211944341,60304831058.75513,0.2193352877277817,4.1780751427960226e-08
JUNO,350.0,1.0,0.00011331357450436901,0.24421304690589965,0.023750012787473497,47.10729386384344,5.7e-05,1.9879574474450703,4284.439419401748,3030539212.099648,71975345040.30649,1294107.5515776786,60961904723.58864,0.2530380499257926,5.44768499509611e-08
JUNO,350.0,0.01,1.1331357450436902e-05,0.024421304690589965,0.00023750012787473492,0.47107293863843447,5.7e-05,0.19879574474450704,428.4439419401748,3030539212.099648,71975345040.30649,1294107.5515776786,60961904723.58864,0.2530380499257926,5.44768499509611e-08
JUNO,350.0,0.0001,1.1331357450436901e-06,0.0024421304690589968,2.3750012787473498e-06,0.004710729386384344,5.7e-05,0.0198795744744507,42.84439419401748,3030539212.099648,71975345040.30649,1294107.5515776786,60961904723.58864,0.2530380499257926,5.44768499509611e-08
JUNO,366.0,1.0,9.242914951281349e-06,0.019455740083298596,0.0019387094041895415,3.7381212684577165,4.8e-06,1.9256072815169476,4053.279184020541,37180458619.32009,72082104777.35596,16179973.801589642,60482704190.8109,0.26968982468662506,6.086771007264019e-08
JUNO,366.0,0.01,9.242914951281349e-07,0.0019455740083298596,1.9387094041895415e-05,0.03738121268457717,4.8e-06,0.19256072815169478,405.3279184020541,37180458619.32009,72082104777.35596,16179973.801589642,60482704190.8109,0.26968982468662506,6.086771007264019e-08
JUNO,366.0,0.0001,9.242914951281349e-08,0.00019455740083298599,1.9387094041895417e-07,0.0003738121268457717,4.8e-06,0.01925607281516948,40.53279184020541,37180458619.32009,72082104777.35596,16179973.801589642,60482704190.8109,0.26968982468662506,6.086771007264019e-08
JUNO,380.0,1.0,2.9262522445768396e-07,0.0006037900994174339,6.141245634393264e-05,0.11559168270939602,1.7e-07,1.7213248497510822,3551.706467161376,1175040641788.5938,72162132116.1886,519486840.20598817,60048358004.797295,0.33750042425488375,7.927310476563228e-08
JUNO,380.0,0.01,2.9262522445768398e-08,6.037900994174338e-05,6.141245634393264e-07,0.0011559168270939603,1.7e-07,0.17213248497510825,355.1706467161375,1175040641788.5938,72162132116.1886,519486840.20598817,60048358004.797295,0.33750042425488375,7.927310476563228e-08
JUNO,380.0,0.0001,2.92625224457684e-09,6.037900994174339e-06,6.141245634393264e-09,1.1559168270939602e-05,1.7e-07,0.017213248497510825,35.51706467161376,1175040641788.5938,72162132116.1886,519486840.20598817,60048358004.797295,0.33750042425488375,7.927310476563228e-08
