m_GeV,delta_keV,sigma_p_N1_cm2,eps2alphaD_over_mA4_GeV_m4,m_A_GeV,S_propagator,alpha_D_label,alpha_D,eps_required,eps_over_babar
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,0.3,0.4950126603212958,alpha_D=thermal,0.07347859393541883,6.47128811398495e-08,6.47128811398495e-05
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,1.0,0.9257478147395207,alpha_D=0.1,0.1,4.5070300168080396e-07,0.00045070300168080393
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,1.0,0.9257478147395207,alpha_D=thermal,0.07347859393541883,5.257872274221228e-07,0.0005257872274221228
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,3.0,1.0080820638910228,alpha_D=0.1,0.1,3.887150573156496e-06,0.003887150573156496
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,3.0,1.0080820638910228,alpha_D=thermal,0.07347859393541883,4.534724896018633e-06,0.004534724896018633
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,10.0,0.9987870275780603,alpha_D=0.1,0.1,4.3391069202891754e-05,0.043391069202891756
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,10.0,0.9987870275780603,alpha_D=thermal,0.07347859393541883,5.0619742681961405e-05,0.050619742681961406
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,0.3,0.44493095019659934,alpha_D=0.1,0.1,1.4229324397462784e-07,0.00014229324397462784
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,0.3,0.44493095019659934,alpha_D=thermal,0.07347859393541883,1.6599838463757397e-07,0.00016599838463757398
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,1.0,0.9149683446019208,alpha_D=0.1,0.1,1.1025163663679665e-06,0.0011025163663679663
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,1.0,0.9149683446019208,alpha_D=thermal,0.07347859393541883,1.2861885128306131e-06,0.001286188512830613
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,3.0,1.0018253277463016,alpha_D=0.1,0.1,9.482756207789699e-06,0.009482756207789699
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,3.0,1.0018253277463016,alpha_D=thermal,0.07347859393541883,1.1062522495345577e-05,0.011062522495345577
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,10.0,0.9987870275780603,alpha_D=0.1,0.1,0.00010552409422755352,0.10552409422755352
3000.0,300.0,1.3975590987255382e-41,1.1121827608933452e-13,10.0,0.9987870275780603,alpha_D=thermal,0.07347859393541883,0.0001231037306679187,0.1231037306679187
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,0.3,0.402986755459621,alpha_D=0.1,0.1,5.652477085895351e-07,0.0005652477085895351
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,0.3,0.402986755459621,alpha_D=thermal,0.07347859393541883,6.594143469150492e-07,0.0006594143469150492
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,1.0,0.9034554767390134,alpha_D=0.1,0.1,4.194578341000401e-06,0.0041945783410004015
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,1.0,0.9034554767390134,alpha_D=thermal,0.07347859393541883,4.893368155736031e-06,0.004893368155736031
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,3.0,0.9951429049956704,alpha_D=0.1,0.1,3.5970085606573625e-05,0.035970085606573624
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,3.0,0.9951429049956704,alpha_D=thermal,0.07347859393541883,4.19624708748024e-05,0.0419624708748024
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,10.0,0.9987870275780603,alpha_D=0.1,0.1,0.0003989378483147185,0.3989378483147185
3000.0,350.0,1.997456811212717e-40,1.5895836055059426e-12,10.0,0.9987870275780603,alpha_D=thermal,0.07347859393541883,0.0004653983319323366,0.4653983319323366
