m_GeV,delta_keV,halo,eff_sigma_keV,N_p,N_p_lo,N_p_hi,N_p_noeff,N_iso,N_iso_lo,N_iso_hi,N_iso_noeff,N_hig,N_hig_lo,N_hig_hi,N_hig_noeff
300.0,245.0,sun,11.5,14837.83159298055,0.0,2499.522942297414,15515.274115943612,66127.26723822771,0.0,6194.960728984123,69499.53123404506,4391.5656941632005,0.0,198.19711448519607,4686.853517265258
300.0,245.0,sun,15.0,14823.984088873858,0.0,2485.071602410675,15515.274115943612,66121.39098719768,0.0,6179.234977676756,69499.53123404506,4393.364430694144,0.0,197.35731783968976,4686.853517265258
300.0,250.0,june16,8.0,17997.09689245887,0.0,3116.996033345009,18817.124617196943,79568.63098978071,0.0,7680.859252395265,83765.96439152671,5249.601796411245,0.0,246.63355919373305,5627.958039532907
300.0,250.0,june16,11.5,17985.276019575438,0.0,3104.101619248257,18817.124617196943,79568.96285607357,0.0,7670.825583891254,83765.96439152671,5251.685904291588,0.0,245.36862505273433,5627.958039532907
300.0,250.0,june16,15.0,17967.593675706077,0.0,3085.6055898106156,18817.124617196943,79562.12246094867,0.0,7650.72593415236,83765.96439152671,5254.158767641224,0.0,244.29487587225367,5627.958039532907
300.0,250.0,annual,8.0,12254.399319933214,0.0,2182.0652932832045,12809.768977299307,54630.77324087438,0.0,5385.114454583797,57463.20174856207,3622.792908499919,0.0,172.80579842180788,3875.421368628471
300.0,250.0,annual,11.5,12246.367620800458,0.0,2173.3346232544823,12809.768977299307,54630.86792215223,0.0,5378.333642501151,57463.20174856207,3624.138531521873,0.0,171.9374387719316,3875.421368628471
300.0,250.0,annual,15.0,12234.275768495265,0.0,2160.7143924288234,12809.768977299307,54625.850796577695,0.0,5364.622626027115,57463.20174856207,3625.724243789574,0.0,171.19845878784344,3875.421368628471
300.0,250.0,sun,8.0,11193.12577749998,0.0,2024.9058028544462,11699.641063388557,50112.67361685308,0.0,4999.77018107127,52696.75114263386,3334.12892223709,0.0,160.4081528497584,3564.134143689519
300.0,250.0,sun,11.5,11185.746992691204,0.0,2016.8949953694964,11699.641063388557,50112.71707742693,0.0,4993.552588699045,52696.75114263386,3335.341909786866,0.0,159.60755681839996,3564.134143689519
300.0,250.0,sun,15.0,11174.61336708089,0.0,2005.2841148598043,11699.641063388557,50107.98530142375,0.0,4980.939123414778,52696.75114263386,3336.76729844633,0.0,158.92565734912418,3564.134143689519
300.0,255.0,june16,8.0,13810.266783991494,0.0,2556.556982885107,14439.374880368137,61311.45673697403,0.0,6290.174196870239,64546.986084920085,4053.137466425339,0.0,201.74491141812985,4347.912022603105
300.0,255.0,june16,11.5,13800.58095573567,0.0,2545.999025654521,14439.374880368137,61311.78605890678,0.0,6281.969148919748,64546.986084920085,4054.8421463052287,0.0,200.6998646585406,4347.912022603105
300.0,255.0,june16,15.0,13786.068653842907,0.0,2530.825370348444,14439.374880368137,61306.20142989292,0.0,6265.503835268548,64546.986084920085,4056.86172592526,0.0,199.8133164100008,4347.912022603105
300.0,255.0,annual,8.0,9254.68962433378,0.0,1743.4696981319505,9673.465718942849,41294.97174925909,0.0,4295.797441084683,43430.29514216045,2731.6822699832337,0.0,137.65620633392953,2923.002061867362
300.0,255.0,annual,11.5,9248.29903461814,0.0,1736.5308809259577,9673.465718942849,41295.080532926404,0.0,4290.417399722535,43430.29514216045,2732.7451672029474,0.0,136.9579656169649,2923.002061867362
300.0,255.0,annual,15.0,9238.6534228671,0.0,1726.4706838636328,9673.465718942849,41291.07612652838,0.0,4279.506478079,43430.29514216045,2733.9946830847284,0.0,136.3640341491525,2923.002061867362
300.0,255.0,sun,8.0,8416.870396647431,0.0,1603.6960170916232,8796.880677809773,37681.261813784375,0.0,3953.450260243049,39615.35676125104,2496.573151741219,0.0,126.6481075104356,2668.9714018585037
300.0,255.0,sun,11.5,8411.06208758155,0.0,1597.3991690115045,8796.880677809773,37681.32181027968,0.0,3948.5722360680306,39615.35676125104,2497.51727336836,0.0,126.01051839736797,2668.9714018585037
300.0,255.0,sun,15.0,8402.271243108715,0.0,1588.2393375596687,8796.880677809773,37677.56819388289,0.0,3938.6395984780875,39615.35676125104,2498.623254001814,0.0,125.46764480783452,2668.9714018585037
300.0,260.0,june16,8.0,10597.597060452448,0.0,2072.347826901691,11083.46384041934,47080.05049072001,0.0,5090.610002631051,49601.13292886031,3104.53485479904,0.0,163.161059749969,3336.4212832441212
300.0,260.0,june16,11.5,10589.740641902232,0.0,2063.792271393775,11083.46384041934,47080.35538794333,0.0,5083.989338540044,49601.13292886031,3105.902719359012,0.0,162.3041855522481,3336.4212832441212
300.0,260.0,june16,15.0,10577.959159868347,0.0,2051.4802904971016,11083.46384041934,47075.84942271737,0.0,5070.677802134345,49601.13292886031,3107.5215796629072,0.0,161.5766563723614,3336.4212832441212
300.0,260.0,annual,8.0,6935.772878530739,0.0,1370.6803961081946,7250.9142960180925,30838.82120035437,0.0,3371.454359354,32449.088306951588,2025.1695241206285,0.0,107.9394489680751,2169.931263553615
300.0,260.0,annual,11.5,6930.762391568356,0.0,1365.2482299999053,7250.9142960180925,30838.926497869845,0.0,3367.26482231404,32449.088306951588,2025.9869727331975,0.0,107.3842988298196,2169.931263553615
300.0,260.0,annual,15.0,6923.186363347546,0.0,1357.3531597081137,7250.9142960180925,30835.78095564189,0.0,3358.739457414013,32449.088306951588,2026.9460009340437,0.0,106.91148743737507,2169.931263553615
300.0,260.0,sun,8.0,6261.156936918376,0.0,1246.8362379084942,6544.630208235575,27885.7033859584,0.0,3068.452843703334,29326.40298182684,1829.9732027876566,0.0,98.199093357678,1958.3182201716666
300.0,260.0,sun,11.5,6256.664387903923,0.0,1241.9750390408217,6544.630208235575,27885.762926040345,0.0,3064.708907350049,29326.40298182684,1830.6849796959648,0.0,97.69814252916169,1958.3182201716666
300.0,260.0,sun,15.0,6249.848462647384,0.0,1234.8806087338103,6544.630208235575,27882.8367758092,0.0,3057.0518362365765,29326.40298182684,1831.5162810304053,0.0,97.27096544628513,1958.3182201716666
300.0,265.0,june16,8.0,8072.19646325609,0.0,1653.4505116699845,8444.207151839206,35716.7352917939,0.0,4055.6126405877553,37653.14515451995,2337.004469336319,0.0,129.91994941123903,2516.059883144836
300.0,265.0,june16,11.5,8065.941532742087,0.0,1646.64747494182,8444.207151839206,35717.02771601131,0.0,4050.3641896157055,37653.14515451995,2338.083288660345,0.0,129.2263342716853,2516.059883144836
300.0,265.0,june16,15.0,8056.549714649307,0.0,1636.8390035569414,8444.207151839206,35713.47086597052,0.0,4039.7917620177595,37653.14515451995,2339.360616107109,0.0,128.63878290860148,2516.059883144836
300.0,265.0,annual,8.0,5109.614264584756,0.0,1054.4518280364616,5342.454095061352,22518.66961741647,0.0,2589.465435677931,23703.56529275867,1460.1654330068452,0.0,82.83874380081852,1566.6347372485689
300.0,265.0,annual,11.5,5105.785422203403,0.0,1050.3086930493203,5342.454095061352,22518.779005120294,0.0,2586.2830316927943,23703.56529275867,1460.7781525246191,0.0,82.4053277464805,1566.6347372485689
300.0,265.0,annual,15.0,5099.981832989762,0.0,1044.2668458995606,5342.454095061352,22516.376711050223,0.0,2579.783832298635,23703.56529275867,1461.4968982722123,0.0,82.03708508655225,1566.6347372485689
300.0,265.0,sun,8.0,4556.621033253604,0.0,945.3085461349285,4763.168214235338,20064.90336287654,0.0,2322.6906972364723,21105.275568813504,1296.2408059723039,0.0,74.26404712044294,1388.4232139316011
300.0,265.0,sun,11.5,4553.249945779131,0.0,941.6699354309079,4763.168214235338,20064.969380160608,0.0,2319.9015547560934,21105.275568813504,1296.7599507440002,0.0,73.87888056413728,1388.4232139316011
300.0,265.0,sun,15.0,4548.117999232525,0.0,936.3355272579389,4763.168214235338,20062.757000381032,0.0,2314.1684638518964,21105.275568813504,1297.3654945712158,0.0,73.55119913663985,1388.4232139316011
