m_GeV,delta_keV,halo,eff_sigma_keV,N_p_unit,N_iso_unit,N_hig,N_lo_per_event,frac_hi,N_lo_per_hi_event,delta_max_248keV_june,sigma_p_N1_cm2,sigma_p_N0p3_cm2,sigma_p_N3_cm2,sigma_p_N0p105_cm2,sigma_p_N3p65_cm2,sigma_p_higgsino_equiv_cm2,effective_A_over_Z_sq
300.0,315.0,june16,11.5,9.764000175895246,25.917049076602527,0.9943618054468876,0.0,0.5655899587740392,0.0,315.7939536557191,3.0226528445754737e-39,9.06795853372642e-40,9.067958533726421e-39,3.1737854868042468e-40,1.1032682882700476e-38,3.0056105397712377e-39,2.654347461052379
300.0,320.0,june16,11.5,0.9537369530233848,2.0201491872361177,0.0626229171296207,0.0,0.7412957712103717,0.0,315.7939536557191,3.0944782848716515e-38,9.283434854614955e-39,9.283434854614955e-38,3.249202199115234e-39,1.1294845739781528e-37,1.9378525719292824e-39,2.1181408362464755
300.0,200.0,june16,15.0,343835.6004072944,1496181.1496893766,91977.74451571914,0.23986061854057317,0.04187322584207365,5.7282574656468075,315.7939536557191,8.583515747393524e-44,2.575054724218057e-44,2.5750547242180576e-43,9.0126915347632e-45,3.132983247798636e-43,7.894924184604136e-39,4.35144338723814
300.0,205.0,june16,15.0,254234.85617481708,1098382.515867655,67443.27941587174,0.18514526727287028,0.04973951783936157,3.7222971857269354,315.7939536557191,1.160862965454718e-43,3.482588896364154e-44,3.482588896364154e-43,1.218906113727454e-44,4.2371498239097204e-43,7.829240534270002e-39,4.320345889598965
300.0,210.0,june16,15.0,186976.16220498536,803374.4886310779,49397.13463445109,0.13278964206080632,0.059122841548357376,2.245995601415671,315.7939536557191,1.5784462873801714e-43,4.735338862140514e-44,4.735338862140515e-43,1.6573686017491799e-44,5.7613289489376254e-43,7.79707237709678e-39,4.296667977120655
300.0,215.0,june16,15.0,137580.81154670415,588832.779964433,36336.01141554713,0.0857492473305868,0.07004379273729082,1.2242233605510415,315.7939536557191,2.145152552475418e-43,6.435457657426254e-44,6.4354576574262544e-43,2.2524101800991887e-44,7.829806816535275e-43,7.794628763483686e-39,4.27990483080225
300.0,220.0,june16,15.0,101286.56272367857,432921.81104810594,26888.25923742243,0.04724012436981914,0.0823969764259441,0.5733235176690875,315.7939536557191,2.913830039491078e-43,8.741490118473234e-44,8.741490118473236e-43,3.059521541465632e-44,1.0635479644142434e-42,7.834781747562494e-39,4.274227492833049
300.0,225.0,june16,15.0,74732.60316424607,319863.03084580664,20049.868266476875,0.020154628486936287,0.09624713595601453,0.20940496864391955,315.7939536557191,3.9491709985321405e-43,1.1847512995596421e-43,1.1847512995596423e-42,4.146629548458747e-44,1.4414474144642312e-42,7.918035828236037e-39,4.2801002146655724
300.0,230.0,june16,15.0,55330.55637362307,237761.97281368764,15071.431521145769,0.005390219289708134,0.11148742531249872,0.04834822648921504,315.7939536557191,5.333975445107684e-43,1.6001926335323049e-43,1.6001926335323052e-42,5.600674217363067e-44,1.9469010374643043e-42,8.039064565641347e-39,4.297118778422992
300.0,235.0,june16,15.0,41288.52650451433,178556.4679598096,11457.730903440874,0.0006561883129230279,0.12711720420629768,0.00516207319866872,315.7939536557191,7.148034915433063e-43,2.144410474629919e-43,2.144410474629919e-42,7.505436661204716e-44,2.609032744133068e-42,8.190026054943177e-39,4.324602573072859
300.0,240.0,june16,15.0,31033.807148176173,135299.40478556717,8786.279193131164,2.5403289350177377e-05,0.14297076165390105,0.00017768170957690516,315.7939536557191,9.5100104106433e-43,2.85300312319299e-43,2.8530031231929904e-42,9.985510931175464e-44,3.471153799884804e-42,8.355760659749599e-39,4.359742397687697
300.0,245.0,june16,15.0,23527.181102564136,103409.86704212632,6781.6560713368135,0.0,0.15783301817891396,0.0,315.7939536557191,1.2544291973375705e-42,3.7632875920127116e-43,3.763287592012712e-42,1.317150657204449e-43,4.578666570282132e-42,8.507107382186501e-39,4.395336040952908
300.0,250.0,june16,15.0,17967.593675706077,79562.12246094867,5254.158767641224,0.0,0.17173171018346506,0.0,315.7939536557191,1.6425784909645337e-42,4.927735472893601e-43,4.9277354728936015e-42,1.7247074155127603e-43,5.995411492020547e-42,8.630368179840196e-39,4.42809003236334
300.0,255.0,june16,15.0,13786.068653842907,61306.20142989292,4056.86172592526,0.0,0.18357846851741658,0.0,315.7939536557191,2.1407976158510062e-42,6.422392847553019e-43,6.422392847553019e-42,2.2478374966435564e-43,7.813911297856172e-42,8.684919910697996e-39,4.446967657658054
300.0,260.0,june16,15.0,10577.959159868347,47075.84942271737,3107.5215796629072,0.0,0.19393913887285552,0.0,315.7939536557191,2.79006398682981e-42,8.37019196048943e-43,8.37019196048943e-42,2.9295671861713e-43,1.0183733551928806e-41,8.67018404771396e-39,4.450371637027882
300.0,265.0,june16,15.0,8056.549714649307,35713.47086597052,2339.360616107109,0.0,0.2031687337050326,0.0,315.7939536557191,3.66325337165624e-42,1.0989760114968718e-42,1.0989760114968719e-41,3.846416040239051e-43,1.3370874806545272e-41,8.569670664474184e-39,4.432849312781171
300.0,270.0,june16,15.0,6047.4206547505655,26564.76832182327,1718.0441155083352,0.0,0.2123346441495704,0.0,315.7939536557191,4.8802927051090843e-42,1.4640878115327254e-42,1.4640878115327254e-41,5.124307340364538e-43,1.7813068373648157e-41,8.384558163970917e-39,4.3927435907662975
300.0,275.0,june16,15.0,4433.92262831526,19196.142488531696,1219.39834955262,0.0,0.22179093458612434,0.0,315.7939536557191,6.656224156378478e-42,1.9968672469135433e-42,1.9968672469135437e-41,6.989035364197401e-43,2.429521817078144e-41,8.116588750540197e-39,4.329381474982024
300.0,280.0,june16,15.0,3140.2128892459327,13323.147272284068,826.804025915462,0.0,0.23245522897496723,0.0,315.7939536557191,9.398465628612926e-42,2.8195396885838777e-42,2.819539688583878e-41,9.868388910043572e-43,3.430439954443718e-41,7.770689219165261e-39,4.242752877650721
300.0,285.0,june16,15.0,2127.710245340619,8787.794179829883,529.3757756944082,0.0,0.2472496094298757,0.0,315.7939536557191,1.3870865626903302e-41,4.1612596880709904e-42,4.161259688070991e-41,1.4564408908248466e-42,5.062865953819705e-41,7.342900250794839e-39,4.130164903362145
300.0,290.0,june16,15.0,1348.1101921125053,5383.874702749159,312.8203165833681,0.0,0.2657594915397125,0.0,315.7939536557191,2.189226302032304e-41,6.567678906096912e-42,6.567678906096912e-41,2.298687617133919e-42,7.990676002417908e-41,6.848344648743816e-39,3.9936458712715175
