m_GeV,delta_keV,halo,eff_sigma_keV,N_p_unit,N_iso_unit,N_hig,N_lo_per_event,frac_hi,N_lo_per_hi_event,delta_max_248keV_june,sigma_p_N1_cm2,sigma_p_N0p3_cm2,sigma_p_N3_cm2,sigma_p_N0p105_cm2,sigma_p_N3p65_cm2,sigma_p_higgsino_equiv_cm2,effective_A_over_Z_sq
300.0,265.0,june16,11.5,8065.941532742087,35717.02771601131,2338.083288660345,0.0,0.20414820368553155,0.0,315.7939536557191,3.658987954016563e-42,1.0976963862049688e-42,1.097696386204969e-41,3.841937351717391e-43,1.3355306032160454e-41,8.555018588695632e-39,4.42812876476046
300.0,270.0,june16,11.5,6054.782516079772,26567.548879037873,1717.0592346525104,0.0,0.2133451361856932,0.0,315.7939536557191,4.874358877090401e-42,1.4623076631271202e-42,1.4623076631271202e-41,5.11807682094492e-43,1.779140990137996e-41,8.369562922918513e-39,4.387861794950035
300.0,275.0,june16,11.5,4439.556545559061,19198.249324201,1218.6582398915025,0.0,0.22283228483124587,0.0,315.7939536557191,6.647777228026876e-42,1.9943331684080627e-42,1.9943331684080629e-41,6.980166089428219e-43,2.426438688229809e-41,8.101368495898043e-39,4.324361932816291
300.0,280.0,june16,11.5,3144.3919016268496,13324.7006427496,826.2700805482698,0.0,0.23352967772094216,0.0,315.7939536557191,9.385974722436989e-42,2.815792416731097e-42,2.815792416731097e-41,9.855273458558838e-43,3.425880773689501e-41,7.755350089932035e-39,4.237608116168868
300.0,285.0,june16,11.5,2130.696666785102,8788.893202490939,529.0077679024234,0.0,0.24835978644638587,0.0,315.7939536557191,1.3851423980794087e-41,4.1554271942382257e-42,4.1554271942382263e-41,1.454399517983379e-42,5.055769752989841e-41,7.32751088234998e-39,4.124891796893851
300.0,290.0,june16,11.5,1350.1368627580669,5384.608437515497,312.5826252267506,0.0,0.26691719375768647,0.0,315.7939536557191,2.1859400865343014e-41,6.557820259602904e-42,6.557820259602905e-41,2.2952370908610163e-42,7.978681315850199e-41,6.832868908372824e-39,3.9881945201583413
300.0,295.0,june16,11.5,782.3125610165713,2988.3982551881336,165.7240941258544,0.0,0.29569806762726203,0.0,315.7939536557191,3.772556440581046e-41,1.1317669321743138e-41,1.131766932174314e-40,3.961184262610098e-42,1.3769831008120818e-40,6.252034986539516e-39,3.8199543304083954
300.0,300.0,june16,11.5,397.78332379117734,1440.6586399088696,75.52415387360828,0.0,0.3315470922814104,0.0,315.7939536557191,7.419411810636537e-41,2.225823543190961e-41,2.2258235431909612e-40,7.790382401168362e-42,2.7080853108823357e-40,5.603447992381805e-39,3.621717034737148
300.0,305.0,june16,11.5,166.26670133831703,559.5235757333218,27.148767246219055,0.0,0.39217415605906697,0.0,315.7939536557191,1.7750507268471153e-40,5.325152180541345e-41,5.325152180541346e-40,1.8638032631894708e-41,6.47893515299197e-40,4.8190439033404284e-39,3.36521727579602
300.0,310.0,june16,11.5,50.89142293534981,155.2566834855712,6.8128380194217195,0.0,0.4710242997609576,0.0,315.7939536557191,5.799244981535969e-40,1.7397734944607905e-40,1.7397734944607907e-39,6.089207230612767e-41,2.1167244182606283e-39,3.9509316694148854e-39,3.050743613178243
