UTC_hour,apex_alt_deg,apex_az_deg
1.291666666666666607e+01,6.496144117795348905e+01,2.810645407296670442e+02
1.300000000000000000e+01,6.408260410829289810e+01,2.815716338615019367e+02
1.308333333333333215e+01,6.320535551250428341e+01,2.820771805542627817e+02
1.316666666666666607e+01,6.232975958347761747e+01,2.825815466861959067e+02
1.325000000000000000e+01,6.145588056925846132e+01,2.830850605297397919e+02
1.333333333333333215e+01,6.058378377015886684e+01,2.835880180081754247e+02
1.341666666666666607e+01,5.971353465404102678e+01,2.840906880125474459e+02
1.350000000000000000e+01,5.884519984040353791e+01,2.845933158211116165e+02
1.358333333333333215e+01,5.797884632824591478e+01,2.850961268716157520e+02
1.366666666666666607e+01,5.711454189008649251e+01,2.855993293250567149e+02
1.375000000000000000e+01,5.625235545911527879e+01,2.861031161927182893e+02
1.383333333333333215e+01,5.539235635761424703e+01,2.866076677800361381e+02
1.391666666666666607e+01,5.453461525945120059e+01,2.871131528215931894e+02
1.400000000000000000e+01,5.367920330411082830e+01,2.876197304524827132e+02
1.408333333333333215e+01,5.282619305244004693e+01,2.881275508911010093e+02
1.416666666666666607e+01,5.197565760399118773e+01,2.886367570360613399e+02
1.425000000000000000e+01,5.112767154637368350e+01,2.891474848300586018e+02
1.433333333333333215e+01,5.028231018992106272e+01,2.896598645236629181e+02
1.441666666666666607e+01,4.943964994485979503e+01,2.901740211536970833e+02
1.450000000000000000e+01,4.859976869178922243e+01,2.906900749287982535e+02
1.458333333333333215e+01,4.776274502442679193e+01,2.912081422299045244e+02
1.466666666666666607e+01,4.692865918302598516e+01,2.917283355082581693e+02
1.475000000000000000e+01,4.609759218874927456e+01,2.922507642362108982e+02
1.483333333333333215e+01,4.526962677035476190e+01,2.927755346948916326e+02
1.491666666666666607e+01,4.444484650445467366e+01,2.933027508375628258e+02
1.500000000000000000e+01,4.362333673540351953e+01,2.938325139917138813e+02
1.508333333333333215e+01,4.280518383009403749e+01,2.943649235860959834e+02
1.516666666666666607e+01,4.199047554436685914e+01,2.949000771421692093e+02
1.525000000000000000e+01,4.117930137811706715e+01,2.954380702350954380e+02
