case,n_mc,mean_cos_gamma,A_FB,frac_gamma_lt30,frac_gamma_lt60,mean_cos2_gamma,gamma_median_deg,gamma_90pct_deg,thetaR_median_deg,thetaR_max_deg,mean_cos_obs,A_FB_obs,mean_cos2_axial_obs,N3_ideal_dipole,N3_ideal_FB,N3_obs_dipole,N3_obs_FB,N3_obs_axial,N5_obs_dipole,vmin_kms,frac_halo_above_vmin,n_eff,thetaR_max_analytic_deg,E_median_keV,E_10_keV,E_90_keV
Sun Xe E=248 delta=300,12662,0.8892637304304223,1.0,0.6603723107405244,1.0,0.7982443730539628,24.54097784909502,40.287732469925785,14.062317815781762,27.59989295056556,0.31169811433246153,0.39579948298488943,0.6522062871218481,3.7936747648597824,9.0,30.878266050594398,57.45026870446884,7.867823657920881,85.77296125165111,703.7278975777916,0.005206184701690038,12662.0,27.66333515802876,,,
Sun Xe E=248 delta=350,4161,0.95708291616637,1.0,0.9845450834698254,1.0,0.9171425959278383,15.252985394364085,24.95232220136468,8.408155623215162,15.7874035427814,0.3167790499247168,0.37524869173591785,0.7301168230439758,3.2750816095016733,9.0,29.895674120976718,63.91519758876319,5.081393193828727,83.04353922493533,764.5669703550092,0.00041460419793151385,4161.0,15.790916787773622,,,
Sun Xe E=248 delta=366,1490,0.980740101379324,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9620837196551328,10.085552187794459,16.66085329554895,5.066971585763158,9.302695158928932,0.28569649439037326,0.3326478066924009,0.7598375649047318,3.118985729820461,8.999999999999996,36.75457724560715,81.33419654661866,4.397879221628606,102.09604790446431,784.0354736437185,4.735544552981757e-05,1490.0,9.33259456114215,,,
Sun I E=248 delta=0,73268,0.5860523735254259,0.8730971669499648,0.21951730753438908,0.6642277373824333,0.44985618050037757,48.63940417580163,83.23684099640816,36.55003230968993,64.34453530859574,0.198580127569433,0.297527910104158,0.4135525699931635,8.734708104291332,11.806396150999106,76.07635284023802,101.66865683537206,124.31769147437106,211.3232023339945,343.34658487300493,0.5090119532215356,73268.0,64.39745834817765,,,
Sun I E=248 delta=300,11118,0.9016185171692066,1.0,0.7115428765252026,1.0,0.8187032375156476,23.160028932293383,37.936485276185444,13.397843052406202,25.82106329446659,0.30796051421509074,0.3860583503269953,0.6637815859527476,3.690418422895919,9.0,31.632329983407427,60.38604806275227,7.32627249016023,87.86758328724287,714.7793865165702,0.00378237778528524,11118.0,25.894463759436444,,,
Sun I E=248 delta=350,2440,0.9722151645762886,1.0,1.0,1.0,0.945687255072045,12.231947470999483,19.97041445596177,6.472481802686317,12.085173497765249,0.2871120922885897,0.3391525800560993,0.7479724493030031,3.1739236317361033,9.0,36.393035964562515,78.24421881531666,4.6531756546019425,101.0917665682292,776.6848534571643,0.00013668475435393593,2440.0,12.17382002739561,,,
June F L10 elastic E>20 keV,38301,0.6996572329901409,0.9509251682868685,0.3411658270278505,0.8015564438978143,0.5626601324716667,39.10624291423993,71.25383991495568,27.673939761948162,72.93009206538085,0.24526428701137287,0.34726288566101254,0.4909386487050067,6.1284493108505025,9.952904231986496,49.87152224514655,74.6321185365834,32.2068511639416,138.5320062365182,,,,,80.63804145425146,38.0736326392118,144.10552527561862
June F L10 elastic E>50 keV,15052,0.7297672182905105,0.9763817759827458,0.3601381497048264,0.8416092869624241,0.5880435784435396,37.46862877578414,66.60842295913947,25.762024946230802,61.93058979517198,0.24324047472238342,0.341247913016389,0.5042423577124426,5.633166053421815,9.440677886692082,50.70485791178024,77.28629732779983,27.387979674893135,140.8468275327229,,,,,90.10198905373109,58.09231303202475,149.20451852976382
June F L10 elastic 150-250 keV,834,0.8627149580762699,1.0,0.5946826495226079,0.986739685987893,0.7579688287036964,26.92485881849355,45.417486981768405,16.260902375548394,37.98209823485941,0.26249378602376755,0.3404734429414955,0.6180578601314004,4.0307568303257275,9.0,43.53947629984234,77.63830129421785,9.868251909448748,120.94298972178429,,,,,166.54760202109546,152.62367314533637,197.31835649693755
June Xe L10 elastic 200-270 keV,7072,0.5756138394735983,0.8632849977075687,0.2165288471967315,0.6554005059899157,0.4387548609104235,49.932762062071745,84.08326713759612,38.97520593925407,67.12684517882604,0.2096883970531464,0.2993028972156286,0.4055384035431818,9.054381734181744,12.076306359474238,68.2295418640913,100.46636006381944,153.4456558446892,189.5265051780314,,,,,229.4692703668578,205.84678215597106,259.57176526784514
June Xe L10 elastic E>5.4 keV,97628,0.6001855008630611,0.8703553196507887,0.24224082812210773,0.6899854134624097,0.4727042354393518,46.614163660459994,82.59524804863959,34.998278424071216,86.14049295229684,0.21122574598904117,0.310560040159427,0.429410356980336,8.328182920219888,11.880899802006141,67.23997596658404,93.31497864935639,86.66642967206612,186.777711018289,,,,,262.9573927810383,117.46882617449205,591.3914595595267
June Xe O1 inelastic d=366 full window,4241,0.9663509548509654,1.0,1.0,1.0,0.9345395061987806,13.338048072613905,22.095503605389407,7.834296694497073,15.814001356202677,0.3367468519865485,0.40087199812578767,0.7427124462963025,3.2125618262752877,9.0,26.4553898497024,56.005550166473164,4.773518672303204,73.48719402695112,,,,,340.23269829285425,218.15319540065815,409.85505217307656
June Xe O1 inelastic d=366 200-270 keV,468,0.9765644301124636,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.953992608240393,11.70114305012983,17.96499777724171,6.854800657100644,14.878597279199992,0.25372265134248173,0.2899222751943344,0.7514168220687796,3.145715565382001,9.000000000000002,46.601808689539524,107.07284469041426,4.576821281633728,129.44946858205424,,,,,222.02922419719448,205.62817412578954,244.46832607053324
isotropic control,200000,0.0012220714111916115,0.003640000000000001,0.06712500000000002,0.25031000000000003,0.332869689660476,89.78833935898119,142.99238917452928,,,0.0022254200878162765,0.00251,0.3324096232167618,2008760.1574452769,679265.7891558987,605755.3338543224,1428548.7531943938,937602.1333045213,1682653.705150896,,,,,,,
