E_keV,K_Xe_L10,K_Xe_O1_delta366,K_F_L10 (velocity-independent kernels, unit coupling, arbitrary norm)
1.700000000000000000e+02,4.312065641025401241e+00,1.500018316751824319e+07,3.665055482190859237e+01
1.710000000000000000e+02,4.364376972726144110e+00,1.475513443145677634e+07,3.695393218184837281e+01
1.720000000000000000e+02,4.416199636775888671e+00,1.450470157253299281e+07,3.725723351551557272e+01
1.730000000000000000e+02,4.467485073367813087e+00,1.424939702741324529e+07,3.756044565309188954e+01
1.740000000000000000e+02,4.518184991557006924e+00,1.398971967953901738e+07,3.786355553976256516e+01
1.750000000000000000e+02,4.568251446336723198e+00,1.372615456746266037e+07,3.816655023508030098e+01
1.760000000000000000e+02,4.617636914201394660e+00,1.345917264439133555e+07,3.846941691233173799e+01
1.770000000000000000e+02,4.666294367096546658e+00,1.318923058566629142e+07,3.877214285790685722e+01
1.780000000000000000e+02,4.714177344655547941e+00,1.291677064094828442e+07,3.907471547067108730e+01
1.790000000000000000e+02,4.761240024632263257e+00,1.264222052814420126e+07,3.937712226133999849e+01
1.800000000000000000e+02,4.807437291439591753e+00,1.236599336617613956e+07,3.967935085185680322e+01
1.810000000000000000e+02,4.852724802726013920e+00,1.208848764387692325e+07,3.998138897477274867e+01
1.820000000000000000e+02,4.897059053899681658e+00,1.181008722245389596e+07,4.028322447262983275e+01
1.830000000000000000e+02,4.940397440550564845e+00,1.153116136901004985e+07,4.058484529734644042e+01
1.840000000000000000e+02,4.982698318689317674e+00,1.125206481884445436e+07,4.088623950960568720e+01
1.850000000000000000e+02,5.023921062765370316e+00,1.097313786428588256e+07,4.118739527824637747e+01
1.860000000000000000e+02,5.064026121396874025e+00,1.069470646798739769e+07,4.148830087965640701e+01
1.870000000000000000e+02,5.102975070778189348e+00,1.041708239866169915e+07,4.178894469716919957e+01
1.880000000000000000e+02,5.140730665718086456e+00,1.014056338741678186e+07,4.208931522046257356e+01
1.890000000000000000e+02,5.177256888277764979e+00,9.865433302878007293e+06,4.238940104496010264e+01
1.900000000000000000e+02,5.212518993972245163e+00,9.591962343425892293e+06,4.268919087123536826e+01
1.910000000000000000e+02,5.246483555524756426e+00,9.320407244956459850e+06,4.298867350441867785e+01
1.920000000000000000e+02,5.279118504125975164e+00,9.051011502639235929e+06,4.328783785360633374e+01
1.930000000000000000e+02,5.310393168219675886e+00,8.784005605293722823e+06,4.358667293127253828e+01
1.940000000000000000e+02,5.340278309768202725e+00,8.519607280996335670e+06,4.388516785268397769e+01
1.950000000000000000e+02,5.368746158016135084e+00,8.258021752678663470e+06,4.418331183531687145e+01
1.960000000000000000e+02,5.395770440732240658e+00,7.999442002519713715e+06,4.448109419827648026e+01
1.970000000000000000e+02,5.421326412947621520e+00,7.744049044019097462e+06,4.477850436171939208e+01
1.980000000000000000e+02,5.445390883183462094e+00,7.492012200679495931e+06,4.507553184627823128e+01
1.990000000000000000e+02,5.467942237174052700e+00,7.243489390318210237e+06,4.537216627248882617e+01
2.000000000000000000e+02,5.488960459120797886e+00,6.998627414083829150e+06,4.566839736022001972e+01
2.010000000000000000e+02,5.508427150464055622e+00,6.757562249286664650e+06,4.596421492810605258e+01
2.020000000000000000e+02,5.526325546215940854e+00,6.520419345244796947e+06,4.625960889298119838e+01
2.030000000000000000e+02,5.542640528865416805e+00,6.287313921367052011e+06,4.655456926931708495e+01
2.040000000000000000e+02,5.557358639883053009e+00,6.058351266774052754e+06,4.684908616866245268e+01
2.050000000000000000e+02,5.570468088864173772e+00,5.833627040771238506e+06,4.714314979908543535e+01
2.060000000000000000e+02,5.581958760323718849e+00,5.613227573554847389e+06,4.743675046461830647e+01
2.070000000000000000e+02,5.591822218199871131e+00,5.397230166609899141e+06,4.772987856470444257e+01
2.080000000000000000e+02,5.600051708087384839e+00,5.185703392194655724e+06,4.802252459364813575e+01
2.090000000000000000e+02,5.606642157242185398e+00,4.978707391476532444e+06,4.831467914006662312e+01
2.100000000000000000e+02,5.611590172412505240e+00,4.776294170820158906e+06,4.860633288634439708e+01
2.110000000000000000e+02,5.614894035517123960e+00,4.578507895830887370e+06,4.889747660809030094e+01
2.120000000000000000e+02,5.616553697245637800e+00,4.385385182721671648e+06,4.918810117359682010e+01
2.130000000000000000e+02,5.616570768596429453e+00,4.196955386683365330e+06,4.947819754330154041e+01
2.140000000000000000e+02,5.614948510431854167e+00,4.013240886910038535e+06,4.976775676925171155e+01
2.150000000000000000e+02,5.611691821081977061e+00,3.834257367967585567e+06,5.005676999457026710e+01
2.160000000000000000e+02,5.606807222055372186e+00,3.660014097249338403e+06,5.034522845292507753e+01
2.170000000000000000e+02,5.600302841913562091e+00,3.490514198257868178e+06,5.063312346799991559e+01
2.180000000000000000e+02,5.592188398361775725e+00,3.325754919492536224e+06,5.092044645296815730e+01
2.190000000000000000e+02,5.582475178608403255e+00,3.165727898729518056e+06,5.120718890996882067e+01
2.200000000000000000e+02,5.571176018062806712e+00,3.010419422539302148e+06,5.149334242958469332e+01
2.210000000000000000e+02,5.558305277410253709e+00,2.859810680848185904e+06,5.177889869032293291e+01
2.220000000000000000e+02,5.543878818142898623e+00,2.713878016423139721e+06,5.206384945809825382e+01
