tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
2.2387211385683377e-07,0.4885012435990329,0.4654148424226613,0.0007922026699072921,0.0,0.02294560788882819,0.022345265639174296,0.9539160860216942,0.9776547343608257
2.5118864315095823e-07,0.5121169092478108,0.4277969367331447,0.0011460469896865028,0.0,0.0294841732055664,0.02945352193753826,0.9399138459809555,0.9705464780624617
2.818382931264455e-07,0.5313530890833473,0.39203202894943434,0.0015915653733438717,0.0,0.03708555437531917,0.037931584765486644,0.9233851180327817,0.9620684152345134
3.162277660168379e-07,0.5459803347585077,0.35826610078452187,0.0021270720602621514,0.0,0.04573713471818096,0.04787510895399774,0.9042464355430295,0.9521248910460023
3.5481338923357606e-07,0.5558809288481825,0.32658590277834176,0.0027425616091200956,0.0,0.05537370512275221,0.059386981621916385,0.8824668316265243,0.9406130183780836
3.981071705534969e-07,0.5610439668907029,0.2970277069117273,0.003419931938129202,0.0,0.0658677735256332,0.0725828721777655,0.8580716738024302,0.9274171278222345
4.466835921509635e-07,0.5615603725687295,0.269586040351953,0.004134429855788279,0.0,0.0770243574327554,0.08759147392356915,0.8311464129206825,0.9124085260764309
5.011872336272725e-07,0.5576172678010664,0.24422196275174368,0.00485704615155707,0.0,0.08858267489989963,0.10454837074915524,0.80183923055281,0.8954516292508448
5.62341325190349e-07,0.5494906235506395,0.22087061086410345,0.00555740657338557,0.0,0.10022611458236755,0.12358389980573106,0.7703612344147429,0.876416100194269
6.309573444801942e-07,0.5375351819126356,0.1994478615066494,0.006206654628382969,0.0,0.11160030213797781,0.1448066868294641,0.736983043419285,0.8551933131705359
7.079457843841374e-07,0.5221711594745728,0.17985605882451222,0.006779893365579333,0.0,0.12233738868054231,0.16828546462112604,0.702027218299085,0.831714535378874
7.943282347242822e-07,0.5038679708715372,0.16198881850747127,0.007257903264568347,0.0,0.13208334428280596,0.1940321842370317,0.6658567893790085,0.8059678157629683
8.912509381337459e-07,0.4831258860862014,0.14573496522661908,0.007628027890535753,0.0,0.14052442300789264,0.22198922853055505,0.6288608513128204,0.778010771469445
1e-06,0.46045696775138,0.13098168521455056,0.007884272439198708,0.0,0.14740921321262337,0.25202280071715566,0.5914386529659306,0.7479771992828443
1.1220184543019652e-06,0.4363667533196667,0.11761698827876926,0.0080267659916652,0.0,0.15256366371024627,0.2839234721526147,0.5539837415984359,0.7160765278473853
1.2589254117941661e-06,0.4113379824500152,0.10553157654097167,0.008060789314733651,0.0,0.155897856858748,0.3174136932049678,0.5168695589909869,0.6825863067950322
1.4125375446227554e-06,0.3858173156640392,0.09462021398011765,0.007995573945413486,0.0,0.1574047041582003,0.35216105446566703,0.48043752964415687,0.647838945534333
1.584893192461114e-06,0.36020555705734103,0.08478268383075743,0.007843049898380593,0.0,0.15715186162474257,0.3877954128421798,0.44498824088809846,0.6122045871578202
1.778279410038923e-06,0.3348514766661587,0.07592441181527561,0.007616674476047036,0.0,0.1552688361062106,0.4239277376304214,0.4107758884814343,0.5760722623695786
1.995262314968883e-06,0.31004898982033263,0.0679568233102153,0.007330426354696036,0.0,0.15193146125453666,0.46016864978649685,0.37800581313054793,0.5398313502135031
2.2387211385683376e-06,0.2860372199935802,0.06079749269221428,0.006998006004206006,0.0,0.1473457508099775,0.49614501749281326,0.3468347126857945,0.5038549825071867
2.5118864315095823e-06,0.26300284925445794,0.05437013379828948,0.006632249950654567,0.0,0.14173272538486525,0.5315135009427503,0.3173729830527474,0.4684864990572497
2.818382931264455e-06,0.24108412986737698,0.04860447196311001,0.006244743501756774,0.0,0.13531529695730193,0.5659704882690161,0.289688601830487,0.4340295117309839
3.162277660168379e-06,0.22037596735925719,0.04343603059985714,0.005845603334962999,0.0,0.12830779373393342,0.5992583448185071,0.2638119979591143,0.40074165518149285
3.5481338923357606e-06,0.20093556408914676,0.03880585880310031,0.005443395789018843,0.0,0.12090828711508789,0.631168261004485,0.23974142289224706,0.368831738995515
3.981071705534969e-06,0.18278821114739013,0.03466022093653742,0.0050451565410926415,0.0,0.11329357373626403,0.6615402160126309,0.21744843208392756,0.3384597839873691
4.466835921509635e-06,0.16593291874634997,0.03095026455098352,0.004656480538667058,0.0,0.10561647124751608,0.6902606866715484,0.19688318329733348,0.3097393133284516
5.011872336272725e-06,0.15034767019769446,0.027631679164238324,0.004281655952754921,0.0,0.09800499095646417,0.7172587474681673,0.17797934936193277,0.2827412525318327
5.623413251903491e-06,0.1359941659757086,0.02466435532306329,0.003923821357202878,0.0,0.09056292997196294,0.7425011581385301,0.1606585212987719,0.2574988418614699
6.309573444801943e-06,0.12282198979449452,0.022012050858501983,0.0035851305680281113,0.0,0.08337145531891971,0.7659869468960299,0.1448340406529965,0.23401305310397014
7.079457843841373e-06,0.11077217813724732,0.019642069245503803,0.003266914179653753,0.0,0.07649131106927208,0.7877418924727788,0.13041424738275112,0.21225810752722118
7.943282347242822e-06,0.09978020982487264,0.01752495340158806,0.0029698306331048933,0.0,0.06996535020300619,0.8078132028215469,0.1173051632264607,0.1921867971784531
8.91250938133746e-06,0.08977845528657982,0.015634197032486506,0.002694002621995823,0.0,0.06382116417841857,0.8262645927257832,0.10541265231906632,0.17373540727421677
1e-05,0.08069813868582992,0.013945974690856539,0.0024391368533788153,0.0,0.05807364804347885,0.8431718820166236,0.09464411337668646,0.15682811798337637
1.122018454301963e-05,0.07247087232468706,0.012438891002473577,0.002204626744072917,0.0,0.05272739382489976,0.8586191723680549,0.08490976332716063,0.14138082763194515
1.2589254117941688e-05,0.06502982386167801,0.011093748986786913,0.0019896386740400787,0.0,0.047778848784084046,0.8726956131735242,0.07612357284846492,0.12730438682647582
1.4125375446227555e-05,0.058310574527791856,0.009893337017211297,0.0017931830567810474,0.0,0.04321820835667279,0.8854927339078165,0.06820391154500316,0.11450726609218354
1.584893192461114e-05,0.052251722036692816,0.008822233699665463,0.001614171828112933,0.0,0.039031037460272165,0.8971022991632636,0.06107395573635828,0.10289770083673644
1.778279410038923e-05,0.04679527624759969,0.007866629770124053,0.0014514640863878686,0.0,0.03519962997966568,0.9076146306352108,0.05466190601772374,0.09238536936478925
1.9952623149688786e-05,0.04188688955808394,0.007014166002685186,0.0013039016081684853,0.0,0.031704126276229455,0.9171173353276127,0.048901055560769124,0.08288266467238725
2.2387211385683423e-05,0.03747595795725644,0.006253786062332855,0.0011703358658980622,0.0,0.02852341403503926,0.9256943791059142,0.04372974401958929,0.07430562089408577
2.5118864315095822e-05,0.033515622960539976,0.0055756032180289804,0.0010496480264131076,0.0,0.025635839952032793,0.933425447781269,0.03909122617856896,0.06657455221873099
2.818382931264455e-05,0.02996269944933746,0.004970779841611346,0.0009407632381207816,0.0,0.023019759719142868,0.940385542886966,0.0349334792909488,0.059614457113034036
3.1622776601683795e-05,0.02677754983450727,0.004431418648061693,0.0008426603383970169,0.0,0.0206539522951543,0.9466447652599675,0.031208968482568964,0.05335523474003245
3.5481338923357534e-05,0.023923920971370367,0.0039504646767186905,0.0007543779427782962,0.0,0.018517922154037695,0.9522682458026632,0.027874385648089056,0.04773175419733677
3.9810717055349776e-05,0.02136875685563041,0.003521617066082388,0.000675017720592007,0.0,0.016592110508847333,0.957316188928942,0.024890373921712797,0.04268381107105801
4.466835921509635e-05,0.019081997279868472,0.003139249733289061,0.000603745521240918,0.0,0.01485803371038091,0.9618439999196627,0.022221247013157534,0.03815600008033726
5.011872336272725e-05,0.01703637027262095,0.002798340130351277,0.0005397908926302289,0.0,0.013298364304874646,0.9659024725739659,0.019834710402972227,0.03409752742603411
5.623413251903491e-05,0.015207184215374434,0.002494405310805905,0.00048244542796592883,0.0,0.011896967717373263,0.9695380180795241,0.01770158952618034,0.03046198192047589
6.309573444801943e-05,0.013572123976544273,0.0022234446010084125,0.00043106028826210254,0.0,0.010638905266565222,0.9727929199296979,0.015795568577552686,0.027207080070302148
7.079457843841388e-05,0.012111054158686626,0.001981888228912372,0.0003850431738116023,0.0,0.009510412235563957,0.9757056030181103,0.014092942387598999,0.024294396981889732
7.943282347242822e-05,0.010805831574134303,0.0017665513190746555,0.00034385495684435786,0.0,0.008498858020149692,0.9783109077920057,0.012572382893208958,0.02168909220799431
8.912509381337459e-05,0.009640128299266108,0.0015745927153847216,0.000307006137846984,0.0,0.007592693935540197,0.9806403626057644,0.01121472101465083,0.01935963739423563
0.0001,0.008599266069147016,0.0014034781423806096,0.00027405324785864595,0.0,0.006781393060933815,0.9827224492489789,0.010002744211527626,0.01727755075102111
0.00011220184543019653,0.007670062328597566,0.001250947261880773,0.00024459528694936174,0.0,0.006055385510375056,0.9845828580917941,0.008921009590478339,0.015417141908205867
0.00012589254117941688,0.006840687924509761,0.0011149842240314816,0.00021827026365772004,0.0,0.0054059917107695706,0.9862447304516136,0.007955672148541242,0.01375526954838635
0.00014125375446227554,0.006100536183853396,0.0009937913508215634,0.00019475188022402567,0.0,0.004825355616100674,0.987728886691799,0.00709432753467496,0.012271113308200965
0.00015848931924611142,0.005440102952909767,0.0008857656257804813,0.00017374639298309148,0.0,0.004306379266227447,0.9890540392603084,0.006325868578690249,0.010945960739691563
0.00017782794100389227,0.004850877059999266,0.0007894776961164108,0.00015498966541856057,0.0,0.003842659686895721,0.9902369904036512,0.005640354756115677,0.009763009596348793
0.00019952623149688828,0.00432524059353037,0.000703653123154366,0.0001382444224105548,0.0,0.0034284288054144576,0.9912928146823894,0.005028893716684736,0.00870718531761061
0.00022387211385683424,0.003856378349306425,0.0006271556437973146,0.00012329770753798157,0.0,0.0030584968072414017,0.9922350266966193,0.0044835339931037395,0.007764973303380662
0.0002511886431509582,0.003438195787491787,0.0005589722300557273,0.00010995854044049174,0.0,0.0027281991684476557,0.9930757346264569,0.003997168017547514,0.00692426537354307
0.0002818382931264455,0.003065244843983274,0.0004981997556719204,9.805576780814955e-05,0.0,0.002433347455962396,0.9938257803224763,0.0035634445996551942,0.00617421967752374
0.00031622776601683794,0.0027326569580746808,0.0004440330986971878,8.74360992304939e-05,0.0,0.002170183881932078,0.9944948667596373,0.0031766900567718687,0.005505133240362725
0.000354813389233576,0.002436082704291218,0.00039575452674676774,7.796231764532524e-05,0.0,0.0019353395225065405,0.9950916737078702,0.0028318372310379854,0.004908326292129783
0.00039810717055349773,0.002171637448062318,0.00035272422773421176,6.951165327733034e-05,0.0,0.0017257960584139151,0.9956239624830056,0.0025243616757965296,0.0043760375169944465
