delta_keV,case,mu_tr_muN,tau_s,P_clean,P_tpc,P_prompt,P_delayed,tau90_s,tau_exp90_s,mu_max90_muN,mu_exp90_muN
340,N=0.105,0.0002305,3.802588578624682e-05,0.9521353954718392,0.024457961200211657,0.0,0.022539493573184268,5.395620354265625e-07,1.7582843693803516e-05,0.0019350398233522533,0.0003389737295896895
350,N=1,0.001145,1.4126768997952638e-06,0.3161587006729762,0.4584188100997735,0.0,0.22005557064004147,5.480513529107549e-07,1.7629175931924265e-05,0.0018382995521187683,0.00032412378555562104
350,N=3.65,0.002187,3.872186360718804e-07,0.06038837446825607,0.8477764046161704,0.0,0.09074382596538888,5.480513529107549e-07,1.7629175931924265e-05,0.0018382995521187683,0.00032412378555562104
350,N=0.105,0.0003709,1.3462947440258921e-05,0.8714019189177535,0.06673071612095624,0.0,0.059799957922845925,5.480513529107549e-07,1.7629175931924265e-05,0.0018382995521187683,0.00032412378555562104
360,N=1,0.002113,3.8119873748157065e-07,0.05385169609294064,0.8570820754653423,0.0,0.08834103465473858,5.779858251005005e-07,1.7985162693555427e-05,0.001715997417961346,0.00030762245833093323
360,N=3.65,0.004037,1.0443184454784418e-07,0.002050000137022577,0.9947062740697199,0.0,0.003243032894226758,5.779858251005005e-07,1.7985162693555427e-05,0.001715997417961346,0.00030762245833093323
360,N=0.105,0.0006847,3.6303608237262116e-06,0.6054323194539233,0.22731501075336236,0.0,0.16268100350122683,5.779858251005005e-07,1.7985162693555427e-05,0.001715997417961346,0.00030762245833093323
366,N=1,0.003397,1.403536140682773e-07,0.005704654027959571,0.9840605367895062,0.0,0.010231731804606679,5.866782869628897e-07,1.7885160208995774e-05,0.0016615267562758963,0.00030092684336395915
366,N=3.65,0.00649,3.845256369488249e-08,2.834296984947991e-06,0.9999879921087315,0.0,9.173592398730722e-06,5.866782869628897e-07,1.7885160208995774e-05,0.0016615267562758963,0.00030092684336395915
366,N=0.105,0.001101,1.336103359166359e-06,0.28932759989551865,0.48311961606061177,0.0,0.22472932840331386,5.866782869628897e-07,1.7885160208995774e-05,0.0016615267562758963,0.00030092684336395915
370,N=1,0.00499,6.295811065440253e-08,0.0001673408987360127,0.9995818542719901,0.0,0.0002508011477732612,5.80841356245827e-07,1.797787570014846e-05,0.0016428489082692434,0.00029529575389304364
