tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
1.122018454301963e-08,4.7774480837314725e-06,0.9999952225518937,1.8062010294570396e-21,0.0,4.494452502134597e-17,2.2546462208962942e-14,0.9999999999999774,0.9999999999999775
1.2589254117941661e-08,1.782410962285393e-05,0.9999821758900648,1.4335511095879403e-19,0.0,1.4558412973485886e-15,3.109636861368671e-13,0.9999999999996876,0.999999999999689
1.4125375446227554e-08,5.774922887460387e-05,0.9999422507678369,7.082394253469786e-18,0.0,3.315310168670356e-14,3.255317218351938e-12,0.9999999999967115,0.9999999999967447
1.5848931924611143e-08,0.0001649572832331519,0.9998350426894204,2.2898646478378293e-16,0.0,5.517059330238733e-13,2.679456276043377e-11,0.9999999999726535,0.9999999999732054
1.7782794100389228e-08,0.00042105911367995374,0.9995789406998666,5.067387469962328e-15,0.0,6.947603040397469e-12,1.7950075557023366e-10,0.9999999998135466,0.9999999998204993
1.9952623149688786e-08,0.0009720572831165894,0.9990279416358343,7.99114716411893e-14,0.0,6.83139792439203e-11,1.0126553156900237e-09,0.9999999989189509,0.9999999989873447
2.2387211385683378e-08,0.002051571693934714,0.9979484227961034,9.3128209857133e-13,0.0,5.392162191930985e-10,4.969814532960255e-09,0.9999999944900381,0.9999999950301854
2.511886431509582e-08,0.00399663331776888,0.9960033413572835,8.289883300522035e-12,0.0,3.499801584484356e-09,2.181685626755814e-08,0.9999999746750524,0.9999999781831437
2.818382931264455e-08,0.007248249176045301,0.9927516443375266,5.8100118515729136e-11,0.0,1.9066085720128774e-08,8.736224228356969e-08,0.9999998935135719,0.9999999126377577
3.162277660168379e-08,0.012331651423988491,0.9876679372847827,3.29779926661042e-10,0.0,8.870141767710088e-08,3.2226003120593857e-07,0.9999995887087713,0.9999996777399688
3.548133892335753e-08,0.019816125697453925,0.9801824176866305,1.5570245067814093e-09,0.0,3.575985069777488e-07,1.0974603842424043e-06,0.9999985433840844,0.9999989025396158
3.981071705534969e-08,0.030259699148611152,0.9697355836661037,6.27388801980417e-09,0.0,1.2650470546299763e-06,3.445864342601134e-06,0.9999952828147148,0.9999965541356574
4.4668359215096346e-08,0.044147766419539755,0.9558382782390773,2.2114491344257268e-08,0.0,3.970795150700319e-06,9.962431741045217e-06,0.9999860446586171,0.999990037568259
5.011872336272725e-08,0.061835781525428624,0.9381264470806253,6.979476534698091e-08,0.0,1.1171039083687235e-05,2.6530560097127584e-05,0.9999622286060539,0.9999734694399028
5.6234132519034905e-08,0.08350450835690126,0.9164016314565749,2.0136027498233152e-07,0.0,2.8435016631434942e-05,6.522380961751112e-05,0.9999061398134762,0.9999347761903825
6.30957344480193e-08,0.10913302597778796,0.890651791706669,5.399915232843578e-07,0.0,6.607720301275146e-05,0.00014856512100719038,0.9997848176844569,0.9998514348789929
7.079457843841373e-08,0.13849106406223652,0.8610512575977433,1.3617725220741737e-06,0.0,0.0001413896310206859,0.0003149269364768191,0.9995423216599798,0.9996850730635232
7.943282347242822e-08,0.17114932577171094,0.827942264141956,3.2504820918012334e-06,0.0,0.0002808833168019059,0.0006242762874206859,0.999091589913667,0.9993757237125793
8.912509381337459e-08,0.20650465501398207,0.7918029486909344,7.362325044567002e-06,0.0,0.0005221414778140518,0.0011628924918694174,0.9983076037049164,0.9988371075081306
1e-07,0.24381609870299997,0.7532076700097776,1.5827952392947292e-05,0.0,0.0009150211377617348,0.002045382192109916,0.9970237687127776,0.9979546178078901
1.1220184543019653e-07,0.282247733602219,0.7127852706535951,3.2283337342288004e-05,0.0,0.0015221823495799244,0.003412530004956345,0.9950330042558141,0.9965874699950437
1.2589254117941662e-07,0.320914246190793,0.6711798507024602,6.245596382050282e-05,0.0,0.0024191104730518333,0.00542433624041291,0.9920940968932532,0.9945756637595871
1.4125375446227555e-07,0.35892552803687616,0.6290171933047657,0.00011465087592343138,0.0,0.0036937719677269153,0.0082488529999515,0.9879427213416418,0.9917511470000485
1.584893192461114e-07,0.3954269921327021,0.5868785384217187,0.00019991294274081324,0.0,0.005445769816805608,0.012048771615941135,0.9823055305544208,0.9879512283840589
1.7782794100389227e-07,0.4296330007344437,0.545282172002598,0.00033162794634421184,0.0,0.007784456702323113,0.016968675318676733,0.9749151727370418,0.9830313246813233
1.995262314968883e-07,0.4608517616318568,0.5046723918083191,0.0005243991499063524,0.0,0.010825141135516485,0.023126050881512046,0.965524153440176,0.9768739491184879
2.2387211385683377e-07,0.4885012435990329,0.4654148424226613,0.0007922026699072921,0.0,0.014682498712310569,0.03060837481569192,0.9539160860216942,0.9693916251843081
2.5118864315095823e-07,0.5121169092478108,0.4277969367331447,0.0011460469896865028,0.0,0.019460682627658724,0.039477012515445935,0.9399138459809555,0.9605229874845541
2.818382931264455e-07,0.5313530890833473,0.39203202894943434,0.0015915653733438717,0.0,0.025240360484345328,0.049776778656460484,0.9233851180327817,0.9502232213435395
3.162277660168379e-07,0.5459803347585077,0.35826610078452187,0.0021270720602621514,0.0,0.03206380560057309,0.06154843807160561,0.9042464355430295,0.9384515619283944
