tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
1.995262314968883e-06,0.315085495902502,0.07123330181686074,0.011560123734011229,0.0,0.010224868347121066,0.5894614323213156,0.3863187977193627,0.41053856767868435
2.2387211385683376e-06,0.2910085720279523,0.063740174474572,0.01099267833437552,0.0,0.010052786626157533,0.6216317736168941,0.3547487465025243,0.37836822638310585
2.5118864315095823e-06,0.2678543896361609,0.057010818000678136,0.01038212415482175,0.0,0.009790078146996332,0.6522890287942007,0.324865207636839,0.3477109712057993
2.818382931264455e-06,0.24577159055714115,0.05097238791994663,0.00974567278185702,0.0,0.009451645522555325,0.6813255860464719,0.2967439784770878,0.31867441395352814
3.162277660168379e-06,0.22486500888749936,0.045557945289193574,0.009098145673630213,0.0,0.009052763487200636,0.7086718636979699,0.27042295417669293,0.29132813630203014
3.5481338923357606e-06,0.20520100495319427,0.040706204954432786,0.008451923821322347,0.0,0.008608302687951389,0.734292482233598,0.24590720990762704,0.265707517766402
3.981071705534969e-06,0.18681305585363012,0.03636123775204156,0.007817032560926654,0.0,0.008132149564348603,0.7581819162271423,0.22317429360567168,0.24181808377285774
4.466835921509635e-06,0.16970728037363442,0.03247214482646644,0.00720131692200821,0.0,0.007636815229759753,0.780359933369452,0.20217942520010085,0.21964006663054803
5.011872336272725e-06,0.15386766569670768,0.028992718094426544,0.006610670695852551,0.0,0.00713321134847174,0.800867066963145,0.18286038379113423,0.19913293303685498
5.623413251903491e-06,0.13926084330134675,0.025881097490088434,0.006049290583148718,0.0,0.006630563256832322,0.8197603069076088,0.16514194079143518,0.18023969309239118
6.309573444801943e-06,0.1258403279025201,0.023099432875308256,0.005519934400670274,0.0,0.006136428376236153,0.8371091372299645,0.14893976077782833,0.1628908627700355
7.079457843841373e-06,0.11355018526464317,0.020613556296507112,0.005024168891042399,0.0,0.005656789559117538,0.852991998634639,0.13416374156115027,0.14700800136536096
7.943282347242822e-06,0.10232813289619255,0.018392668526084732,0.004562598005775623,0.0,0.005196196836574947,0.8674932138012077,0.12072080142227729,0.1325067861987923
8.91250938133746e-06,0.0921081037794276,0.016409042462344748,0.00413506663453822,0.0,0.004757935875111066,0.8807003815240946,0.10851714624177235,0.11929961847590542
1e-05,0.08282231955883354,0.014637744908852189,0.0037408377600782745,0.0,0.0043442064415311135,0.8927022227022887,0.09746006446768574,0.10729777729771128
1.122018454301963e-05,0.07440292821743598,0.013056377453118478,0.003378743105437487,0.0,0.003956298784261956,0.9035868455979501,0.08745930567055446,0.0964131544020499
1.2589254117941688e-05,0.06678326423160752,0.011644836565867771,0.0030473086957529907,0.0,0.003594759785491062,0.9134403884000308,0.0784281007974753,0.08655961159996917
1.4125375446227555e-05,0.05989878823225224,0.0103850926045422,0.002744857556091433,0.0,0.0032595439214264553,0.9223459926213088,0.07028388083679443,0.07765400737869121
1.584893192461114e-05,0.05368775969768709,0.009260987094046444,0.0024695921605280735,0.0,0.0029501465032641906,0.9303830599793359,0.06294874679173354,0.0696169400206641
1.778279410038923e-05,0.048091691223412475,0.008258047446152994,0.0022196593594616893,0.0,0.002665718439846838,0.9376267470777391,0.05634973866956547,0.062373252922260924
1.9952623149688786e-05,0.043055627234885915,0.007363318143902531,0.0019932004382865794,0.0,0.0024051629742799577,0.9441476555184964,0.050418945378788445,0.05585234448150356
2.2387211385683423e-05,0.038528284175131655,0.006565207340584325,0.0017883887733557097,0.0,0.0021672156163145776,0.9500116793351628,0.04509349151571598,0.04998832066483716
2.5118864315095822e-05,0.0344620835678119,0.00585334778997707,0.0016034573029499739,0.0,0.0019505089273726731,0.9552799763154505,0.04031543135778897,0.044720023684549526
2.818382931264455e-05,0.030813104146133852,0.005218471023996095,0.0014367177580323714,0.0,0.0017536240080916225,0.960009034504956,0.03603157517012995,0.039990965495043995
3.1622776601683795e-05,0.027540974564392303,0.004652293716710079,0.0012865733239766548,0.0,0.0015751305644818412,0.964250809702001,0.03219326828110238,0.035749190297998945
3.5481338923357534e-05,0.024608724116457655,0.004147415212830255,0.0011515261451985667,0.0,0.0014136173468765928,0.9680529139129053,0.02875613932928791,0.031947086087094734
3.9810717055349776e-05,0.021982605371167287,0.0036972252488110674,0.0010301808481534163,0.0,0.0012677146096836574,0.9714588384559563,0.025679830619978354,0.028541161544043736
4.466835921509635e-05,0.019631899665897883,0.003295820951484645,0.0009212450484554713,0.0,0.001136110061093023,0.974508198650754,0.02292772061738253,0.025491801349246
5.011872336272725e-05,0.017528713927522595,0.0029379322595505545,0.0008235276258851612,0.0,0.0010175595821164877,0.9772369898122133,0.02046664618707315,0.022763010187786703
5.623413251903491e-05,0.015647775257798056,0.0026188549749283497,0.000735935395854349,0.0,0.0009108938078937251,0.9796778466122209,0.018266630232726407,0.020322153387779096
6.309573444801943e-05,0.013966228069635588,0.002334390712251848,0.0006574686754732796,0.0,0.0008150214898014476,0.9818602998163017,0.016300618781887436,0.01813970018369826
7.079457843841388e-05,0.012463437235488093,0.002080793074431945,0.000587216134125655,0.0,0.0007289303992916807,0.9838110259932125,0.01454423030992004,0.016188974006787538
7.943282347242822e-05,0.011120799657351094,0.001854719439405851,0.0005243492296381751,0.0,0.0006516863955749053,0.9855540870790148,0.012975519096756946,0.014445912920985182
8.912509381337459e-05,0.009921565843204532,0.0016531877973838295,0.00046811645899116775,0.0,0.0005824311594702981,0.9871111576991859,0.011574753640588362,0.012888842300814107
0.0001,0.00885067243648626,0.0014735381287765633,0.0004178375944949765,0.0,0.0005203789940691912,0.9885017389545927,0.010324210565262825,0.011498261045407299
0.00011220184543019653,0.007894586158496085,0.0013133978603799316,0.00037289803013403555,0.0,0.00046481300776705085,0.9897433579973107,0.009207984018876016,0.010256642002689276
0.00012589254117941688,0.007041159258935113,0.0011706509812714867,0.00033274332631436787,0.0,0.0004150809248810355,0.9908517531932755,0.0082118102402066,0.009148246806724547
0.00014125375446227554,0.006279496302389238,0.0010434104402851953,0.00029687401277378114,0.0,0.000370590711570928,0.9918410450189888,0.007322906742674433,0.008158954981011157
0.00015848931924611142,0.005599831928033023,0.0009299934839897767,0.00026484068742472155,0.0,0.00033080615826187865,0.9927238930930107,0.0065298254120228,0.007276106906989321
0.00017782794100389227,0.0049934190894147116,0.0008288996279539133,0.00023623943213388153,0.0,0.00029524252250624067,0.9935116399198589,0.0058223187173686245,0.006488360080141087
0.00019952623149688828,0.004452427197281304,0.0007387909849183979,0.0002107075538504813,0.0,0.00026346230667179213,0.9942144420408514,0.005191218182199702,0.005785557959148591
0.00022387211385683424,0.003969849540048881,0.0006584747015046691,0.00018791965021124714,0.0,0.00023507122165015128,0.9948413893569459,0.004628324241553549,0.005158610643054118
0.0002511886431509582,0.003539419334950638,0.0005868872804712772,0.00016758399206776546,0.0,0.00020971436977493713,0.9954006134238339,0.0041263066154219145,0.004599386576166098
0.0002818382931264455,0.0031555337611453224,0.0005230805884849798,0.00014943921072778905,0.0,0.00018707266633537608,0.9958993855282423,0.0036786143496303023,0.004100614471757691
0.00031622776601683794,0.0028131853386638124,0.0004662093700971648,0.0001332512746145479,0.0,0.0001668595086389462,0.9963442053436892,0.003279394708760977,0.003655794656310829
0.000354813389233576,0.002507900039735172,0.0004155201072974364,0.0001188107381574114,0.0,0.00014881769382874514,0.9967408809393641,0.0029234201470326087,0.0032591190606359177
0.00039810717055349773,0.0022356815484568457,0.0003703410808337139,0.0001059302447398253,0.0,0.00013271658103332866,0.9970946008817193,0.0026060226292905597,0.0029053991182806937
0.0004466835921509635,0.001992961118422647,0.00033007350461019777,9.444226521417812e-05,0.0,0.00011834948945877395,0.9974099991281354,0.002323034623032845,0.0025900008718645617
0.0005011872336272725,0.0017765525138818533,0.00029418361805809933,8.419705366597454e-05,0.0,0.00010553132135175872,0.9976912133682072,0.0020707361319399526,0.002308786631792792
0.0005623413251903491,0.001583611556842283,0.0002621956335649007,7.506080262963332e-05,0.0,9.409639707043953e-05,0.9979419374227549,0.0018458071904071836,0.0020580625772450567
0.0006309573444801943,0.0014115998392057907,0.00023368544698006393,6.691398071596612e-05,0.0,8.38964885570686e-05,0.9981654682649918,0.0016452852861858548,0.001834531735008249
0.0007079457843841388,0.0012582521947887228,0.0002082750290114526,5.964983652284277e-05,0.0,7.479903712428632e-05,0.9983647481834428,0.0014665272238001755,0.001635251816557215
0.0007943282347242822,0.0011215475604159791,0.00018562742410065174,5.317305370219596e-05,0.0,6.668554149626238e-05,0.9985424025629309,0.001307174984516631,0.0014575974370690803
0.0008912509381337459,0.0009996828878489146,0.00016544229121828047,4.73985431010113e-05,0.0,5.9450102370431666e-05,0.9987007737186959,0.001165125179067195,0.0012992262813040778
0.001,0.00089104979890845,0.0001474519280463481,4.225035894614791e-05,0.0,5.2998110294465804e-05,0.9988419511798361,0.001038501726954798,0.0011580488201639039
0.0011220184543019652,0.0007942137046844173,0.00013141772629791766,3.7660727077624536e-05,0.0,4.724506431800603e-05,0.9989677987818931,0.0009256314309823349,0.0010322012181068763
0.0012589254117941688,0.0007078951361510009,0.00011712701154094466,3.356917423483826e-05,0.0,4.211550962536227e-05,0.9990799788946424,0.0008250221476919456,0.0009200211053576046
0.0014125375446227555,0.0006309530578618473,0.00010439022591260607,2.9921748353125352e-05,0.0,3.754208314550025e-05,0.999179974079946,0.0007353432837744534,0.000820025920054035
0.001584893192461114,0.0005623699587411839,9.303841659459163e-05,2.6670320726803057e-05,0.0,3.3464656939013954e-05,0.9992691064458894,0.0006554083753357756,0.000730893554110601
0.0017782794100389228,0.0005012385344075085,8.29209969248265e-05,2.377196173518817e-05,0.0,2.9829569957096414e-05,0.9993485549371589,0.000584159531332335,0.0006514450628410939
0.001995262314968883,0.00044674979407079683,7.390375059734258e-05,2.1188382608493124e-05,0.0,2.6588939540364288e-05,0.9994193707777003,0.0005206535446681394,0.0005806292222997333
0.0022387211385683425,0.0003981824419471347,6.586705259463107e-05,1.8885436431022445e-05,0.0,2.3700044764291595e-05,0.9994824912599082,0.0004640494945417658,0.000517508740091821
0.002511886431509582,0.00035489339845606,5.870428334656619e-05,1.683267224123465e-05,0.0,2.1124774437905036e-05,0.999538752054853,0.00041359768180262616,0.00046124794514701417
0.002818382931264455,0.0003163093403250598,5.23204151531117e-05,1.5002936694181515e-05,0.0,1.8829133217613724e-05,0.9995888982001511,0.00036862975547817154,0.00041110179984893414
