set,output,n,n_total,frac_undefined,p2p5,p16,median,p84,p97p5,half68,half95,mean,std,median_incl_inf,p84_incl_inf,p97p5_incl_inf,rho_rho0,S1_rho0,rho_v0,S1_v0,rho_vesc,S1_vesc,rho_dVsun,S1_dVsun,rho_k,S1_k,rho_frame_idx,S1_frame_idx
A_june,log10d10,400,400,0,-0.6635,-0.65,-0.6122,-0.5739,-0.5553,0.03804,0.05407,-0.6117,0.03251,,,,-0.9911,0.9648,-0.1133,0.04166,-0.03542,0.01684,-0.1727,0.04748,0.05953,0.0126,,
A_june,a1_300,400,400,0,0.2908,0.3757,0.553,0.8769,1.209,0.2506,0.4591,0.6119,0.2486,,,,-0.003137,0.03174,-0.5915,0.3471,-0.8967,0.7927,-0.1401,0.03728,0.3617,0.1186,,
A_june,a1_350,397,400,0.0075,0.5469,0.7809,1.272,1.737,1.899,0.4781,0.6761,1.257,0.4173,,,,1.247e-05,0.03369,-0.6169,0.3843,-0.954,0.8897,-0.1374,0.03607,0.1537,0.04398,,
A_june,a1_366,366,400,0.085,0.7077,0.9979,1.49,1.789,1.932,0.3955,0.6121,1.423,0.364,,,,0.032,0.02654,-0.5729,0.3187,-0.9518,0.8848,-0.09365,0.02973,0.1303,0.0415,,
A_june,a1_380,313,400,0.2175,0.8708,1.199,1.602,1.812,1.932,0.3066,0.5306,1.527,0.2922,,,,-0.02353,0.01553,-0.4956,0.274,-0.9414,0.8647,-0.1337,0.03844,0.1624,0.04418,,
A_june,a1_L10,400,400,0,0.01752,0.02019,0.02479,0.0296,0.03444,0.004702,0.00846,0.02507,0.004551,,,,-0.02391,0.01781,-0.8451,0.6929,-0.5849,0.3382,-0.1326,0.03549,0.402,0.2013,,
A_june,pct248_300,400,400,0,98.96,99.26,99.46,99.55,99.59,0.1405,0.3139,99.4,0.1695,,,,0.006867,0.02793,0.5903,0.3146,0.8706,0.7037,0.145,0.03744,-0.4135,0.1421,,
A_june,pct248_350,397,400,0.0075,0.2385,80.95,97.47,98.81,99.19,8.927,49.48,87.66,23.12,,,,-0.000956,0.03122,0.6126,0.2272,0.9419,0.6718,0.1391,0.03293,-0.2044,0.01545,,
A_annual,log10kappa_300,400,400,0,-4.652,-4.314,-3.829,-3.054,-2.285,0.6297,1.183,-3.702,0.6284,-3.832,-3.055,-2.285,-0.1197,0.03729,-0.6547,0.4041,-0.775,0.593,-0.1665,0.04432,0.4801,0.2391,,
A_annual,log10kappa_350,397,400,0.0075,-3.649,-3,-1.774,0.8884,3.916,1.944,3.782,-1.157,2.12,-1.764,0.9475,5.078,-0.04532,0.03475,-0.6367,0.3577,-0.8916,0.7278,-0.1446,0.04006,0.3184,0.09128,,
A_annual,log10kappa_366,366,400,0.085,-3.195,-2.347,-0.9405,2.518,5.45,2.433,4.323,-0.1117,2.483,-0.4895,3.609,inf,-0.003988,0.02254,-0.589,0.3038,-0.8966,0.7427,-0.101,0.027,0.3008,0.08117,,
A_annual,log10kappa_380,313,400,0.2175,-2.708,-1.776,-0.1454,3.104,8.347,2.44,5.528,0.7001,2.813,0.9482,inf,inf,-0.05118,0.02138,-0.5134,0.2082,-0.8843,0.7055,-0.1367,0.03104,0.338,0.1008,,
A_annual,deltaH_N1,400,400,0,314.2,330.5,355.9,381.8,404.7,25.64,45.25,356.4,25.01,,,,0.04322,0.03381,0.6384,0.42,0.9041,0.7943,0.1581,0.04172,-0.3101,0.1241,,
A_annual,deltamax_june,400,400,0,340.8,358.1,390.4,421.1,438.8,31.49,49.01,389.7,27.86,,,,-0.005678,0.03296,0.641,0.4242,0.9656,0.9144,0.1447,0.03653,-0.01538,0.01505,,
