m_chi_GeV,kind,ff,T_GeV,E_R_max_keV,N_lo
0.01,scaD,shell,0.6872151605431122,7852.709038511596,121.52930641471747
0.01,scaD,shell,0.7032630413380644,8216.307497938025,121.52930641471744
0.01,scaD,shell,0.7196856730011514,8596.813123997732,121.52930641471748
0.01,scaD,shell,0.7364918067322965,8995.011391430762,121.52930641471747
0.01,scaD,shell,0.7536903980898542,9411.724081033744,121.52930641471745
0.01,scaD,shell,0.7712906117627992,9847.810941543761,121.52930641471748
0.01,scaD,shell,0.7893018264543568,10304.171426378749,121.52930641471744
0.01,scaD,shell,0.8077336398796711,10781.746508519314,121.52930641471748
0.01,scaD,shell,0.8265958738801813,11281.520576955118,121.52930641471745
0.01,scaD,shell,0.84589857965743,11804.523418262197,121.52930641471747
0.01,scaD,shell,0.8656520431290936,12351.832287026666,121.52930641471747
0.01,scaD,shell,0.8858667904100823,12924.574068984643,121.52930641471744
0.01,scaD,shell,0.9065535934216359,13523.927540909332,121.52930641471748
0.01,scaD,shell,0.927723475631406,14151.125731442668,121.52930641471745
0.01,scaD,shell,0.949387717927582,14807.458387241959,121.52930641471745
0.01,scaD,shell,0.9715578646301858,15494.27454899141,121.52930641471745
0.01,scaD,shell,0.9942457296427418,16212.98524201479,121.5293064147175
0.01,scaD,shell,1.0174634027476064,16965.06628641877,121.52930641471748
0.01,scaD,shell,1.0412232560483043,17752.06123189632,121.52930641471744
0.01,scaD,shell,1.0655379505623053,18575.584422527303,121.52930641471745
0.01,scaD,shell,1.0904204429677526,19437.324197128302,121.52930641471745
0.01,scaD,shell,1.115883992507748,20339.046230927015,121.52930641471747
0.01,scaD,shell,1.1419421680558648,21282.597024566723,121.52930641471748
0.01,scaD,shell,1.168608855346651,22269.907546685183,121.52930641471747
0.01,scaD,shell,1.1958982643749794,23302.997036559955,121.52930641471745
0.01,scaD,shell,1.2238249369681924,24383.976973568086,121.5293064147175
0.01,scaD,shell,1.252403754535072,25515.055220472146,121.5293064147175
0.01,scaD,shell,1.2816499459957584,26698.540347818416,121.52930641471747
0.01,scaD,shell,1.3115790958968503,27936.846147016113,121.52930641471745
0.01,scaD,shell,1.342207152716012,29232.496339958896,121.52930641471748
0.01,scaD,shell,1.3735504373605123,30588.129493351316,121.52930641471745
0.01,scaD,shell,1.405625651864215,32006.50414621449,121.52930641471748
0.01,scaD,shell,1.438449888287663,33490.50415936763,121.52930641471747
0.01,scaD,shell,1.4720406378260014,35043.14429601351,121.52930641471748
0.01,scaD,shell,1.506415800129591,36667.57604289866,121.52930641471745
0.01,scaD,shell,1.5415936928422718,38367.093681870596,121.52930641471745
0.01,scaD,shell,1.5775930613623614,40145.140622019775,121.52930641471745
0.01,scaD,shell,1.6144330888316019,42005.31600296738,121.52930641471748
0.01,scaD,shell,1.6521334063573685,43951.38158024564,121.52930641471745
0.01,scaD,shell,1.69071410347358,45987.2689041134,121.52930641471745
0.01,scaD,shell,1.7301957388458944,48117.08680355827,121.52930641471747
0.01,scaD,shell,1.770599351226898,50345.12918765593,121.52930641471747
0.01,scaD,shell,1.8119464706671222,52675.88317688697,121.52930641471745
0.01,scaD,shell,1.8542591299878524,55114.037577453746,121.52930641471747
0.01,scaD,shell,1.8975598765218504,57664.49171209358,121.52930641471745
0.01,scaD,shell,1.941871784128255,60332.36462135057,121.52930641471747
0.01,scaD,shell,1.9872184654880534,63123.004649743314,121.52930641471742
0.01,scaD,shell,2.0336240846866724,66041.99943175422,121.52930641471745
0.01,scaD,shell,2.081113370090395,69095.1862930661,121.52930641471748
0.01,scaD,shell,2.129711627523478,72288.66308298336,121.52930641471747
0.01,scaD,shell,2.1794447537529833,75628.79945449447,121.52930641471748
0.01,scaD,shell,2.2303392502884964,79122.24860896723,121.52930641471745
0.01,scaD,shell,2.2824222375040977,82775.95952301101,121.52930641471747
0.01,scaD,shell,2.3357214690901213,86597.1896755959,121.52930641471745
0.01,scaD,shell,2.3902653468423893,90593.51829408082,121.52930641471748
0.01,scaD,shell,2.446082935796798,94772.86013837733,121.52930641471745
0.01,scaD,shell,2.5032039797173256,99143.47984306014,121.52930641471745
0.01,scaD,shell,2.561658916945727,103714.00683782816,121.52930641471747
0.01,scaD,shell,2.6214788966213534,108493.45086731992,121.52930641471745
0.01,scaD,shell,2.6826957952797246,113491.21813189442,121.52930641471745
0.01,scaD,shell,2.745342233838714,118717.12807160785,121.52930641471744
0.01,scaD,shell,2.809451594981406,124181.43081623706,121.52930641471747
0.01,scaD,shell,2.8750580409448774,129894.82532482906,121.52930641471748
0.01,scaD,shell,2.942196531724374,135868.4782388867,121.52930641471747
0.01,scaD,shell,3.0109028437025924,142114.04347394087,121.52930641471747
0.01,scaD,shell,3.081213588714002,148643.68257489734,121.52930641471745
0.01,scaD,shell,3.1531662335543613,155470.0858611877,121.52930641471747
0.01,scaD,shell,3.2267991199458086,162606.49438839365,121.52930641471748
0.01,scaD,shell,3.3021514849681757,170066.72275365758,121.52930641471748
0.01,scaD,shell,3.379263481967431,177865.18277283123,121.52930641471745
0.01,scaD,shell,3.4581762019523774,186016.90805794712,121.52930641471747
0.01,scaD,shell,3.538931695490988,194537.57952422512,121.52930641471748
0.01,scaD,shell,3.6215729951180746,203443.5518564549,121.52930641471748
0.01,scaD,shell,3.706144138266228,212751.8809652049,121.52930641471748
0.01,scaD,shell,3.792690190732246,222480.35246391167,121.52930641471747
0.01,scaD,shell,3.881257270691536,232647.51119849226,121.52930641471748
0.01,scaD,shell,3.971892573273302,243272.6918616997,121.52930641471745
0.01,scaD,shell,4.064644395709628,254376.05072500097,121.52930641471745
0.01,scaD,shell,4.1595621630718425,265978.5985212905,121.52930641471745
0.01,scaD,shell,4.256696454607871,278102.2345122698,121.52930641471747
0.01,scaD,shell,4.356099030694608,290769.78177481564,121.52930641471745
0.01,scaD,shell,4.457822860419706,304005.0237411258,121.52930641471745
0.01,scaD,shell,4.561922149807459,317832.7420278629,121.52930641471747
0.01,scaD,shell,4.66845237070379,332278.75558990677,121.52930641471745
0.01,scaD,shell,4.777470290335773,347369.96123470867,121.52930641471748
0.01,scaD,shell,4.889034001561443,363134.37553355,121.52930641471748
0.01,scaD,shell,5.003202953825999,379601.17816629674,121.52930641471745
0.01,scaD,shell,5.120037984840887,396800.75673646596,121.52930641471742
0.01,scaD,shell,5.239601353002644,414764.75309361634,121.52930641471747
0.01,scaD,shell,5.361956770568817,433526.1112002058,121.52930641471748
0.01,scaD,shell,5.487169437608599,453119.126580127,121.52930641471745
0.01,scaD,shell,5.615306076746273,473579.4973861479,121.52930641471747
0.01,scaD,shell,5.746434968715974,494944.3771234365,121.52930641471747
0.01,scaD,shell,5.880625988746757,517252.4290662355,121.52930641471748
0.01,scaD,shell,6.017950643797328,540543.8824045548,121.52930641471747
0.01,scaD,shell,6.158482110660261,564860.5901574808,121.52930641471747
0.01,scaD,shell,6.302295274956023,590246.0888893673,121.52930641471745
0.01,scaD,shell,6.449466771037621,616745.6602647415,121.5293064147175
0.01,scaD,shell,6.600075022827088,644406.3944772406,121.52930641471745
0.01,scaD,shell,6.754200285605586,673277.2555872819,121.52930641471745
0.01,scaD,shell,6.911924688779366,703409.148802484,121.52930641471745
0.01,scaD,shell,7.073332279644439,734854.989734054,121.52930641471745
0.01,scaD,shell,7.238509068173248,767669.7756614598,121.5293064147175
0.01,scaD,shell,7.4075430728471625,801910.6588366912,121.52930641471748
0.01,scaD,shell,7.580524367559261,837637.0218583259,121.5293064147175
0.01,scaD,shell,7.757545129612414,874910.5551443981,121.52930641471744
0.01,scaD,shell,7.9386996888382235,913795.3365317292,121.52930641471748
0.01,scaD,shell,8.124084577862966,954357.9130279408,121.52930641471744
0.01,scaD,shell,8.313798583547333,996667.3847408184,121.52930641471745
0.01,scaD,shell,8.507942799627445,1040795.4910080445,121.52930641471745
0.01,scaD,shell,8.706620680585118,1086816.698748488,121.52930641471744
0.01,scaD,shell,8.909938096776107,1134808.293054377,121.52930641471744
0.01,scaD,shell,9.118003390845681,1184850.4700416203,121.52930641471744
0.01,scaD,shell,9.330927435461664,1237026.4319734664,121.52930641471748
0.01,scaD,shell,9.548823692395656,1291422.4846703794,121.5293064147175
0.01,scaD,shell,9.771808272983899,1348128.1372166818,121.52930641471745
0.01,scaD,shell,10.0,1407236.2039720342,121.52930641471747
0.1,const,helm,0.05948892077934334,251.60520331554142,359.75470688294115
0.1,const,helm,0.06087810885914762,258.8532757290958,353.1439112797476
0.1,const,helm,0.06229973732441844,266.3353930223224,350.39500318195456
0.1,const,helm,0.06375456372456506,274.060077079054,349.93474144588436
0.1,const,helm,0.06524336329932624,282.03619286458877,349.9347414458844
0.1,const,helm,0.06676692939187563,290.2729632207747,349.93474144588447
0.1,const,helm,0.06832607387157402,298.7799843253735,349.93474144588436
0.1,const,helm,0.06992162756659374,307.56724184615473,349.93474144588447
0.1,const,helm,0.07155444070664578,316.64512782158147,349.93474144588447
0.1,const,helm,0.07322538337604534,326.02445830141676,349.93474144588436
0.1,const,helm,0.07493534597735753,335.71649178212766,349.93474144588447
0.1,const,helm,0.0766852397058701,345.7329484735732,349.93474144588447
0.1,const,helm,0.07847599703514611,356.0860304351495,349.93474144588447
0.1,const,helm,0.08030857221391513,366.7884426213335,349.93474144588436
0.1,const,helm,0.08218394177456802,377.8534148784105,349.9347414458844
0.1,const,helm,0.08410310505352604,389.2947249361081,349.9347414458844
0.1,const,helm,0.08606708472376164,401.1267224398739,349.9347414458844
0.1,const,helm,0.08807692733975461,413.36435407165754,349.93474144588436
0.1,const,helm,0.09013370389517433,426.02318980926464,349.9347414458844
0.1,const,helm,0.09223851039358476,439.11945037666834,349.9347414458844
0.1,const,helm,0.09439246843247669,452.6700359400849,349.9347414458843
0.1,const,helm,0.09659672580093832,466.69255610715527,349.9347414458844
0.1,const,helm,0.09885245709128276,481.2053612892233,349.9347414458843
0.1,const,helm,0.10116086432495808,496.2275754894745,349.9347414458844
0.1,const,helm,0.10352317759307378,511.77913058260253,349.93474144588447
0.1,const,helm,0.1059406557118851,527.8808021547034,349.93474144588447
0.1,const,helm,0.10841458689358349,544.5542469752638,349.9347414458844
0.1,const,helm,0.11094628943275218,561.8220421764526,349.9347414458844
0.1,const,helm,0.11353711240885178,579.7077262183693,349.9347414458844
0.1,const,helm,0.11618843640511002,598.2358417225562,349.93474144588447
0.1,const,helm,0.118901674244199,617.4319802598709,349.9347414458844
0.1,const,helm,0.1216782717410923,637.3228291827999,349.93474144588436
0.1,const,helm,0.12451970847350319,657.9362205964427,349.9347414458844
0.1,const,helm,0.12742749857031335,679.3011825667436,349.93474144588436
0.1,const,helm,0.13040319151841315,701.4479926690989,349.9347414458844
0.1,const,helm,0.13344837298838383,724.408233985231,349.93474144588447
0.1,const,helm,0.13656466567946096,748.2148536611834,349.9347414458845
0.1,const,helm,0.1397537301842291,772.9022241444886,349.9347414458844
0.1,const,helm,0.1430172658735088,798.5062072240203,349.9347414458844
0.1,const,helm,0.14635701180190797,825.0642210017159,349.93474144588436
0.1,const,helm,0.14977474763452,852.6153099313092,349.9347414458844
0.1,const,helm,0.15327229459526134,881.2002180654281,349.9347414458844
0.1,const,helm,0.1568515164373548,910.8614656589223,349.93474144588436
0.1,const,helm,0.16051432043647615,941.6434292830993,349.93474144588447
0.1,const,helm,0.16426265840709303,973.5924256126401,349.9347414458843
0.1,const,helm,0.16809852774253636,1006.7567990544062,349.9347414458844
0.1,const,helm,0.1720239724793599,1041.187013395133,349.93474144588447
