r,node1,node2,depth2
0.34,105.2409590902962,280.4610410790402,1.5857140202266234e-06
0.36,105.11150266126621,279.91242257499397,1.6313795261680547e-06
0.38,104.9863182088068,279.3816527749327,1.6756471363254643e-06
0.4,104.86522539704768,278.86795192407567,1.718512908185287e-06
0.42,104.74807062392618,278.3705906879584,1.7599879775332578e-06
0.44,104.6347851307336,277.888845168182,1.8001234340061207e-06
0.46,104.52505251935742,277.4219992714269,1.8391259546697384e-06
0.48,104.41871894403319,276.9694312489274,1.8769379070898532e-06
0.5,104.31563630295234,276.5305434191433,1.913605383048401e-06
0.52,104.2156620397215,276.10476805201773,1.9491093531719215e-06
0.54,104.11865895169744,275.6915168363265,1.9836921226112446e-06
0.56,104.02449500798949,275.2902919916413,2.0172779118457685e-06
0.58,103.93304317196471,274.9006028119228,2.049869608099659e-06
0.6,103.84418123197092,274.52196653210495,2.081690179346188e-06
0.62,103.75787393450166,274.1539263205825,2.1125939500661513e-06
0.64,103.67401244664465,273.796168222927,2.1425047616835035e-06
0.66,103.59242547461754,273.4481122269227,2.171846703476021e-06
0.68,103.51300736846859,273.1095736562039,2.2002108141088625e-06
0.7,103.43565656117143,272.78003486845085,2.2279641737644918e-06
0.72,103.36038455557267,272.45918547474844,2.2550090006040696e-06
0.74,103.28716063804895,272.1467347975363,2.2813258557011505e-06
0.76,103.21574129845688,271.8423736197055,2.3069745603423548e-06
0.78,103.14603892693817,271.5457687784284,2.3319908768853093e-06
0.8,103.0782673529717,271.2566628283953,2.356389108850603e-06
0.82,103.01210621121818,270.9747962096924,2.380164144333784e-06
0.84,102.94743473960307,270.6998743879434,2.4032935419457124e-06
0.86,102.88454252677279,270.43162788738096,2.4260988991999102e-06
0.88,102.8230333602778,270.169881566259,2.4482467754105387e-06
0.9,102.76294663558804,269.9143997545021,2.469833298516456e-06
0.92,102.70437896514201,269.6649156696125,2.491032273153693e-06
0.94,102.64697582460802,269.4213019951705,2.5116562107008594e-06
0.96,102.59111030972645,269.18330873775557,2.5318336036962938e-06
0.98,102.5363286736846,268.95070948548135,2.551641504080396e-06
1.0,102.48288930436796,268.72346535457797,2.570909857442796e-06
1.02,102.43054241932461,268.50128480098505,2.5897010546284355e-06
1.04,102.37939932123709,268.284014329675,2.608251636363955e-06
1.06,102.32931206231406,268.0715067702158,2.6263770806594078e-06
1.08,102.28034365451786,267.8636180442273,2.6440956072215424e-06
1.1,102.2323517516957,267.6602071962285,2.6614318089846743e-06
1.12,102.18544411315638,267.46113638852506,2.6784024750600888e-06
1.14,102.13939343779414,267.26627087802206,2.6950172573185325e-06
1.16,102.09443973522306,267.075478926657,2.7112792898685327e-06
1.18,102.05018764969975,266.8886318744431,2.7271857643815735e-06
1.2,102.00708560797253,266.70560402506686,2.742794825471056e-06
1.22,101.96464914094031,266.5262727260674,2.758206339873029e-06
1.24,101.92315178251985,266.3505205490358,2.7732675951564843e-06
1.26,101.88243922266052,266.1783499559948,2.787955698207592e-06
1.28,101.84242227478,266.00954023980984,2.8023579532600144e-06
1.3,101.8033473792753,265.8439797784003,2.816630122774486e-06
1.32,101.76485355864075,265.6817010192307,2.8304807315143234e-06
1.34,101.72717575746711,265.5224969323348,2.8441433299798146e-06
1.36,101.69020814211665,265.36630947638696,2.8575673863674823e-06
1.38,101.65377897928714,265.21310048873016,2.870649024526902e-06
1.4,101.61822240022462,265.0627043947624,2.8836294026061926e-06
1.42,101.58321728122854,264.91514514189487,2.896239805471388e-06
1.44,101.54872568251635,264.7702533817416,2.908735544425498e-06
1.46,101.51507603865352,264.6280139915408,2.920956381923092e-06
1.48,101.48190081016348,264.4883520804245,2.9329061882573764e-06
1.5,101.44919856872562,264.3511226688629,2.944795270699291e-06
1.52,101.41729040482768,264.21642317098605,2.9563213632466853e-06
1.54,101.3858234069447,264.08404536348087,2.967714905880128e-06
1.56,101.35478831636692,263.95393313396903,2.9789857396950556e-06
1.58,101.3244553187135,263.82614371806227,2.989962921158825e-06
1.6,101.29458475455563,263.7005290254433,3.000673763401581e-06
1.62,101.26511649333388,263.5770237222092,3.0114253210945665e-06
1.64,101.23619331310813,263.45558104449395,3.021938270520551e-06
1.66,101.2078162921586,263.33621714101906,3.032226589146685e-06
1.68,101.17981443402189,263.2188414519905,3.0423088284565032e-06
1.7,101.15218022644642,263.10338529822064,3.0522012958338657e-06
1.72,101.12517832394435,262.9898058355309,3.0620450209316603e-06
1.74,101.09855026030618,262.8780611272941,3.0717457920428474e-06
1.76,101.07226555958165,262.7681101308073,3.0812733194075303e-06
1.78,101.04635743780248,262.6599126282062,3.09063779004928e-06
1.8,101.02101765393547,262.55342927885505,3.0998479783824122e-06
1.82,100.9959988893084,262.4486276852334,3.108911335033693e-06
1.84,100.97129499528135,262.34547199551514,3.1178340754232523e-06
1.86,100.9469336244315,262.24391002278054,3.126621231356659e-06
1.88,100.92310349110025,262.1439057971264,3.135276746246338e-06
1.9,100.89956814234358,262.045423999083,3.14380355030893e-06
1.92,100.87632206967248,261.9484301279007,3.1522036258313383e-06
1.94,100.85335990295147,261.85290337973146,3.160478064098244e-06
1.96,100.83088655783948,261.7588110970692,3.1686271032925146e-06
1.98,100.80872088477946,261.66611367849885,3.176650208376638e-06
2.0,100.78682144057407,261.57477921530943,3.1845461186132455e-06
