m_chi_GeV,r,N_lo,N_L2,N_M,Z,s_hat,lo_events_hat,Z_LZ_O1v,Z_LZ_L1v,Z_LZ_L5v
1000.0,0.6,2261.860186899166,72.10520826793099,8.213813563985722,0.6318676719722216,0.0005575206750343097,1.261033818233253,,,
1000.0,0.7,2397.008216623648,74.98143276306482,8.662454541771108,0.5866288461977774,0.0004974203773885911,1.1923207317164888,,,
1000.0,0.8,2523.4783729000087,77.64309366047476,9.08179722232315,0.5459599860023653,0.0004469662169539914,1.1279095819003306,,,
1000.0,0.9,2641.863149175294,80.1096574520333,9.47392113656928,0.5092242907792061,0.0004040979135995917,1.0675713865973833,,,
1000.0,1.0,2752.7459487972833,82.39893958744604,9.840851688790773,0.47589569675062693,0.00036727933487717144,1.0110267011600944,0.0,0.0,0.0
1000.0,1.1,2856.686770647197,84.52711890040348,10.184517881113052,0.4455360312623235,0.00033536111250536104,0.9580216534835911,,,
1000.0,1.2,2954.2142371711557,86.50881437095862,10.506729898730095,0.4177775981939439,0.0003074529728885899,0.9082819497680696,,,
1000.0,1.3,3045.821747976131,88.3571940516493,10.809169476246248,0.3923097345019463,0.0002828553571607074,0.8615269983716387,,,
1000.0,1.4,3131.966274123244,90.08409756320428,11.093388329658032,0.3688683140121631,0.0002610432307973639,0.8175785949455139,,,
1000.0,1.5,3213.0688019178397,91.70016097762209,11.360811526442255,0.3472274718179732,0.00024156898851561198,0.7761777805103618,,,
1000.0,1.6,3289.515767681548,93.21493761980838,11.612743731717869,0.32719301861335176,0.00022410075120587347,0.7371829546410005,,,
1000.0,1.7,3361.661049068427,94.63701128893985,11.850376982742137,0.3085971583513931,0.0002083367406070609,0.700357505988629,,,
1000.0,1.8,3429.828229291751,95.97410024731984,12.074799122222656,0.29129421771849545,0.00019405654718740678,0.6655806236222546,,,
1000.0,1.9,3494.3129519689182,97.2331514497018,12.287002340390451,0.2751571707595455,0.00018106243080411933,0.6326887970738102,,,
1000.0,2.0,3555.385252211939,98.42042515032317,12.487891488411835,0.26007479137322553,0.00016919197467629504,0.6015426515567153,,,
4000.0,-2.0,7172.423483288053,131.99666765180032,25.937756155537148,0.0,0.0,0.0,,,
4000.0,-1.9,6815.372549150601,122.35126435077251,24.5997475268462,0.0,0.0,0.0,,,
4000.0,-1.8,6325.925813586312,110.30835089016631,22.788883079251576,0.0,0.0,0.0,,,
4000.0,-1.7,5692.418240399691,95.8986440188514,20.46827868640552,0.0,0.0,0.0,,,
4000.0,-1.6,4921.2643142084535,79.5558055308964,17.667113688164903,0.0,0.0,0.0,,,
4000.0,-1.5,4045.147819895647,62.21523333205877,14.508903171136547,0.155225944192204,9.34436446358625e-05,0.3779933553818628,,,
4000.0,-1.4,3124.4429486760177,45.24931422666025,11.214786740935015,0.38257034799374323,0.00027370487938342144,0.855175280407751,,,
4000.0,-1.3,2237.0116633121065,30.18302197651292,8.065121763315101,0.6544019762726268,0.0005891430482016907,1.3179198701864285,,,
4000.0,-1.2,1458.1793482687847,18.278638122271868,5.326925775309861,0.9693839265641995,0.0011833520377087796,1.7255395031187266,,,
4000.0,-1.1,840.5879359510234,10.20242469352233,3.182543429181695,1.3276616933926406,0.002435015825812818,2.046844927028073,,,
4000.0,-1.0,404.39111249074585,5.944272522098143,1.6965477810740068,1.736795786248536,0.005589892047274063,2.2605026637003314,1.1,1.2,1.3
4000.0,-0.9,140.54998841132496,4.982683796230344,0.8295903066452845,2.2228393496510206,0.016482113289833605,2.3165608318802584,,,
4000.0,-0.8,21.881864264824145,6.551343723667025,0.4791749741043975,2.8226140950719265,0.07925238287732117,1.7341898847854151,,,
4000.0,-0.7,14.65486947570651,9.867070173301082,0.5214240442931846,2.8664338269812886,0.0900414706176889,1.3195459993028937,,,
4000.0,-0.6,86.61367921891824,14.26096815796192,0.8394621499422443,2.3719818804460853,0.02369616663820229,2.0524121759192853,,,
4000.0,-0.5,210.874284521007,19.223074942506596,1.3368154566153496,2.0186644735647543,0.010290784364859017,2.1700617900996106,,,
4000.0,-0.4,366.88201598500547,24.39515767083268,1.9403484644821842,1.7602971763193478,0.00587359545092064,2.1549165401141215,,,
4000.0,-0.3,539.8342155851932,29.54200328761343,2.5978415691799395,1.5601354215130163,0.0038838998937891487,2.09666205257508,,,
4000.0,-0.2,719.5484706984873,34.519204103242835,3.2737174933776405,1.3991897899519774,0.0028088302730437634,2.0210895274202545,,,
4000.0,-0.1,899.2973842963072,39.24535852453273,3.944747354639857,1.2664932447889286,0.0021559477176247063,1.9388381431394919,,,
4000.0,0.0,1074.8214450489588,43.68081653564046,4.596458375466685,1.1550770618634183,0.001725959054594515,1.8550978051546116,,,
4000.0,0.1,1243.5684581722685,47.81251433832288,5.220389988951905,1.060201003980618,0.0014255415552835312,1.7727585139644386,,,
4000.0,0.2,1404.1384751679864,51.643622684440054,5.8121054617474535,0.9784806370554043,0.0012059299228221515,1.6932926029909432,,,
4000.0,0.3,1555.89213528843,55.18670004261892,6.369797922581282,0.9074125385300986,0.0010396060000161494,1.6175147992237902,,,
4000.0,0.4,1698.6804307817515,58.45927787930941,6.893334666542544,0.845094810376481,0.0009099788137343682,1.5457632033165638,,,
4000.0,0.5,1832.6612267629396,61.481082681169134,7.383612604285663,0.7900520203967127,0.0008065763392939706,1.478181183448449,,,
4000.0,0.6,1958.1762899336898,64.272336249886,7.842129475698028,0.7411200681304301,0.0007224244821757858,1.414634492264247,,,
