m_chi_GeV,r,R_lo,R_55_125,R_125_200,R_hi,N_lo,N_L2,N_M,N_55_200,rho_lo,rho_hi,rho_248,rho_q0,node1_keV,node2_keV,dRdE_248,R_hi_per_cp2
400.0,-1.46,7.788341427362746e+17,1.0472493512874852e+16,2074226421666119.5,119235105669693.12,6531.919759385399,87.83062214819442,17.396105031450826,105.22672717964525,0.16907690827705044,0.09969359272950885,1.0585405304570983,0.20155238821225274,85.46466205752105,211.0221401412561,2992257006660.127,119235105669693.12
400.0,-1.44,7.360564101398967e+17,9771581069774496.0,1961414852184529.2,118640989628484.72,6204.064990057835,82.36260587823368,16.532354107349843,98.89495998558353,0.15979030106041345,0.09919684672241949,1.054896154996534,0.1911139503929952,85.16022869363526,210.28646156280848,2981955173435.0312,118640989628484.72
400.0,-1.42,6.94490088545661e+17,9097946581055222.0,1851926202508587.5,118200126539864.2,5875.544374408408,76.97070085611834,15.667717596596704,92.63841845271504,0.1507666787537284,0.09882823694965541,1.0513037211128318,0.1809530516199266,84.8246888008461,209.45626851014984,2971800167414.7803,118200126539864.2
400.0,-1.4,6.541351779535674e+17,8451590046717030.0,1745760472638295.8,117912516403831.52,5547.631395748174,71.67678465763282,14.805556915258641,86.48234157289147,0.14200604135699527,0.09858776341121656,1.0477632288059906,0.17106969189304716,84.45866976035971,208.58541063483716,2961791988599.372,117912516403831.52
400.0,-1.38,6.149916783636157e+17,7832511466759924.0,1642917662573652.8,117778159220386.7,5221.610546763956,66.50224047145885,13.94925573169659,80.45149620315543,0.13350838887021407,0.09847542610710297,1.0442746780760115,0.16146387121235675,84.09621318280617,207.71780998946375,2951930636988.8086,117778159220386.7
400.0,-1.36,5.770595897758067e+17,7240710841183906.0,1543397772314660.0,117797054989529.78,4898.760752780261,61.467672870323334,13.102176216984734,74.56984908730807,0.1252737212933849,0.09849122503731468,1.0408380689228935,0.1521355895778555,83.69036286741719,206.8160206572775,2942216112583.089,117797054989529.78
400.0,-1.34,5.4033891219013914e+17,6676188169988962.0,1447200801861315.0,117969203711260.67,4580.3387256276055,56.59263570456474,12.267615244767253,68.860250949332,0.11730203862650754,0.0986351602018516,1.037453401346637,0.14308484698954319,83.26899424065877,205.93544823893825,2932648415382.212,117969203711260.67
400.0,-1.32,5.048296456066139e+17,6138943453175104.0,1354326751213619.5,118294605385579.53,4267.562700438698,51.89537961739936,11.44876173177307,63.34414134917243,0.10959334086958214,0.09890723160071388,1.0341206753472427,0.13431164344741992,82.82180275693534,204.9437865789968,2923227545386.181,118294605385579.53
400.0,-1.3,4.7053179002523046e+17,5628976690742327.0,1264775620371572.5,118773260012486.16,3961.5969956180825,47.39262600142974,10.64865627363105,58.041282275060794,0.10214762802260861,0.09930743923390134,1.030839890924709,0.12581597895148572,82.33774727737764,203.87358092648518,2913953502594.991,118773260012486.16
400.0,-1.28,4.374453454459893e+17,5146287882690634.0,1178547409335175.5,119405167591980.78,3663.537803830929,43.09937322207031,9.870154140752,52.96952736282231,0.09496490008558707,0.09983578310141417,1.027611048079038,0.11759785350174054,81.83390899826118,202.80466387323713,2904826287008.6484,119405167591980.78
400.0,-1.26,4.055703118688901e+17,4690877029020023.0,1095642118104427.0,120190328124063.11,3374.4005711528757,39.028739685093434,9.115892561450378,48.14463224654381,0.08804515705851743,0.10049226320325214,1.0244341468102272,0.10965726709818442,81.2861583843176,201.76112716911229,2895845898627.146,120190328124063.11
400.0,-1.24,3.7490668929393306e+17,4262744129730496.5,1016059746679328.0,121128741608733.45,3095.1092557780034,35.191846898731015,8.388263042980952,43.58010994171196,0.08138839894139971,0.10127687953941548,1.0213091871182791,0.1019942197408173,80.70335958091593,200.52456903486294,2887012337450.49,121128741608733.45
