E_MeV,dNdE_prod,J_wall,lam_rem_cm,S,N_tank_perMeV,N_lxe_perMeV
33.92731319892318,0.0018062899978944147,1.429523699816003e-13,49.40668864202005,0.006345282680481513,3.1465380415468367,0.0007970035430403946
34.43291554097185,0.0017797669904877945,1.4171229480453428e-13,49.95083882235477,0.006704871306028079,3.1192426303583525,0.0008348643084961862
34.946052630225125,0.0017536334389623045,1.4047781532876052e-13,50.50022690915146,0.007080060643901213,3.0920703866765518,0.0008739018120416116
35.466836753376946,0.0017278836246039893,1.3924903459218546e-13,51.05493756933265,0.007471301695056267,3.065023578478472,0.0009141266794978781
35.99538187047554,0.0017025119126906209,1.3802605140168555e-13,51.61505832131512,0.007879051441658222,3.038104380611548,0.0009555489016334592
36.53180363986065,0.0016775127512523589,1.3680896043472424e-13,52.180679626785896,0.0083037728903334,3.0113148770303226,0.0009981778377521006
37.07621944347228,0.0016528806698523776,1.3559785233901708e-13,52.75189498558284,0.008745935126102174,2.984657062990175,0.0010420222208167823
37.62874841253684,0.0016286102783866587,1.3439281383024812e-13,53.32880103383299,0.009206013377217898,2.9581328471981707,0.0010870901640471693
38.1895114536356,0.0016046962659023278,1.33193927787849e-13,53.911497645509456,0.00968448909111052,2.9317440539212636,0.0011333891689248841
38.75863127516235,0.00158113339943396,1.320012733488573e-13,54.50008803757868,0.010181850021610333,2.9054924250522207,0.0011809261345385243
39.336232414174596,0.0015579165228574512,1.308149259998788e-13,55.094678878916476,0.010698590327601055,2.879379622133811,0.00122970736819791
39.922441263645425,0.001535040555761016,1.2963495766717787e-13,55.695380403184615,0.011235210683231652,2.853407228341795,0.0012797385972456144
40.51738610012135,0.0015125004923329849,1.284614368049251e-13,56.302306525867806,0.011792218399793084,2.827576750427351,0.0013310249819923126
41.12119711179207,0.0014902914002660978,1.2729442848163274e-13,56.91557496568383,0.012370127559347471,2.8018896206196127,0.00138357112970173
41.73400642697909,0.001468408419677968,1.2613399446480683e-13,57.535307370590985,0.012969459160178349,2.7763471984889567,0.0014373811095504004
42.35594814304829,0.0014468467620474864,1.2498019330384953e-13,58.16162944862965,0.013590741274113357,2.7509507727717732,0.001492458468487317
42.98715835575374,0.0014256017091668818,1.2383308041124138e-13,58.79467110384875,0.014234509215755777,2.7257015631573753,0.001548806247918797
43.62777518901884,0.001404668612109197,1.2269270814203618e-13,59.43456657758178,0.014901305723646166,2.7006007220377697,0.0016064270011443337
44.277938825160845,0.0013840428902109614,1.215591258716991e-13,60.08145459535209,0.015591681153363141,2.6756493362209572,0.0016653228114700742
44.93779153556646,0.0013637200300697957,1.2043238007231888e-13,60.73547851970438,0.0163061936825613,2.6508484286084477,0.0017254953109276856
45.60747771182397,0.0013436955845567622,1.1931251438722555e-13,61.39678650927461,0.01704540952793281,2.6261989598376774,0.00178694569952758
46.28714389731968,0.0013239651718432131,1.1819956970404297e-13,62.06553168443101,0.017809903174072914,2.601701829889975,0.001849674764977245
46.97693881930522,0.0013045244744419326,1.1709358422620577e-13,62.74187229983639,0.01860025761422007,2.5773578796647283,0.0019136829027969844
47.67701342144233,0.0012853692382623703,1.1599459354297167e-13,63.425971924303575,0.019417064602836914,2.5531678925204315,0.001978970136767491
48.38752089683336,0.0012664952716797317,1.1490263069795489e-13,64.1179996283382,0.020260924919993838,2.5291325957831807,0.0020455361396457413
49.10861672154326,0.0012478984446177568,1.13817726256212e-13,64.81813017978521,0.021132448647512236,2.505252662223307,0.0021133802540879197
